squad,#_of_players,matches_played,starts,minutes,90s_played,goals_against,goals_against/90,shots_on_target_against,saves,save_percentage,wins,draws,losses,clean_sheets,clean_sheet_percentage,penalty_kicks_attempted,penalty_kicks_allowed,penalty_kicks_saved,penalty_kicks_missed,save%_(penalty_kicks),league,season
Horsens,3,32,32,"2,880",32,58.0,1.0,165.0,110.0,66.0,7,7,18,6,18,3,3,0,0,0.0,Danish_Superliga,2022_2023
Lyngby,2,32,32,"2,880",32,46.0,1.0,124.0,83.0,65.0,6,10,16,3,9,5,3,2,0,40.0,Danish_Superliga,2022_2023
Midtjylland,2,32,32,"2,880",32,39.0,1.0,109.0,76.0,69.0,13,12,7,10,31,8,6,0,2,0.0,Danish_Superliga,2022_2023
Nordsjælland,1,32,32,"2,880",32,35.0,1.0,108.0,79.0,73.0,15,10,7,7,21,6,6,0,0,0.0,Danish_Superliga,2022_2023
Odense,2,32,32,"2,880",32,53.0,1.0,160.0,114.0,71.0,12,10,10,7,21,7,7,0,0,0.0,Danish_Superliga,2022_2023
Randers,3,32,32,"2,880",32,47.0,1.0,188.0,148.0,78.0,10,11,11,11,34,7,7,0,0,0.0,Danish_Superliga,2022_2023
Silkeborg,2,32,32,"2,880",32,48.0,1.0,123.0,80.0,64.0,11,8,13,6,18,5,4,1,0,20.0,Danish_Superliga,2022_2023
Viborg,1,32,32,"2,880",32,34.0,1.0,135.0,104.0,75.0,14,9,9,9,28,5,1,2,2,66.0,Danish_Superliga,2022_2023
Arouca,4,34,34,"3,060",34,37.0,1.0,149.0,109.0,78.0,15,9,10,15,44,10,5,4,1,44.0,Primeira_Liga,2022_2023
Benfica,2,34,34,"3,060",34,20.0,0.0,73.0,54.0,75.0,28,3,3,21,61,2,2,0,0,0.0,Primeira_Liga,2022_2023
Boavista,3,34,34,"3,060",34,54.0,1.0,143.0,90.0,65.0,12,8,14,6,17,7,5,1,1,16.0,Primeira_Liga,2022_2023
Braga,3,34,34,"3,058",34,30.0,0.0,113.0,83.0,77.0,25,3,6,17,50,5,4,0,1,0.0,Primeira_Liga,2022_2023
Casa Pia,3,34,34,"3,060",34,40.0,1.0,152.0,112.0,77.0,11,8,15,11,32,7,5,2,0,28.0,Primeira_Liga,2022_2023
Chaves,3,34,34,"3,058",34,40.0,1.0,168.0,126.0,79.0,12,10,12,10,29,10,6,2,2,25.0,Primeira_Liga,2022_2023
Estoril,2,34,34,"3,058",34,49.0,1.0,162.0,111.0,75.0,10,5,19,8,23,14,10,3,1,23.0,Primeira_Liga,2022_2023
Famalicão,2,34,34,"3,060",34,47.0,1.0,156.0,109.0,74.0,13,5,16,10,29,9,7,2,0,22.0,Primeira_Liga,2022_2023
Gil Vicente FC,2,34,34,"3,060",34,41.0,1.0,176.0,135.0,78.0,10,7,17,8,23,3,3,0,0,0.0,Primeira_Liga,2022_2023
Marítimo,4,34,34,"3,060",34,63.0,1.0,167.0,105.0,66.0,7,5,22,5,14,9,7,0,2,0.0,Primeira_Liga,2022_2023
Paços,4,34,34,"3,057",34,62.0,1.0,167.0,109.0,64.0,6,5,23,3,8,3,2,0,1,0.0,Primeira_Liga,2022_2023
Portimonense,2,34,34,"3,060",34,48.0,1.0,199.0,151.0,76.0,10,4,20,8,23,4,2,1,1,33.0,Primeira_Liga,2022_2023
Porto,2,34,34,"3,060",34,22.0,0.0,79.0,60.0,77.0,27,4,3,17,50,4,4,0,0,0.0,Primeira_Liga,2022_2023
Rio Ave,2,34,34,"3,060",34,43.0,1.0,154.0,112.0,72.0,10,10,14,10,29,4,1,2,1,66.0,Primeira_Liga,2022_2023
Santa Clara,2,34,34,"3,060",34,58.0,1.0,160.0,103.0,68.0,5,7,22,5,14,13,7,2,4,22.0,Primeira_Liga,2022_2023
Sporting CP,2,34,34,"3,059",34,32.0,0.0,95.0,64.0,70.0,23,5,6,14,41,4,4,0,0,0.0,Primeira_Liga,2022_2023
Vitória,3,34,34,"3,060",34,39.0,1.0,128.0,90.0,71.0,16,5,13,14,41,3,2,0,1,0.0,Primeira_Liga,2022_2023
Vizela,2,34,34,"3,060",34,38.0,1.0,139.0,100.0,77.0,11,7,16,11,32,9,7,2,0,22.0,Primeira_Liga,2022_2023
Bruk-Bet Termalica Nieciecza,3,34,34,"3,060",34,,,,,,7,11,16,5,14,9,6,3,0,33.0,Ekstraklasa,2021_2022
Cracovia,2,34,34,"3,060",34,,,,,,12,10,12,10,29,4,4,0,0,0.0,Ekstraklasa,2021_2022
Górnik Zabrze,2,34,34,"3,060",34,,,,,,13,8,13,6,17,10,9,1,0,10.0,Ekstraklasa,2021_2022
Górnik Łęczna,2,34,34,"3,060",34,,,,,,6,10,18,6,17,3,2,0,1,0.0,Ekstraklasa,2021_2022
Jagiellonia,3,34,34,"3,060",34,,,,,,9,13,12,7,20,6,6,0,0,0.0,Ekstraklasa,2021_2022
Lech Poznań,2,34,34,"3,060",34,,,,,,22,8,4,15,44,6,6,0,0,0.0,Ekstraklasa,2021_2022
Lechia Gdańsk,3,34,34,"3,060",34,,,,,,16,9,9,12,35,7,6,1,0,14.0,Ekstraklasa,2021_2022
Legia Warsaw,4,34,34,"3,058",34,,,,,,13,4,17,8,23,7,5,1,1,16.0,Ekstraklasa,2021_2022
Piast Gliwice,2,34,34,"3,060",34,,,,,,15,9,10,11,32,6,4,0,2,0.0,Ekstraklasa,2021_2022
Pogoń Szczecin,1,34,34,"3,060",34,,,,,,18,11,5,10,29,4,3,1,0,25.0,Ekstraklasa,2021_2022
Radomiak Radom,2,34,34,"3,060",34,,,,,,11,15,8,9,26,4,2,1,1,33.0,Ekstraklasa,2021_2022
RKS Raków,2,34,34,"3,060",34,,,,,,20,9,5,14,41,3,2,1,0,33.0,Ekstraklasa,2021_2022
Śląsk Wrocław,2,34,34,"3,060",34,,,,,,7,14,13,5,14,2,0,1,1,100.0,Ekstraklasa,2021_2022
Stal Mielec,4,34,34,"3,060",34,,,,,,9,10,15,6,17,7,4,3,0,42.0,Ekstraklasa,2021_2022
Warta Poznań,2,34,34,"3,060",34,,,,,,11,9,14,10,29,5,3,1,1,25.0,Ekstraklasa,2021_2022
Wisła Kraków,3,34,34,"3,060",34,,,,,,7,10,17,8,23,7,6,0,1,0.0,Ekstraklasa,2021_2022
Wisła Płock,3,34,34,"3,060",34,,,,,,15,3,16,9,26,5,3,2,0,40.0,Ekstraklasa,2021_2022
Zagłębie Lubin,3,34,34,"3,060",34,,,,,,11,5,18,8,23,7,5,2,0,28.0,Ekstraklasa,2021_2022
Almería,3,38,38,"3,420",38,65.0,1.0,203.0,138.0,70.0,11,8,19,4,10,6,4,1,1,20.0,La_Liga,2022_2023
Athletic Club,2,38,38,"3,420",38,43.0,1.0,123.0,83.0,67.0,14,9,15,11,28,3,3,0,0,0.0,La_Liga,2022_2023
Atlético Madrid,3,38,38,"3,420",38,33.0,0.0,128.0,95.0,77.0,23,8,7,13,34,5,4,0,1,0.0,La_Liga,2022_2023
Barcelona,2,38,38,"3,420",38,20.0,0.0,102.0,85.0,83.0,28,4,6,26,68,3,3,0,0,0.0,La_Liga,2022_2023
Betis,2,38,38,"3,420",38,41.0,1.0,146.0,106.0,74.0,17,9,12,13,34,3,3,0,0,0.0,La_Liga,2022_2023
Cádiz,2,38,38,"3,420",38,53.0,1.0,202.0,148.0,78.0,10,12,16,13,34,10,9,1,0,10.0,La_Liga,2022_2023
Celta Vigo,2,38,38,"3,420",38,53.0,1.0,134.0,80.0,64.0,11,10,17,10,26,8,5,2,1,28.0,La_Liga,2022_2023
Elche,2,38,38,"3,420",38,67.0,1.0,208.0,140.0,71.0,5,10,23,4,10,10,7,3,0,30.0,La_Liga,2022_2023
Espanyol,4,38,38,"3,419",38,69.0,1.0,183.0,115.0,65.0,8,13,17,6,15,6,5,1,0,16.0,La_Liga,2022_2023
Getafe,1,38,38,"3,420",38,45.0,1.0,166.0,119.0,75.0,10,12,16,13,34,8,4,4,0,50.0,La_Liga,2022_2023
Girona,2,38,38,"3,420",38,55.0,1.0,168.0,112.0,70.0,13,10,15,4,10,8,6,1,1,14.0,La_Liga,2022_2023
Mallorca,3,38,38,"3,420",38,43.0,1.0,145.0,101.0,74.0,14,8,16,13,34,7,6,1,0,14.0,La_Liga,2022_2023
Osasuna,2,38,38,"3,420",38,42.0,1.0,148.0,107.0,72.0,15,8,15,11,28,4,1,1,2,50.0,La_Liga,2022_2023
Rayo Vallecano,2,38,38,"3,420",38,53.0,1.0,144.0,95.0,66.0,13,10,15,9,23,5,4,0,1,0.0,La_Liga,2022_2023
Real Madrid,2,38,38,"3,420",38,36.0,0.0,136.0,100.0,76.0,24,6,8,13,34,5,4,1,0,20.0,La_Liga,2022_2023
Real Sociedad,1,38,38,"3,420",38,35.0,0.0,133.0,99.0,74.0,21,8,9,15,39,2,1,1,0,50.0,La_Liga,2022_2023
Sevilla,2,38,38,"3,420",38,54.0,1.0,161.0,109.0,67.0,13,10,15,9,23,3,2,1,0,33.0,La_Liga,2022_2023
Valencia,1,38,38,"3,420",38,45.0,1.0,148.0,105.0,70.0,11,9,18,7,18,5,2,0,3,0.0,La_Liga,2022_2023
Valladolid,3,38,38,"3,420",38,63.0,1.0,199.0,134.0,71.0,11,7,20,9,23,10,6,3,1,33.0,La_Liga,2022_2023
Villarreal,3,38,38,"3,420",38,40.0,1.0,149.0,110.0,75.0,19,7,12,12,31,4,4,0,0,0.0,La_Liga,2022_2023
Arminia,2,34,34,"3,060",34,53.0,1.0,180.0,129.0,74.0,5,13,16,7,20,7,7,0,0,0.0,Bundesliga,2021_2022
Augsburg,1,34,34,"3,060",34,56.0,1.0,156.0,102.0,67.0,10,8,16,9,26,5,5,0,0,0.0,Bundesliga,2021_2022
Bayern Munich,3,34,34,"3,060",34,37.0,1.0,112.0,76.0,68.0,24,5,5,11,32,2,2,0,0,0.0,Bundesliga,2021_2022
Bochum,2,34,34,"3,060",34,52.0,1.0,176.0,126.0,73.0,12,6,16,7,20,8,5,2,1,28.0,Bundesliga,2021_2022
Dortmund,3,34,34,"3,060",34,52.0,1.0,136.0,86.0,66.0,22,3,9,7,20,6,6,0,0,0.0,Bundesliga,2021_2022
Eint Frankfurt,3,34,34,"3,060",34,49.0,1.0,165.0,117.0,72.0,10,12,12,5,14,4,4,0,0,0.0,Bundesliga,2021_2022
Freiburg,2,34,34,"3,060",34,46.0,1.0,153.0,108.0,71.0,15,10,9,10,29,2,2,0,0,0.0,Bundesliga,2021_2022
Gladbach,2,34,34,"3,060",34,61.0,1.0,185.0,122.0,68.0,12,9,13,5,14,5,3,2,0,40.0,Bundesliga,2021_2022
Greuther Fürth,3,34,34,"3,060",34,82.0,2.0,188.0,111.0,59.0,3,9,22,6,17,6,6,0,0,0.0,Bundesliga,2021_2022
Hertha BSC,2,34,34,"3,060",34,71.0,2.0,172.0,101.0,63.0,9,6,19,6,17,8,8,0,0,0.0,Bundesliga,2021_2022
Hoffenheim,2,34,34,"3,060",34,60.0,1.0,162.0,102.0,64.0,13,7,14,8,23,4,2,1,1,33.0,Bundesliga,2021_2022
Köln,2,34,34,"3,060",34,49.0,1.0,154.0,106.0,68.0,14,10,10,4,11,1,0,1,0,100.0,Bundesliga,2021_2022
Leverkusen,3,34,34,"3,060",34,47.0,1.0,162.0,115.0,72.0,19,7,8,8,23,4,2,1,1,33.0,Bundesliga,2021_2022
Mainz 05,2,34,34,"3,060",34,45.0,1.0,125.0,80.0,68.0,13,7,14,10,29,6,5,1,0,16.0,Bundesliga,2021_2022
RB Leipzig,3,34,34,"3,060",34,37.0,1.0,115.0,79.0,70.0,17,7,10,10,29,3,3,0,0,0.0,Bundesliga,2021_2022
Stuttgart,2,34,34,"3,060",34,59.0,1.0,163.0,105.0,66.0,7,12,15,4,11,4,4,0,0,0.0,Bundesliga,2021_2022
Union Berlin,2,34,34,"3,060",34,44.0,1.0,122.0,82.0,65.0,16,9,9,8,23,2,2,0,0,0.0,Bundesliga,2021_2022
Wolfsburg,2,34,34,"3,060",34,54.0,1.0,156.0,101.0,67.0,12,6,16,11,32,7,4,2,1,33.0,Bundesliga,2021_2022
Arsenal,2,38,38,"3,420",38,48.0,1.0,147.0,100.0,70.0,22,3,13,13,34,6,5,0,1,0.0,Premier_League,2021_2022
Aston Villa,3,38,38,"3,420",38,54.0,1.0,149.0,96.0,66.0,13,6,19,11,28,6,4,1,1,20.0,Premier_League,2021_2022
Brentford,3,38,38,"3,420",38,56.0,1.0,179.0,125.0,71.0,13,7,18,9,23,5,5,0,0,0.0,Premier_League,2021_2022
Brighton,2,38,38,"3,419",38,44.0,1.0,146.0,102.0,71.0,12,15,11,11,28,4,3,0,1,0.0,Premier_League,2021_2022
Burnley,2,38,38,"3,420",38,53.0,1.0,178.0,127.0,73.0,7,14,17,9,23,5,5,0,0,0.0,Premier_League,2021_2022
Chelsea,2,38,38,"3,420",38,33.0,0.0,115.0,83.0,76.0,21,11,6,16,42,6,6,0,0,0.0,Premier_League,2021_2022
Crystal Palace,2,38,38,"3,420",38,46.0,1.0,144.0,99.0,70.0,11,15,12,12,31,4,3,1,0,25.0,Premier_League,2021_2022
Everton,2,38,38,"3,420",38,66.0,1.0,188.0,127.0,66.0,11,6,21,8,21,2,2,0,0,0.0,Premier_League,2021_2022
Leeds United,2,38,38,"3,420",38,79.0,2.0,224.0,146.0,67.0,9,11,18,5,13,5,5,0,0,0.0,Premier_League,2021_2022
Leicester City,2,38,38,"3,420",38,59.0,1.0,192.0,132.0,72.0,14,10,14,7,18,9,7,2,0,22.0,Premier_League,2021_2022
Liverpool,2,38,38,"3,420",38,26.0,0.0,107.0,82.0,75.0,28,8,2,21,55,0,0,0,0,,Premier_League,2021_2022
Manchester City,2,38,38,"3,420",38,26.0,0.0,85.0,59.0,70.0,29,6,3,21,55,1,1,0,0,0.0,Premier_League,2021_2022
Manchester Utd,1,38,38,"3,420",38,57.0,1.0,180.0,124.0,70.0,16,10,12,8,21,5,3,2,0,40.0,Premier_League,2021_2022
Newcastle Utd,3,38,38,"3,420",38,62.0,1.0,165.0,104.0,65.0,13,10,15,8,21,6,5,1,0,16.0,Premier_League,2021_2022
Norwich City,2,38,38,"3,420",38,84.0,2.0,222.0,139.0,66.0,5,7,26,6,15,12,9,1,2,10.0,Premier_League,2021_2022
Southampton,3,38,38,"3,420",38,67.0,1.0,183.0,118.0,64.0,9,13,16,8,21,2,2,0,0,0.0,Premier_League,2021_2022
Tottenham,1,38,38,"3,420",38,40.0,1.0,137.0,98.0,72.0,22,5,11,16,42,2,2,0,0,0.0,Premier_League,2021_2022
Watford,2,38,38,"3,420",38,77.0,2.0,188.0,113.0,62.0,6,5,27,4,10,7,6,1,0,14.0,Premier_League,2021_2022
West Ham,2,38,38,"3,420",38,51.0,1.0,165.0,113.0,70.0,16,8,14,8,21,6,2,3,1,60.0,Premier_League,2021_2022
Wolves,2,38,38,"3,420",38,43.0,1.0,167.0,125.0,79.0,15,6,17,11,28,10,9,0,1,0.0,Premier_League,2021_2022
Arda,2,36,36,"3,240",36,,,,,,16,10,10,13,36,4,4,0,0,0.0,Bulgarian_First_League,2022_2023
Beroe,2,35,35,"3,150",35,,,,,,8,8,19,7,20,5,5,0,0,0.0,Bulgarian_First_League,2022_2023
Botev Plovdiv,3,36,36,"3,240",36,,,,,,10,6,20,7,19,2,2,0,0,0.0,Bulgarian_First_League,2022_2023
Botev Vratsa,2,35,35,"3,150",35,,,,,,8,8,19,11,31,12,12,0,0,0.0,Bulgarian_First_League,2022_2023
Cherno More,2,35,35,"3,150",35,,,,,,15,9,11,15,42,3,3,0,0,0.0,Bulgarian_First_League,2022_2023
CSKA 1948,2,35,35,"3,150",35,,,,,,17,13,5,15,42,3,3,0,0,0.0,Bulgarian_First_League,2022_2023
CSKA Sofia,2,35,35,"3,150",35,,,,,,26,6,3,21,60,1,1,0,0,0.0,Bulgarian_First_League,2022_2023
FC Spartak Varna,3,35,35,"3,150",35,,,,,,5,10,20,4,11,6,6,0,0,0.0,Bulgarian_First_League,2022_2023
Levski Sofia,2,35,35,"3,150",35,,,,,,17,10,8,22,62,1,1,0,0,0.0,Bulgarian_First_League,2022_2023
Loko Plovdiv,3,35,35,"3,150",35,,,,,,15,9,11,14,40,3,3,0,0,0.0,Bulgarian_First_League,2022_2023
Lokomotiv Sofia,2,36,36,"3,238",36,,,,,,11,9,16,11,30,3,3,0,0,0.0,Bulgarian_First_League,2022_2023
Ludogorets,2,35,35,"3,150",35,,,,,,26,7,2,15,42,5,5,0,0,0.0,Bulgarian_First_League,2022_2023
PFC Hebar Pazardzhik,3,35,35,"3,150",35,,,,,,9,5,21,7,20,6,6,0,0,0.0,Bulgarian_First_League,2022_2023
Pirin Blagoevgrad,2,35,35,"3,150",35,,,,,,8,10,17,10,28,7,7,0,0,0.0,Bulgarian_First_League,2022_2023
Septemvri Sofia,2,35,35,"3,150",35,,,,,,7,7,21,4,11,4,4,0,0,0.0,Bulgarian_First_League,2022_2023
Slavia Sofia,3,36,36,"3,240",36,,,,,,17,7,12,14,38,1,1,0,0,0.0,Bulgarian_First_League,2022_2023
Augsburg,2,34,34,"3,060",34,60.0,1.0,183.0,123.0,71.0,10,9,15,3,8,10,7,2,1,22.0,Bundesliga,2023_2024
Bayern Munich,3,34,34,"3,060",34,45.0,1.0,124.0,78.0,66.0,23,3,8,11,32,4,3,1,0,25.0,Bundesliga,2023_2024
Bochum,2,34,34,"3,060",34,74.0,2.0,189.0,117.0,65.0,7,12,15,4,11,11,9,2,0,18.0,Bundesliga,2023_2024
Darmstadt 98,2,34,34,"3,060",34,86.0,2.0,215.0,130.0,60.0,3,8,23,3,8,2,1,1,0,50.0,Bundesliga,2023_2024
Dortmund,2,34,34,"3,060",34,43.0,1.0,145.0,103.0,73.0,18,9,7,10,29,6,5,1,0,16.0,Bundesliga,2023_2024
Eint Frankfurt,2,34,34,"3,060",34,50.0,1.0,146.0,94.0,71.0,11,14,9,7,20,11,9,2,0,18.0,Bundesliga,2023_2024
Freiburg,1,34,34,"3,060",34,58.0,1.0,158.0,99.0,65.0,11,9,14,10,29,5,3,2,0,40.0,Bundesliga,2023_2024
Gladbach,2,34,34,"3,060",34,67.0,1.0,207.0,140.0,70.0,7,13,14,4,11,6,6,0,0,0.0,Bundesliga,2023_2024
Heidenheim,1,34,34,"3,060",34,55.0,1.0,174.0,121.0,72.0,10,12,12,6,17,10,7,1,2,12.0,Bundesliga,2023_2024
Hoffenheim,1,34,34,"3,060",34,66.0,1.0,211.0,143.0,69.0,13,7,14,2,5,5,2,3,0,60.0,Bundesliga,2023_2024
Köln,1,34,34,"3,060",34,60.0,1.0,168.0,108.0,66.0,5,12,17,4,11,3,3,0,0,0.0,Bundesliga,2023_2024
Leverkusen,2,34,34,"3,060",34,24.0,0.0,105.0,81.0,77.0,28,6,0,16,47,0,0,0,0,,Bundesliga,2023_2024
Mainz 05,2,34,34,"3,060",34,51.0,1.0,145.0,95.0,66.0,7,14,13,8,23,4,3,0,1,0.0,Bundesliga,2023_2024
RB Leipzig,2,34,34,"3,060",34,39.0,1.0,117.0,79.0,70.0,19,8,7,10,29,5,4,0,1,0.0,Bundesliga,2023_2024
Stuttgart,2,34,34,"3,060",34,39.0,1.0,129.0,93.0,72.0,23,4,7,12,35,3,3,0,0,0.0,Bundesliga,2023_2024
Union Berlin,2,34,34,"3,060",34,58.0,1.0,168.0,109.0,68.0,9,6,19,7,20,7,5,2,0,28.0,Bundesliga,2023_2024
Werder Bremen,2,34,34,"3,060",34,54.0,1.0,166.0,113.0,71.0,11,9,14,7,20,6,6,0,0,0.0,Bundesliga,2023_2024
Wolfsburg,2,34,34,"3,060",34,56.0,1.0,151.0,98.0,64.0,10,7,17,6,17,3,2,0,1,0.0,Bundesliga,2023_2024
Angers,3,38,38,"3,420",38,55.0,1.0,155.0,103.0,67.0,10,11,17,8,21,5,5,0,0,0.0,Ligue_1,2021_2022
Bordeaux,2,38,38,"3,420",38,91.0,2.0,194.0,104.0,56.0,6,13,19,2,5,9,7,2,0,22.0,Ligue_1,2021_2022
Brest,1,38,38,"3,420",38,57.0,1.0,170.0,115.0,68.0,13,9,16,7,18,4,4,0,0,0.0,Ligue_1,2021_2022
Clermont Foot,2,38,38,"3,420",38,69.0,1.0,165.0,99.0,61.0,9,9,20,8,21,5,5,0,0,0.0,Ligue_1,2021_2022
Lens,2,38,38,"3,418",38,48.0,1.0,145.0,96.0,69.0,17,11,10,8,21,5,4,1,0,20.0,Ligue_1,2021_2022
Lille,2,38,38,"3,420",38,48.0,1.0,151.0,105.0,72.0,14,13,11,10,26,6,6,0,0,0.0,Ligue_1,2021_2022
Lorient,2,38,38,"3,420",38,63.0,1.0,148.0,88.0,60.0,8,12,18,11,28,6,5,0,1,0.0,Ligue_1,2021_2022
Lyon,2,38,38,"3,418",38,51.0,1.0,173.0,124.0,74.0,17,11,10,9,23,8,7,1,0,12.0,Ligue_1,2021_2022
Marseille,2,38,38,"3,420",38,38.0,1.0,112.0,75.0,69.0,21,8,9,15,39,4,4,0,0,0.0,Ligue_1,2021_2022
Metz,2,38,38,"3,417",38,69.0,1.0,178.0,111.0,64.0,6,13,19,8,21,5,5,0,0,0.0,Ligue_1,2021_2022
Monaco,1,38,38,"3,420",38,40.0,1.0,141.0,104.0,77.0,20,9,9,11,28,9,8,0,1,0.0,Ligue_1,2021_2022
Montpellier,2,38,38,"3,420",38,61.0,1.0,215.0,154.0,74.0,12,7,19,10,26,6,5,1,0,16.0,Ligue_1,2021_2022
Nantes,1,38,38,"3,420",38,48.0,1.0,155.0,105.0,71.0,15,10,13,8,21,7,4,3,0,42.0,Ligue_1,2021_2022
Nice,2,38,38,"3,420",38,36.0,0.0,146.0,109.0,78.0,20,7,11,14,36,5,4,1,0,20.0,Ligue_1,2021_2022
Paris S-G,4,38,38,"3,417",38,36.0,0.0,142.0,107.0,76.0,26,8,4,13,34,3,3,0,0,0.0,Ligue_1,2021_2022
Reims,1,38,38,"3,420",38,44.0,1.0,161.0,116.0,75.0,11,13,14,11,28,7,5,1,1,16.0,Ligue_1,2021_2022
Rennes,3,38,38,"3,420",38,40.0,1.0,106.0,66.0,67.0,20,6,12,14,36,6,5,1,0,16.0,Ligue_1,2021_2022
Saint-Étienne,3,38,38,"3,417",38,77.0,2.0,189.0,116.0,63.0,7,11,20,4,10,8,8,0,0,0.0,Ligue_1,2021_2022
Strasbourg,2,38,38,"3,420",38,43.0,1.0,131.0,89.0,70.0,17,12,9,14,36,4,4,0,0,0.0,Ligue_1,2021_2022
Troyes,2,38,38,"3,420",38,53.0,1.0,159.0,108.0,73.0,9,11,18,9,23,10,10,0,0,0.0,Ligue_1,2021_2022
Augsburg,2,34,34,"3,060",34,63.0,1.0,201.0,138.0,69.0,9,7,18,6,17,4,1,2,1,66.0,Bundesliga,2022_2023
Bayern Munich,3,34,34,"3,060",34,38.0,1.0,107.0,68.0,72.0,21,8,5,11,32,10,9,1,0,10.0,Bundesliga,2022_2023
Bochum,1,34,34,"3,060",34,72.0,2.0,200.0,128.0,68.0,10,5,19,5,14,14,8,3,3,27.0,Bundesliga,2022_2023
Dortmund,2,34,34,"3,060",34,44.0,1.0,151.0,108.0,71.0,22,5,7,12,35,1,1,0,0,0.0,Bundesliga,2022_2023
Eint Frankfurt,2,34,34,"3,060",34,52.0,1.0,135.0,84.0,63.0,13,11,10,6,17,2,2,0,0,0.0,Bundesliga,2022_2023
Freiburg,1,34,34,"3,060",34,44.0,1.0,150.0,106.0,74.0,17,8,9,13,38,6,5,0,1,0.0,Bundesliga,2022_2023
Gladbach,4,34,34,"3,060",34,55.0,1.0,180.0,126.0,72.0,11,10,13,9,26,6,6,0,0,0.0,Bundesliga,2022_2023
Hertha BSC,2,34,34,"3,060",34,69.0,2.0,170.0,100.0,62.0,7,8,19,3,8,6,5,1,0,16.0,Bundesliga,2022_2023
Hoffenheim,1,34,34,"3,060",34,57.0,1.0,161.0,105.0,65.0,10,6,18,5,14,3,2,0,1,0.0,Bundesliga,2022_2023
Köln,1,34,34,"3,060",34,54.0,1.0,129.0,77.0,61.0,10,12,12,6,17,5,4,1,0,20.0,Bundesliga,2022_2023
Leverkusen,2,34,34,"3,059",34,49.0,1.0,146.0,99.0,71.0,14,8,12,9,26,7,7,0,0,0.0,Bundesliga,2022_2023
Mainz 05,2,34,34,"3,060",34,55.0,1.0,153.0,95.0,66.0,12,10,12,7,20,8,4,3,1,42.0,Bundesliga,2022_2023
RB Leipzig,3,34,34,"3,060",34,41.0,1.0,106.0,66.0,67.0,20,6,8,10,29,8,7,1,0,12.0,Bundesliga,2022_2023
Schalke 04,2,34,34,"3,060",34,71.0,2.0,193.0,123.0,65.0,7,10,17,7,20,6,5,0,1,0.0,Bundesliga,2022_2023
Stuttgart,2,34,34,"3,060",34,57.0,1.0,146.0,90.0,65.0,7,12,15,2,5,6,6,0,0,0.0,Bundesliga,2022_2023
Union Berlin,2,34,34,"3,060",34,38.0,1.0,144.0,106.0,78.0,18,8,8,13,38,7,7,0,0,0.0,Bundesliga,2022_2023
Werder Bremen,2,34,34,"3,060",34,64.0,1.0,184.0,121.0,66.0,10,6,18,4,11,3,2,1,0,33.0,Bundesliga,2022_2023
Wolfsburg,1,34,34,"3,060",34,48.0,1.0,147.0,101.0,70.0,13,10,11,12,35,7,4,1,2,20.0,Bundesliga,2022_2023
AEK Athens,2,36,36,"3,240",36,,,,,,23,9,4,15,41,4,4,0,0,0.0,Super_League_Greece,2023_2024
AO Kifisia,3,33,33,"2,970",33,,,,,,5,10,17,2,6,8,5,3,0,37.0,Super_League_Greece,2023_2024
Aris,2,36,36,"3,240",36,,,,,,16,7,13,14,38,7,5,2,0,28.0,Super_League_Greece,2023_2024
Asteras Tripoli,5,33,33,"2,970",33,,,,,,11,5,17,8,24,12,10,1,1,9.0,Super_League_Greece,2023_2024
Atromitos,2,33,33,"2,969",33,,,,,,7,13,13,5,15,9,7,2,0,22.0,Super_League_Greece,2023_2024
OFI Crete,4,33,33,"2,970",33,,,,,,7,14,12,8,24,6,4,2,0,33.0,Super_League_Greece,2023_2024
Olympiacos,2,36,36,"3,240",36,,,,,,23,5,7,13,36,7,5,1,1,16.0,Super_League_Greece,2023_2024
Panathinaikos,3,36,36,"3,240",36,,,,,,21,6,8,15,41,4,4,0,0,0.0,Super_League_Greece,2023_2024
Panetolikos,3,33,33,"2,970",33,,,,,,9,9,15,9,27,5,4,0,1,0.0,Super_League_Greece,2023_2024
Panserraikos,3,33,33,"2,970",33,,,,,,9,11,13,6,18,9,7,2,0,22.0,Super_League_Greece,2023_2024
PAOK,2,36,36,"3,240",36,,,,,,25,5,6,13,36,3,1,1,1,50.0,Super_League_Greece,2023_2024
PAS Giannina,4,33,33,"2,970",33,,,,,,4,11,18,4,12,7,4,2,1,33.0,Super_League_Greece,2023_2024
PAS Lamia,3,36,36,"3,240",36,,,,,,9,8,19,4,11,10,6,2,2,25.0,Super_League_Greece,2023_2024
Volos NFC,4,33,33,"2,970",33,,,,,,8,9,15,4,12,10,9,1,0,10.0,Super_League_Greece,2023_2024
Čukarički,3,37,37,"3,330",37,,,,,,23,6,8,17,45,3,3,0,0,0.0,Serbian_SuperLiga,2022_2023
FK Kolubara,2,37,37,"3,329",37,,,,,,11,8,18,10,27,8,8,0,0,0.0,Serbian_SuperLiga,2022_2023
FK Mladost Novi Sad,2,37,37,"3,330",37,,,,,,6,12,19,12,32,6,6,0,0,0.0,Serbian_SuperLiga,2022_2023
Javor Ivanjica,3,37,37,"3,240",37,,,,,,9,10,18,9,24,6,6,0,0,0.0,Serbian_SuperLiga,2022_2023
Mladost Lučani,4,37,37,"3,330",37,,,,,,9,11,17,7,18,5,5,0,0,0.0,Serbian_SuperLiga,2022_2023
