squad,#_of_players,matches_played,starts,minutes,90s_played,goals_against,goals_against/90,shots_on_target_against,saves,save_percentage,wins,draws,losses,clean_sheets,clean_sheet_percentage,penalty_kicks_attempted,penalty_kicks_allowed,penalty_kicks_saved,penalty_kicks_missed,save%_(penalty_kicks),league,season
Korona Kielce,2,34,34,"3,060",34,0.0,0.0,,,,11,8,15,8,23,8,8,0,0,0.0,Ekstraklasa,2022_2023
Lech Poznań,3,34,34,"3,060",34,0.0,0.0,,,,17,10,7,16,47,7,5,2,0,28.0,Ekstraklasa,2022_2023
Lechia Gdańsk,2,34,34,"3,060",34,0.0,0.0,,,,8,6,19,10,29,8,5,2,1,28.0,Ekstraklasa,2022_2023
Legia Warsaw,2,34,34,"3,060",34,0.0,0.0,,,,19,9,6,12,35,2,2,0,0,0.0,Ekstraklasa,2022_2023
Miedź Legnica,3,34,34,"3,060",34,0.0,0.0,,,,4,11,19,4,11,8,7,1,0,12.0,Ekstraklasa,2022_2023
Piast Gliwice,2,34,34,"3,060",34,0.0,0.0,,,,14,8,11,10,29,5,4,1,0,20.0,Ekstraklasa,2022_2023
Pogoń Szczecin,2,34,34,"3,060",34,0.0,0.0,,,,17,9,8,8,23,8,4,3,1,42.0,Ekstraklasa,2022_2023
Radomiak Radom,4,34,34,"3,060",34,1.0,0.0,,,,12,8,14,9,26,5,5,0,0,0.0,Ekstraklasa,2022_2023
RKS Raków,2,34,34,"3,060",34,0.0,0.0,,,,23,6,5,17,50,5,4,1,0,20.0,Ekstraklasa,2022_2023
Śląsk Wrocław,2,34,34,"3,060",34,1.0,0.0,,,,9,11,14,6,17,5,3,1,1,25.0,Ekstraklasa,2022_2023
Stal Mielec,1,34,34,"3,060",34,0.0,0.0,,,,11,10,13,12,35,4,4,0,0,0.0,Ekstraklasa,2022_2023
Warta Poznań,2,34,34,"3,060",34,0.0,0.0,,,,12,9,13,12,35,2,1,0,1,0.0,Ekstraklasa,2022_2023
Widzew Łódź,2,34,34,"3,060",34,3.0,0.0,,,,11,8,15,12,35,3,2,1,0,33.0,Ekstraklasa,2022_2023
Wisła Płock,2,34,34,"3,060",34,0.0,0.0,,,,10,7,17,7,20,6,6,0,0,0.0,Ekstraklasa,2022_2023
Zagłębie Lubin,3,34,34,"3,060",34,0.0,0.0,,,,12,9,13,9,26,7,4,3,0,42.0,Ekstraklasa,2022_2023
