squad,country,season,uefa_rating,confederation,overall_uefa_rating,uefa_season_ranking,overall_uefa_club_rank
Antwerp,Belgium,2022_2023,2,UEFA,12,57,60
Nice,France,2022_2023,14,UEFA,14,31,56
Lech Poznań,Poland,2022_2023,14,UEFA,16,31,55
Legia Warsaw,Poland,2022_2023,-1,UEFA,13,-1,58
Sturm Graz,Austria,2022_2023,6,UEFA,12,50,62
Rapid Wien,Austria,2022_2023,2,UEFA,9,57,66
Anderlecht,Belgium,2022_2023,10,UEFA,12,39,60
Gladbach,Germany,2022_2023,-1,UEFA,0,-1,102
Hoffenheim,Germany,2022_2023,-1,UEFA,0,-1,102
Brighton,England,2022_2023,-1,UEFA,14,-1,56
Granada,Spain,2022_2023,-1,UEFA,0,-1,102
Lens,France,2022_2023,-1,UEFA,10,-1,64
Genk,Belgium,2022_2023,-1,UEFA,11,-1,63
Wolfsburg,Germany,2022_2023,-1,UEFA,8,-1,68
Toulouse,France,2022_2023,-1,UEFA,10,-1,64
Wolfsberger AC,Austria,2022_2023,2,UEFA,2,57,90
AEK Athens,Greece,2022_2023,-1,UEFA,4,-1,83
CSKA Sofia,Bulgaria,2022_2023,2,UEFA,5,57,78
Vitesse,Netherlands,2022_2023,-1,UEFA,9,-1,66
Brest,France,2022_2023,-1,UEFA,0,-1,102
Newcastle Utd,England,2022_2023,-1,UEFA,8,-1,68
Nantes,France,2022_2023,8,UEFA,8,42,68
Twente,Netherlands,2022_2023,2,UEFA,5,57,78
RKS Raków,Poland,2022_2023,2,UEFA,8,57,68
Austria Wien,Austria,2022_2023,2,UEFA,6,57,75
FK Mladost Novi Sad,Serbia,2022_2023,-1,UEFA,3,-1,86
Panathinaikos,Greece,2022_2023,2,UEFA,5,66,78
Randers,Denmark,2022_2023,-1,UEFA,7,-1,73
Nordsjælland,Denmark,2022_2023,-1,UEFA,7,-1,73
Bologna,Italy,2022_2023,-1,UEFA,0,-1,102
Aris,Greece,2022_2023,2,UEFA,5,66,77
Brøndby,Denmark,2022_2023,2,UEFA,5,66,78
TSC Bačka Top,Serbia,2022_2023,-1,UEFA,3,-1,88
Gaziantep FK,Serbia,2022_2023,2,UEFA,8,66,68
Köln,Germany,2022_2023,6,UEFA,6,50,75
Stuttgart,Germany,2022_2023,-1,UEFA,0,-1,102
Girona,Spain,2022_2023,-1,UEFA,0,-1,102
Silkeborg,Denmark,2022_2023,4,UEFA,4,54,85
Vitória,Portugal,2022_2023,2,UEFA,3,66,86
Pogoń Szczecin,Poland,2022_2023,1,UEFA,5,72,78
AGF,Denmark,2022_2023,-1,UEFA,3,-1,88
Levski Sofia,Bulgaria,2022_2023,2,UEFA,4,66,83
Śląsk Wrocław,Poland,2022_2023,-1,UEFA,2,-1,95
Loko Plovdiv,Bulgaria,2022_2023,-1,UEFA,2,-1,95
CSKA 1948,Bulgaria,2022_2023,-1,UEFA,1,-1,98
Botev Plovdiv,Bulgaria,2022_2023,1,UEFA,1,72,98
Standard Liège,Belgium,2022_2023,-1,UEFA,0,-1,102
Athletic Club,Spain,2022_2023,-1,UEFA,0,-1,102
Osasuna,Spain,2022_2023,-1,UEFA,2,-1,90
Viborg,Denmark,2022_2023,2,UEFA,2,57,90
Gil Vicente FC,Portugal,2022_2023,2,UEFA,2,57,90
Santa Clara,Portugal,2022_2023,-1,UEFA,2,-1,90
FC Copenhagen,Portugal,2022_2023,-1,UEFA,72,-1,4
Charleroi,Belgium,2022_2023,-1,UEFA,0,-1,102
Rio Ave,Portugal,2022_2023,-1,UEFA,0,-1,102
Heidenheim,Germany,2022_2023,-1,UEFA,0,-1,102
Wisła Kraków,Poland,2022_2023,-1,UEFA,0,-1,102
Cercle Brugge,Belgium,2022_2023,-1,UEFA,0,-1,102
Jagiellonia,Poland,2022_2023,-1,UEFA,0,-1,102
