squad,#_of_players,90s_played,goals,shots_total,shots_on_target,shots_on_target_%,shots_total/90,shots_on_target/90,goals/shot,goals/shot_on_target,average_shot_distance,penalty_kicks_made,penalty_kicks_attempted,league,season,shots_from_free_kicks,xg:_expected_goals,npxg:_non-penalty_xg,npxg/shot,goals_-_xg,non-penalty_goals_-_npxg
FK Mladost Novi Sad,39,37,25,,,,,,,,,5,5,Serbian_SuperLiga,2022_2023,,,,,,
Javor Ivanjica,34,37,34,,,,,,,,,5,5,Serbian_SuperLiga,2022_2023,,,,,,
Mladost Lučani,40,37,40,,,,,,,,,7,7,Serbian_SuperLiga,2022_2023,,,,,,
Napredak Kruš,30,37,27,,,,,,,,,4,4,Serbian_SuperLiga,2022_2023,,,,,,
Novi Pazar,35,37,40,,,,,,,,,10,10,Serbian_SuperLiga,2022_2023,,,,,,
Partizan,30,37,67,,,,,,,,,8,9,Serbian_SuperLiga,2022_2023,,,,,,
Radnički Kragujevac,40,37,37,,,,,,,,,5,5,Serbian_SuperLiga,2022_2023,,,,,,
Radnički Niš,42,37,36,,,,,,,,,4,4,Serbian_SuperLiga,2022_2023,,,,,,
Radnik Surdulica,36,37,27,,,,,,,,,5,5,Serbian_SuperLiga,2022_2023,,,,,,
Red Star,37,37,93,,,,,,,,,9,9,Serbian_SuperLiga,2022_2023,,,,,,
Spartak Subotic,34,37,38,,,,,,,,,3,3,Serbian_SuperLiga,2022_2023,,,,,,
TSC Bačka Top,30,37,65,,,,,,,,,7,7,Serbian_SuperLiga,2022_2023,,,,,,
Vojvodina,29,37,57,,,,,,,,,5,5,Serbian_SuperLiga,2022_2023,,,,,,
Voždovac,38,37,29,,,,,,,,,4,4,Serbian_SuperLiga,2022_2023,,,,,,
Austria Wien,29,32,53,466.0,150.0,32.0,14.0,4.0,0.0,0.0,,4,4,Austrian_Bundesliga,2022_2023,,,,,,
Hartberg,32,32,38,369.0,124.0,33.0,11.0,3.0,0.0,0.0,,4,4,Austrian_Bundesliga,2022_2023,,,,,,
LASK,31,32,54,426.0,148.0,34.0,13.0,4.0,0.0,0.0,,2,2,Austrian_Bundesliga,2022_2023,,,,,,
Rapid Wien,29,32,50,448.0,176.0,39.0,14.0,5.0,0.0,0.0,,3,5,Austrian_Bundesliga,2022_2023,,,,,,
RB Salzburg,31,32,66,484.0,197.0,40.0,15.0,6.0,0.0,0.0,,4,4,Austrian_Bundesliga,2022_2023,,,,,,
Ried,33,32,26,359.0,116.0,32.0,11.0,3.0,0.0,0.0,,5,6,Austrian_Bundesliga,2022_2023,,,,,,
SC Austria Lustenau,26,32,49,307.0,125.0,40.0,9.0,3.0,0.0,0.0,,6,6,Austrian_Bundesliga,2022_2023,,,,,,
SCR Altach,32,32,27,309.0,111.0,35.0,9.0,3.0,0.0,0.0,,0,1,Austrian_Bundesliga,2022_2023,,,,,,
SK Austria Klagenfurt,25,32,43,349.0,113.0,32.0,10.0,3.0,0.0,0.0,,7,8,Austrian_Bundesliga,2022_2023,,,,,,
Sturm Graz,30,32,57,506.0,181.0,35.0,15.0,5.0,0.0,0.0,,5,7,Austrian_Bundesliga,2022_2023,,,,,,
Wolfsberger AC,26,32,50,364.0,141.0,38.0,11.0,4.0,0.0,0.0,,3,4,Austrian_Bundesliga,2022_2023,,,,,,
WSG Tirol,26,32,42,371.0,127.0,34.0,11.0,3.0,0.0,0.0,,4,4,Austrian_Bundesliga,2022_2023,,,,,,
Brest,25,34,51,481.0,165.0,34.0,14.0,4.0,0.0,0.0,17.0,4,4,Ligue_1,2023_2024,12.0,48.0,45.0,0.0,2.0,1.0
Clermont Foot,31,34,26,382.0,120.0,31.0,11.0,3.0,0.0,0.0,19.0,6,8,Ligue_1,2023_2024,13.0,36.0,29.0,0.0,-10.0,-9.0
Le Havre,27,34,33,381.0,113.0,29.0,11.0,3.0,0.0,0.0,18.0,6,7,Ligue_1,2023_2024,11.0,37.0,31.0,0.0,-4.0,-4.0
Lens,27,34,45,487.0,167.0,34.0,14.0,4.0,0.0,0.0,16.0,6,7,Ligue_1,2023_2024,13.0,54.0,48.0,0.0,-9.0,-9.0
Lille,28,34,50,438.0,165.0,37.0,12.0,4.0,0.0,0.0,17.0,2,3,Ligue_1,2023_2024,21.0,48.0,46.0,0.0,1.0,1.0
Lorient,38,34,41,368.0,135.0,36.0,10.0,3.0,0.0,0.0,17.0,1,1,Ligue_1,2023_2024,6.0,37.0,36.0,0.0,3.0,3.0
Lyon,35,34,48,439.0,168.0,38.0,12.0,4.0,0.0,0.0,16.0,4,4,Ligue_1,2023_2024,16.0,49.0,46.0,0.0,-1.0,-2.0
Marseille,33,34,50,477.0,152.0,31.0,14.0,4.0,0.0,0.0,17.0,4,4,Ligue_1,2023_2024,20.0,54.0,51.0,0.0,-4.0,-5.0
Metz,30,34,35,326.0,106.0,32.0,9.0,3.0,0.0,0.0,18.0,4,6,Ligue_1,2023_2024,11.0,34.0,29.0,0.0,0.0,1.0
Monaco,30,34,66,512.0,202.0,39.0,15.0,5.0,0.0,0.0,17.0,2,5,Ligue_1,2023_2024,11.0,55.0,50.0,0.0,11.0,13.0
Montpellier,31,34,41,437.0,153.0,35.0,12.0,4.0,0.0,0.0,19.0,7,7,Ligue_1,2023_2024,23.0,46.0,40.0,0.0,-5.0,-6.0
Nantes,35,34,30,376.0,129.0,34.0,11.0,3.0,0.0,0.0,17.0,4,5,Ligue_1,2023_2024,16.0,37.0,33.0,0.0,-7.0,-7.0
Nice,27,34,39,452.0,149.0,33.0,13.0,4.0,0.0,0.0,17.0,6,7,Ligue_1,2023_2024,12.0,49.0,44.0,0.0,-10.0,-11.0
Paris S-G,29,34,78,504.0,187.0,37.0,14.0,5.0,0.0,0.0,17.0,7,9,Ligue_1,2023_2024,14.0,68.0,61.0,0.0,9.0,9.0
Reims,29,34,40,411.0,126.0,30.0,12.0,3.0,0.0,0.0,17.0,3,4,Ligue_1,2023_2024,10.0,44.0,41.0,0.0,-4.0,-4.0
Rennes,29,34,53,476.0,157.0,33.0,14.0,4.0,0.0,0.0,18.0,10,11,Ligue_1,2023_2024,18.0,53.0,44.0,0.0,0.0,-1.0
Strasbourg,30,34,36,363.0,119.0,32.0,10.0,3.0,0.0,0.0,17.0,3,4,Ligue_1,2023_2024,12.0,41.0,38.0,0.0,-5.0,-5.0
Toulouse,26,34,42,395.0,128.0,32.0,11.0,3.0,0.0,0.0,17.0,6,9,Ligue_1,2023_2024,11.0,40.0,33.0,0.0,1.0,2.0
Bruk-Bet Termalica Nieciecza,38,34,35,,,,,,,,,8,13,Ekstraklasa,2021_2022,,,,,,
Cracovia,33,34,38,,,,,,,,,1,3,Ekstraklasa,2021_2022,,,,,,
Górnik Zabrze,30,34,54,,,,,,,,,1,1,Ekstraklasa,2021_2022,,,,,,
Górnik Łęczna,33,34,27,,,,,,,,,2,2,Ekstraklasa,2021_2022,,,,,,
Jagiellonia,38,34,39,,,,,,,,,2,3,Ekstraklasa,2021_2022,,,,,,
Lech Poznań,28,34,66,,,,,,,,,4,5,Ekstraklasa,2021_2022,,,,,,
Lechia Gdańsk,31,34,48,,,,,,,,,4,5,Ekstraklasa,2021_2022,,,,,,
Legia Warsaw,39,34,42,,,,,,,,,1,1,Ekstraklasa,2021_2022,,,,,,
Piast Gliwice,29,34,42,,,,,,,,,3,5,Ekstraklasa,2021_2022,,,,,,
Pogoń Szczecin,27,34,59,,,,,,,,,7,7,Ekstraklasa,2021_2022,,,,,,
Radomiak Radom,29,34,40,,,,,,,,,9,11,Ekstraklasa,2021_2022,,,,,,
RKS Raków,36,34,57,,,,,,,,,9,12,Ekstraklasa,2021_2022,,,,,,
Śląsk Wrocław,33,34,41,,,,,,,,,5,6,Ekstraklasa,2021_2022,,,,,,
Stal Mielec,35,34,39,,,,,,,,,8,10,Ekstraklasa,2021_2022,,,,,,
Warta Poznań,34,34,34,,,,,,,,,2,5,Ekstraklasa,2021_2022,,,,,,
Wisła Kraków,34,34,36,,,,,,,,,2,2,Ekstraklasa,2021_2022,,,,,,
Wisła Płock,32,34,46,,,,,,,,,3,3,Ekstraklasa,2021_2022,,,,,,
Zagłębie Lubin,39,34,41,,,,,,,,,6,8,Ekstraklasa,2021_2022,,,,,,
Ajaccio,36,38,22,311.0,81.0,26.0,8.0,2.0,0.0,0.0,18.0,6,9,Ligue_1,2022_2023,12.0,36.0,29.0,0.0,-14.0,-13.0
Angers,33,38,31,367.0,121.0,33.0,9.0,3.0,0.0,0.0,17.0,4,4,Ligue_1,2022_2023,18.0,40.0,37.0,0.0,-9.0,-10.0
Auxerre,33,38,32,420.0,117.0,27.0,11.0,3.0,0.0,0.0,19.0,7,9,Ligue_1,2022_2023,15.0,42.0,35.0,0.0,-10.0,-10.0
Brest,29,38,43,417.0,132.0,31.0,10.0,3.0,0.0,0.0,17.0,7,8,Ligue_1,2022_2023,13.0,43.0,37.0,0.0,0.0,-1.0
Clermont Foot,28,38,44,393.0,139.0,35.0,10.0,3.0,0.0,0.0,18.0,7,10,Ligue_1,2022_2023,16.0,47.0,39.0,0.0,-3.0,-2.0
Lens,29,38,66,518.0,177.0,34.0,13.0,4.0,0.0,0.0,16.0,6,9,Ligue_1,2022_2023,6.0,66.0,59.0,0.0,0.0,0.0
Lille,26,38,65,545.0,201.0,36.0,14.0,5.0,0.0,0.0,16.0,11,12,Ligue_1,2022_2023,16.0,68.0,60.0,0.0,-3.0,-6.0
Lorient,30,38,49,397.0,149.0,37.0,10.0,3.0,0.0,0.0,17.0,4,6,Ligue_1,2022_2023,16.0,44.0,39.0,0.0,4.0,5.0
Lyon,29,38,63,511.0,199.0,38.0,13.0,5.0,0.0,0.0,16.0,6,8,Ligue_1,2022_2023,18.0,61.0,54.0,0.0,1.0,2.0
Marseille,30,38,61,546.0,173.0,31.0,14.0,4.0,0.0,0.0,16.0,6,7,Ligue_1,2022_2023,16.0,65.0,60.0,0.0,-4.0,-5.0
Monaco,27,38,69,470.0,199.0,42.0,12.0,5.0,0.0,0.0,17.0,5,8,Ligue_1,2022_2023,10.0,62.0,55.0,0.0,6.0,8.0
Montpellier,31,38,64,435.0,165.0,37.0,11.0,4.0,0.0,0.0,18.0,7,7,Ligue_1,2022_2023,22.0,52.0,46.0,0.0,11.0,10.0
Nantes,29,38,35,443.0,151.0,34.0,11.0,3.0,0.0,0.0,18.0,3,5,Ligue_1,2022_2023,16.0,42.0,39.0,0.0,-7.0,-7.0
Nice,34,38,47,507.0,187.0,36.0,13.0,4.0,0.0,0.0,17.0,6,7,Ligue_1,2022_2023,11.0,57.0,51.0,0.0,-10.0,-10.0
Paris S-G,26,38,86,562.0,242.0,43.0,14.0,6.0,0.0,0.0,16.0,5,7,Ligue_1,2022_2023,28.0,78.0,72.0,0.0,7.0,8.0
Reims,34,38,45,516.0,165.0,32.0,13.0,4.0,0.0,0.0,18.0,7,8,Ligue_1,2022_2023,17.0,61.0,55.0,0.0,-16.0,-17.0
Rennes,32,38,66,526.0,189.0,35.0,13.0,4.0,0.0,0.0,16.0,3,3,Ligue_1,2022_2023,15.0,61.0,59.0,0.0,4.0,4.0
Strasbourg,29,38,48,442.0,150.0,33.0,11.0,3.0,0.0,0.0,17.0,5,7,Ligue_1,2022_2023,21.0,48.0,42.0,0.0,0.0,0.0
Toulouse,29,38,50,453.0,171.0,37.0,11.0,4.0,0.0,0.0,16.0,4,4,Ligue_1,2022_2023,19.0,52.0,49.0,0.0,-2.0,-3.0
Troyes,32,38,43,390.0,130.0,33.0,10.0,3.0,0.0,0.0,18.0,5,5,Ligue_1,2022_2023,8.0,39.0,35.0,0.0,3.0,2.0
Ajax,35,34,72,514.0,208.0,40.0,15.0,6.0,0.0,0.0,16.0,5,6,Eredivisie,2023_2024,11.0,65.0,60.0,0.0,6.0,6.0
Almere City,29,34,32,375.0,109.0,29.0,11.0,3.0,0.0,0.0,17.0,3,3,Eredivisie,2023_2024,12.0,34.0,32.0,0.0,-2.0,-3.0
AZ Alkmaar,33,34,68,478.0,174.0,36.0,14.0,5.0,0.0,0.0,16.0,2,2,Eredivisie,2023_2024,16.0,56.0,55.0,0.0,11.0,11.0
Excelsior,27,34,48,377.0,137.0,36.0,11.0,4.0,0.0,0.0,16.0,1,1,Eredivisie,2023_2024,9.0,45.0,45.0,0.0,2.0,2.0
Feyenoord,25,34,90,694.0,253.0,36.0,20.0,7.0,0.0,0.0,16.0,4,7,Eredivisie,2023_2024,23.0,93.0,87.0,0.0,-3.0,-1.0
Fortuna Sittard,32,34,36,471.0,151.0,32.0,13.0,4.0,0.0,0.0,18.0,3,7,Eredivisie,2023_2024,16.0,44.0,39.0,0.0,-8.0,-6.0
Go Ahead Eag,23,34,47,486.0,185.0,38.0,14.0,5.0,0.0,0.0,17.0,4,5,Eredivisie,2023_2024,21.0,49.0,45.0,0.0,-2.0,-2.0
Heerenveen,26,34,52,486.0,153.0,31.0,14.0,4.0,0.0,0.0,18.0,7,8,Eredivisie,2023_2024,14.0,46.0,40.0,0.0,5.0,4.0
Heracles Almelo,27,34,41,362.0,116.0,32.0,10.0,3.0,0.0,0.0,17.0,5,6,Eredivisie,2023_2024,8.0,41.0,37.0,0.0,0.0,-1.0
NEC Nijmegen,28,34,67,440.0,193.0,43.0,12.0,5.0,0.0,0.0,18.0,6,6,Eredivisie,2023_2024,19.0,48.0,43.0,0.0,19.0,17.0
PSV Eindhoven,29,34,108,780.0,291.0,37.0,22.0,8.0,0.0,0.0,16.0,7,9,Eredivisie,2023_2024,7.0,99.0,92.0,0.0,9.0,9.0
RKC Waalwijk,26,34,37,408.0,140.0,34.0,12.0,4.0,0.0,0.0,17.0,5,5,Eredivisie,2023_2024,15.0,44.0,40.0,0.0,-7.0,-8.0
Sparta R'dam,26,34,49,435.0,163.0,37.0,12.0,4.0,0.0,0.0,17.0,5,5,Eredivisie,2023_2024,11.0,46.0,42.0,0.0,2.0,1.0
Twente,26,34,67,565.0,167.0,29.0,16.0,4.0,0.0,0.0,17.0,3,3,Eredivisie,2023_2024,20.0,57.0,55.0,0.0,9.0,8.0
Utrecht,35,34,48,448.0,151.0,33.0,13.0,4.0,0.0,0.0,16.0,1,1,Eredivisie,2023_2024,9.0,46.0,45.0,0.0,1.0,1.0
Vitesse,31,34,29,447.0,145.0,32.0,13.0,4.0,0.0,0.0,17.0,1,1,Eredivisie,2023_2024,10.0,37.0,36.0,0.0,-8.0,-8.0
Volendam,37,34,33,341.0,116.0,34.0,10.0,3.0,0.0,0.0,16.0,1,1,Eredivisie,2023_2024,7.0,36.0,35.0,0.0,-3.0,-3.0
Zwolle,29,34,45,427.0,160.0,37.0,12.0,4.0,0.0,0.0,17.0,2,2,Eredivisie,2023_2024,14.0,43.0,41.0,0.0,1.0,1.0
Admira,29,32,35,362.0,126.0,34.0,11.0,3.0,0.0,0.0,,7,8,Austrian_Bundesliga,2021_2022,,,,,,
Austria Wien,26,32,44,384.0,137.0,35.0,12.0,4.0,0.0,0.0,,2,2,Austrian_Bundesliga,2021_2022,,,,,,
Hartberg,30,32,43,361.0,126.0,34.0,11.0,3.0,0.0,0.0,,3,4,Austrian_Bundesliga,2021_2022,,,,,,
LASK,32,32,44,538.0,174.0,32.0,16.0,5.0,0.0,0.0,,4,5,Austrian_Bundesliga,2021_2022,,,,,,
Rapid Wien,39,32,48,478.0,158.0,33.0,14.0,4.0,0.0,0.0,,2,3,Austrian_Bundesliga,2021_2022,,,,,,
RB Salzburg,31,32,76,559.0,208.0,37.0,17.0,6.0,0.0,0.0,,6,9,Austrian_Bundesliga,2021_2022,,,,,,
Ried,26,32,37,332.0,116.0,34.0,10.0,3.0,0.0,0.0,,1,3,Austrian_Bundesliga,2021_2022,,,,,,
SCR Altach,32,32,23,285.0,102.0,35.0,8.0,3.0,0.0,0.0,,2,3,Austrian_Bundesliga,2021_2022,,,,,,
SK Austria Klagenfurt,28,32,41,317.0,114.0,36.0,9.0,3.0,0.0,0.0,,5,5,Austrian_Bundesliga,2021_2022,,,,,,
Sturm Graz,24,32,61,475.0,165.0,34.0,14.0,5.0,0.0,0.0,,7,7,Austrian_Bundesliga,2021_2022,,,,,,
Wolfsberger AC,24,32,46,388.0,128.0,33.0,12.0,4.0,0.0,0.0,,4,5,Austrian_Bundesliga,2021_2022,,,,,,
WSG Tirol,28,32,44,366.0,131.0,35.0,11.0,4.0,0.0,0.0,,3,4,Austrian_Bundesliga,2021_2022,,,,,,
Čukarički,43,37,56,,,,,,,,,3,4,Serbian_SuperLiga,2023_2024,,,,,,
FK IMT Novi Beograd,38,37,41,,,,,,,,,5,7,Serbian_SuperLiga,2023_2024,,,,,,
FK Železničar Pančevo,36,37,45,,,,,,,,,4,6,Serbian_SuperLiga,2023_2024,,,,,,
Javor Ivanjica,31,37,32,,,,,,,,,1,1,Serbian_SuperLiga,2023_2024,,,,,,
Mladost Lučani,36,37,36,,,,,,,,,5,5,Serbian_SuperLiga,2023_2024,,,,,,
Napredak Kruš,36,37,35,,,,,,,,,2,2,Serbian_SuperLiga,2023_2024,,,,,,
Novi Pazar,40,37,44,,,,,,,,,6,7,Serbian_SuperLiga,2023_2024,,,,,,
Partizan,32,37,77,,,,,,,,,10,11,Serbian_SuperLiga,2023_2024,,,,,,
Radnički Kragujevac,37,37,66,,,,,,,,,5,7,Serbian_SuperLiga,2023_2024,,,,,,
Radnički Niš,40,37,39,,,,,,,,,4,5,Serbian_SuperLiga,2023_2024,,,,,,
Radnik Surdulica,33,37,23,,,,,,,,,4,4,Serbian_SuperLiga,2023_2024,,,,,,
Red Star,34,37,91,,,,,,,,,15,15,Serbian_SuperLiga,2023_2024,,,,,,
Spartak Subotic,38,37,35,,,,,,,,,1,4,Serbian_SuperLiga,2023_2024,,,,,,
TSC Bačka Top,26,37,75,,,,,,,,,6,8,Serbian_SuperLiga,2023_2024,,,,,,
Vojvodina,33,37,59,,,,,,,,,4,4,Serbian_SuperLiga,2023_2024,,,,,,
Voždovac,35,37,45,,,,,,,,,5,5,Serbian_SuperLiga,2023_2024,,,,,,
Arminia,26,34,26,361.0,109.0,30.0,10.0,3.0,0.0,0.0,19.0,2,2,Bundesliga,2021_2022,10.0,26.0,24.0,0.0,0.0,0.0
Augsburg,26,34,39,362.0,117.0,32.0,10.0,3.0,0.0,0.0,17.0,5,5,Bundesliga,2021_2022,11.0,36.0,32.0,0.0,2.0,1.0
Bayern Munich,30,34,92,668.0,255.0,38.0,19.0,7.0,0.0,0.0,16.0,5,5,Bundesliga,2021_2022,12.0,89.0,85.0,0.0,3.0,1.0
Bochum,28,34,37,409.0,136.0,33.0,12.0,4.0,0.0,0.0,18.0,4,6,Bundesliga,2021_2022,17.0,40.0,35.0,0.0,-3.0,-2.0
Dortmund,33,34,81,442.0,165.0,37.0,13.0,4.0,0.0,0.0,16.0,11,11,Bundesliga,2021_2022,20.0,64.0,55.0,0.0,17.0,14.0
Eint Frankfurt,27,34,43,446.0,136.0,30.0,13.0,4.0,0.0,0.0,17.0,1,2,Bundesliga,2021_2022,14.0,41.0,40.0,0.0,1.0,1.0
Freiburg,26,34,55,457.0,153.0,33.0,13.0,4.0,0.0,0.0,16.0,5,6,Bundesliga,2021_2022,20.0,50.0,45.0,0.0,4.0,4.0
Gladbach,26,34,54,489.0,174.0,35.0,14.0,5.0,0.0,0.0,16.0,5,7,Bundesliga,2021_2022,13.0,56.0,50.0,0.0,-2.0,-1.0
Greuther Fürth,29,34,26,309.0,96.0,31.0,9.0,2.0,0.0,0.0,18.0,5,5,Bundesliga,2021_2022,13.0,30.0,26.0,0.0,-4.0,-5.0
Hertha BSC,36,34,35,365.0,119.0,32.0,10.0,3.0,0.0,0.0,17.0,3,3,Bundesliga,2021_2022,15.0,33.0,30.0,0.0,1.0,1.0
Hoffenheim,32,34,55,452.0,150.0,33.0,13.0,4.0,0.0,0.0,15.0,0,0,Bundesliga,2021_2022,13.0,58.0,58.0,0.0,-3.0,-3.0
Köln,26,34,52,467.0,149.0,31.0,13.0,4.0,0.0,0.0,16.0,1,1,Bundesliga,2021_2022,9.0,50.0,49.0,0.0,1.0,1.0
Leverkusen,29,34,76,453.0,184.0,40.0,13.0,5.0,0.0,0.0,16.0,2,6,Bundesliga,2021_2022,11.0,62.0,57.0,0.0,13.0,16.0
Mainz 05,28,34,49,465.0,151.0,32.0,13.0,4.0,0.0,0.0,17.0,4,4,Bundesliga,2021_2022,22.0,50.0,47.0,0.0,-1.0,-2.0
RB Leipzig,29,34,72,429.0,169.0,39.0,12.0,4.0,0.0,0.0,16.0,8,9,Bundesliga,2021_2022,18.0,64.0,58.0,0.0,7.0,5.0
Stuttgart,34,34,40,449.0,153.0,34.0,13.0,4.0,0.0,0.0,17.0,1,3,Bundesliga,2021_2022,10.0,43.0,41.0,0.0,-3.0,-2.0
Union Berlin,28,34,50,408.0,149.0,36.0,12.0,4.0,0.0,0.0,16.0,5,5,Bundesliga,2021_2022,7.0,47.0,43.0,0.0,3.0,1.0
Wolfsburg,30,34,42,416.0,137.0,32.0,12.0,4.0,0.0,0.0,17.0,3,4,Bundesliga,2021_2022,19.0,47.0,44.0,0.0,-5.0,-5.0
Angers,30,38,41,384.0,123.0,32.0,10.0,3.0,0.0,0.0,18.0,9,9,Ligue_1,2021_2022,18.0,46.0,39.0,0.0,-5.0,-7.0
Bordeaux,39,38,50,446.0,145.0,32.0,11.0,3.0,0.0,0.0,19.0,2,4,Ligue_1,2021_2022,16.0,44.0,41.0,0.0,5.0,6.0
Brest,25,38,48,394.0,138.0,35.0,10.0,3.0,0.0,0.0,17.0,7,8,Ligue_1,2021_2022,12.0,43.0,37.0,0.0,4.0,4.0
Clermont Foot,28,38,36,436.0,134.0,30.0,11.0,3.0,0.0,0.0,17.0,2,3,Ligue_1,2021_2022,10.0,44.0,41.0,0.0,-8.0,-7.0
Lens,28,38,60,511.0,183.0,35.0,13.0,4.0,0.0,0.0,18.0,5,5,Ligue_1,2021_2022,14.0,50.0,46.0,0.0,9.0,8.0
Lille,26,38,45,461.0,150.0,32.0,12.0,3.0,0.0,0.0,17.0,4,5,Ligue_1,2021_2022,15.0,50.0,46.0,0.0,-5.0,-5.0
Lorient,29,38,35,442.0,146.0,33.0,11.0,3.0,0.0,0.0,19.0,3,3,Ligue_1,2021_2022,32.0,41.0,39.0,0.0,-6.0,-7.0
Lyon,30,38,64,546.0,192.0,35.0,14.0,5.0,0.0,0.0,17.0,8,8,Ligue_1,2021_2022,18.0,66.0,60.0,0.0,-2.0,-4.0
Marseille,27,38,61,489.0,157.0,32.0,12.0,4.0,0.0,0.0,17.0,10,10,Ligue_1,2021_2022,28.0,58.0,50.0,0.0,2.0,0.0
Metz,36,38,33,370.0,112.0,30.0,9.0,2.0,0.0,0.0,20.0,1,1,Ligue_1,2021_2022,16.0,29.0,28.0,0.0,3.0,3.0
Monaco,27,38,62,445.0,153.0,34.0,11.0,4.0,0.0,0.0,17.0,9,9,Ligue_1,2021_2022,17.0,59.0,52.0,0.0,2.0,0.0
Montpellier,27,38,48,433.0,151.0,34.0,11.0,3.0,0.0,0.0,19.0,3,4,Ligue_1,2021_2022,38.0,42.0,39.0,0.0,5.0,5.0
Nantes,26,38,53,420.0,145.0,34.0,11.0,3.0,0.0,0.0,17.0,5,5,Ligue_1,2021_2022,13.0,45.0,41.0,0.0,7.0,6.0
Nice,27,38,52,442.0,144.0,32.0,11.0,3.0,0.0,0.0,16.0,8,10,Ligue_1,2021_2022,12.0,55.0,48.0,0.0,-3.0,-4.0
Paris S-G,36,38,88,555.0,202.0,36.0,14.0,5.0,0.0,0.0,17.0,7,8,Ligue_1,2021_2022,29.0,76.0,70.0,0.0,11.0,10.0
Reims,35,38,42,389.0,137.0,35.0,10.0,3.0,0.0,0.0,18.0,4,6,Ligue_1,2021_2022,5.0,37.0,32.0,0.0,4.0,5.0
Rennes,28,38,81,548.0,194.0,35.0,14.0,5.0,0.0,0.0,16.0,4,4,Ligue_1,2021_2022,14.0,62.0,59.0,0.0,18.0,17.0
Saint-Étienne,39,38,41,434.0,141.0,32.0,11.0,3.0,0.0,0.0,20.0,5,5,Ligue_1,2021_2022,23.0,38.0,34.0,0.0,2.0,1.0
Strasbourg,26,38,56,470.0,150.0,31.0,12.0,3.0,0.0,0.0,16.0,6,8,Ligue_1,2021_2022,10.0,55.0,49.0,0.0,0.0,0.0
Troyes,35,38,35,379.0,120.0,31.0,9.0,3.0,0.0,0.0,18.0,6,7,Ligue_1,2021_2022,9.0,39.0,33.0,0.0,-4.0,-4.0
Anderlecht,33,34,48,421.0,146.0,34.0,12.0,4.0,0.0,0.0,16.0,4,4,Belgian_Pro_League,2022_2023,15.0,44.0,41.0,0.0,3.0,3.0
Antwerp,32,34,55,442.0,139.0,31.0,13.0,4.0,0.0,0.0,17.0,10,10,Belgian_Pro_League,2022_2023,15.0,51.0,44.0,0.0,3.0,0.0
Cercle Brugge,27,34,50,448.0,142.0,31.0,13.0,4.0,0.0,0.0,17.0,3,6,Belgian_Pro_League,2022_2023,23.0,51.0,46.0,0.0,-1.0,0.0
Charleroi,29,34,45,402.0,143.0,35.0,11.0,4.0,0.0,0.0,16.0,3,4,Belgian_Pro_League,2022_2023,2.0,44.0,41.0,0.0,0.0,0.0
Club Brugge,32,34,58,500.0,187.0,37.0,14.0,5.0,0.0,0.0,17.0,6,10,Belgian_Pro_League,2022_2023,14.0,58.0,50.0,0.0,0.0,1.0
Eupen,30,34,39,375.0,119.0,31.0,11.0,3.0,0.0,0.0,18.0,7,8,Belgian_Pro_League,2022_2023,20.0,40.0,33.0,0.0,-1.0,-1.0
Genk,28,34,77,465.0,180.0,38.0,13.0,5.0,0.0,0.0,15.0,8,10,Belgian_Pro_League,2022_2023,12.0,63.0,56.0,0.0,13.0,12.0
Gent,31,34,62,472.0,166.0,35.0,13.0,4.0,0.0,0.0,17.0,5,5,Belgian_Pro_League,2022_2023,8.0,55.0,51.0,0.0,6.0,5.0
Kortrijk,32,34,37,369.0,133.0,36.0,10.0,3.0,0.0,0.0,18.0,2,3,Belgian_Pro_League,2022_2023,15.0,36.0,33.0,0.0,0.0,1.0
Mechelen,31,34,42,378.0,144.0,38.0,11.0,4.0,0.0,0.0,17.0,3,5,Belgian_Pro_League,2022_2023,11.0,35.0,32.0,0.0,6.0,7.0
OH Leuven,29,34,56,420.0,154.0,36.0,12.0,4.0,0.0,0.0,17.0,12,14,Belgian_Pro_League,2022_2023,14.0,54.0,43.0,0.0,2.0,0.0
Oostende,33,34,37,411.0,147.0,35.0,12.0,4.0,0.0,0.0,18.0,4,7,Belgian_Pro_League,2022_2023,9.0,45.0,39.0,0.0,-8.0,-6.0
R.F.C. Seraing,31,34,26,258.0,66.0,25.0,7.0,1.0,0.0,0.0,18.0,6,7,Belgian_Pro_League,2022_2023,17.0,25.0,20.0,0.0,0.0,0.0
Sint-Truiden,24,34,35,353.0,115.0,32.0,10.0,3.0,0.0,0.0,19.0,6,7,Belgian_Pro_League,2022_2023,14.0,37.0,31.0,0.0,-2.0,-2.0
Standard Liège,30,34,53,390.0,132.0,33.0,11.0,3.0,0.0,0.0,16.0,8,9,Belgian_Pro_League,2022_2023,12.0,51.0,45.0,0.0,1.0,0.0
Union SG,26,34,67,473.0,173.0,36.0,13.0,5.0,0.0,0.0,17.0,7,7,Belgian_Pro_League,2022_2023,18.0,54.0,48.0,0.0,12.0,11.0
Westerlo,26,34,58,389.0,137.0,35.0,11.0,4.0,0.0,0.0,16.0,9,11,Belgian_Pro_League,2022_2023,8.0,51.0,42.0,0.0,7.0,6.0
Zulte Waregem,36,34,49,360.0,129.0,35.0,10.0,3.0,0.0,0.0,15.0,6,6,Belgian_Pro_League,2022_2023,11.0,45.0,41.0,0.0,3.0,1.0
