Player,Nation,Position,Squad,Age,Year of birth,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,Penalty Kicks Made,Penalty Kicks Attempted,xG: Expected Goals,npxG: Non-Penalty xG,npxG/Shot,Goals - xG,Non-Penalty Goals - npxG,Matches
Bevic Moussiti-Oko,cg CGO,FW,Ajaccio,27,1995,7.8,1,20,7,35.0,2.58,0.90,0.05,0.14,12.6,0,0,0,1.8,1.8,0.09,-0.8,-0.8,Matches
Samuel Moutoussamy,cd COD,MF,Nantes,25,1996,26.7,0,22,5,22.7,0.83,0.19,0.00,0.00,16.8,0,0,0,1.7,1.7,0.08,-1.7,-1.7,Matches
François Mughe,cm CMR,MF,Marseille,18,2004,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Nordi Mukiele,fr FRA,DF,Paris S-G,24,1997,12.6,0,11,2,18.2,0.87,0.16,0.00,0.00,11.6,0,0,0,1.0,1.0,0.09,-1.0,-1.0,Matches

Marshall Munetsi,zw ZIM,MF,Reims,26,1996,30.0,7,68,23,33.8,2.27,0.77,0.10,0.30,16.1,0,0,0,9.4,9.4,0.14,-2.4,-2.4,Matches
Yvon Mvogo,ch SUI,GK,Lorient,28,1994,20.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Nathan N'Goumou,fr FRA,FW,Toulouse,22,2000,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Youssouf Ndayishimiye,bi BDI,"MF,DF",Nice,23,1998,6.3,1,8,4,50.0,1.27,0.63,0.13,0.25,18.2,0,0,0,0.5,0.5,0.06,+0.5,+0.5,Matches
Papa Ndiaga Yade,mr MTN,"DF,MF",Troyes,22,2000,6.3,0,10,3,30.0,1.58,0.48,0.00,0.00,20.3,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches
Neymar,br BRA,"MF,FW",Paris S-G,30,1992,17.2,13,36,18,50.0,2.10,1.05,0.31,0.61,16.8,6,2,2,8.1,6.5,0.18,+4.9,+4.5,Matches
Ibrahima Niane,sn SEN,FW,Angers,23,1999,12.6,2,26,11,42.3,2.06,0.87,0.08,0.18,13.7,0,0,0,3.4,3.4,0.13,-1.4,-1.4,Matches
M'Baye Niang,sn SEN,FW,Auxerre,27,1994,16.5,6,36,12,33.3,2.19,0.73,0.08,0.25,13.5,0,3,3,7.2,4.9,0.14,-1.2,-1.9,Matches
Rasmus Nicolaisen,dk DEN,DF,Toulouse,25,1997,33.3,0,13,7,53.8,0.39,0.21,0.00,0.00,11.5,0,0,0,1.2,1.2,0.09,-1.2,-1.2,Matches
