Player,Nation,Position,Squad,Age,Year of birth,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Penalty Kicks Made,Penalty Kicks Attempted,Matches
Ibrahim Olawoyin,ng NGA,MF,Rizespor,25,1997,33.4,8,64,25,39.1,1.91,0.75,0.13,0.32,,0,0,Matches
Nélson Oliveira,pt POR,FW,Konyaspor,31,1991,5.1,0,10,3,30.0,1.95,0.58,0.00,0.00,,0,0,Matches
Sérgio Oliveira,pt POR,MF,Galatasaray,31,1992,5.3,1,15,4,26.7,2.84,0.76,0.07,0.25,,0,0,Matches
Kenneth Omeruo,ng NGA,DF,Kasımpaşa,29,1993,23.1,1,12,6,50.0,0.52,0.26,0.08,0.17,,0,0,Matches
Abdülkadir Ömür,tr TUR,MF,Trabzonspor,24,1999,12.3,0,7,0,0.0,0.57,0.00,0.00,,,0,0,Matches
Jean Onana,cm CMR,MF,Beşiktaş,23,2000,0.2,0,0,0,,0.00,0.00,,,,0,0,Matches
Paul Onuachu,ng NGA,FW,Trabzonspor,29,1994,16.9,15,61,24,39.3,3.61,1.42,0.25,0.63,,0,0,Matches
Samed Onur,tr TUR,FW,Fatih Karagümrük,21,2002,0.2,0,2,1,50.0,9.47,4.74,0.00,0.00,,0,0,Matches
Jayden Oosterwolde,nl NED,DF,Fenerbahçe,22,2001,21.3,0,7,2,28.6,0.33,0.09,0.00,0.00,,0,0,Matches
Jerome Opoku,gh GHA,DF,Başakşehir,24,1998,27.5,4,10,5,50.0,0.36,0.18,0.40,0.80,,0,0,Matches
Mislav Oršić,hr CRO,"FW,MF",Trabzonspor,30,1992,0.6,0,2,0,0.0,3.33,0.00,0.00,,,0,0,Matches
Bright Osayi-Samuel,ng NGA,DF,Fenerbahçe,25,1997,19.3,4,5,4,80.0,0.26,0.21,0.80,1.00,,0,0,Matches
Sinan Osmanoğlu,tr TUR,DF,Rizespor,33,1990,0.3,0,0,0,,0.00,0.00,,,,0,0,Matches
Caner Osmanpaşa,tr TUR,DF,Sivasspor,35,1988,26.1,3,18,6,33.3,0.69,0.23,0.17,0.50,,0,0,Matches
Alex Oxlade-Chamberlain,eng ENG,MF,Beşiktaş,29,1993,11.0,4,26,11,42.3,2.35,1.00,0.12,0.27,,1,1,Matches
Şener Özbayraklı,tr TUR,DF,Başakşehir,33,1990,1.4,0,0,0,,0.00,0.00,,,,0,0,Matches
Ertaç Özbir,tr TUR,GK,Ankaragücü,33,1989,1.4,0,0,0,,0.00,0.00,,,,0,0,Matches
Ertaç Özbir,tr TUR,GK,Adana Demirspor,33,1989,11.2,0,0,0,,0.00,0.00,,,,0,0,Matches
Berkay Özcan,tr TUR,MF,Başakşehir,25,1998,31.2,2,26,8,30.8,0.83,0.26,0.04,0.13,,1,1,Matches
Yasin Özcan,tr TUR,DF,Kasımpaşa,17,2006,32.9,2,19,4,21.1,0.58,0.12,0.11,0.50,,0,0,Matches
Ogün Özçiçek,,MF,Gaziantep FK,24,1999,22.2,3,29,10,34.5,1.31,0.45,0.10,0.30,,0,0,Matches
Berat Özdemir,tr TUR,MF,Trabzonspor,25,1998,26.5,1,15,4,26.7,0.57,0.15,0.07,0.25,,0,0,Matches
