Player,Nation,Position,Squad,Age,Year of birth,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Penalty Kicks Made,Penalty Kicks Attempted,Matches
Tasos Karamanos,gr GRE,MF,PAS Lamia,31,1990,2.0,0,,,,,,,,,0,0,Matches
Nikos Karelis,gr GRE,FW,Panetolikos,30,1992,23.2,13,,,,,,,,,2,2,Matches

Giannis Kargas,gr GRE,DF,PAOK,27,1994,6.3,0,,,,,,,,,0,0,Matches
Alexandros Kartalis,gr GRE,MF,Volos NFC,27,1995,3.7,0,,,,,,,,,0,0,Matches
Pajtim Kasami,ch SUI,MF,Olympiacos,30,1992,5.1,2,,,,,,,,,0,0,Matches
Wajdi Kechrida,tn TUN,DF,Atromitos,26,1995,30.0,1,,,,,,,,,0,0,Matches
Tomasz Kędziora,pl POL,DF,PAOK,28,1994,6.5,1,,,,,,,,,0,0,Matches
Giannis Kiakos,gr GRE,"DF,MF",PAS Giannina,24,1998,7.4,0,,,,,,,,,0,0,Matches
Kyriakos Kivrakidis,gr GRE,DF,Atromitos,30,1992,2.9,0,,,,,,,,,0,0,Matches
Boris Klaiman,il ISR,GK,Volos NFC,31,1990,29.0,0,,,,,,,,,0,0,Matches
László Kleinheisler,hu HUN,"MF,FW",Panathinaikos,28,1994,5.2,2,,,,,,,,,0,0,Matches
Viktor Klonaridis,be BEL,FW,Atromitos,30,1992,15.7,1,,,,,,,,,0,0,Matches
Anthony Knockaert,fr FRA,MF,Volos NFC,30,1991,4.5,1,,,,,,,,,1,1,Matches
Koka,eg EGY,FW,Olympiacos,29,1993,0.6,0,,,,,,,,,0,0,Matches
Sotirios Kokkinis,gr GRE,FW,Ionikos,22,2000,0.0,0,,,,,,,,,0,0,Matches
Dimitris Kolovos,gr GRE,"MF,FW",Panetolikos,29,1993,19.7,3,,,,,,,,,0,0,Matches
Giannis Konstantelias,gr GRE,MF,PAOK,19,2003,24.0,2,,,,,,,,,0,0,Matches
Dimitris Konstantinidis,gr GRE,DF,Levadiakos,28,1994,7.2,0,,,,,,,,,0,0,Matches
Vangelis Kontogiannis,gr GRE,GK,Panetolikos,20,2002,2.0,0,,,,,,,,,0,0,Matches
Georgios Kornezos,gr GRE,DF,PAS Lamia,24,1998,20.7,1,,,,,,,,,0,0,Matches
Alexei Koșelev,md MDA,GK,PAS Lamia,28,1993,4.0,0,,,,,,,,,0,0,Matches
Michalis Kosidis,gr GRE,FW,AEK Athens,20,2002,0.1,0,,,,,,,,,0,0,Matches
Giorgos Kosteas,gr GRE,FW,Asteras Tripoli,19,2003,2.6,1,,,,,,,,,0,0,Matches
Dominik Kotarski,hr CRO,GK,PAOK,22,2000,34.0,0,,,,,,,,,0,0,Matches
Matic Kotnik,si SVN,GK,Volos NFC,32,1990,4.2,0,,,,,,,,,0,0,Matches
Giannis Kotsiras,gr GRE,DF,Panathinaikos,29,1992,20.0,0,,,,,,,,,0,0,Matches
Konstantinos Kotsopoulos,gr GRE,FW,Atromitos,25,1997,4.2,0,,,,,,,,,0,0,Matches

Konstantinos Koulierakis,gr GRE,DF,PAOK,18,2003,23.8,2,,,,,,,,,0,0,Matches
Dimitrios Kourbelis,gr GRE,MF,Panathinaikos,28,1993,23.6,1,,,,,,,,,0,0,Matches
Leonardo Koutris,gr GRE,DF,Olympiacos,27,1995,1.0,0,,,,,,,,,0,0,Matches
Georgios Koutsias,gr GRE,FW,Volos NFC,18,2004,8.4,3,,,,,,,,,0,0,Matches
Andreas Kuen,at AUT,"MF,FW",Atromitos,27,1995,17.0,2,,,,,,,,,0,0,Matches
Pierre Kunde,cm CMR,MF,Olympiacos,27,1995,1.1,0,,,,,,,,,0,0,Matches
Jasmin Kurtić,si SVN,MF,PAOK,33,1989,9.2,3,,,,,,,,,2,2,Matches
Iason Kyrkos,gr GRE,MF,PAS Giannina,19,2003,0.2,0,,,,,,,,,0,0,Matches
Eric Larsson,se SWE,"MF,DF",OFI Crete,31,1991,30.6,2,,,,,,,,,0,0,Matches
Fabiano Leismann,br BRA,DF,Aris,30,1991,30.5,3,,,,,,,,,1,1,Matches
Jean-Baptiste Leo,fr FRA,FW,PAS Giannina,26,1996,0.7,0,,,,,,,,,0,0,Matches
Panagiotis Liagas,gr GRE,DF,Levadiakos,22,1999,16.9,1,,,,,,,,,0,0,Matches
Angelos Liasos,gr GRE,MF,PAS Giannina,22,2000,13.5,2,,,,,,,,,0,0,Matches
Georgios Liavas,gr GRE,"DF,MF",Panetolikos,21,2001,10.8,1,,,,,,,,,0,0,Matches
Yuri Lodygin,ru RUS,GK,Panathinaikos,32,1990,2.0,0,,,,,,,,,0,0,Matches
Alexandros Lolis,gr GRE,"MF,FW",PAS Giannina,19,2002,4.6,0,,,,,,,,,0,0,Matches
Nikolaos Lolis,gr GRE,MF,PAS Giannina,17,2005,0.0,0,,,,,,,,,0,0,Matches
Maximiliano Lovera,ar ARG,MF,Ionikos,23,1999,15.9,2,,,,,,,,,1,1,Matches
Kazenga LuaLua,cd COD,"MF,FW",Levadiakos,31,1990,8.9,0,,,,,,,,,0,0,Matches
José Luis Valiente,es ESP,MF,Asteras Tripoli,31,1991,0.2,0,,,,,,,,,0,0,Matches
Antonio Luna,es ESP,"DF,MF",Volos NFC,31,1991,29.4,2,,,,,,,,,0,0,Matches
Odysseas Lymperakis,gr GRE,DF,Volos NFC,24,1998,0.0,0,,,,,,,,,0,0,Matches
Leftheris Lyratzis,gr GRE,DF,PAOK,22,2000,10.8,0,,,,,,,,,0,0,Matches
Salem M'bakata,cd COD,"DF,MF",Aris,24,1998,17.4,1,,,,,,,,,0,0,Matches
Yann M'Vila,fr FRA,MF,Olympiacos,32,1990,28.1,0,,,,,,,,,0,0,Matches

Zinédine Machach,fr FRA,MF,Ionikos,26,1996,11.2,2,,,,,,,,,0,0,Matches
Theodosios Machairas,gr GRE,FW,AEK Athens,22,2000,0.2,0,,,,,,,,,0,0,Matches
Hörður Magnússon,is ISL,DF,Panathinaikos,29,1993,21.2,1,,,,,,,,,0,0,Matches
Alexandros Malis,gr GRE,DF,Panetolikos,25,1997,8.6,1,,,,,,,,,0,0,Matches
Daniel Mancini,ar ARG,"MF,FW",Aris,25,1996,14.8,3,,,,,,,,,0,0,Matches
Daniel Mancini,ar ARG,MF,Panathinaikos,25,1996,11.7,3,,,,,,,,,0,0,Matches
Christos Mandas,gr GRE,GK,OFI Crete,20,2001,26.0,0,,,,,,,,,0,0,Matches
