Player,Nation,Position,Squad,Age,Year of birth,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,Penalty Kicks Made,Penalty Kicks Attempted,xG: Expected Goals,npxG: Non-Penalty xG,npxG/Shot,Goals - xG,Non-Penalty Goals - npxG,Matches
Orkun Kökçü,tr TUR,MF,Benfica,22,2000,19.8,7,48,22,45.8,2.42,1.11,0.13,0.27,22.8,10,1,1,5.1,4.3,0.09,+1.9,+1.7,Matches
Eboue Kouassi,ci CIV,MF,Arouca,25,1997,15.0,0,10,4,40.0,0.67,0.27,0.00,0.00,13.8,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches
Kevin Krygård,no NOR,"MF,DF",Casa Pia,23,2000,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Matías Lacava,ve VEN,"FW,MF",Vizela,20,2002,14.8,0,22,5,22.7,1.48,0.34,0.00,0.00,20.4,0,0,0,1.2,1.2,0.05,-1.2,-1.2,Matches
Tom Lacoux,fr FRA,MF,Famalicão,21,2002,4.0,0,7,0,0.0,1.73,0.00,0.00,,24.6,0,0,0,0.2,0.2,0.02,-0.2,-0.2,Matches
André Lacximicant,pt POR,"FW,MF",Casa Pia,22,2001,2.4,1,6,2,33.3,2.48,0.83,0.17,0.50,18.8,0,0,0,0.2,0.2,0.04,+0.8,+0.8,Matches
Rúben Lameiras,pt POR,"FW,MF",Casa Pia,28,1994,6.1,0,9,0,0.0,1.46,0.00,0.00,,22.2,1,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
Rúben Lameiras,pt POR,"FW,MF",Chaves,28,1994,2.3,0,2,1,50.0,0.87,0.44,0.00,0.00,20.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
Bruno Langa,mz MOZ,"DF,MF",Chaves,25,1997,11.9,1,11,2,18.2,0.92,0.17,0.09,0.50,26.4,0,0,0,0.3,0.3,0.02,+0.7,+0.7,Matches

Larra,es ESP,"DF,MF",Casa Pia,25,1997,27.9,2,22,10,45.5,0.79,0.36,0.09,0.20,23.3,4,0,0,1.1,1.1,0.05,+0.9,+0.9,Matches
Yusuf Lawal,ng NGA,"FW,MF",Arouca,25,1998,2.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Orest Lebedenko,ua UKR,DF,Vizela,24,1998,16.1,2,16,3,18.8,0.99,0.19,0.13,0.67,18.0,0,0,0,1.3,1.3,0.08,+0.7,+0.7,Matches
Leonardo Lelo,pt POR,"DF,MF",Casa Pia,23,2000,32.7,1,20,3,15.0,0.61,0.09,0.05,0.33,23.8,1,0,0,1.0,1.0,0.05,0.0,0.0,Matches
Marcos Leonardo,br BRA,FW,Benfica,20,2003,3.7,7,21,13,61.9,5.71,3.53,0.33,0.54,11.4,0,0,0,4.7,4.7,0.22,+2.3,+2.3,Matches
Otso Liimatta,fi FIN,"MF,FW",Famalicão,19,2004,5.2,0,3,0,0.0,0.58,0.00,0.00,,15.2,0,0,0,0.3,0.3,0.11,-0.3,-0.3,Matches
Rúben Lima,pt POR,"DF,MF",Estrela,33,1989,10.3,0,2,0,0.0,0.19,0.00,0.00,,15.9,0,0,0,0.2,0.2,0.09,-0.2,-0.2,Matches
Danny Loader,eng ENG,"FW,MF",Porto,22,2000,2.7,1,9,3,33.3,3.29,1.10,0.11,0.33,13.4,0,0,0,1.0,1.0,0.11,0.0,0.0,Matches
Jason Lokilo,be BEL,"FW,MF",Vizela,24,1998,7.8,1,14,4,28.6,1.80,0.51,0.07,0.25,22.1,1,0,0,1.0,1.0,0.07,0.0,0.0,Matches
Julien Lomboto,,MF,Rio Ave,21,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Miguel Lopes,pt POR,DF,Estrela,36,1986,14.7,0,7,0,0.0,0.48,0.00,0.00,,13.4,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
Né lopes,pt POR,DF,Gil Vicente FC,23,2000,2.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Rony Lopes,pt POR,"FW,MF",Braga,27,1995,4.1,2,19,8,42.1,4.61,1.94,0.11,0.25,18.4,0,0,0,1.5,1.5,0.08,+0.5,+0.5,Matches
Bruno Lourenço,pt POR,"FW,MF",Boavista,25,1998,22.4,5,24,6,25.0,1.07,0.27,0.13,0.50,23.6,0,2,3,4.1,1.6,0.07,+0.9,+1.4,Matches
Thomas Luciano,br BRA,DF,Gil Vicente FC,21,2002,0.3,1,1,1,100.0,3.21,3.21,1.00,1.00,4.7,0,0,0,0.1,0.1,0.14,+0.9,+0.9,Matches
André Luis,br BRA,FW,Moreirense,29,1994,14.8,6,30,7,23.3,2.03,0.47,0.17,0.71,14.6,1,1,1,3.5,2.7,0.09,+2.5,+2.3,Matches
Florentino Luís,pt POR,MF,Benfica,23,1999,18.7,0,12,2,16.7,0.64,0.11,0.00,0.00,15.9,0,0,0,1.5,1.5,0.12,-1.5,-1.5,Matches
José Luis Rodríguez,pa PAN,FW,Famalicão,25,1998,16.6,1,30,11,36.7,1.81,0.66,0.03,0.09,23.4,1,0,0,1.6,1.6,0.05,-0.6,-0.6,Matches
Zé Luís,cv CPV,"FW,MF",Farense,32,1991,6.6,2,17,9,52.9,2.59,1.37,0.12,0.22,12.5,0,0,0,2.1,2.1,0.12,-0.1,-0.1,Matches
Luismi,gq EQG,FW,Moreirense,22,2001,10.4,0,20,5,25.0,1.91,0.48,0.00,0.00,16.3,0,0,0,1.5,1.5,0.07,-1.5,-1.5,Matches
Wallisson Luiz,br BRA,"MF,FW",Moreirense,25,1997,2.2,0,5,1,20.0,2.25,0.45,0.00,0.00,19.2,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Rodrigo Macedo,pt POR,"FW,MF",Moreirense,20,2003,0.7,0,3,2,66.7,4.15,2.77,0.00,0.00,14.6,0,0,0,0.4,0.4,0.13,-0.4,-0.4,Matches
Tiago Machado,pt POR,"MF,FW",Boavista,19,2004,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Madson,br BRA,"FW,MF",Moreirense,23,1999,14.9,5,42,11,26.2,2.83,0.74,0.12,0.45,17.0,0,0,0,3.2,3.2,0.08,+1.8,+1.8,Matches
Miguel Maga,pt POR,"DF,MF",Vitória,20,2002,9.9,0,3,1,33.3,0.30,0.10,0.00,0.00,16.1,0,0,0,0.6,0.6,0.20,-0.6,-0.6,Matches

Magrão,br BRA,GK,Rio Ave,23,2000,7.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Gaius Makouta,cg CGO,MF,Boavista,26,1997,25.9,2,22,7,31.8,0.85,0.27,0.09,0.29,14.8,1,0,0,2.1,2.1,0.09,-0.1,-0.1,Matches
Pedro Malheiro,pt POR,"DF,MF",Boavista,22,2001,21.9,2,14,6,42.9,0.64,0.27,0.14,0.33,27.5,0,0,0,0.5,0.5,0.04,+1.5,+1.5,Matches
Eliaquim Mangala,fr FRA,DF,Estoril,32,1991,11.6,1,2,1,50.0,0.17,0.09,0.50,1.00,6.3,0,0,0,0.9,0.9,0.43,+0.1,+0.1,Matches
Ricardo Mangas,pt POR,"MF,DF",Vitória,25,1998,21.2,1,23,3,13.0,1.09,0.14,0.04,0.33,13.0,0,0,0,2.0,2.0,0.09,-1.0,-1.0,Matches
Mansur,br BRA,DF,Estrela,30,1993,15.6,0,4,0,0.0,0.26,0.00,0.00,,6.5,0,0,0,0.4,0.4,0.10,-0.4,-0.4,Matches
Manuel Manu,pt POR,"DF,MF",Vitória,22,2001,19.7,2,17,5,29.4,0.86,0.25,0.12,0.40,16.6,1,0,0,1.3,1.3,0.08,+0.7,+0.7,Matches
Zé Manuel,pt POR,"FW,MF",Rio Ave,32,1990,6.6,2,11,5,45.5,1.68,0.76,0.18,0.40,14.9,0,0,0,1.7,1.7,0.15,+0.3,+0.3,Matches
Maracás,br BRA,DF,Moreirense,29,1994,28.5,3,10,5,50.0,0.35,0.18,0.30,0.60,7.8,0,0,0,1.8,1.8,0.18,+1.2,+1.2,Matches
Iván Marcano,es ESP,DF,Porto,36,1987,4.1,2,6,4,66.7,1.47,0.98,0.33,0.50,8.8,0,0,0,1.3,1.3,0.22,+0.7,+0.7,Matches
Adrián Marín,es ESP,DF,Braga,26,1997,3.6,0,2,0,0.0,0.56,0.00,0.00,,13.9,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
