Player,Nation,Position,Squad,Age,Year of birth,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,Penalty Kicks Made,Penalty Kicks Attempted,xG: Expected Goals,npxG: Non-Penalty xG,npxG/Shot,Goals - xG,Non-Penalty Goals - npxG,Matches
Mohammed Amine Essahel,ma MAR,"MF,FW",Eupen,18,2003,0.2,0,1,1,100.0,4.29,4.29,0.00,0.00,20.5,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches
Michael Amir Murillo,pa PAN,DF,Anderlecht,25,1996,26.6,2,23,7,30.4,0.86,0.26,0.09,0.29,12.3,0,0,0,4.2,4.2,0.19,-2.2,-2.2,Matches
Francis Amuzu,be BEL,"MF,FW",Anderlecht,21,1999,12.7,5,36,16,44.4,2.84,1.26,0.14,0.31,17.8,2,0,0,4.7,4.7,0.13,+0.3,+0.3,Matches
Stelios Andreou,cy CYP,DF,Charleroi,19,2002,23.9,1,3,1,33.3,0.13,0.04,0.33,1.00,11.4,0,0,0,0.5,0.5,0.17,+0.5,+0.5,Matches
Carlos Apna Embaló,gw GNB,"FW,DF",Eupen,26,1994,1.5,1,8,3,37.5,5.50,2.06,0.13,0.33,17.8,0,0,0,1.4,1.4,0.17,-0.4,-0.4,Matches
Kristian Arnstad,no NOR,MF,Anderlecht,17,2003,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Gerardo Arteaga,mx MEX,DF,Genk,22,1998,24.5,0,13,1,7.7,0.53,0.04,0.00,0.00,20.7,0,0,0,0.9,0.9,0.07,-0.9,-0.9,Matches
Majeed Ashimeru,gh GHA,MF,Anderlecht,23,1997,12.5,3,15,5,33.3,1.20,0.40,0.20,0.60,20.6,0,0,0,2.4,2.4,0.16,+0.6,+0.6,Matches
David Atanga,gh GHA,"MF,DF",Oostende,24,1996,7.2,0,8,1,12.5,1.12,0.14,0.00,0.00,23.4,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
Felipe Avenatti,uy URU,FW,Beerschot,28,1993,8.6,1,16,5,31.3,1.85,0.58,0.06,0.20,15.9,0,0,0,1.0,1.0,0.07,0.0,0.0,Matches

Felipe Avenatti,uy URU,"FW,MF",Union SG,28,1993,0.9,0,3,1,33.3,3.38,1.13,0.00,0.00,10.9,0,0,0,0.5,0.5,0.16,-0.5,-0.5,Matches
Muhammed Badamosi,gm GAM,FW,Kortrijk,22,1998,13.3,1,20,6,30.0,1.50,0.45,0.05,0.17,15.7,0,0,0,2.5,2.5,0.12,-1.5,-1.5,Matches
Youssouph Badji,sn SEN,FW,Charleroi,19,2001,6.1,0,10,5,50.0,1.65,0.82,0.00,0.00,11.5,0,0,0,1.4,1.4,0.14,-1.4,-1.4,Matches
Jonas Bager,dk DEN,DF,Union SG,25,1996,18.1,0,3,1,33.3,0.17,0.06,0.00,0.00,10.2,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
Michel-Ange Balikwisha,be BEL,"FW,MF",Antwerp,20,2001,19.5,4,29,10,34.5,1.49,0.51,0.14,0.40,18.0,0,0,0,3.3,3.3,0.11,+0.7,+0.7,Matches
Nelson Balongo,,"FW,MF",Sint-Truiden,22,1999,2.7,1,5,2,40.0,1.87,0.75,0.20,0.50,9.8,0,0,0,0.5,0.5,0.10,+0.5,+0.5,Matches
Samuel Bastien,cd COD,MF,Standard Liège,24,1996,20.1,1,26,11,42.3,1.30,0.55,0.04,0.09,21.6,0,0,0,1.4,1.4,0.06,-0.4,-0.4,Matches
Jelle Bataille,be BEL,DF,Antwerp,22,1999,18.0,0,5,1,20.0,0.28,0.06,0.00,0.00,18.8,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Matches
Sheldon Bateau,tt TRI,DF,Mechelen,30,1991,15.1,0,2,1,50.0,0.13,0.07,0.00,0.00,10.4,0,0,0,0.2,0.2,0.09,-0.2,-0.2,Matches
Nick Bätzner,de GER,MF,Oostende,21,2000,21.4,2,29,10,34.5,1.36,0.47,0.07,0.20,18.6,1,0,0,3.0,3.0,0.10,-1.0,-1.0,Matches
Robert Bauer,de GER,"DF,MF",Sint-Truiden,26,1995,20.7,1,10,2,20.0,0.48,0.10,0.10,0.50,24.1,0,0,0,0.9,0.9,0.09,+0.1,+0.1,Matches
Andreas Beck,de GER,"DF,FW",Eupen,34,1987,26.8,1,12,2,16.7,0.45,0.07,0.08,0.50,13.9,0,0,0,1.2,1.2,0.10,-0.2,-0.2,Matches
Chris Bedia,ci CIV,FW,Charleroi,25,1996,3.2,1,7,2,28.6,2.21,0.63,0.14,0.50,11.0,0,0,0,1.5,1.5,0.21,-0.5,-0.5,Matches
Yassine Ben Hamed,fr FRA,DF,Antwerp,18,2003,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Amine Benchaib,ma MAR,"MF,DF",Charleroi,23,1998,1.4,0,2,1,50.0,1.40,0.70,0.00,0.00,11.7,0,0,0,0.2,0.0,0.00,-0.2,0.0,Matches
Amine Benchaib,ma MAR,MF,Kortrijk,23,1998,1.9,2,7,3,42.9,3.77,1.62,0.29,0.67,17.2,0,0,0,0.9,0.9,0.14,+1.1,+1.1,Matches
Tsotne Bendianishvili,ge GEO,MF,Kortrijk,18,2002,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Saido Berahino,bi BDI,"FW,DF",Zulte Waregem,27,1993,0.7,0,2,1,50.0,2.90,1.45,0.00,0.00,10.2,0,0,0,0.6,0.6,0.31,-0.6,-0.6,Matches
Antoine Bernier,be BEL,"MF,FW",R.F.C. Seraing,23,1997,20.8,1,25,8,32.0,1.20,0.39,0.04,0.13,16.2,0,0,0,2.8,2.8,0.11,-1.8,-1.8,Matches
Barnabás Bese,hu HUN,DF,OH Leuven,27,1994,2.8,0,3,0,0.0,1.06,0.00,0.00,,11.3,0,0,0,0.3,0.3,0.11,-0.3,-0.3,Matches
