club_id,club,num_of_players,90s_played,passes_completed,passes_attempted,pass_completion_%,total_passing_distance,progressive_passing_distance,passes_completed_(short),passes_attempted_(short),pass_completion_%_(short),passes_completed_(medium),passes_attempted_(medium),pass_completion_%_(medium),passes_completed_(long),passes_attempted_(long),pass_completion_%_(long),assists,xag:_exp._assisted_goals,xa:_expected_assists,assists_-_xag,key_passes,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,league,season
259,Slavia Sofia,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,Slavia Sofia,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,Southampton,36.0,38.0,12319.0,16391.0,75.0,211636.0,79814.0,5972.0,6925.0,86.0,4830.0,5823.0,82.0,1170.0,2625.0,44.0,25.0,28.0,26.0,-3.0,302.0,938.0,239.0,71.0,1125.0,Premier_League,2022_2023
260,Southampton,25.0,38.0,12505.0,16941.0,73.0,211003.0,80089.0,6089.0,7173.0,84.0,4893.0,6093.0,80.0,1112.0,2591.0,42.0,26.0,32.0,28.0,-6.0,353.0,1016.0,249.0,58.0,1326.0,Premier_League,2021_2022
261,Sparta R'dam,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,Sparta R'dam,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,Sparta R'dam,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,Spartak Subotic,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,Spartak Subotic,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,Spartak Subotic,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,Spezia,34.0,38.0,12399.0,16501.0,75.0,215537.0,84262.0,5772.0,6701.0,86.0,4973.0,6020.0,82.0,1235.0,2696.0,45.0,18.0,29.0,26.0,-11.0,289.0,928.0,267.0,84.0,1163.0,Serie_A,2022_2023
263,Spezia,30.0,38.0,11650.0,15503.0,75.0,210448.0,83575.0,5218.0,6112.0,85.0,4666.0,5591.0,83.0,1421.0,2833.0,50.0,25.0,27.0,22.0,-2.0,280.0,827.0,209.0,60.0,999.0,Serie_A,2021_2022
264,Sporting CP,29.0,34.0,16356.0,19452.0,84.0,275295.0,97248.0,7904.0,8649.0,91.0,6873.0,7791.0,88.0,1239.0,2134.0,58.0,67.0,55.0,52.0,11.0,431.0,1481.0,374.0,89.0,1669.0,Primeira_Liga,2023_2024
264,Sporting CP,31.0,34.0,16576.0,19896.0,83.0,293023.0,96142.0,7398.0,8193.0,90.0,7221.0,8175.0,88.0,1635.0,2644.0,61.0,45.0,48.0,43.0,-3.0,394.0,1264.0,338.0,97.0,1563.0,Primeira_Liga,2021_2022
264,Sporting CP,32.0,34.0,17895.0,21201.0,84.0,315993.0,98694.0,7713.0,8503.0,90.0,8385.0,9316.0,90.0,1518.0,2507.0,60.0,51.0,50.0,44.0,0.0,414.0,1538.0,365.0,85.0,1847.0,Primeira_Liga,2022_2023
265,Stal Mielec,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,Stal Mielec,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,Stal Mielec,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,Standard Liège,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,Standard Liège,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,Standard Liège,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,Strasbourg,29.0,38.0,13337.0,17277.0,77.0,243280.0,88687.0,5565.0,6548.0,85.0,5799.0,6916.0,83.0,1518.0,2902.0,52.0,28.0,32.0,39.0,-4.0,324.0,1110.0,313.0,97.0,1351.0,Ligue_1,2022_2023
267,Strasbourg,30.0,34.0,12021.0,15031.0,80.0,225581.0,77797.0,4556.0,5286.0,86.0,5863.0,6761.0,86.0,1315.0,2383.0,55.0,24.0,31.0,28.0,-7.0,280.0,903.0,218.0,67.0,1152.0,Ligue_1,2023_2024
267,Strasbourg,26.0,38.0,14576.0,18653.0,78.0,269517.0,97463.0,6112.0,7060.0,86.0,6190.0,7296.0,84.0,1856.0,3259.0,56.0,40.0,39.0,41.0,0.0,348.0,1184.0,334.0,108.0,1589.0,Ligue_1,2021_2022
268,Sturm Graz,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,Sturm Graz,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,Sturm Graz,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,Stuttgart,30.0,34.0,13460.0,16987.0,79.0,253792.0,92829.0,5463.0,6341.0,86.0,6101.0,7070.0,86.0,1637.0,2756.0,59.0,34.0,38.0,38.0,-4.0,361.0,970.0,260.0,78.0,1278.0,Bundesliga,2022_2023
269,Stuttgart,34.0,34.0,13753.0,17353.0,79.0,244827.0,91553.0,6094.0,7015.0,86.0,5735.0,6674.0,85.0,1484.0,2611.0,56.0,31.0,33.0,37.0,-2.0,337.0,976.0,239.0,60.0,1269.0,Bundesliga,2021_2022
269,Stuttgart,27.0,34.0,19201.0,22456.0,85.0,312129.0,108823.0,9516.0,10371.0,91.0,7721.0,8581.0,90.0,1352.0,2320.0,58.0,60.0,53.0,58.0,6.0,413.0,1338.0,356.0,80.0,1618.0,Bundesliga,2023_2024
270,SønderjyskE,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,TSC Bačka Top,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,TSC Bačka Top,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,TSC Bačka Top,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,Tondela,27.0,34.0,10770.0,14260.0,75.0,203209.0,82052.0,4461.0,5200.0,85.0,4660.0,5630.0,82.0,1399.0,2667.0,52.0,25.0,22.0,19.0,2.0,213.0,731.0,158.0,47.0,964.0,Primeira_Liga,2021_2022
273,Torino,28.0,38.0,15376.0,19336.0,79.0,275969.0,93628.0,6788.0,7659.0,88.0,6681.0,7680.0,87.0,1502.0,2948.0,50.0,34.0,35.0,30.0,-1.0,375.0,1159.0,274.0,89.0,1328.0,Serie_A,2022_2023
273,Torino,30.0,38.0,14578.0,18229.0,80.0,257125.0,90455.0,6446.0,7271.0,88.0,6372.0,7364.0,86.0,1345.0,2609.0,51.0,29.0,30.0,29.0,-1.0,338.0,1028.0,277.0,101.0,1333.0,Serie_A,2023_2024
273,Torino,31.0,38.0,13943.0,18082.0,77.0,249442.0,87682.0,6255.0,7220.0,86.0,5904.0,6933.0,85.0,1434.0,2885.0,49.0,27.0,36.0,31.0,-9.0,364.0,1153.0,271.0,95.0,1320.0,Serie_A,2021_2022
274,Tottenham,29.0,38.0,20649.0,24197.0,85.0,326221.0,111380.0,10630.0,11617.0,91.0,8361.0,9345.0,89.0,1089.0,1905.0,57.0,58.0,57.0,52.0,0.0,460.0,1588.0,454.0,65.0,2107.0,Premier_League,2023_2024
274,Tottenham,29.0,38.0,15972.0,19672.0,81.0,277567.0,92695.0,7333.0,8180.0,89.0,6707.0,7682.0,87.0,1499.0,2669.0,56.0,46.0,43.0,34.0,3.0,386.0,1071.0,323.0,104.0,1449.0,Premier_League,2022_2023
274,Tottenham,25.0,38.0,17204.0,20696.0,83.0,283871.0,93464.0,8270.0,9143.0,90.0,6856.0,7812.0,87.0,1376.0,2371.0,58.0,50.0,47.0,41.0,3.0,379.0,1172.0,338.0,81.0,1459.0,Premier_League,2021_2022
275,Toulouse,29.0,38.0,15392.0,19236.0,80.0,275031.0,102525.0,6715.0,7800.0,86.0,6477.0,7508.0,86.0,1671.0,2815.0,59.0,33.0,35.0,34.0,-2.0,329.0,1259.0,297.0,59.0,1737.0,Ligue_1,2022_2023
275,Toulouse,26.0,34.0,13014.0,16304.0,79.0,231736.0,82869.0,5571.0,6480.0,86.0,5860.0,6824.0,85.0,1239.0,2195.0,56.0,30.0,26.0,30.0,3.0,301.0,1057.0,259.0,60.0,1405.0,Ligue_1,2023_2024
276,Trabzonspor,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,Trabzonspor,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,Trabzonspor,,,,,,,,,,,,,,,,,,,,,,,,,,,
