player_id,player,nation,position,club,age,year_of_birth,league,season,90s_played,yellow_cards,red_cards,second_yellow_card,fouls_committed,fouls_drawn,offsides,crosses,interceptions,tackles_won,penalty_kicks_won,penalty_kicks_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,%_of_aerials_won
2922,Elijah Adebayo,ENG,FW,Luton Town,25,1998,Premier_League,2023_2024,15.8,1,0,0,27.0,16.0,13.0,5.0,6.0,1.0,0.0,0.0,0,34.0,43.0,43.0,50.0
2923,Elikia Mbinga,NED,"MF,FW",Zwolle,20,2001,Eredivisie,2021_2022,1.2,1,0,0,8.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0,8.0,2.0,6.0,25.0
2924,Eliomar,BRA,MF,Javor Ivanjica,34,1988,Serbian_SuperLiga,2022_2023,8.7,6,0,0,,,,,,,,,0,,,,
2924,Eliomar,BRA,MF,Javor Ivanjica,35,1988,Serbian_SuperLiga,2023_2024,11.5,4,0,0,,,,,,,,,0,,,,
2925,Eliot Matazo,BEL,MF,Antwerp,21,2002,Belgian_Pro_League,2023_2024,0.2,0,0,0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0,3.0,0.0,1.0,0.0
2925,Eliot Matazo,BEL,MF,Monaco,19,2002,Ligue_1,2021_2022,8.8,1,0,0,16.0,8.0,0.0,1.0,13.0,7.0,0.0,0.0,0,45.0,8.0,13.0,38.1
2925,Eliot Matazo,BEL,MF,Monaco,20,2002,Ligue_1,2022_2023,13.1,2,0,0,18.0,12.0,0.0,2.0,15.0,12.0,0.0,1.0,0,86.0,10.0,18.0,35.7
2925,Eliot Matazo,BEL,MF,Monaco,21,2002,Ligue_1,2023_2024,1.1,2,0,0,5.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,0,12.0,4.0,1.0,80.0
2926,Elisha Owusu,GHA,MF,Gent,23,1997,Belgian_Pro_League,2021_2022,10.8,2,0,0,15.0,9.0,0.0,0.0,17.0,11.0,0.0,0.0,0,99.0,3.0,13.0,18.8
2926,Elisha Owusu,GHA,MF,Gent,24,1997,Belgian_Pro_League,2022_2023,5.1,2,0,0,15.0,11.0,0.0,2.0,12.0,6.0,0.0,1.0,0,54.0,3.0,4.0,42.9
2927,Elliot Anderson,ENG,"MF,FW",Newcastle Utd,19,2002,Premier_League,2022_2023,4.6,0,0,0,6.0,10.0,1.0,9.0,6.0,5.0,0.0,0.0,0,29.0,11.0,5.0,68.8
2927,Elliot Anderson,ENG,"MF,FW",Newcastle Utd,20,2002,Premier_League,2023_2024,11.4,3,0,0,21.0,19.0,1.0,19.0,8.0,18.0,0.0,0.0,0,60.0,19.0,12.0,61.3
2928,Ellis Simms,ENG,FW,Everton,20,2001,Premier_League,2021_2022,0.7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,2.0,4.0,33.3
