club_id,club,num_of_players,matches_played,starts,minutes,90s_played,goals_against,goals_against/90,shots_on_target_against,saves,save_percentage,wins,draws,losses,clean_sheets,clean_sheet_percentage,penalty_kicks_attempted,penalty_kicks_allowed,penalty_kicks_saved,penalty_kicks_missed,save%_(penalty_kicks),league,season
50,Botev Vratsa,2,32,32,"2,880",32,,,,,,6,10,16,8,25,5,5,0,0,0.0,Bulgarian_First_League,2021_2022
51,Bournemouth,3,38,38,"3,420",38,67.0,1.0,194.0,127.0,68.0,13,9,16,9,23,7,6,1,0,14.0,Premier_League,2023_2024
51,Bournemouth,2,38,38,"3,420",38,71.0,1.0,204.0,136.0,68.0,11,6,21,8,21,7,6,0,1,0.0,Premier_League,2022_2023
52,Braga,1,34,34,"3,060",34,50.0,1.0,127.0,79.0,65.0,21,5,8,6,17,7,6,0,1,0.0,Primeira_Liga,2023_2024
52,Braga,3,34,34,"3,060",34,31.0,0.0,118.0,88.0,75.0,19,8,7,16,47,2,2,0,0,0.0,Primeira_Liga,2021_2022
52,Braga,3,34,34,"3,058",34,30.0,0.0,113.0,83.0,77.0,25,3,6,17,50,5,4,0,1,0.0,Primeira_Liga,2022_2023
53,Brentford,2,38,38,"3,420",38,65.0,1.0,184.0,119.0,65.0,10,9,19,7,18,2,2,0,0,0.0,Premier_League,2023_2024
53,Brentford,1,38,38,"3,420",38,46.0,1.0,197.0,154.0,77.0,15,14,9,12,31,2,2,0,0,0.0,Premier_League,2022_2023
53,Brentford,3,38,38,"3,420",38,56.0,1.0,179.0,125.0,71.0,13,7,18,9,23,5,5,0,0,0.0,Premier_League,2021_2022
54,Brest,2,38,38,"3,420",38,54.0,1.0,179.0,125.0,73.0,11,11,16,9,23,9,7,2,0,22.0,Ligue_1,2022_2023
54,Brest,2,34,34,"3,057",34,34.0,1.0,133.0,98.0,75.0,17,10,7,15,44,3,2,1,0,33.0,Ligue_1,2023_2024
54,Brest,1,38,38,"3,420",38,57.0,1.0,170.0,115.0,68.0,13,9,16,7,18,4,4,0,0,0.0,Ligue_1,2021_2022
55,Brighton,2,38,38,"3,420",38,62.0,1.0,165.0,105.0,66.0,12,12,14,6,15,6,6,0,0,0.0,Premier_League,2023_2024
55,Brighton,2,38,38,"3,420",38,53.0,1.0,131.0,82.0,64.0,18,8,12,12,31,8,6,2,0,25.0,Premier_League,2022_2023
55,Brighton,2,38,38,"3,419",38,44.0,1.0,146.0,102.0,71.0,12,15,11,11,28,4,3,0,1,0.0,Premier_League,2021_2022
56,Bruk-Bet Termalica Nieciecza,3,34,34,"3,060",34,,,,,,7,11,16,5,14,9,6,3,0,33.0,Ekstraklasa,2021_2022
57,Brøndby,2,32,32,"2,880",32,52.0,1.0,156.0,108.0,67.0,12,8,12,7,21,4,2,2,0,50.0,Danish_Superliga,2022_2023
57,Brøndby,2,32,32,"2,880",32,41.0,1.0,139.0,105.0,75.0,13,9,10,6,18,7,7,0,0,0.0,Danish_Superliga,2021_2022
57,Brøndby,2,32,32,"2,880",32,35.0,1.0,127.0,96.0,74.0,18,8,6,12,37,4,2,2,0,50.0,Danish_Superliga,2023_2024
58,Burnley,2,38,38,"3,420",38,78.0,2.0,244.0,168.0,70.0,5,9,24,2,5,7,6,1,0,14.0,Premier_League,2023_2024
58,Burnley,2,38,38,"3,420",38,53.0,1.0,178.0,127.0,73.0,7,14,17,9,23,5,5,0,0,0.0,Premier_League,2021_2022
59,CSKA 1948,2,35,35,"3,150",35,,,,,,17,13,5,15,42,3,3,0,0,0.0,Bulgarian_First_League,2022_2023
59,CSKA 1948,3,36,36,"3,236",36,,,,,,13,13,10,14,38,3,3,0,0,0.0,Bulgarian_First_League,2023_2024
59,CSKA 1948,4,32,32,"2,880",32,,,,,,11,8,13,10,31,7,7,0,0,0.0,Bulgarian_First_League,2021_2022
60,CSKA Sofia,2,35,35,"3,150",35,,,,,,26,6,3,21,60,1,1,0,0,0.0,Bulgarian_First_League,2022_2023
60,CSKA Sofia,2,35,35,"3,144",35,,,,,,20,7,8,16,45,2,2,0,0,0.0,Bulgarian_First_League,2023_2024
60,CSKA Sofia,2,31,31,"2,700",31,,,,,,16,10,5,14,45,4,4,0,0,0.0,Bulgarian_First_League,2021_2022
61,Cagliari,3,38,38,"3,420",38,68.0,1.0,157.0,92.0,59.0,8,12,18,5,13,5,4,0,1,0.0,Serie_A,2023_2024
61,Cagliari,2,38,38,"3,420",38,68.0,1.0,185.0,115.0,67.0,6,12,20,3,7,10,7,3,0,30.0,Serie_A,2021_2022
62,Cambuur,3,34,34,"3,060",34,69.0,2.0,207.0,141.0,69.0,5,4,25,7,20,7,6,0,1,0.0,Eredivisie,2022_2023
62,Cambuur,2,34,34,"3,060",34,70.0,2.0,206.0,137.0,66.0,11,6,17,4,11,2,1,0,1,0.0,Eredivisie,2021_2022
63,Casa Pia,2,34,34,"3,058",34,50.0,1.0,159.0,109.0,69.0,10,8,16,10,29,1,1,0,0,0.0,Primeira_Liga,2023_2024
63,Casa Pia,3,34,34,"3,060",34,40.0,1.0,152.0,112.0,77.0,11,8,15,11,32,7,5,2,0,28.0,Primeira_Liga,2022_2023
64,Celta Vigo,1,38,38,"3,420",38,43.0,1.0,136.0,91.0,71.0,12,10,16,14,36,8,4,4,0,50.0,La_Liga,2021_2022
64,Celta Vigo,2,38,38,"3,420",38,53.0,1.0,134.0,80.0,64.0,11,10,17,10,26,8,5,2,1,28.0,La_Liga,2022_2023
64,Celta Vigo,2,38,38,"3,417",38,57.0,1.0,164.0,109.0,68.0,10,11,17,6,15,8,6,1,1,14.0,La_Liga,2023_2024
65,Cercle Brugge,1,30,30,"2,700",30,34.0,1.0,123.0,90.0,72.0,14,5,11,11,36,1,0,1,0,100.0,Belgian_Pro_League,2023_2024
65,Cercle Brugge,2,34,34,"3,060",34,46.0,1.0,131.0,86.0,66.0,12,9,13,8,23,2,2,0,0,0.0,Belgian_Pro_League,2021_2022
65,Cercle Brugge,2,34,34,"3,060",34,46.0,1.0,142.0,95.0,76.0,13,11,10,6,17,15,12,3,0,20.0,Belgian_Pro_League,2022_2023
66,Charleroi,3,30,30,"2,700",30,48.0,1.0,150.0,103.0,71.0,7,8,15,8,26,5,5,0,0,0.0,Belgian_Pro_League,2023_2024
66,Charleroi,2,34,34,"3,060",34,46.0,1.0,165.0,120.0,73.0,15,9,10,13,38,4,2,2,0,50.0,Belgian_Pro_League,2021_2022
66,Charleroi,2,34,34,"3,060",34,47.0,1.0,152.0,107.0,71.0,14,6,14,9,26,3,3,0,0,0.0,Belgian_Pro_League,2022_2023
67,Chaves,3,34,34,"3,060",34,72.0,2.0,184.0,110.0,64.0,5,8,21,4,11,8,6,2,0,25.0,Primeira_Liga,2023_2024
67,Chaves,3,34,34,"3,058",34,40.0,1.0,168.0,126.0,79.0,12,10,12,10,29,10,6,2,2,25.0,Primeira_Liga,2022_2023
68,Chelsea,2,38,38,"3,420",38,63.0,1.0,186.0,125.0,67.0,18,9,11,8,21,5,3,1,1,25.0,Premier_League,2023_2024
68,Chelsea,2,38,38,"3,420",38,47.0,1.0,159.0,115.0,71.0,11,11,16,10,26,1,1,0,0,0.0,Premier_League,2022_2023
68,Chelsea,2,38,38,"3,420",38,33.0,0.0,115.0,83.0,76.0,21,11,6,16,42,6,6,0,0,0.0,Premier_League,2021_2022
69,Cherno More,2,35,35,"3,150",35,,,,,,15,9,11,15,42,3,3,0,0,0.0,Bulgarian_First_League,2022_2023
69,Cherno More,2,35,35,"3,150",35,,,,,,22,9,4,16,45,4,4,0,0,0.0,Bulgarian_First_League,2023_2024
69,Cherno More,2,31,31,"2,790",31,,,,,,12,11,8,15,48,3,3,0,0,0.0,Bulgarian_First_League,2021_2022
70,Clermont Foot,2,38,38,"3,420",38,49.0,1.0,164.0,111.0,75.0,17,8,13,10,26,12,8,4,0,33.0,Ligue_1,2022_2023
70,Clermont Foot,2,34,34,"3,060",34,60.0,1.0,212.0,152.0,75.0,5,10,19,5,14,9,7,1,1,12.0,Ligue_1,2023_2024
70,Clermont Foot,2,38,38,"3,420",38,69.0,1.0,165.0,99.0,61.0,9,9,20,8,21,5,5,0,0,0.0,Ligue_1,2021_2022
71,Club Brugge,2,30,30,"2,700",30,29.0,0.0,98.0,69.0,70.0,14,9,7,10,33,3,0,0,3,,Belgian_Pro_League,2023_2024
71,Club Brugge,2,34,34,"3,060",34,37.0,1.0,110.0,74.0,69.0,21,9,4,12,35,3,3,0,0,0.0,Belgian_Pro_League,2021_2022
71,Club Brugge,1,34,34,"3,060",34,36.0,1.0,121.0,86.0,71.0,16,11,7,13,38,3,2,1,0,33.0,Belgian_Pro_League,2022_2023
72,Cracovia,2,34,34,"3,060",34,,,,,,12,10,12,10,29,4,4,0,0,0.0,Ekstraklasa,2021_2022
72,Cracovia,2,34,34,"3,060",34,0.0,0.0,,,,12,10,12,12,35,8,7,1,0,12.0,Ekstraklasa,2022_2023
72,Cracovia,2,34,34,"3,060",34,,,,,,8,15,11,10,29,8,7,1,0,12.0,Ekstraklasa,2023_2024
73,Cremonese,3,38,38,"3,420",38,69.0,1.0,225.0,157.0,71.0,5,12,21,6,15,5,5,0,0,0.0,Serie_A,2022_2023
