club_id,club,confederation,country,uefa_rating,uefa_season_ranking,overall_uefa_rating,overall_uefa_club_rank,season
106,Galatasaray,,,-1,-1,-1,-1,
106,Galatasaray,,,-1,-1,-1,-1,
106,Galatasaray,,,-1,-1,-1,-1,
107,Gaziantep FK,UEFA,Serbia,-1,-1,8,68,2021_2022
107,Gaziantep FK,UEFA,Serbia,2,65,8,68,2021_2022
107,Gaziantep FK,UEFA,Serbia,1,72,8,68,2022_2023
107,Gaziantep FK,UEFA,Serbia,2,66,8,68,2022_2023
107,Gaziantep FK,UEFA,Serbia,-1,-1,8,68,2023_2024
107,Gaziantep FK,UEFA,Serbia,2,63,8,68,2023_2024
108,Genk,UEFA,Belgium,4,54,11,63,2021_2022
108,Genk,UEFA,Belgium,-1,-1,11,63,2022_2023
108,Genk,UEFA,Belgium,7,43,11,63,2023_2024
109,Genoa,,,-1,-1,-1,-1,
109,Genoa,,,-1,-1,-1,-1,
110,Gent,UEFA,Belgium,11,36,32,40,2021_2022
110,Gent,UEFA,Belgium,11,36,32,40,2022_2023
110,Gent,UEFA,Belgium,10,35,32,40,2023_2024
111,Getafe,UEFA,Spain,-1,-1,0,102,2021_2022
111,Getafe,UEFA,Spain,-1,-1,0,102,2022_2023
111,Getafe,UEFA,Spain,-1,-1,0,102,2023_2024
112,Gil Vicente FC,UEFA,Portugal,-1,-1,2,90,2021_2022
112,Gil Vicente FC,UEFA,Portugal,2,57,2,90,2022_2023
112,Gil Vicente FC,UEFA,Portugal,-1,-1,2,90,2023_2024
113,Giresunspor,,,-1,-1,-1,-1,
113,Giresunspor,,,-1,-1,-1,-1,
114,Girona,UEFA,Spain,-1,-1,0,102,2022_2023
114,Girona,UEFA,Spain,-1,-1,0,102,2023_2024
115,Gladbach,UEFA,Germany,-1,-1,0,102,2021_2022
115,Gladbach,UEFA,Germany,-1,-1,0,102,2022_2023
115,Gladbach,UEFA,Germany,-1,-1,0,102,2023_2024
116,Go Ahead Eag,UEFA,Netherlands,-1,-1,0,102,2021_2022
116,Go Ahead Eag,UEFA,Netherlands,-1,-1,0,102,2022_2023
116,Go Ahead Eag,UEFA,Netherlands,-1,-1,0,102,2023_2024
117,Granada,UEFA,Spain,-1,-1,0,102,2021_2022
117,Granada,UEFA,Spain,-1,-1,0,102,2023_2024
