player_id,player,nation,position,club,age,year_of_birth,league,season,matches_played,starts,minutes,90s_played,goals_against,goals_against/90,shots_on_target_against,saves,save_percentage,wins,draws,losses,clean_sheets,clean_sheet_percentage,penalty_kicks_attempted,penalty_kicks_allowed,penalty_kicks_saved,penalty_kicks_missed,save%_(penalty_kicks)
5476,Jakub Jugas,CZE,DF,Cracovia,31,1992,Ekstraklasa,2023_2024,,,,,,,,,,,,,,,,,,,
5477,Jakub Jędrasik,POL,MF,Legia Warsaw,17,2005,Ekstraklasa,2022_2023,,,,,,,,,,,,,,,,,,,
5478,Jakub Kamiński,POL,MF,Lech Poznań,19,2002,Ekstraklasa,2021_2022,,,,,,,,,,,,,,,,,,,
5479,Jakub Kamiński,POL,"FW,DF",Wolfsburg,20,2002,Bundesliga,2022_2023,,,,,,,,,,,,,,,,,,,
5479,Jakub Kamiński,POL,"FW,MF",Wolfsburg,21,2002,Bundesliga,2023_2024,,,,,,,,,,,,,,,,,,,
5480,Jakub Kałuziński,POL,MF,Lechia Gdańsk,19,2002,Ekstraklasa,2022_2023,,,,,,,,,,,,,,,,,,,
5480,Jakub Kałuziński,POL,"MF,FW",Lechia Gdańsk,18,2002,Ekstraklasa,2021_2022,,,,,,,,,,,,,,,,,,,
5481,Jakub Kałuziński,POL,MF,Antalyaspor,20,2002,Super_Lig,2023_2024,,,,,,,,,,,,,,,,,,,
5482,Jakub Kiełb,POL,"DF,MF",Warta Poznań,30,1993,Ekstraklasa,2023_2024,,,,,,,,,,,,,,,,,,,
5482,Jakub Kiełb,POL,"MF,DF",Warta Poznań,28,1993,Ekstraklasa,2021_2022,,,,,,,,,,,,,,,,,,,
5482,Jakub Kiełb,POL,"MF,DF",Warta Poznań,29,1993,Ekstraklasa,2022_2023,,,,,,,,,,,,,,,,,,,
5483,Jakub Kisiel,POL,MF,Legia Warsaw,18,2003,Ekstraklasa,2021_2022,,,,,,,,,,,,,,,,,,,
5484,Jakub Kiwior,POL,DF,Spezia,22,2000,Serie_A,2022_2023,,,,,,,,,,,,,,,,,,,
5484,Jakub Kiwior,POL,MF,Spezia,21,2000,Serie_A,2021_2022,,,,,,,,,,,,,,,,,,,
5485,Jakub Kiwior,POL,DF,Arsenal,22,2000,Premier_League,2022_2023,,,,,,,,,,,,,,,,,,,
5485,Jakub Kiwior,POL,DF,Arsenal,23,2000,Premier_League,2023_2024,,,,,,,,,,,,,,,,,,,
5486,Jakub Konstantyn,POL,"FW,MF",Korona Kielce,21,2002,Ekstraklasa,2023_2024,,,,,,,,,,,,,,,,,,,
5486,Jakub Konstantyn,POL,MF,Korona Kielce,20,2002,Ekstraklasa,2022_2023,,,,,,,,,,,,,,,,,,,
