player_id,player,nation,position,club,age,year_of_birth,league,season,90s_played,yellow_cards,red_cards,second_yellow_card,fouls_committed,fouls_drawn,offsides,crosses,interceptions,tackles_won,penalty_kicks_won,penalty_kicks_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,%_of_aerials_won
2596,Daniel Opare,GHA,DF,R.F.C. Seraing,31,1990,Belgian_Pro_League,2022_2023,18.4,3,1,0,12.0,18.0,1.0,25.0,27.0,15.0,0.0,0.0,0,131.0,17.0,24.0,41.5
2596,Daniel Opare,GHA,"DF,MF",R.F.C. Seraing,30,1990,Belgian_Pro_League,2021_2022,8.6,0,0,0,9.0,19.0,1.0,24.0,10.0,8.0,0.0,0.0,0,32.0,9.0,10.0,47.4
2597,Daniel Pacheco,ESP,MF,Górnik Zabrze,30,1991,Ekstraklasa,2021_2022,2.2,0,0,0,,,,,,,,,0,,,,
2597,Daniel Pacheco,ESP,MF,Górnik Zabrze,32,1991,Ekstraklasa,2023_2024,20.0,5,1,0,,,,,,,,,0,,,,
2597,Daniel Pacheco,ESP,"MF,FW",Górnik Zabrze,31,1991,Ekstraklasa,2022_2023,19.4,7,0,0,,,,,,,,,0,,,,
2598,Daniel Parejo,ESP,MF,Villarreal,32,1989,La_Liga,2021_2022,30.0,3,0,0,16.0,56.0,0.0,143.0,29.0,29.0,0.0,0.0,0,192.0,16.0,18.0,47.1
2598,Daniel Parejo,ESP,MF,Villarreal,33,1989,La_Liga,2022_2023,36.5,6,0,0,30.0,75.0,0.0,144.0,29.0,40.0,0.0,1.0,0,257.0,17.0,21.0,44.7
2598,Daniel Parejo,ESP,MF,Villarreal,34,1989,La_Liga,2023_2024,28.7,4,0,0,18.0,51.0,0.0,57.0,21.0,30.0,0.0,0.0,0,173.0,24.0,10.0,70.6
2599,Daniel Peretz,ISR,GK,Bayern Munich,23,2000,Bundesliga,2023_2024,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,
2600,Daniel Perez,VEN,"FW,MF",Club Brugge,19,2002,Belgian_Pro_League,2021_2022,0.4,2,0,0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,2.0,2.0,6.0,25.0
2601,Daniel Pik,POL,DF,Radomiak Radom,23,2000,Ekstraklasa,2023_2024,1.8,1,0,0,,,,,,,,,0,,,,
2601,Daniel Pik,POL,"MF,DF",Radomiak Radom,22,2000,Ekstraklasa,2022_2023,7.9,1,0,0,,,,,,,,,0,,,,
2602,Daniel Podence,POR,"FW,MF",Wolves,25,1995,Premier_League,2021_2022,16.5,2,0,0,8.0,25.0,3.0,50.0,10.0,11.0,0.0,0.0,0,79.0,2.0,17.0,10.5
2602,Daniel Podence,POR,"FW,MF",Wolves,26,1995,Premier_League,2022_2023,19.7,5,0,0,26.0,23.0,4.0,56.0,7.0,17.0,0.0,0.0,0,87.0,6.0,12.0,33.3
2603,Daniel Podence,POR,"MF,FW",Olympiacos,27,1995,Super_League_Greece,2023_2024,22.1,7,1,1,,,,,,,,,0,,,,
2604,Daniel Santafe,ESP,MF,Asteras Tripoli,24,1997,Super_League_Greece,2021_2022,7.6,2,0,0,,,,,,,,,0,,,,
2604,Daniel Santafe,ESP,MF,Asteras Tripoli,25,1997,Super_League_Greece,2022_2023,6.9,3,0,0,,,,,,,,,0,,,,
2605,Daniel Schmidt,JPN,GK,Gent,31,1992,Belgian_Pro_League,2023_2024,8.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9.0,1.0,0.0,100.0
2605,Daniel Schmidt,JPN,GK,Gent,31,1992,Belgian_Pro_League,2023_2024,4.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8.0,3.0,0.0,100.0
2605,Daniel Schmidt,JPN,GK,Sint-Truiden,29,1992,Belgian_Pro_League,2021_2022,31.0,3,0,0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0,51.0,7.0,2.0,77.8
2605,Daniel Schmidt,JPN,GK,Sint-Truiden,30,1992,Belgian_Pro_League,2022_2023,30.9,0,0,0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0,36.0,14.0,1.0,93.3
2605,Daniel Schmidt,JPN,GK,Sint-Truiden,31,1992,Belgian_Pro_League,2023_2024,8.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9.0,1.0,0.0,100.0
2605,Daniel Schmidt,JPN,GK,Sint-Truiden,31,1992,Belgian_Pro_League,2023_2024,4.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8.0,3.0,0.0,100.0
2606,Daniel Stenderup,DEN,DF,Hvidovre IF,34,1989,Danish_Superliga,2023_2024,20.1,0,0,0,3.0,9.0,0.0,2.0,46.0,25.0,,,0,,,,
2607,Daniel Sundgren,SWE,DF,Aris,30,1990,Super_League_Greece,2021_2022,23.1,4,0,0,,,,,,,,,0,,,,
2608,Daniel Svensson,SWE,"DF,MF",Nordsjælland,19,2002,Danish_Superliga,2021_2022,11.4,1,0,0,11.0,9.0,1.0,21.0,14.0,11.0,,,0,,,,
2608,Daniel Svensson,SWE,"DF,MF",Nordsjælland,20,2002,Danish_Superliga,2022_2023,17.1,2,0,0,17.0,23.0,1.0,36.0,14.0,20.0,,,0,,,,
2608,Daniel Svensson,SWE,"MF,DF",Nordsjælland,21,2002,Danish_Superliga,2023_2024,29.8,1,0,0,23.0,28.0,1.0,181.0,27.0,28.0,,,0,,,,
2609,Daniel Szczepan,POL,FW,Ruch Chorzów,28,1995,Ekstraklasa,2023_2024,27.5,8,1,1,,,,,,,,,0,,,,
2610,Daniel Szelągowski,POL,MF,RKS Raków,19,2002,Ekstraklasa,2022_2023,0.5,0,0,0,,,,,,,,,0,,,,
2610,Daniel Szelągowski,POL,MF,Warta Poznań,18,2002,Ekstraklasa,2021_2022,2.0,2,0,0,,,,,,,,,0,,,,
2610,Daniel Szelągowski,POL,MF,Warta Poznań,18,2002,Ekstraklasa,2021_2022,3.1,0,0,0,,,,,,,,,0,,,,
2610,Daniel Szelągowski,POL,"MF,FW",RKS Raków,18,2002,Ekstraklasa,2021_2022,2.0,2,0,0,,,,,,,,,0,,,,
2610,Daniel Szelągowski,POL,"MF,FW",RKS Raków,18,2002,Ekstraklasa,2021_2022,3.1,0,0,0,,,,,,,,,0,,,,
2611,Daniel Tiefenbach,HUN,MF,SC Austria Lustenau,22,1999,Austrian_Bundesliga,2022_2023,8.1,1,0,0,8.0,7.0,0.0,5.0,8.0,15.0,,,0,,,,
2611,Daniel Tiefenbach,HUN,"MF,DF",SC Austria Lustenau,23,1999,Austrian_Bundesliga,2023_2024,19.9,3,0,0,20.0,22.0,1.0,12.0,37.0,27.0,,,0,,,,
2612,Daniel Villahermosa,ESP,MF,Espanyol,20,2001,La_Liga,2021_2022,0.3,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,
2613,Daniel Vivian,ESP,DF,Athletic Club,22,1999,La_Liga,2021_2022,22.1,2,0,0,19.0,20.0,1.0,3.0,26.0,21.0,0.0,0.0,0,161.0,30.0,53.0,36.1
2613,Daniel Vivian,ESP,DF,Athletic Club,23,1999,La_Liga,2022_2023,26.4,7,1,0,38.0,21.0,2.0,6.0,24.0,32.0,0.0,0.0,0,214.0,40.0,55.0,42.1
2613,Daniel Vivian,ESP,DF,Athletic Club,24,1999,La_Liga,2023_2024,32.0,6,0,0,37.0,26.0,1.0,4.0,31.0,28.0,0.0,0.0,0,213.0,34.0,46.0,42.5
2614,Daniel Wass,DEN,"DF,FW",Atlético Madrid,32,1989,La_Liga,2021_2022,0.5,1,0,0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0,4.0,0.0,2.0,0.0
2614,Daniel Wass,DEN,"DF,FW",Atlético Madrid,32,1989,La_Liga,2021_2022,17.6,6,0,0,29.0,18.0,0.0,35.0,13.0,13.0,0.0,0.0,0,93.0,28.0,21.0,57.1
2614,Daniel Wass,DEN,MF,Valencia,32,1989,La_Liga,2021_2022,0.5,1,0,0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0,4.0,0.0,2.0,0.0
2614,Daniel Wass,DEN,MF,Valencia,32,1989,La_Liga,2021_2022,17.6,6,0,0,29.0,18.0,0.0,35.0,13.0,13.0,0.0,0.0,0,93.0,28.0,21.0,57.1
2615,Daniel Wass,DEN,"DF,MF",Brøndby,33,1989,Danish_Superliga,2022_2023,21.9,6,1,0,29.0,38.0,1.0,205.0,24.0,35.0,,,0,,,,
2615,Daniel Wass,DEN,MF,Brøndby,34,1989,Danish_Superliga,2023_2024,28.1,7,0,0,26.0,50.0,3.0,129.0,29.0,38.0,,,0,,,,
2616,Daniel Łukasik,POL,MF,Radomiak Radom,30,1991,Ekstraklasa,2021_2022,9.7,3,0,0,,,,,,,,,0,,,,
2616,Daniel Łukasik,POL,MF,Radomiak Radom,31,1991,Ekstraklasa,2022_2023,2.7,0,0,0,,,,,,,,,0,,,,
2616,Daniel Łukasik,POL,MF,Śląsk Wrocław,32,1991,Ekstraklasa,2023_2024,1.3,0,0,0,,,,,,,,,0,,,,
2617,Daniele Baselli,ITA,MF,Cagliari,29,1992,Serie_A,2021_2022,3.2,1,0,0,2.0,3.0,0.0,17.0,2.0,5.0,0.0,0.0,0,24.0,2.0,3.0,40.0
2617,Daniele Baselli,ITA,MF,Cagliari,29,1992,Serie_A,2021_2022,1.7,0,0,0,3.0,4.0,1.0,5.0,1.0,3.0,0.0,0.0,0,11.0,2.0,6.0,25.0
2617,Daniele Baselli,ITA,"MF,FW",Torino,29,1992,Serie_A,2021_2022,3.2,1,0,0,2.0,3.0,0.0,17.0,2.0,5.0,0.0,0.0,0,24.0,2.0,3.0,40.0
2617,Daniele Baselli,ITA,"MF,FW",Torino,29,1992,Serie_A,2021_2022,1.7,0,0,0,3.0,4.0,1.0,5.0,1.0,3.0,0.0,0.0,0,11.0,2.0,6.0,25.0
2618,Daniele Montevago,ITA,FW,Sampdoria,19,2003,Serie_A,2022_2023,2.6,1,0,0,8.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0,5.0,14.0,23.0,37.8
2619,Daniele Padelli,ITA,GK,Udinese,35,1985,Serie_A,2021_2022,3.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.0,1.0,0.0,100.0
2620,Daniele Rugani,ITA,DF,Juventus,27,1994,Serie_A,2021_2022,9.8,2,0,0,11.0,1.0,0.0,0.0,11.0,5.0,0.0,0.0,0,43.0,16.0,14.0,53.3
2620,Daniele Rugani,ITA,DF,Juventus,28,1994,Serie_A,2022_2023,6.3,0,0,0,5.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0,16.0,11.0,9.0,55.0
2620,Daniele Rugani,ITA,DF,Juventus,29,1994,Serie_A,2023_2024,13.2,2,0,0,15.0,3.0,0.0,1.0,9.0,9.0,0.0,0.0,0,44.0,25.0,24.0,51.0
2621,Daniele Sommariva,ITA,GK,Genoa,26,1997,Serie_A,2023_2024,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,100.0
2622,Daniele Verde,ITA,"FW,MF",Spezia,25,1996,Serie_A,2021_2022,21.7,2,0,0,3.0,15.0,12.0,141.0,18.0,4.0,0.0,0.0,0,102.0,1.0,0.0,100.0
2622,Daniele Verde,ITA,"FW,MF",Spezia,26,1996,Serie_A,2022_2023,11.1,1,0,0,2.0,15.0,3.0,68.0,8.0,4.0,0.0,0.0,0,50.0,0.0,2.0,0.0
2623,Danijel Aleksić,SRB,MF,Başakşehir,30,1991,Super_Lig,2021_2022,18.2,2,0,0,20.0,9.0,4.0,37.0,8.0,12.0,,,0,,,,
2623,Danijel Aleksić,SRB,MF,Başakşehir,31,1991,Super_Lig,2022_2023,18.2,5,0,0,20.0,12.0,4.0,26.0,2.0,11.0,,,0,,,,
2623,Danijel Aleksić,SRB,MF,Başakşehir,32,1991,Super_Lig,2023_2024,12.9,1,0,0,11.0,9.0,3.0,15.0,8.0,8.0,,,0,,,,
2624,Danijel Kolarić,SRB,MF,Spartak Subotic,18,2005,Serbian_SuperLiga,2023_2024,0.5,0,0,0,,,,,,,,,0,,,,
2625,Danijel Loncar,CRO,DF,Pogoń Szczecin,25,1997,Ekstraklasa,2022_2023,5.7,2,0,0,,,,,,,,,0,,,,
2625,Danijel Loncar,CRO,DF,Pogoń Szczecin,26,1997,Ekstraklasa,2023_2024,8.0,1,0,0,,,,,,,,,0,,,,
2626,Danijel Petković,MNE,GK,Angers,28,1993,Ligue_1,2021_2022,15.0,1,0,0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0,14.0,4.0,0.0,100.0
2627,Danilho Doekhi,NED,DF,Union Berlin,24,1998,Bundesliga,2022_2023,24.6,0,0,0,20.0,14.0,0.0,10.0,29.0,23.0,1.0,1.0,0,103.0,61.0,49.0,55.5
2627,Danilho Doekhi,NED,DF,Union Berlin,25,1998,Bundesliga,2023_2024,24.0,2,0,0,13.0,20.0,0.0,4.0,38.0,23.0,1.0,0.0,0,68.0,53.0,42.0,55.8
2628,Danilho Doekhi,NED,DF,Vitesse,23,1998,Eredivisie,2021_2022,28.9,4,1,1,25.0,16.0,0.0,6.0,39.0,37.0,0.0,0.0,0,179.0,128.0,50.0,71.9
2629,Danilo,BRA,DF,Juventus,31,1991,Serie_A,2022_2023,35.4,5,0,0,33.0,17.0,0.0,18.0,47.0,62.0,0.0,2.0,0,196.0,53.0,38.0,58.2
2629,Danilo,BRA,DF,Juventus,32,1991,Serie_A,2023_2024,27.2,7,0,0,26.0,14.0,1.0,18.0,37.0,36.0,0.0,0.0,0,142.0,37.0,27.0,57.8
2629,Danilo,BRA,"DF,MF",Juventus,30,1991,Serie_A,2021_2022,21.0,6,0,0,19.0,11.0,0.0,13.0,32.0,26.0,0.0,0.0,0,121.0,37.0,24.0,60.7
2630,Danilo,BRA,MF,Nott'ham Forest,21,2001,Premier_League,2022_2023,10.8,1,0,0,4.0,3.0,2.0,3.0,9.0,7.0,0.0,0.0,0,60.0,4.0,14.0,22.2
2630,Danilo,BRA,MF,Nott'ham Forest,22,2001,Premier_League,2023_2024,19.9,4,0,0,13.0,9.0,2.0,26.0,35.0,18.0,0.0,1.0,0,118.0,14.0,10.0,58.3
2631,Danilo,BRA,FW,Feyenoord,23,1999,Eredivisie,2022_2023,14.8,0,0,0,9.0,5.0,6.0,1.0,8.0,2.0,0.0,0.0,0,68.0,22.0,34.0,39.3
2631,Danilo,BRA,"FW,MF",Ajax,22,1999,Eredivisie,2021_2022,3.1,0,0,0,1.0,2.0,0.0,1.0,2.0,1.0,1.0,0.0,0,17.0,5.0,12.0,29.4
2632,Danilo Bacanović,SRB,MF,Novi Pazar,20,2000,Serbian_SuperLiga,2021_2022,2.9,0,0,0,,,,,,,,,0,,,,
2633,Danilo Barbosa,BRA,DF,Nice,25,1996,Ligue_1,2021_2022,1.0,0,0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0,2.0,4.0,5.0,44.4
2634,Danilo Cataldi,ITA,MF,Lazio,26,1994,Serie_A,2021_2022,19.0,8,0,0,18.0,19.0,0.0,66.0,17.0,17.0,0.0,1.0,0,165.0,6.0,7.0,46.2
2634,Danilo Cataldi,ITA,MF,Lazio,27,1994,Serie_A,2022_2023,21.3,5,0,0,12.0,20.0,0.0,44.0,24.0,16.0,0.0,0.0,0,159.0,1.0,5.0,16.7
2634,Danilo Cataldi,ITA,MF,Lazio,28,1994,Serie_A,2023_2024,15.1,8,0,0,17.0,8.0,0.0,31.0,17.0,12.0,0.0,0.0,0,105.0,6.0,4.0,60.0
2635,Danilo D'Ambrosio,ITA,DF,Inter,32,1988,Serie_A,2021_2022,11.1,2,0,0,13.0,5.0,1.0,7.0,8.0,15.0,0.0,0.0,0,63.0,18.0,16.0,52.9
2635,Danilo D'Ambrosio,ITA,DF,Inter,33,1988,Serie_A,2022_2023,8.1,3,1,0,16.0,11.0,0.0,9.0,10.0,17.0,1.0,0.0,0,39.0,8.0,9.0,47.1
2635,Danilo D'Ambrosio,ITA,DF,Monza,34,1988,Serie_A,2023_2024,17.1,5,1,1,18.0,13.0,1.0,7.0,14.0,34.0,0.0,1.0,0,77.0,27.0,20.0,57.4
2636,Danilo Miladinović,SRB,MF,FK Mladost Novi Sad,20,2002,Serbian_SuperLiga,2022_2023,1.0,0,0,0,,,,,,,,,0,,,,
2636,Danilo Miladinović,SRB,MF,Proleter NS,19,2002,Serbian_SuperLiga,2021_2022,2.6,1,0,0,,,,,,,,,0,,,,
2637,Danilo Milenkovic,SRB,FW,Proleter NS,26,1994,Serbian_SuperLiga,2021_2022,0.4,0,0,0,,,,,,,,,0,,,,
2638,Danilo Mitrović,SRB,DF,Blau-Weiß Linz,22,2001,Austrian_Bundesliga,2023_2024,10.3,3,0,0,13.0,12.0,0.0,3.0,16.0,16.0,,,0,,,,
2639,Danilo Moreno Asprilla,COL,"FW,MF",CSKA Sofia,34,1989,Bulgarian_First_League,2023_2024,5.3,4,0,0,,,,,,,,,0,,,,
