Player,Nation,Position,Squad,Age,Year of birth,90s Played,Passes Attempted,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Through Balls,Switches,Crosses,Throw-ins Taken,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Passes Completed,Passes Offside,Passes Blocked,Matches
Ian Maatsen,nl NED,DF,de Dortmund,21,2002,7.0,385,329,56,9,1,2,17,47,0,0,0,0,316,0,13,Matches
Deiver Machado,co COL,DF,fr Lens,29,1993,4.1,154,114,40,0,0,0,8,40,0,0,0,0,111,0,4,Matches
Daizen Maeda,jp JPN,FW,sct Celtic,25,1997,3.1,78,73,4,1,0,0,4,2,0,0,0,0,60,1,3,Matches
Gabriel Magalhães,br BRA,DF,eng Arsenal,25,1997,10.3,706,674,31,11,0,2,0,1,0,0,0,0,641,1,6,Matches
Harry Maguire,eng ENG,DF,eng Manchester Utd,30,1993,3.4,221,209,12,8,0,2,0,0,0,0,0,0,189,0,3,Matches
Jon Magunacelaya,es ESP,MF,es Real Sociedad,23,2000,0.2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,1,Matches
Mike Maignan,fr FRA,GK,it Milan,28,1995,5.9,183,133,49,12,0,1,0,0,0,0,0,0,146,1,0,Matches
Kobbie Mainoo,eng ENG,MF,eng Manchester Utd,18,2005,0.5,21,20,1,1,0,1,1,0,0,0,0,0,19,0,0,Matches

Donyell Malen,nl NED,FW,de Dortmund,24,1999,5.1,140,134,5,0,2,0,5,2,0,0,0,0,105,1,8,Matches
Darian Males,ch SUI,MF,ch Young Boys,22,2001,1.9,47,42,5,2,0,0,5,0,3,3,0,0,33,0,0,Matches
Reinildo Mandava,mz MOZ,DF,es Atlético Madrid,29,1994,0.3,16,15,1,0,0,0,1,1,0,0,0,0,12,0,1,Matches
José María Giménez,uy URU,DF,es Atlético Madrid,28,1995,5.3,255,244,10,7,0,8,0,0,0,0,0,0,224,1,2,Matches
Mariano,do DOM,"MF,FW",es Sevilla,29,1993,0.7,14,14,0,0,0,0,0,0,0,0,0,0,7,0,1,Matches
Adrián Marín,es ESP,DF,pt Braga,26,1997,0.3,12,11,1,0,0,0,1,1,0,0,0,0,8,0,1,Matches
João Mário,pt POR,"FW,MF",pt Benfica,30,1993,3.6,160,153,7,3,0,1,5,1,2,2,0,0,139,0,5,Matches
João Mário Lopes,pt POR,DF,pt Porto,23,2000,6.6,273,220,53,6,0,5,16,47,0,0,0,0,217,0,5,Matches
Marquinhos,br BRA,DF,fr Paris S-G,29,1994,10.0,807,773,32,23,1,3,1,8,0,0,0,0,732,2,1,Matches
Anthony Martial,fr FRA,"FW,DF",eng Manchester Utd,27,1995,0.6,15,14,1,0,0,0,0,0,0,0,0,0,13,0,0,Matches
Gabriel Martinelli,br BRA,FW,eng Arsenal,22,2001,5.3,169,155,14,2,0,1,19,5,7,6,0,0,129,0,4,Matches
Iñigo Martínez,es ESP,DF,es Barcelona,32,1991,3.5,209,191,18,12,1,6,2,1,0,0,0,0,180,0,0,Matches
Lautaro Martínez,ar ARG,FW,it Inter,25,1997,5.9,109,102,7,0,1,1,2,0,0,0,0,0,81,0,4,Matches
Lisandro Martínez,ar ARG,DF,eng Manchester Utd,25,1998,1.0,47,43,4,4,0,0,0,0,0,0,0,0,46,0,0,Matches
Toni Martínez,es ESP,FW,pt Porto,26,1997,0.1,5,5,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
Adam Marušić,me MNE,DF,it Lazio,30,1992,5.7,319,271,48,3,0,0,6,45,0,0,0,0,268,0,11,Matches
Matheus,br BRA,GK,pt Braga,31,1992,6.0,213,150,63,23,0,1,0,0,0,0,0,0,161,0,1,Matches
Magnus Mattsson,dk DEN,MF,dk FC Copenhagen,24,1999,1.3,27,19,8,1,0,0,7,0,5,3,2,0,16,0,2,Matches
Mykola Matviyenko,ua UKR,DF,ua Shakhtar,27,1996,5.0,270,239,29,13,0,4,2,12,0,0,0,0,228,2,4,Matches
Eric Maxim Choupo-Moting,cm CMR,"FW,MF",de Bayern Munich,34,1989,0.5,17,15,2,0,0,0,0,0,0,0,0,0,14,0,1,Matches
Noussair Mazraoui,ma MAR,DF,de Bayern Munich,25,1997,7.2,426,380,46,5,2,0,8,41,0,0,0,0,371,0,5,Matches
Kylian Mbappé,fr FRA,FW,fr Paris S-G,24,1998,12.0,395,369,24,3,4,4,22,6,8,0,0,0,318,2,15,Matches
Callum McGregor,sct SCO,MF,sct Celtic,30,1993,5.8,335,316,18,16,2,1,2,2,0,0,0,0,297,1,4,Matches
Scott McKenna,sct SCO,DF,dk FC Copenhagen,26,1996,2.0,78,77,1,1,0,1,1,0,0,0,0,0,69,0,0,Matches
Scott McTominay,sct SCO,MF,eng Manchester Utd,26,1996,4.2,131,129,1,1,0,1,1,0,0,0,0,0,116,1,1,Matches

Facundo Medina,ar ARG,DF,fr Lens,24,1999,5.5,276,251,21,16,0,1,4,4,0,0,0,0,231,4,7,Matches
Hannibal Mejbri,tn TUN,"MF,FW",eng Manchester Utd,20,2003,0.7,26,26,0,0,0,0,2,0,0,0,0,0,19,0,2,Matches
Birger Meling,no NOR,DF,dk FC Copenhagen,28,1994,2.1,113,84,29,4,0,1,5,25,0,0,0,0,89,0,2,Matches
Memphis,nl NED,FW,es Atlético Madrid,29,1994,1.2,50,48,1,0,1,0,0,0,0,0,0,0,42,1,1,Matches
Joe Mendes,se SWE,DF,pt Braga,20,2002,2.3,144,131,13,2,0,0,22,11,0,0,0,0,109,0,2,Matches
Nuno Mendes,pt POR,DF,fr Paris S-G,21,2002,4.7,339,292,46,5,1,1,11,41,0,0,0,0,284,1,7,Matches
Brais Méndez,es ESP,MF,es Real Sociedad,26,1997,5.8,262,243,19,16,2,3,10,0,3,0,2,0,208,0,7,Matches
Ferland Mendy,fr FRA,DF,es Real Madrid,28,1995,9.7,460,408,52,5,0,1,5,47,0,0,0,0,419,0,3,Matches
Nampalys Mendy,sn SEN,MF,fr Lens,31,1992,4.1,157,151,4,3,0,0,5,1,0,0,0,0,126,2,3,Matches
Alex Meret,it ITA,GK,it Napoli,26,1997,8.0,265,188,76,11,0,1,0,0,0,0,0,0,235,1,0,Matches
Mikel Merino,es ESP,MF,es Real Sociedad,27,1996,7.0,328,322,4,4,0,1,5,0,0,0,0,0,256,2,4,Matches
Dries Mertens,be BEL,MF,tr Galatasaray,36,1987,2.2,85,75,9,2,2,1,18,2,5,0,4,0,55,1,7,Matches
Alexander Meyer,de GER,GK,de Dortmund,32,1991,1.0,50,40,10,2,0,0,0,0,0,0,0,0,43,0,0,Matches
Srđan Mijailović,rs SRB,"DF,MF",rs Red Star,29,1993,5.4,209,179,30,4,0,0,13,25,0,0,0,0,149,0,7,Matches
Jovan Mijatović,rs SRB,"FW,MF",rs Red Star,18,2005,1.3,19,15,4,0,0,0,0,0,0,0,0,0,18,0,0,Matches
Antoni Milambo,nl NED,"DF,MF",nl Feyenoord,18,2005,0.4,26,26,0,0,0,0,1,0,0,0,0,0,24,0,0,Matches
Lewis Miley,eng ENG,MF,eng Newcastle Utd,17,2006,1.9,70,69,1,0,0,0,4,0,0,0,0,0,54,0,2,Matches
Éder Militão,br BRA,DF,es Real Madrid,25,1998,0.1,5,4,1,0,0,0,0,1,0,0,0,0,4,0,0,Matches
Kim Min-jae,kr KOR,DF,de Bayern Munich,26,1996,7.3,609,583,23,5,0,5,0,5,0,0,0,0,563,3,4,Matches
Yankuba Minteh,gm GAM,FW,nl Feyenoord,19,2004,2.2,62,54,8,0,0,0,8,6,2,2,0,0,42,0,2,Matches
Rafa Mir,es ESP,FW,es Sevilla,26,1997,0.4,6,5,1,0,0,0,0,0,0,0,0,0,1,0,0,Matches
Stefan Mitrović,rs SRB,"DF,FW",rs Red Star,20,2002,2.3,53,43,10,0,1,0,1,10,0,0,0,0,37,0,2,Matches
Henrikh Mkhitaryan,am ARM,MF,it Inter,34,1989,5.7,257,253,3,3,0,5,2,0,0,0,0,0,217,1,6,Matches
Luka Modrić,hr CRO,MF,es Real Madrid,37,1985,4.7,428,385,42,11,1,5,32,4,27,8,14,0,373,1,2,Matches
Nahuel Molina,ar ARG,DF,es Atlético Madrid,25,1998,8.7,627,548,78,4,0,6,35,70,4,1,3,0,464,1,21,Matches

Joel Monteiro,ch SUI,"FW,MF",ch Young Boys,23,1999,2.9,54,52,0,0,1,1,1,0,0,0,0,0,39,2,3,Matches
Álvaro Morata,es ESP,FW,es Atlético Madrid,30,1992,7.4,158,150,7,0,0,2,3,0,0,0,0,0,115,1,6,Matches
Morato,br BRA,DF,pt Benfica,22,2001,4.8,296,271,24,1,0,0,4,23,0,0,0,0,236,1,10,Matches
Leandro Morgalla,de GER,DF,at RB Salzburg,18,2004,0.5,9,6,3,0,0,0,0,3,0,0,0,0,6,0,0,Matches
Youssoufa Moukoko,de GER,FW,de Dortmund,18,2004,0.2,11,11,0,0,0,0,1,0,0,0,0,0,8,0,0,Matches
Mason Mount,eng ENG,"MF,FW",eng Manchester Utd,24,1999,1.0,38,35,2,0,1,2,0,0,0,0,0,0,32,1,1,Matches
João Moutinho,pt POR,MF,pt Braga,36,1986,3.2,274,265,9,5,1,2,6,0,4,0,3,0,252,0,2,Matches
Arbnor Muja,al ALB,FW,be Antwerp,24,1998,4.0,121,117,4,0,0,0,14,2,1,0,0,0,84,0,9,Matches
Nordi Mukiele,fr FRA,DF,fr Paris S-G,25,1997,0.6,40,38,2,1,0,1,0,1,0,0,0,0,36,0,0,Matches
Thomas Müller,de GER,MF,de Bayern Munich,33,1989,4.7,177,172,5,0,2,2,11,3,0,0,0,0,137,0,7,Matches
Aihen Muñoz,es ESP,DF,es Real Sociedad,25,1997,5.3,334,277,57,1,0,2,11,56,0,0,0,0,266,0,7,Matches
Jacob Murphy,eng ENG,FW,eng Newcastle Utd,28,1995,1.0,24,24,0,0,1,0,3,0,0,0,0,0,18,0,2,Matches
Petar Musa,hr CRO,"FW,MF",pt Benfica,25,1998,2.6,60,59,1,0,1,0,1,0,0,0,0,0,41,0,4,Matches
Yunus Musah,us USA,MF,it Milan,20,2002,3.9,111,109,2,0,0,0,5,2,0,0,0,0,89,0,7,Matches
Jamal Musiala,de GER,"MF,FW",de Bayern Munich,20,2003,9.7,358,350,8,0,4,1,3,2,0,0,0,0,313,0,12,Matches
Fernando Muslera,uy URU,GK,tr Galatasaray,37,1986,6.0,242,189,52,15,0,1,0,0,0,0,0,0,196,1,0,Matches
Almoatasem Al Musrati,ly LBY,MF,pt Braga,27,1996,3.4,294,286,7,7,1,6,1,0,0,0,0,0,260,1,3,Matches
Nacho,es ESP,DF,es Real Madrid,33,1990,10.9,661,620,40,21,0,2,0,0,0,0,0,0,625,1,2,Matches
Natan,br BRA,DF,it Napoli,22,2001,5.0,346,329,17,4,0,1,4,11,0,0,0,0,295,0,1,Matches
Fran Navarro,es ESP,FW,pt Porto,25,1998,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
Jesús Navas,es ESP,DF,es Sevilla,37,1985,2.4,126,106,20,1,0,3,19,19,0,0,0,0,83,0,7,Matches
Yehor Nazaryna,ua UKR,MF,ua Shakhtar,26,1997,2.3,103,102,0,0,0,0,1,0,0,0,0,0,89,1,0,Matches
Cherif Ndiaye,sn SEN,FW,rs Red Star,27,1996,4.0,78,65,13,0,2,0,0,2,0,0,0,0,59,0,3,Matches
Tanguy Ndombele,fr FRA,MF,tr Galatasaray,26,1996,1.0,41,39,2,2,0,0,0,0,0,0,0,0,38,0,1,Matches
Kosta Nedeljković,rs SRB,DF,rs Red Star,17,2005,2.6,114,90,24,2,0,0,6,22,0,0,0,0,86,0,2,Matches

Reiss Nelson,eng ENG,FW,eng Arsenal,23,1999,2.0,91,86,5,0,0,0,5,0,5,2,2,0,87,0,2,Matches
Victor Nelsson,dk DEN,DF,tr Galatasaray,24,1998,1.1,92,89,3,3,0,0,0,0,0,0,0,0,80,0,1,Matches
David Neres,br BRA,FW,pt Benfica,26,1997,2.0,64,59,4,0,0,0,6,0,4,1,0,0,50,1,2,Matches
Manuel Neuer,de GER,GK,de Bayern Munich,37,1986,9.0,346,302,44,13,0,1,0,0,0,0,0,0,297,0,0,Matches
João Neves,pt POR,MF,pt Benfica,18,2004,6.0,360,334,24,15,1,1,6,4,3,3,0,0,289,2,2,Matches
Newerton,br BRA,"MF,FW",ua Shakhtar,18,2005,2.4,48,47,1,0,1,0,3,1,0,0,0,0,35,0,2,Matches
Cyril Ngonge,be BEL,FW,it Napoli,23,2000,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Sikou Niakaté,ml MLI,DF,pt Braga,24,1999,4.3,244,235,9,8,0,0,0,1,0,0,0,0,214,0,1,Matches
Tanguy Nianzou,fr FRA,DF,es Sevilla,21,2002,0.4,10,8,2,0,0,0,0,2,0,0,0,0,8,0,0,Matches
Cheikh Niasse,sn SEN,MF,ch Young Boys,23,2000,5.9,235,225,9,9,1,3,3,0,0,0,0,0,192,1,5,Matches
Bart Nieuwkoop,nl NED,DF,nl Feyenoord,27,1996,0.9,45,37,8,0,0,0,2,8,0,0,0,0,38,0,0,Matches
Saúl Ñíguez,es ESP,MF,es Atlético Madrid,28,1994,4.8,220,217,2,0,0,0,4,1,0,0,0,0,176,1,6,Matches
Eddie Nketiah,eng ENG,FW,eng Arsenal,24,1999,1.6,42,40,2,0,0,0,1,0,0,0,0,0,34,0,2,Matches
Felix Nmecha,de GER,MF,de Dortmund,22,2000,3.9,120,118,1,1,0,3,1,0,0,0,0,0,89,1,1,Matches
Jean-Pierre Nsame,cm CMR,FW,ch Young Boys,30,1993,1.8,43,41,2,0,0,1,1,0,0,0,0,0,25,0,0,Matches
Matheus Nunes,pt POR,"MF,FW",eng Manchester City,24,1998,4.7,323,306,16,4,5,0,10,3,7,0,4,1,294,1,3,Matches
Ørjan Nyland,no NOR,GK,es Sevilla,32,1990,2.0,83,56,27,8,0,0,0,0,0,0,0,0,64,0,0,Matches
Matt O'Riley,dk DEN,MF,sct Celtic,22,2000,5.4,230,191,38,8,3,1,14,2,13,4,4,1,178,1,7,Matches
Armando Obispo,nl NED,DF,nl PSV Eindhoven,24,1999,1.0,69,64,5,2,0,1,0,0,0,0,0,0,60,0,0,Matches
Jan Oblak,si SVN,GK,es Atlético Madrid,30,1993,10.3,279,198,80,16,0,0,0,0,0,0,0,0,202,1,0,Matches
Lucas Ocampos,ar ARG,FW,es Sevilla,29,1994,3.8,132,122,10,1,1,0,9,9,0,0,0,0,84,0,8,Matches
Álvaro Odriozola,es ESP,"DF,FW",es Real Sociedad,27,1995,1.1,60,46,14,1,0,0,2,13,0,0,0,0,53,0,5,Matches
Noah Okafor,ch SUI,FW,it Milan,23,2000,0.4,6,6,0,0,0,0,0,0,0,0,0,0,4,0,0,Matches
Olasagasti,es ESP,MF,es Real Sociedad,22,2000,0.1,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches
Peter Olayinka,ng NGA,"DF,FW",rs Red Star,27,1995,1.9,52,46,6,0,0,0,4,6,0,0,0,0,30,0,3,Matches

Sérgio Oliveira,pt POR,MF,tr Galatasaray,31,1992,1.4,93,88,5,2,2,2,4,0,3,0,2,0,69,0,3,Matches
Mathías Olivera,uy URU,DF,it Napoli,25,1997,3.6,215,177,37,8,1,1,7,29,0,0,0,0,180,1,6,Matches
Dani Olmo,es ESP,MF,de RB Leipzig,25,1998,2.0,84,77,6,2,2,0,4,4,0,0,0,0,64,1,1,Matches
André Onana,cm CMR,GK,eng Manchester Utd,27,1996,6.0,229,197,32,13,0,0,0,0,0,0,0,0,167,0,0,Matches
Loïs Openda,be BEL,FW,de RB Leipzig,23,2000,6.1,101,97,4,0,0,2,6,0,0,0,0,0,69,0,8,Matches
Fredrik Oppegard,no NOR,FW,nl PSV Eindhoven,20,2002,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Willi Orban,hu HUN,DF,de RB Leipzig,30,1992,2.0,148,143,5,4,1,0,1,0,0,0,0,0,136,0,2,Matches
Stefan Ortega,de GER,GK,eng Manchester City,30,1992,3.0,173,155,17,4,0,0,0,0,0,0,0,0,143,1,0,Matches
Victor Osimhen,ng NGA,FW,it Napoli,24,1998,5.1,80,73,7,1,0,3,4,1,0,0,0,0,57,0,1,Matches
Nicolás Otamendi,ar ARG,DF,pt Benfica,35,1988,6.0,322,302,20,15,0,2,1,2,0,0,0,0,276,0,0,Matches
Mikel Oyarzabal,es ESP,"FW,MF",es Real Sociedad,26,1997,6.5,148,133,14,3,0,1,3,0,2,0,1,0,121,1,3,Matches
Salih Özcan,tr TUR,MF,de Dortmund,25,1998,4.9,232,223,5,5,0,0,3,0,0,0,0,0,195,4,5,Matches
Jon Pacheco,es ESP,DF,es Real Sociedad,22,2001,1.4,71,67,4,4,0,2,0,0,0,0,0,0,64,0,0,Matches
Igor Paixão,br BRA,FW,nl Feyenoord,23,2000,4.4,151,131,20,4,2,0,26,1,15,10,2,0,107,0,2,Matches
Thomas Partey,gh GHA,MF,eng Arsenal,30,1993,0.1,10,10,0,0,0,0,0,0,0,0,0,0,8,0,0,Matches
Patric,es ESP,DF,it Lazio,30,1993,4.1,308,302,5,4,0,2,1,0,0,0,0,0,265,1,2,Matches
Benjamin Pavard,fr FRA,DF,it Inter,27,1996,5.3,371,352,18,7,0,0,5,11,0,0,0,0,321,1,4,Matches
Aleksandar Pavlovic,de GER,MF,de Bayern Munich,19,2004,2.3,183,178,4,4,0,3,1,0,0,0,0,0,170,1,0,Matches
Strahinja Pavlović,rs SRB,DF,at RB Salzburg,22,2001,5.5,319,303,16,8,1,1,3,1,0,0,0,0,258,0,5,Matches
Nicolás Paz,ar ARG,MF,es Real Madrid,18,2004,0.5,26,24,1,0,0,0,1,0,1,1,0,0,22,1,1,Matches
Pedri,es ESP,"MF,FW",es Barcelona,20,2002,3.7,177,170,7,2,2,0,5,4,1,0,0,0,147,0,5,Matches
Pedro,es ESP,FW,it Lazio,36,1987,2.1,90,86,3,1,2,0,2,0,2,0,0,0,81,1,2,Matches
Adrià Pedrosa,es ESP,"DF,FW",es Sevilla,25,1998,3.6,127,105,20,5,0,0,14,15,0,0,0,0,90,2,3,Matches
Luca Pellegrini,it ITA,DF,it Lazio,24,1999,1.8,116,98,17,3,0,0,5,14,0,0,0,0,98,1,4,Matches
Facundo Pellistri,uy URU,FW,eng Manchester Utd,21,2001,1.2,22,21,1,0,0,0,0,1,0,0,0,0,20,0,0,Matches

Iñaki Peña ,es ESP,GK,es Barcelona,24,1999,2.0,72,49,23,11,0,0,0,0,0,0,0,0,64,0,0,Matches
Pepe,pt POR,DF,pt Porto,40,1983,7.3,465,430,33,31,1,8,0,0,0,0,0,0,400,2,3,Matches
Pepê,br BRA,"MF,FW",pt Porto,26,1997,7.1,214,206,7,1,3,0,5,6,0,0,0,0,161,1,5,Matches
Ricardo Pepi,us USA,"FW,MF",nl PSV Eindhoven,20,2003,1.5,37,36,1,0,0,0,0,0,0,0,0,0,30,0,1,Matches
Danilo Pereira,pt POR,DF,fr Paris S-G,31,1991,1.8,135,134,1,1,1,0,0,0,0,0,0,0,128,0,0,Matches
Noah Persson,se SWE,"DF,MF",ch Young Boys,20,2003,0.4,27,24,3,1,0,0,3,2,0,0,0,0,18,0,1,Matches
Kalvin Phillips,eng ENG,MF,eng Manchester City,27,1995,1.4,117,111,6,6,0,0,0,0,0,0,0,0,107,0,2,Matches
Nathaniel Phillips,eng ENG,DF,sct Celtic,26,1997,1.0,99,95,4,3,0,0,1,1,0,0,0,0,89,0,1,Matches
Kamil Piątkowski,pl POL,DF,at RB Salzburg,23,2000,2.0,86,78,7,6,0,1,0,0,0,0,0,0,61,1,1,Matches
Pizzi,pt POR,MF,pt Braga,33,1989,0.6,32,29,3,0,0,1,3,0,2,1,1,0,25,0,1,Matches
Tommaso Pobega,it ITA,MF,it Milan,24,1999,1.7,40,39,1,0,0,0,0,1,0,0,0,0,26,0,1,Matches
Matteo Politano,it ITA,FW,it Napoli,29,1993,6.4,285,258,25,6,2,9,31,4,14,8,2,0,203,2,9,Matches
Nick Pope,eng ENG,GK,eng Newcastle Utd,31,1992,5.0,130,70,59,13,0,0,0,1,0,0,0,0,89,1,0,Matches
Yussuf Poulsen,dk DEN,"FW,MF",de RB Leipzig,29,1994,3.7,75,73,2,0,3,0,1,0,0,0,0,0,52,0,6,Matches
Ivan Provedel,it ITA,GK,it Lazio,29,1994,8.0,245,189,55,16,0,1,0,0,0,0,0,0,207,1,0,Matches
Christian Pulisic,us USA,FW,it Milan,24,1998,4.9,164,146,18,2,0,1,20,6,10,0,8,0,128,0,5,Matches
Anthony Racioppi,ch SUI,GK,ch Young Boys,24,1998,5.0,211,166,43,12,0,0,0,0,0,0,0,0,147,2,1,Matches
Ivan Rakitić,hr CRO,MF,es Sevilla,35,1988,5.1,310,246,63,29,5,6,41,8,24,9,13,0,232,1,5,Matches
Yaroslav Rakitskiy,ua UKR,DF,ua Shakhtar,33,1989,3.8,227,211,15,5,1,3,0,1,0,0,0,0,194,1,2,Matches
André Ramalho,br BRA,DF,nl PSV Eindhoven,31,1992,4.7,293,276,14,14,1,2,0,0,0,0,0,0,258,3,1,Matches
Gonçalo Ramos,pt POR,FW,fr Paris S-G,22,2001,2.4,67,61,6,0,0,0,0,0,0,0,0,0,58,0,0,Matches
Sergio Ramos,es ESP,DF,es Sevilla,37,1986,5.0,317,308,9,8,0,8,0,1,0,0,0,0,269,0,4,Matches
Aaron Ramsdale,eng ENG,GK,eng Arsenal,25,1998,1.0,38,29,9,1,0,0,0,0,0,0,0,0,32,0,0,Matches
Raphinha,br BRA,FW,es Barcelona,26,1996,5.2,185,167,17,6,0,2,21,2,8,4,2,0,134,1,10,Matches
Marcus Rashford,eng ENG,FW,eng Manchester Utd,25,1997,3.2,119,116,3,0,0,0,5,3,0,0,0,0,94,0,1,Matches

Giacomo Raspadori,it ITA,"FW,MF",it Napoli,23,2000,2.8,96,80,16,2,2,0,11,0,10,1,6,0,70,0,5,Matches
Petar Ratkov,rs SRB,FW,at RB Salzburg,19,2003,2.4,38,37,1,0,1,0,1,0,0,0,0,0,20,0,2,Matches
David Raum,de GER,DF,de RB Leipzig,25,1998,7.0,422,330,89,9,0,3,67,49,31,10,15,0,318,3,13,Matches
David Raya,es ESP,GK,eng Arsenal,27,1995,9.3,298,250,48,15,0,1,0,0,0,0,0,0,230,0,0,Matches
Sergio Reguilón,es ESP,DF,eng Manchester Utd,26,1996,1.7,96,77,19,1,0,0,5,18,0,0,0,0,74,0,3,Matches
Tijjani Reijnders,nl NED,MF,it Milan,25,1998,5.3,206,192,14,6,2,0,6,0,8,4,0,1,182,0,1,Matches
Álex Remiro,es ESP,GK,es Real Sociedad,28,1995,8.0,263,198,61,31,0,0,0,0,0,0,0,0,162,4,1,Matches
Marco Reus,de GER,"MF,FW",de Dortmund,34,1989,5.4,176,151,23,3,0,1,12,5,10,7,2,0,135,2,3,Matches
Gio Reyna,us USA,"FW,MF",de Dortmund,20,2002,0.2,10,9,1,0,0,0,1,0,1,0,0,0,8,0,0,Matches
Declan Rice,eng ENG,MF,eng Arsenal,24,1999,9.3,615,579,30,19,0,9,17,2,7,5,1,1,532,6,7,Matches
Rodrigo Riquelme,es ESP,DF,es Atlético Madrid,23,2000,3.5,162,154,8,3,0,2,12,4,1,1,0,0,133,0,6,Matches
Dmytro Riznyk,ua UKR,GK,ua Shakhtar,24,1999,6.0,205,166,39,8,0,0,0,0,0,0,0,0,161,0,0,Matches
Sergi Roberto,es ESP,MF,es Barcelona,31,1992,2.3,139,134,3,1,0,1,2,1,0,0,0,0,121,2,2,Matches
Milan Rodić,rs SRB,DF,rs Red Star,32,1991,4.6,174,132,40,12,0,2,9,28,0,0,0,0,122,2,4,Matches
Rodri,es ESP,MF,eng Manchester City,27,1996,7.7,932,920,10,10,2,10,6,0,0,0,0,0,851,2,5,Matches
Rodrygo,br BRA,FW,es Real Madrid,22,2001,11.2,372,353,19,2,0,0,10,4,3,1,0,0,338,0,8,Matches
Alessio Romagnoli,it ITA,DF,it Lazio,28,1995,6.0,365,341,24,10,0,1,0,1,0,0,0,0,333,0,2,Matches
Oriol Romeu,es ESP,MF,es Barcelona,31,1991,3.8,243,238,5,5,1,2,2,0,0,0,0,0,217,0,3,Matches
Jérôme Roussillon,fr FRA,DF,de Union Berlin,30,1993,2.9,110,94,16,1,0,0,13,15,0,0,0,0,86,0,3,Matches
Nicolò Rovella,it ITA,MF,it Lazio,21,2001,1.5,104,102,2,2,1,0,0,0,0,0,0,0,92,0,2,Matches
Amir Rrahmani,xk KVX,DF,it Napoli,29,1994,6.1,440,419,19,9,0,7,0,0,0,0,0,0,389,2,1,Matches
Donat Rrudhani,xk KVX,MF,ch Young Boys,24,1999,0.1,2,1,1,1,0,0,1,0,0,0,0,0,2,0,0,Matches
Antonio Rüdiger,de GER,DF,es Real Madrid,30,1993,11.6,656,641,13,8,0,8,3,1,0,0,0,0,591,2,1,Matches
Mário Rui,pt POR,DF,it Napoli,32,1991,2.4,211,178,33,10,0,0,11,21,2,0,1,0,174,0,5,Matches
Abel Ruiz,es ESP,"FW,MF",pt Braga,23,2000,2.4,57,56,1,0,0,0,0,0,0,0,0,0,50,0,1,Matches

Fabián Ruiz Peña,es ESP,MF,fr Paris S-G,27,1996,6.9,424,410,13,2,5,2,10,8,2,0,0,0,379,1,8,Matches
Julian Ryerson,no NOR,DF,de Dortmund,25,1997,10.0,532,440,91,4,0,2,20,87,0,0,0,0,445,1,15,Matches
Frederik Rønnow,dk DEN,GK,de Union Berlin,30,1992,6.0,198,137,61,17,0,0,0,0,0,0,0,0,136,0,0,Matches
Serdar Saatçı,tr TUR,DF,pt Braga,20,2003,3.6,186,177,8,8,0,0,0,0,0,0,0,0,166,1,1,Matches
Marcel Sabitzer,at AUT,MF,de Dortmund,29,1994,10.3,308,282,26,9,0,3,12,0,4,2,2,0,243,0,6,Matches
Umar Sadiq,ng NGA,FW,es Real Sociedad,26,1997,1.1,19,18,1,0,0,0,0,0,0,0,0,0,16,0,1,Matches
Ismael Saibari,ma MAR,MF,nl PSV Eindhoven,22,2001,3.5,112,109,3,0,0,0,4,2,0,0,0,0,85,0,2,Matches
Wesley Saïd,fr FRA,"FW,MF",fr Lens,28,1995,0.6,17,17,0,0,0,0,1,0,0,0,0,0,10,0,0,Matches
Bukayo Saka,eng ENG,FW,eng Arsenal,21,2001,8.0,276,246,28,5,3,2,34,3,20,19,0,0,210,2,10,Matches
Kike Salas,es ESP,DF,es Sevilla,21,2002,1.8,106,89,16,1,0,1,1,15,0,0,0,0,74,1,2,Matches
William Saliba,fr FRA,DF,eng Arsenal,22,2001,10.0,784,767,16,13,1,2,0,1,0,0,0,0,700,1,6,Matches
Brice Samba,fr FRA,GK,fr Lens,29,1994,6.0,212,161,49,21,0,0,0,0,0,0,0,0,156,2,0,Matches
Alexis Sánchez,cl CHI,FW,it Inter,34,1988,3.7,105,91,12,1,0,1,14,0,7,2,5,0,72,2,3,Matches
Davinson Sánchez,co COL,DF,tr Galatasaray,27,1996,4.0,246,235,10,8,0,2,1,2,0,0,0,0,206,1,1,Matches
Juanlu Sánchez,es ESP,DF,es Sevilla,19,2003,3.6,182,138,44,0,0,0,9,44,0,0,0,0,138,0,3,Matches
Jadon Sancho,eng ENG,FW,de Dortmund,23,2000,6.2,273,256,17,0,1,0,16,11,6,5,1,0,215,0,12,Matches
Leroy Sané,de GER,FW,de Bayern Munich,27,1996,10.2,340,325,14,0,1,0,20,0,9,4,4,0,270,1,11,Matches
Zaidu Sanusi,ng NGA,DF,pt Porto,26,1997,3.4,172,144,28,3,0,0,8,22,3,1,0,1,138,0,5,Matches
