Player,Nation,Position,Squad,Age,Year of birth,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Matches
Yonathan Del Valle,ve VEN,"FW,MF",Ümraniyespor,32,1990,8.0,2,0,0,14,10,5,51,2,13,,,0,Matches

Simon Deli,ci CIV,DF,İstanbulspor,30,1991,7.8,1,1,0,2,0,0,1,11,2,,,0,Matches
Anıl Demir,,GK,Ümraniyespor,25,1996,1.0,0,0,0,0,1,0,0,0,0,,,0,Matches
Muhammet Demir,tr TUR,FW,Konyaspor,30,1992,15.6,2,0,0,21,35,6,0,1,10,,,0,Matches
Yusuf Demir,at AUT,MF,Galatasaray,19,2003,0.8,0,0,0,0,0,0,2,1,1,,,0,Matches
Adil Demirbağ,tr TUR,DF,Konyaspor,24,1997,26.6,11,1,1,31,25,0,4,27,17,,,0,Matches
Kahraman Demirtapa,tr TUR,DF,Konyaspor,28,1994,2.8,1,0,0,5,6,0,0,1,2,,,1,Matches
Stefano Denswil,sr SUR,DF,Trabzonspor,29,1993,13.2,2,0,0,13,10,1,3,13,11,,,0,Matches
Eren Derdiyok,ch SUI,FW,Ankaragücü,34,1988,0.3,0,0,0,1,0,0,0,0,0,,,0,Matches
Ersin Destanoğlu,tr TUR,GK,Beşiktaş,21,2001,9.0,0,0,0,0,2,0,0,0,0,,,1,Matches
Lamine Diack,sn SEN,MF,Ankaragücü,21,2000,15.4,7,0,0,44,17,0,0,32,32,,,1,Matches
Mbaye Diagne,sn SEN,FW,Fatih Karagümrük,30,1991,27.8,6,0,0,28,34,17,4,3,3,,,0,Matches
Famara Diedhiou,sn SEN,FW,Alanyaspor,29,1992,0.3,0,0,0,1,0,0,0,0,0,,,0,Matches
Soner Dikmen,tr TUR,MF,Konyaspor,28,1993,28.0,3,0,0,24,33,7,25,33,30,,,0,Matches
Selim Dilli,,DF,Kasımpaşa,24,1998,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
Deniz Dilmen,,GK,Başakşehir,17,2005,1.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Djaniny,cv CPV,"MF,FW",Trabzonspor,31,1991,8.6,0,0,0,6,7,1,13,3,1,,,0,Matches
Papy Djilobodji,sn SEN,DF,Gaziantep FK,33,1988,18.1,8,0,0,14,9,1,8,33,6,,,0,Matches
Papy Djilobodji,sn SEN,DF,Kasımpaşa,33,1988,10.0,2,1,0,5,4,0,0,10,7,,,0,Matches
Ryan Donk,sr SUR,DF,Kasımpaşa,36,1986,19.0,2,0,0,13,18,1,1,30,12,,,0,Matches
Idrissa Doumbia,ci CIV,MF,Alanyaspor,24,1998,16.0,9,0,0,19,5,0,3,10,16,,,0,Matches
Ibrahim Drešević,xk KVX,DF,Fatih Karagümrük,25,1997,32.0,4,0,0,38,24,2,6,42,41,,,1,Matches
Léo Duarte,br BRA,DF,Başakşehir,26,1996,27.9,3,0,0,18,18,1,3,26,31,,,1,Matches
Leo Dubois,fr FRA,DF,Galatasaray,27,1994,11.0,0,0,0,6,15,1,41,12,12,,,0,Matches
Jeremy Dudziak,tn TUN,MF,Hatayspor,26,1995,1.0,0,0,0,3,3,0,5,2,1,,,0,Matches
Tuncer Duhan Aksu,,DF,İstanbulspor,24,1997,23.6,6,0,0,19,11,3,35,47,26,,,0,Matches

Demeaco Duhaney,eng ENG,DF,İstanbulspor,23,1998,17.9,5,0,0,13,15,3,32,15,12,,,0,Matches
Abdullah Durak,tr TUR,MF,Ankaragücü,35,1987,2.0,0,0,0,3,0,0,0,0,5,,,0,Matches
Jimmy Durmaz,se SWE,MF,Fatih Karagümrük,33,1989,10.7,2,0,0,10,17,0,18,7,5,,,0,Matches
Abdurrahim Dursun,tr TUR,DF,Adana Demirspor,23,1998,3.6,0,0,0,7,2,0,5,8,2,,,0,Matches
Salih Dursun,tr TUR,DF,Fatih Karagümrük,31,1991,9.7,4,0,0,12,5,2,11,16,15,,,0,Matches
Serdar Dursun,tr TUR,FW,Fenerbahçe,30,1991,4.0,1,0,0,10,11,0,2,1,0,,,0,Matches
Artem Dzyuba,ru RUS,FW,Adana Demirspor,33,1988,1.8,1,0,0,1,1,1,0,0,0,,,0,Matches
Patrick Ebert,de GER,"FW,MF",İstanbulspor,35,1987,1.7,2,0,0,2,1,0,6,3,3,,,0,Matches
Houssam Eddine Ghacha,dz ALG,MF,Antalyaspor,26,1995,13.4,4,0,0,18,23,1,36,7,18,,,0,Matches
Wilson Eduardo,ao ANG,"FW,MF",Alanyaspor,32,1990,7.8,2,0,0,15,4,2,12,1,7,,,0,Matches
Yunus Emre Mertoğlu,,MF,Ümraniyespor,21,2001,0.7,0,0,0,4,1,0,1,1,0,,,0,Matches
Hasan Emre Yeşilyurt,,DF,Kasımpaşa,21,2000,0.2,0,1,0,1,0,0,0,0,0,,,0,Matches
