Player,Nation,Position,Squad,Age,Year of birth,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Matches
Nikolas Dyhr,dk DEN,MF,Midtjylland,22,2001,3.6,0,0,0,1,8,0,11,3,4,,,0,Matches
Sindre Egeli,no NOR,FW,Nordsjælland,17,2006,0.1,0,0,0,0,0,0,1,1,0,,,0,Matches
Marvin Egho,at AUT,FW,Randers,29,1994,5.4,0,0,0,7,2,3,0,3,2,,,0,Matches
Max Ejdum,dk DEN,MF,Odense,18,2004,4.4,1,0,0,7,5,0,1,1,9,,,0,Matches
Mohamed Elyounoussi,no NOR,"FW,MF",FC Copenhagen,28,1994,23.7,2,0,0,21,26,4,36,14,21,,,0,Matches
Anosike Ementa,dk DEN,FW,Viborg,21,2002,23.9,6,0,0,31,31,12,3,6,9,,,0,Matches
Mads Emil Madsen,dk DEN,MF,AGF,25,1998,17.0,3,0,0,24,19,2,14,19,19,,,0,Matches
Dimitrios Emmanouilidis,gr GRE,"FW,MF",Vejle BK,22,2000,5.1,1,0,0,4,3,3,11,1,1,,,0,Matches

Frederik Emmery,dk DEN,FW,AGF,16,2006,0.2,0,0,0,0,0,0,1,0,0,,,0,Matches
Lukas Engel,dk DEN,DF,Silkeborg,24,1998,3.0,0,0,0,2,2,0,11,3,3,,,0,Matches
Mads Enggaard,dk DEN,MF,Randers,19,2004,29.7,7,0,0,41,26,0,65,28,40,,,0,Matches
Carljohan Eriksson,fi FIN,GK,Nordsjælland,28,1995,2.0,0,0,0,0,1,0,0,0,0,,,0,Matches
Håkon Evjen,no NOR,MF,Brøndby,23,2000,2.8,0,0,0,5,2,1,5,5,8,,,0,Matches
Saeid Ezatolahi,ir IRN,MF,Vejle BK,26,1996,7.1,6,0,0,14,9,0,9,4,8,,,0,Matches
Rasmus Falk,dk DEN,MF,FC Copenhagen,31,1992,23.0,4,0,0,18,25,1,6,26,34,,,0,Matches
Joel Felix,dk DEN,DF,Silkeborg,25,1998,10.4,2,0,0,7,9,0,0,10,11,,,0,Matches
Max Fenger,dk DEN,"MF,FW",Odense,21,2001,9.8,2,0,0,13,22,0,16,4,9,,,0,Matches
Alfreð Finnbogason,is ISL,FW,Lyngby,34,1989,3.7,0,0,0,5,1,1,0,1,2,,,0,Matches
Kolbeinn Finnsson,is ISL,MF,Lyngby,23,1999,28.7,5,1,1,34,12,6,211,13,35,,,0,Matches
Iver Fossum,no NOR,MF,Midtjylland,27,1996,1.7,0,0,0,0,0,0,1,1,2,,,0,Matches
Martin Fraisl,at AUT,GK,Midtjylland,30,1993,6.4,0,0,0,0,2,0,0,0,0,,,0,Matches
Tyrese Francois,au AUS,MF,Vejle BK,23,2000,13.3,2,0,0,21,9,0,6,47,32,,,0,Matches
Gustav Fraulo,dk DEN,MF,Lyngby,18,2005,2.3,0,0,0,0,5,0,8,3,2,,,0,Matches
Magnus Fredslund,dk DEN,"DF,MF",Hvidovre IF,31,1992,16.4,4,0,0,32,12,0,128,28,47,,,0,Matches
Martin Frese,dk DEN,DF,Nordsjælland,25,1998,27.6,8,0,0,29,25,1,105,31,38,,,0,Matches
Victor Froholdt,dk DEN,MF,FC Copenhagen,17,2006,0.7,0,0,0,2,2,0,0,5,0,,,0,Matches
Mohammed Fuseini,gh GHA,FW,Randers,21,2002,12.6,3,0,0,14,11,13,4,6,3,,,0,Matches
Anton Gaaei,dk DEN,"MF,DF",Viborg,20,2002,3.9,0,0,0,3,3,0,53,0,6,,,0,Matches
Adam Gabriel,cz CZE,"DF,MF",Midtjylland,22,2001,10.2,4,0,0,14,15,2,40,6,11,,,0,Matches
Christian Gammelgaard,dk DEN,FW,Vejle BK,20,2003,0.4,0,0,0,0,2,0,2,1,0,,,0,Matches
Stefan Gartenmann,dk DEN,DF,Midtjylland,26,1997,2.1,1,1,0,2,1,0,0,1,3,,,0,Matches
Nicolai Geertsen,dk DEN,"DF,FW",Hvidovre IF,32,1991,6.5,3,0,0,8,2,1,0,11,4,,,0,Matches
Mathias Gehrt,dk DEN,MF,Hvidovre IF,31,1992,4.2,0,0,0,5,7,0,10,5,2,,,0,Matches

Jonas Gemmer,dk DEN,MF,Hvidovre IF,27,1996,22.4,9,0,0,41,25,1,34,27,22,,,0,Matches
Armin Gigovic,ba BIH,MF,Midtjylland,21,2002,14.7,3,0,0,16,21,1,16,20,16,,,0,Matches
James Gomez,gm GAM,DF,Odense,21,2001,8.9,2,0,0,7,8,2,4,7,14,,,0,Matches
