Player,Nation,Position,Squad,Age,Year of birth,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Matches
Fabien Centonze,fr FRA,DF,Nantes,27,1996,1.0,1,0,0,2,2,0,7,0,1,0,0,0,7,1,1,50.0,Matches
Fares Chaïbi,dz ALG,"FW,MF",Toulouse,20,2002,0.6,1,0,0,1,0,0,7,0,0,0,0,0,3,1,0,100.0,Matches
Muhammed Cham,at AUT,"MF,FW",Clermont Foot,22,2000,28.4,4,0,0,22,56,3,118,8,14,0,0,0,144,7,23,23.3,Matches
Brendan Chardonnet,fr FRA,DF,Brest,28,1994,33.0,4,0,0,35,23,0,13,53,34,0,0,0,174,86,54,61.4,Matches
Jhoanner Chávez,ec ECU,DF,Lens,21,2002,5.3,1,0,0,10,4,3,13,5,5,0,0,0,20,7,6,53.8,Matches
Rayan Cherki,fr FRA,"MF,FW",Lyon,19,2003,19.1,0,0,0,10,31,2,71,7,15,0,0,0,98,1,8,11.1,Matches
Lucas Chevalier,fr FRA,GK,Lille,21,2001,33.0,1,0,0,1,7,0,0,0,0,0,1,0,54,4,0,100.0,Matches
Pedro Chirivella,es ESP,MF,Nantes,26,1997,28.8,5,0,0,26,21,2,29,31,28,0,0,0,165,13,18,41.9,Matches
Joris Chotard,fr FRA,MF,Montpellier,21,2001,28.7,5,0,0,30,18,0,33,44,52,0,1,0,207,25,23,52.1,Matches
Djaoui Cissé,fr FRA,MF,Rennes,19,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Ibrahim Cissoko,nl NED,"FW,MF",Toulouse,20,2003,2.7,1,0,0,1,6,2,20,1,3,0,0,0,16,0,5,0.0,Matches
Alexis Claude-Maurice,fr FRA,MF,Nice,25,1998,5.6,1,0,0,16,8,1,26,5,5,0,0,0,27,3,3,50.0,Matches
Jonathan Clauss,fr FRA,DF,Marseille,30,1992,23.0,2,1,0,11,16,3,159,36,20,0,0,0,125,12,19,38.7,Matches
