Player,Nation,Position,Squad,Age,Year of birth,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Matches
Erison,br BRA,FW,Estoril,23,1999,7.6,0,0,0,6,12,5,0,0,0,0,0,0,4,20,23,46.5,Matches
Ricardo Esgaio,pt POR,"DF,MF",Sporting CP,29,1993,14.6,6,0,0,21,4,6,44,9,32,0,1,0,59,18,8,69.2,Matches
Tiago Esgaio,pt POR,DF,Arouca,26,1995,25.4,9,0,0,26,6,2,55,22,24,0,1,0,101,46,29,61.3,Matches
Dario Essugo,pt POR,MF,Sporting CP,17,2005,2.2,0,1,0,9,1,0,0,4,5,0,0,0,17,3,2,60.0,Matches
Gonçalo Esteves,pt POR,DF,Estoril,18,2004,2.0,3,1,1,4,4,0,1,2,1,0,0,0,12,1,1,50.0,Matches
Paulo Estrela Moreira,pt POR,MF,Portimonense,23,1999,16.8,5,0,0,27,12,1,74,35,19,0,0,0,94,13,9,59.1,Matches
Friday Etim,ng NGA,FW,Vizela,20,2002,4.9,2,0,0,18,7,2,0,4,3,0,0,0,18,23,24,48.9,Matches
Euller,br BRA,"FW,MF",Chaves,27,1995,11.8,6,0,0,27,20,7,58,10,13,0,0,0,56,7,10,41.2,Matches
Stephen Eustáquio,ca CAN,MF,Porto,25,1996,18.6,4,1,1,30,12,3,56,19,29,0,0,0,93,21,21,50.0,Matches
Evanilson,br BRA,FW,Porto,22,1999,15.0,1,0,0,27,29,9,7,5,12,1,0,1,55,20,22,47.6,Matches
Ewerton,br BRA,MF,Portimonense,29,1992,6.5,3,0,0,10,8,0,1,3,12,0,0,0,35,2,15,11.8,Matches
Fabiano,br BRA,DF,Braga,22,2000,10.7,5,0,0,18,17,0,43,17,32,1,0,0,62,5,15,25.0,Matches
Fábio,br BRA,"FW,MF",Paços,25,1997,3.0,0,0,0,4,1,3,3,0,0,0,0,0,10,14,19,42.4,Matches
Abdul Fatawu Issahaku,gh GHA,"DF,MF",Sporting CP,18,2004,1.3,2,0,0,3,6,0,10,2,0,1,0,0,6,2,4,33.3,Matches

Luiz Felipe,br BRA,GK,Vizela,25,1997,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Matches
Volnei Feltes,br BRA,DF,Estoril,22,2000,0.1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,50.0,Matches
Eduardo Fereira,ve VEN,"FW,MF",Casa Pia,21,2000,0.6,0,0,0,0,0,0,1,2,0,0,0,0,3,0,3,0.0,Matches
Erick Ferigra,ec ECU,DF,Paços,23,1999,12.9,3,0,0,18,20,0,2,13,4,0,0,1,57,23,28,45.1,Matches
Ivanildo Fernandes,cv CPV,DF,Vizela,26,1996,16.5,3,1,0,19,6,2,0,16,6,0,0,1,61,43,13,76.8,Matches
Jorge Filipe Oliveira Fernandes,pt POR,DF,Vitória,25,1997,2.3,2,0,0,2,1,0,0,1,1,0,0,0,12,3,5,37.5,Matches
Mateus Fernandes,pt POR,MF,Sporting CP,18,2004,1.0,0,0,0,3,4,0,1,0,0,0,1,0,4,1,3,25.0,Matches
Patrick Fernandes,cv CPV,"FW,MF",Chaves,28,1993,0.6,0,1,0,2,1,0,0,0,0,0,0,0,3,6,4,60.0,Matches
Rafael Fernandes,pt POR,"DF,FW",Arouca,20,2002,1.5,1,0,0,2,0,0,0,3,2,0,0,0,8,5,3,62.5,Matches
Rúben Fernandes,pt POR,DF,Gil Vicente FC,36,1986,24.2,4,0,0,15,9,1,2,37,8,0,2,0,119,45,32,58.4,Matches
Vasco Fernandes,pt POR,DF,Casa Pia,35,1986,27.5,5,0,0,13,21,0,3,33,12,0,0,0,140,33,17,66.0,Matches
Enzo Fernández,ar ARG,MF,Benfica,21,2001,15.4,3,0,0,18,16,1,39,15,17,0,0,0,93,9,14,39.1,Matches
