Player,Market Value
,
marco-reus,€5.00m
,
,
kerem-demirbay,€4.80m
,
,
cristian-volpato,€4.50m
,
,
joan-gonzalez,€4.50m
,
,
jordan-james,€4.50m
,
,
yasin-ayari,€4.50m
,
,
charles-vanhoutte,€4.50m
,
,
daniel-maldini,€4.50m
,
,
sam-greenwood,€4.50m
,
,
joshua-kitolano,€4.50m
,
,
wouter-burger,€4.50m
,
,
can-bozdogan,€4.50m
,
,
adam-gnezda-cerin,€4.50m
,
,
nedim-bajrami,€4.50m
,
,
danil-prutsev,€4.50m
,
,
jurgen-ekkelenkamp,€4.50m
,
,
leonardo-lopes,€4.50m
,
,
hamza-choudhury,€4.50m
,
,
