Player,Nation,Position,Squad,Age,Year of birth,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,Penalty Kicks Made,Penalty Kicks Attempted,xG: Expected Goals,npxG: Non-Penalty xG,npxG/Shot,Goals - xG,Non-Penalty Goals - npxG,Matches
Matheus Bueno,br BRA,"MF,FW",Gil Vicente FC,23,1998,7.3,1,10,3,30.0,1.37,0.41,0.10,0.33,21.9,1,0,0,0.9,0.9,0.09,+0.1,+0.1,Matches
André Bukia,cd COD,"FW,MF",Arouca,26,1995,28.5,4,55,11,20.0,1.93,0.39,0.07,0.36,21.7,1,0,0,4.2,4.2,0.08,-0.2,-0.2,Matches
Leonardo Buta,pt POR,DF,Braga,19,2002,1.5,0,1,0,0.0,0.68,0.00,0.00,,24.5,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Adrián Butzke,es ESP,FW,Paços,22,1999,6.4,2,13,4,30.8,2.02,0.62,0.15,0.50,17.7,0,0,0,1.1,1.1,0.08,+0.9,+0.9,Matches
Jovane Cabral,cv CPV,"MF,FW",Sporting CP,23,1998,3.8,1,8,1,12.5,2.09,0.26,0.13,1.00,16.6,0,0,1,1.6,0.8,0.10,-0.6,+0.2,Matches
Paulo Henrique Rodrigues Cabral,pt POR,DF,Santa Clara,24,1996,13.9,0,8,1,12.5,0.58,0.07,0.00,0.00,10.9,0,0,0,1.0,1.0,0.13,-1.0,-1.0,Matches
Jhonder Cádiz,ve VEN,"FW,DF",Famalicão,26,1995,5.0,1,21,9,42.9,4.22,1.81,0.05,0.11,14.2,0,0,0,2.4,2.4,0.11,-1.4,-1.4,Matches
João Caiado,pt POR,FW,Gil Vicente FC,22,1999,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Juan Calero,co COL,FW,Gil Vicente FC,22,1998,1.6,1,3,1,33.3,1.90,0.63,0.33,1.00,17.8,0,0,0,0.3,0.3,0.10,+0.7,+0.7,Matches
Diogo Calila,pt POR,"DF,MF",B-SAD,22,1998,21.3,0,3,1,33.3,0.14,0.05,0.00,0.00,29.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Rafael Camacho,pt POR,"FW,MF",B-SAD,21,2000,9.8,0,20,7,35.0,2.05,0.72,0.00,0.00,21.7,2,0,0,1.5,1.5,0.07,-1.5,-1.5,Matches
Abel Camará,gw GNB,FW,B-SAD,31,1990,17.3,5,47,18,38.3,2.71,1.04,0.11,0.28,14.6,0,0,0,6.0,6.0,0.13,-1.0,-1.0,Matches
Ibrahima Camará,gn GUI,MF,Moreirense,22,1999,18.9,0,35,6,17.1,1.86,0.32,0.00,0.00,24.8,3,0,1,2.2,1.4,0.04,-2.2,-1.4,Matches
Gastón Campi,ar ARG,DF,Arouca,30,1991,4.0,0,3,0,0.0,0.75,0.00,0.00,,13.0,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Matches
Fali Candé,gw GNB,DF,Portimonense,23,1998,14.6,1,10,3,30.0,0.69,0.21,0.10,0.33,27.3,4,0,0,0.4,0.4,0.04,+0.6,+0.6,Matches
Francis Cann,gh GHA,"FW,MF",Vizela,23,1998,2.4,0,2,1,50.0,0.85,0.42,0.00,0.00,27.7,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
Reggie Cannon,us USA,DF,Boavista,23,1998,19.0,0,4,0,0.0,0.21,0.00,0.00,,24.8,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Fábio Cardoso,pt POR,DF,Porto,27,1994,12.0,0,5,0,0.0,0.42,0.00,0.00,,12.3,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Matches
Carlinhos,br BRA,MF,Portimonense,27,1994,25.4,3,46,15,32.6,1.81,0.59,0.07,0.20,26.6,8,0,1,2.9,2.1,0.05,+0.1,+0.9,Matches

Carlos,br BRA,FW,Santa Clara,25,1995,2.0,2,9,1,11.1,4.50,0.50,0.11,1.00,20.5,0,1,1,1.3,0.5,0.06,+0.7,+0.5,Matches
Luíz Carlos,br BRA,MF,Paços,36,1985,28.9,0,11,1,9.1,0.38,0.03,0.00,0.00,23.5,0,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches
João Carlos Teixeira,pt POR,"FW,MF",Famalicão,28,1993,8.8,2,15,7,46.7,1.70,0.79,0.13,0.29,19.2,0,0,0,1.3,1.3,0.10,+0.7,+0.7,Matches
