Player,Nation,Position,Squad,Age,Year of birth,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Penalty Kicks Made,Penalty Kicks Attempted,Matches
Stanislav Dyulgerov,bg BUL,MF,Arda,19,2003,0.4,0,,,,,,,,,0,0,Matches
Okezie Ebenezer,ng NGA,MF,Arda,22,2001,16.8,0,,,,,,,,,0,0,Matches
Félix Eboa Eboa,cm CMR,"DF,MF",Arda,26,1997,2.9,0,,,,,,,,,0,0,Matches
Mark Emilio Papazov,bg BUL,FW,CSKA Sofia,19,2003,1.0,0,,,,,,,,,0,0,Matches
Mark Emilio Papazov,bg BUL,FW,PFC Hebar Pazardzhik,19,2003,9.1,3,,,,,,,,,0,0,Matches
John Emmanuel,ng NGA,DF,Botev Plovdiv,17,2005,2.1,0,,,,,,,,,0,0,Matches
Umeh Emmanuel,ng NGA,FW,Botev Plovdiv,18,2004,17.9,7,,,,,,,,,0,0,Matches
Bryan Esalo,fr FRA,FW,Pirin Blagoevgrad,25,1998,0.4,0,,,,,,,,,0,0,Matches
Enzo Espinoza,ar ARG,DF,Beroe,22,2001,17.1,0,,,,,,,,,0,0,Matches
Michael Estrada,ec ECU,FW,CSKA Sofia,27,1996,9.4,4,,,,,,,,,0,0,Matches
James Eto'o,cm CMR,DF,Botev Plovdiv,22,2000,26.9,0,,,,,,,,,0,0,Matches
Dimitar Evtimov,bg BUL,GK,CSKA Sofia,29,1993,2.4,0,,,,,,,,,0,0,Matches
Ewandro,br BRA,"FW,MF",Loko Plovdiv,27,1996,26.5,6,,,,,,,,,1,1,Matches
Hassimi Fadiaga,gn GUI,FW,Levski Sofia,26,1997,14.7,2,,,,,,,,,0,0,Matches
Boubacar Faye Traore,sn SEN,FW,Botev Vratsa,26,1997,13.8,3,,,,,,,,,0,0,Matches
Luiz Felipe,br BRA,DF,Botev Vratsa,24,1999,12.1,0,,,,,,,,,0,0,Matches
