Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG/90,Matches
Marco Benassi,it ITA,"DF,MF",Fiorentina,26,1994,6,1,158,1.8,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,3,11,6,0.00,0.00,0.00,0.00,0.00,0.05,0.06,0.11,0.05,0.11,Matches
Marco Benassi,it ITA,MF,Empoli,26,1994,12,3,382,4.2,0,0,0,0,0,0,1,0,0.9,0.9,0.5,1.4,13,23,29,0.00,0.00,0.00,0.00,0.00,0.21,0.12,0.33,0.21,0.33,Matches
Filip Benković,hr CRO,"DF,FW",Udinese,24,1997,2,0,8,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.73,0.00,0.73,0.73,0.73,Matches
Ismaël Bennacer,dz ALG,MF,Milan,23,1997,31,15,"1,525",16.9,2,1,3,2,0,0,7,0,0.7,0.7,1.4,2.1,28,140,34,0.12,0.06,0.18,0.12,0.18,0.04,0.08,0.12,0.04,0.12,Matches
Rodrigo Bentancur,uy URU,MF,Juventus,24,1997,19,13,"1,155",12.8,0,1,1,0,0,0,1,0,0.7,0.7,0.9,1.6,22,79,32,0.00,0.08,0.08,0.00,0.08,0.06,0.07,0.12,0.06,0.12,Matches
Alessandro Berardi,it ITA,GK,Hellas Verona,30,1991,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Domenico Berardi,it ITA,FW,Sassuolo,26,1994,33,33,"2,819",31.3,15,14,29,9,6,6,9,0,11.3,6.5,8.7,15.3,77,183,265,0.48,0.45,0.93,0.29,0.73,0.36,0.28,0.64,0.21,0.49,Matches
Bartosz Bereszyński,pl POL,DF,Sampdoria,29,1992,35,35,"2,946",32.7,0,3,3,0,0,0,12,0,0.5,0.5,1.8,2.3,52,105,108,0.00,0.09,0.09,0.00,0.09,0.01,0.05,0.07,0.01,0.07,Matches
Etrit Berisha,al ALB,GK,Torino,32,1989,10,10,900,10.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Federico Bernardeschi,it ITA,"MF,FW",Juventus,27,1994,28,16,"1,475",16.4,1,3,4,1,0,0,5,0,1.5,1.5,1.9,3.4,40,73,111,0.06,0.18,0.24,0.06,0.24,0.09,0.12,0.21,0.09,0.21,Matches
Nicolò Bertola,it ITA,"MF,DF",Spezia,18,2003,2,0,35,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
