Player,Nation,Position,Squad,Age,Year of birth,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Penalty Kicks Made,Penalty Kicks Attempted,Matches
Andreas Gruber,at AUT,"FW,MF",Austria Wien,27,1995,15.7,8,39,19,48.7,2.48,1.21,0.21,0.42,,0,0,Matches
Dario Grujcic,at AUT,DF,SC Austria Lustenau,23,1999,15.2,2,10,5,50.0,0.66,0.33,0.20,0.40,,0,0,Matches
Marco Grüll,at AUT,MF,Rapid Wien,24,1998,25.7,6,63,30,47.6,2.45,1.17,0.10,0.20,,0,0,Matches
Hakim Guenouche,fr FRA,"DF,MF",SC Austria Lustenau,22,2000,25.1,1,19,6,31.6,0.76,0.24,0.05,0.17,,0,0,Matches
David Gugganig,at AUT,DF,Wolfsberger AC,25,1997,5.0,0,1,0,0.0,0.20,0.00,0.00,,,0,0,Matches
Lukas Gugganig,at AUT,DF,SCR Altach,27,1995,16.0,1,6,3,50.0,0.37,0.19,0.17,0.33,,0,0,Matches
Johannes Handl,at AUT,DF,Austria Wien,24,1998,15.5,0,10,1,10.0,0.64,0.06,0.00,0.00,,0,0,Matches
Stefan Haudum,at AUT,"MF,DF",SCR Altach,27,1994,19.3,0,18,4,22.2,0.93,0.21,0.00,0.00,,0,0,Matches
Niklas Hedl,at AUT,GK,Rapid Wien,21,2001,31.0,0,1,1,100.0,0.03,0.03,0.00,0.00,,0,0,Matches
Jürgen Heil,at AUT,"MF,DF",Hartberg,25,1997,27.3,2,33,7,21.2,1.21,0.26,0.06,0.29,,0,0,Matches
Ammar Helac,at AUT,GK,SC Austria Lustenau,24,1998,3.0,0,0,0,,0.00,0.00,,,,0,0,Matches
David Herold,de GER,"DF,MF",SCR Altach,19,2003,13.5,0,2,1,50.0,0.15,0.07,0.00,0.00,,0,0,Matches
Stefan Hierländer,at AUT,MF,Sturm Graz,31,1991,20.4,0,23,2,8.7,1.13,0.10,0.00,0.00,,0,0,Matches
Maximilian Hofmann,at AUT,DF,Rapid Wien,28,1993,4.0,0,3,0,0.0,0.75,0.00,0.00,,,0,0,Matches
James Holland,au AUS,MF,Austria Wien,33,1989,9.7,0,7,2,28.6,0.72,0.21,0.00,0.00,,0,0,Matches
Matija Horvat,hr CRO,DF,Hartberg,23,1999,15.9,1,8,1,12.5,0.50,0.06,0.13,1.00,,0,0,Matches
Tomi Horvat,si SVN,"FW,MF",Sturm Graz,23,1999,24.1,4,53,25,47.2,2.20,1.04,0.06,0.12,,1,1,Matches
Sascha Horvath,at AUT,MF,LASK,25,1996,24.3,2,22,5,22.7,0.90,0.21,0.09,0.40,,0,0,Matches
Jean Hugonet,fr FRA,DF,SC Austria Lustenau,22,1999,28.3,1,16,4,25.0,0.57,0.14,0.06,0.25,,0,0,Matches
Muharem Huskovic,at AUT,"FW,MF",Austria Wien,19,2003,6.4,1,9,1,11.1,1.40,0.16,0.11,1.00,,0,0,Matches
Hong Hyunseok,kr KOR,MF,LASK,23,1999,2.4,0,0,0,,0.00,0.00,,,,0,0,Matches

Rasmus Højlund,dk DEN,FW,Sturm Graz,19,2003,4.4,3,10,7,70.0,2.25,1.58,0.30,0.43,,0,0,Matches
Sandro Ingolitsch,at AUT,DF,Sturm Graz,25,1997,3.9,0,3,2,66.7,0.78,0.52,0.00,0.00,,0,0,Matches
Andy Irving,sct SCO,"MF,FW",SK Austria Klagenfurt,22,2000,24.6,5,33,11,33.3,1.34,0.45,0.00,0.00,,5,5,Matches
Nosa Iyobosa Edokpolor,at AUT,DF,SCR Altach,25,1996,25.0,0,4,0,0.0,0.16,0.00,0.00,,,0,0,Matches
Lukas Jäger,at AUT,MF,SCR Altach,28,1994,30.0,1,18,7,38.9,0.60,0.23,0.06,0.14,,0,0,Matches
Jakob Jantscher,at AUT,FW,Sturm Graz,33,1989,2.3,1,5,3,60.0,2.22,1.33,0.00,0.00,,1,1,Matches
Florian Jaritz,at AUT,FW,SK Austria Klagenfurt,24,1997,8.2,1,4,2,50.0,0.49,0.25,0.25,0.50,,0,0,Matches
Adis Jasic,at AUT,"DF,MF",Wolfsberger AC,19,2003,18.0,2,21,6,28.6,1.17,0.33,0.10,0.33,,0,0,Matches
David Jaunegg,at AUT,DF,WSG Tirol,19,2003,1.4,0,0,0,,0.00,0.00,,,,0,0,Matches
Branko Jovičić,rs SRB,MF,LASK,29,1993,20.8,1,15,3,20.0,0.72,0.14,0.07,0.33,,0,0,Matches
Aleksandar Jukic,at AUT,"MF,FW",Austria Wien,22,2000,16.9,3,38,13,34.2,2.25,0.77,0.08,0.23,,0,0,Matches
Andreas Jungdal,dk DEN,GK,SCR Altach,20,2002,6.0,0,0,0,,0.00,0.00,,,,0,0,Matches
Jan Jurčec,hr CRO,"MF,DF",SCR Altach,21,2000,19.9,2,24,9,37.5,1.21,0.45,0.08,0.22,,0,0,Matches
Jurica Jurčec,hr CRO,MF,SCR Altach,20,2002,2.2,0,0,0,,0.00,0.00,,,,0,0,Matches
Roko Jurišić,hr CRO,"MF,DF",Ried,20,2001,13.1,0,5,2,40.0,0.38,0.15,0.00,0.00,,0,0,Matches
Tobias Kainz,at AUT,"MF,DF",Hartberg,29,1992,25.1,0,15,7,46.7,0.60,0.28,0.00,0.00,,0,0,Matches
