Player,Nation,Position,Squad,Age,Year of birth,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Matches
Håkon Evjen,no NOR,"MF,FW",Brøndby,22,2000,9.6,1,0,0,11,4,1,12,5,16,,,0,Matches
Wahid Faghir,dk DEN,FW,Nordsjælland,19,2003,6.2,0,0,0,10,6,3,1,2,0,,,0,Matches
Rasmus Falk,dk DEN,MF,FC Copenhagen,30,1992,17.8,1,0,0,12,27,0,9,24,19,,,0,Matches
Joel Felix,dk DEN,DF,Silkeborg,24,1998,19.2,2,0,0,14,5,0,1,24,10,,,0,Matches
Max Fenger,dk DEN,FW,Odense,20,2001,1.7,1,0,0,2,3,0,0,1,2,,,0,Matches
Pedro Ferreira,pt POR,MF,Aalborg,24,1998,18.8,6,0,0,35,14,1,11,50,53,,,0,Matches
Alfreð Finnbogason,is ISL,"FW,MF",Lyngby,33,1989,8.1,1,1,0,11,2,1,6,4,1,,,0,Matches
Kolbeinn Finnsson,is ISL,"MF,DF",Lyngby,22,1999,12.5,1,0,0,8,8,1,72,10,8,,,0,Matches
Iver Fossum,no NOR,MF,Aalborg,26,1996,27.5,1,0,0,12,23,4,40,29,28,,,0,Matches
Martin Frese,dk DEN,DF,Nordsjælland,24,1998,21.9,7,0,0,19,23,3,62,22,36,,,0,Matches
Mads Frøkjær-Jensen,dk DEN,MF,Odense,23,1999,23.1,3,0,0,28,14,2,69,17,17,,,1,Matches
Anton Gaaei,dk DEN,DF,Viborg,19,2002,26.0,0,0,0,16,13,0,148,38,35,,,0,Matches
Stefan Gartenmann,dk DEN,DF,Midtjylland,25,1997,18.0,3,0,0,11,19,0,2,27,16,,,0,Matches
Jonas Gemmer,dk DEN,MF,Horsens,26,1996,13.0,4,0,0,14,22,2,14,13,14,,,0,Matches
Armin Gigovic,ba BIH,MF,Midtjylland,20,2002,11.3,1,0,0,13,9,0,14,11,9,,,0,Matches
Armin Gigovic,ba BIH,MF,Odense,20,2002,8.9,2,1,1,6,15,0,6,6,9,,,0,Matches
Robert Gojani,se SWE,MF,Silkeborg,29,1992,3.4,0,0,0,0,2,0,2,9,5,,,0,Matches
James Gomez,gm GAM,DF,Horsens,20,2001,24.4,5,1,0,29,10,1,6,49,25,,,1,Matches
Diogo Gonçalves,pt POR,"FW,MF",FC Copenhagen,25,1997,8.7,1,0,0,7,11,3,39,2,9,,,0,Matches
Kamil Grabara,pl POL,GK,FC Copenhagen,23,1999,22.1,2,0,0,1,7,0,0,0,0,,,0,Matches
Daniel Granli,no NOR,DF,Aalborg,28,1994,17.7,1,0,0,8,0,0,2,11,14,,,0,Matches
Simon Graves Jensen,dk DEN,DF,Randers,23,1999,12.9,2,0,0,9,5,0,0,24,11,,,0,Matches
Pascal Gregor,dk DEN,DF,Lyngby,28,1994,25.8,3,0,0,28,11,3,24,24,20,,,0,Matches

Mathias Greve,dk DEN,MF,Brøndby,27,1995,20.3,1,0,0,20,19,0,28,22,29,,,0,Matches
Jay-Roy Grot,nl NED,FW,Viborg,24,1998,15.9,3,0,0,17,15,6,5,4,7,,,0,Matches
Gustav Grubbe,dk DEN,DF,Odense,19,2003,20.2,2,0,0,25,8,1,70,18,16,,,0,Matches
Albert Grønbaek,dk DEN,MF,AGF,21,2001,1.3,1,0,0,1,0,0,4,2,2,,,0,Matches
Jeppe Grønning,dk DEN,MF,Viborg,31,1991,29.6,7,0,0,50,25,0,6,63,37,,,0,Matches
Sebastian Grønning,dk DEN,FW,AGF,25,1997,1.0,1,0,0,2,1,1,1,0,1,,,0,Matches
Frederik Gytkjær,dk DEN,FW,Lyngby,29,1993,20.3,5,0,0,43,41,24,12,5,3,,,0,Matches
Anders Hagelskjær,dk DEN,DF,Aalborg,25,1997,0.4,0,0,0,2,0,0,0,2,1,,,0,Matches
Brian Hamalainen,dk DEN,DF,Lyngby,33,1989,14.5,2,0,0,6,3,0,86,19,10,,,0,Matches
Marcus Hannesbo,dk DEN,MF,Horsens,20,2002,1.7,1,0,0,3,2,0,6,2,4,,,0,Matches
Andreas Hansen,dk DEN,GK,Nordsjælland,26,1995,32.0,2,0,0,0,6,0,0,0,1,,,0,Matches
Jesper Hansen,dk DEN,GK,AGF,37,1985,32.0,1,0,0,0,3,0,0,0,0,,,0,Matches
