Player,Nation,Position,Squad,Age,Year of birth,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Matches
Fabio Ferraro,be BEL,DF,Charleroi,18,2002,0.2,0,0,0,0,2,0,1,1,0,0,0,0,1,0,0,,Matches
Viktor Fischer,dk DEN,"MF,FW",Antwerp,27,1994,12.3,1,0,0,1,13,2,74,12,9,0,0,0,60,1,12,7.7,Matches
Mathias Fixelles,be BEL,"MF,FW",Kortrijk,24,1996,8.3,4,1,0,17,13,2,15,7,11,0,0,0,67,7,12,36.8,Matches
Steven Fortes,cv CPV,DF,Oostende,29,1992,16.3,6,2,2,13,18,0,2,31,15,0,0,0,136,32,19,62.7,Matches
Núrio Fortuna,ao ANG,DF,Gent,26,1995,19.6,2,0,0,36,32,4,66,40,25,1,1,0,102,28,20,58.3,Matches
Guillaume François,be BEL,DF,Union SG,31,1990,7.1,3,0,0,16,3,0,15,8,8,0,0,0,30,4,3,57.1,Matches
Frédéric Frans,be BEL,DF,Beerschot,32,1989,5.9,3,1,1,10,1,1,0,4,2,0,1,0,12,11,10,52.4,Matches
Michael Frey,ch SUI,FW,Antwerp,27,1994,28.0,3,0,0,45,32,23,20,5,19,2,0,0,63,101,94,51.8,Matches
Timothy Galje,be BEL,GK,R.F.C. Seraing,20,2001,1.0,1,0,0,1,1,0,0,0,0,0,1,0,2,0,0,,Matches

Zinho Gano,gw GNB,FW,Zulte Waregem,27,1993,30.2,2,0,0,40,56,18,6,5,10,1,0,0,61,168,122,57.9,Matches
Silvère Ganvoula M'Boussy,cg CGO,FW,Cercle Brugge,25,1996,0.9,0,0,0,1,0,0,1,0,1,0,0,0,4,10,5,66.7,Matches
Nicolas Gavory,fr FRA,DF,Standard Liège,26,1995,9.8,1,0,0,7,12,0,43,4,14,0,0,0,52,19,10,65.5,Matches
Pieter Gerkens,be BEL,MF,Antwerp,25,1995,13.8,3,0,0,11,12,0,9,16,16,0,0,0,52,26,24,52.0,Matches
Jay-Dee Geusens,be BEL,FW,Genk,19,2002,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Matches
Brahim Ghalidi,be BEL,MF,Standard Liège,16,2005,0.3,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,,Matches
Ali Gholizadeh,ir IRN,"MF,FW",Charleroi,25,1996,20.5,8,1,1,17,21,4,36,7,18,0,0,0,99,4,7,36.4,Matches
Jo Gilis,be BEL,MF,OH Leuven,21,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
