Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,npxG + xAG/90,Matches
Srđan Dimitrov,rs SRB,MF,FK Mladost Novi Sad,30,1992,17,15,"1,072",11.9,1,2,3,1,0,0,5,0,0.08,0.17,0.25,0.08,0.25,Matches
Nemanja Djekovic,rs SRB,DF,Napredak Kruš,19,2003,28,24,"2,253",25.0,2,0,2,2,0,0,2,1,0.08,0.00,0.08,0.08,0.08,Matches
Vukasin Djurdjevic,rs SRB,DF,Voždovac,18,2004,1,0,20,0.2,1,0,1,1,0,0,0,0,4.50,0.00,4.50,4.50,4.50,Matches
Marko Docić,rs SRB,MF,Čukarički,29,1993,31,28,"2,377",26.4,11,9,20,2,9,9,9,0,0.42,0.34,0.76,0.08,0.42,Matches
Dušan Dodić,se SWE,FW,Voždovac,18,2004,1,0,21,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Dino Dolmagić,rs SRB,MF,Javor Ivanjica,28,1994,20,9,894,9.9,0,2,2,0,0,0,4,0,0.00,0.20,0.20,0.00,0.20,Matches
Boubacari Doucouré,fr FRA,DF,TSC Bačka Top,23,1999,1,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Boubacari Doucouré,fr FRA,DF,Javor Ivanjica,23,1999,29,29,"2,332",25.9,2,0,2,2,0,0,7,1,0.08,0.00,0.08,0.08,0.08,Matches
Aleksandar Dragović,at AUT,"DF,MF",Red Star,31,1991,32,29,"2,587",28.7,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches

Dejan Dražić,rs SRB,MF,Radnik Surdulica,26,1995,14,8,737,8.2,0,1,1,0,0,0,1,0,0.00,0.12,0.12,0.00,0.12,Matches
Uroš Drezgić,rs SRB,MF,Čukarički,19,2002,27,26,"2,399",26.7,2,0,2,2,0,0,3,0,0.08,0.00,0.08,0.08,0.08,Matches
Marko Drobnjak,rs SRB,GK,Radnički Niš,27,1995,4,4,360,4.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Mišo Dubljanić,me MNE,GK,Spartak Subotic,22,1999,10,10,900,10.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Filip Dujmović,ba BIH,GK,Radnički Niš,23,1999,1,1,69,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
David Dunđerski,rs SRB,MF,Spartak Subotic,22,1999,8,5,441,4.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
David Dunđerski,rs SRB,MF,Mladost Lučani,22,1999,14,10,786,8.7,1,0,1,1,0,0,5,0,0.11,0.00,0.11,0.11,0.11,Matches
Borko Duronjić,rs SRB,FW,Radnik Surdulica,24,1997,29,17,"1,510",16.8,2,2,4,2,0,0,4,0,0.12,0.12,0.24,0.12,0.24,Matches
Aleksa Dušanić,rs SRB,FW,Radnički Niš,19,2003,2,0,22,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Miloš Džugurdić,rs SRB,FW,Napredak Kruš,29,1992,1,0,23,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Eliomar,br BRA,MF,Javor Ivanjica,34,1988,27,7,782,8.7,1,0,1,1,0,0,6,0,0.12,0.00,0.12,0.12,0.12,Matches
Strahinja Eraković,rs SRB,DF,Red Star,21,2001,33,31,"2,723",30.3,0,2,2,0,0,0,5,0,0.00,0.07,0.07,0.00,0.07,Matches
Mitar Ergelas,rs SRB,MF,Novi Pazar,19,2002,23,12,939,10.4,1,2,3,1,0,0,3,0,0.10,0.19,0.29,0.10,0.29,Matches
Amougou Etongou,cm CMR,DF,Radnički Niš,22,1999,16,14,"1,262",14.0,0,0,0,0,0,0,7,2,0.00,0.00,0.00,0.00,0.00,Matches
Ljubomir Fejsa,rs SRB,MF,Partizan,33,1988,23,12,"1,155",12.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Ibrahim Fijuljanin,rs SRB,FW,Novi Pazar,18,2004,4,0,21,0.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Aleksandar Filipović,rs SRB,DF,Partizan,27,1994,20,20,"1,623",18.0,2,2,4,2,0,0,5,0,0.11,0.11,0.22,0.11,0.22,Matches
Miloš Filipović,rs SRB,MF,Novi Pazar,32,1990,10,6,505,5.6,0,2,2,0,0,0,3,0,0.00,0.36,0.36,0.00,0.36,Matches
Miloš Filipović,rs SRB,MF,FK Kolubara,32,1990,16,15,"1,130",12.6,2,3,5,2,0,0,0,0,0.16,0.24,0.40,0.16,0.40,Matches
Nenad Filipović,rs SRB,GK,TSC Bačka Top,35,1987,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Stefan Filipović,rs SRB,DF,Spartak Subotic,28,1994,14,12,"1,127",12.5,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
Filip Frei,ch SUI,DF,Radnički Niš,21,2001,5,2,231,2.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Marko Gajić,rs SRB,DF,Čukarički,30,1992,8,3,287,3.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Maka Gakou,fr FRA,DF,Radnički Niš,22,2000,10,6,578,6.4,0,1,1,0,0,0,3,1,0.00,0.16,0.16,0.00,0.16,Matches
Romain Gall,us USA,"FW,MF",FK Mladost Novi Sad,27,1995,7,4,317,3.5,1,1,2,1,0,0,2,0,0.28,0.28,0.57,0.28,0.57,Matches

Nenad Gavrić,rs SRB,FW,Novi Pazar,30,1991,19,9,980,10.9,1,4,5,1,0,0,6,0,0.09,0.37,0.46,0.09,0.46,Matches
Petar Gigić,rs SRB,FW,Javor Ivanjica,25,1997,35,33,"2,662",29.6,8,5,13,6,2,2,9,0,0.27,0.17,0.44,0.20,0.37,Matches
Marko Gobeljić,rs SRB,"DF,MF",Red Star,29,1992,15,11,"1,016",11.3,2,1,3,2,0,0,4,0,0.18,0.09,0.27,0.18,0.27,Matches
Luka Gojković,rs SRB,MF,Javor Ivanjica,22,1999,34,31,"2,705",30.1,6,3,9,3,3,3,5,0,0.20,0.10,0.30,0.10,0.20,Matches
Ricardo Jorge Pires Gomes,cv CPV,FW,Partizan,30,1991,35,34,"2,924",32.5,19,3,22,16,3,4,3,1,0.58,0.09,0.68,0.49,0.58,Matches
Đorđe Gordić,rs SRB,FW,Mladost Lučani,17,2004,16,14,"1,106",12.3,3,1,4,3,0,0,2,0,0.24,0.08,0.33,0.24,0.33,Matches
Srđan Grabež,rs SRB,DF,Javor Ivanjica,31,1991,13,13,"1,117",12.4,0,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,Matches
Emmanuel Hackman,tg TOG,DF,FK Mladost Novi Sad,27,1995,15,14,"1,223",13.6,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches
Stefan Hajdin,hr CRO,DF,Voždovac,28,1994,19,19,"1,684",18.7,2,0,2,2,0,0,3,0,0.11,0.00,0.11,0.11,0.11,Matches
Dušan Hodžić,ba BIH,DF,Radnik Surdulica,28,1993,15,12,"1,098",12.2,0,1,1,0,0,0,3,0,0.00,0.08,0.08,0.00,0.08,Matches
Filip Holender,hu HUN,FW,Partizan,28,1994,1,0,8,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Srđan Hrstić,rs SRB,FW,Spartak Subotic,19,2003,27,22,"1,799",20.0,6,1,7,5,1,1,4,0,0.30,0.05,0.35,0.25,0.30,Matches
Nikola Ignjatović,rs SRB,DF,Radnik Surdulica,24,1998,7,4,410,4.6,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
Luka Ilić,rs SRB,MF,TSC Bačka Top,23,1999,25,22,"1,917",21.3,6,7,13,4,2,2,4,0,0.28,0.33,0.61,0.19,0.52,Matches
Mihajlo Ilić,rs SRB,DF,Partizan,19,2003,8,6,473,5.3,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Milan Ilic,rs SRB,DF,Javor Ivanjica,22,2000,14,13,"1,181",13.1,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
Milijan Ilić,rs SRB,MF,FK Mladost Novi Sad,29,1993,31,25,"2,217",24.6,0,0,0,0,0,0,8,0,0.00,0.00,0.00,0.00,0.00,Matches
Vanja Ilić,rs SRB,MF,FK Kolubara,23,1999,28,16,"1,581",17.6,2,1,3,2,0,0,3,0,0.11,0.06,0.17,0.11,0.17,Matches
Veljko Ilić,rs SRB,MF,FK Kolubara,16,2005,4,1,79,0.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Veljko Ilic,rs SRB,GK,TSC Bačka Top,19,2003,35,35,"3,150",35.0,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
Sead Islamović,rs SRB,MF,Novi Pazar,22,1999,17,13,"1,063",11.8,1,0,1,0,1,1,3,0,0.08,0.00,0.08,0.00,0.00,Matches
Mirko Ivanić,me MNE,MF,Red Star,28,1993,29,24,"2,015",22.4,8,11,19,8,0,0,2,0,0.36,0.49,0.85,0.36,0.85,Matches
Filip Ivanović,rs SRB,DF,Radnički Kragujevac,30,1992,31,30,"2,575",28.6,0,0,0,0,0,0,12,3,0.00,0.00,0.00,0.00,0.00,Matches
Đorđe Ivanović,rs SRB,FW,Čukarički,26,1995,35,29,"2,409",26.8,9,3,12,9,0,0,3,0,0.34,0.11,0.45,0.34,0.45,Matches
Pavle Ivelja,rs SRB,FW,Javor Ivanjica,24,1998,9,2,196,2.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches

Marko Ivezić,rs SRB,MF,Voždovac,20,2001,29,27,"2,294",25.5,0,1,1,0,0,0,5,0,0.00,0.04,0.04,0.00,0.04,Matches
Kosta Janjić,rs SRB,DF,Javor Ivanjica,22,2000,3,3,269,3.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Vasilije Janjić,rs SRB,MF,Radnik Surdulica,27,1995,6,1,201,2.2,0,1,1,0,0,0,0,0,0.00,0.45,0.45,0.00,0.45,Matches
Aleksa Janković,rs SRB,FW,Čukarički,22,2000,7,2,154,1.7,1,1,2,1,0,0,1,0,0.58,0.58,1.17,0.58,1.17,Matches
Marko Janković,rs SRB,MF,Radnički Kragujevac,21,2000,1,0,3,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Nikola Janković,rs SRB,DF,FK Kolubara,29,1993,16,16,"1,267",14.1,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches
Nikola Janković,rs SRB,DF,FK Mladost Novi Sad,29,1993,16,13,"1,221",13.6,1,2,3,1,0,0,2,0,0.07,0.15,0.22,0.07,0.22,Matches
Igor Jeličić,rs SRB,DF,Vojvodina,22,2000,28,26,"2,202",24.5,0,1,1,0,0,0,7,1,0.00,0.04,0.04,0.00,0.04,Matches
Aleksandar Ješić,rs SRB,MF,Mladost Lučani,27,1994,25,17,"1,642",18.2,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches
