Player,Nation,Position,Squad,Age,Year of birth,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Matches
Emre Bilgin,tr TUR,GK,Beşiktaş,17,2004,3.0,1,0,0,1,1,0,0,0,0,,,0,Matches
Tayfur Bingöl,tr TUR,"DF,MF",Alanyaspor,28,1993,17.6,7,1,1,17,25,5,18,21,23,,,0,Matches

Mame Biram Diouf,sn SEN,FW,Hatayspor,33,1987,33.4,8,0,0,54,33,34,19,4,11,,,0,Matches
Davide Biraschi,it ITA,DF,Fatih Karagümrük,27,1994,13.0,1,0,0,13,13,0,14,16,10,,,0,Matches
Kristijan Bistrović,hr CRO,MF,Fatih Karagümrük,23,1998,12.4,3,0,0,9,15,1,8,15,12,,,0,Matches
André Biyogo Poko,ga GAB,MF,Altay,28,1993,26.4,5,0,0,41,41,0,29,33,42,,,0,Matches
Birkir Bjarnason,is ISL,"MF,FW",Adana Demirspor,33,1988,20.5,2,0,0,31,29,10,15,8,9,,,0,Matches
Eric Björkander,se SWE,DF,Altay,25,1996,21.3,3,0,0,14,8,0,8,33,11,,,0,Matches
Sacha Boey,fr FRA,DF,Galatasaray,20,2000,11.9,3,0,0,19,12,1,28,19,20,,,0,Matches
Ruud Boffin,be BEL,GK,Antalyaspor,33,1987,37.0,4,0,0,2,1,0,0,1,0,,,0,Matches
Yannick Bolasie,cd COD,MF,Rizespor,32,1989,15.0,6,0,0,24,25,4,69,1,13,,,0,Matches
Fernando Boldrin,br BRA,MF,Rizespor,32,1989,21.5,4,0,0,19,45,2,128,7,7,,,0,Matches
Fabio Borini,it ITA,"MF,FW",Fatih Karagümrük,30,1991,16.3,4,0,0,33,40,2,17,13,14,,,0,Matches
Cristian Borja,co COL,"DF,MF",Alanyaspor,28,1993,24.0,1,0,0,21,22,4,51,22,22,,,0,Matches
Mehdi Boudjemaa,dz ALG,MF,Hatayspor,23,1998,19.6,9,1,1,36,19,0,11,27,34,,,0,Matches
Hijran Boyaci,,MF,Adana Demirspor,16,2005,0.2,0,0,0,1,0,0,0,0,1,,,0,Matches
Tyler Boyd,us USA,MF,Rizespor,26,1994,19.7,2,1,0,42,23,3,81,13,17,,,0,Matches
Can Bozdogan,de GER,MF,Beşiktaş,20,2001,12.5,3,0,0,22,26,0,22,8,16,,,0,Matches
Umut Bozok,tr TUR,"FW,MF",Kasımpaşa,24,1996,28.2,3,0,0,26,75,16,4,10,13,,,0,Matches
Tomáš Břečka,cz CZE,DF,Kasımpaşa,27,1994,11.9,1,0,0,12,13,0,0,22,10,,,1,Matches
Jeffrey Bruma,nl NED,DF,Kasımpaşa,29,1991,14.7,2,0,0,17,8,0,1,22,13,,,0,Matches
Buluthan Bulut,,MF,Alanyaspor,19,2002,0.3,0,0,0,0,0,0,1,0,3,,,0,Matches
Onur Bulut,tr TUR,DF,Kayserispor,27,1994,30.4,6,1,1,29,24,1,113,49,43,,,0,Matches
