Player,Nation,Position,Squad,Age,Year of birth,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Matches
Vito van Crooy,nl NED,FW,Sparta R'dam,27,1996,2.9,1,0,0,1,4,0,16,2,1,0,0,0,11,8,7,53.3,Matches
Alessio da Cruz,,"FW,MF",Fortuna Sittard,26,1997,4.5,0,0,0,6,7,1,8,1,3,0,0,0,13,9,15,37.5,Matches
Lennart-Marten Czyborra,de GER,DF,Zwolle,24,1999,1.7,1,0,0,7,0,0,8,1,0,0,0,0,11,4,3,57.1,Matches
Tiago Dantas,pt POR,MF,AZ Alkmaar,22,2000,7.7,0,0,0,2,5,0,7,3,8,0,0,0,51,2,4,33.3,Matches
Brian De Keersmaecker,be BEL,MF,Heracles Almelo,23,2000,32.8,6,0,0,42,37,0,10,48,57,0,1,0,216,32,31,50.8,Matches
Jeffrey De Lange,nl NED,GK,Go Ahead Eag,25,1998,34.0,2,0,0,0,2,0,0,0,0,0,0,1,56,8,3,72.7,Matches
Mats Deijl,nl NED,DF,Go Ahead Eag,26,1997,30.9,2,0,0,29,49,1,60,18,40,1,1,0,135,38,40,48.7,Matches
Maxim Dekker,nl NED,DF,AZ Alkmaar,19,2004,0.9,0,0,0,1,1,0,2,3,2,0,0,0,8,1,2,33.3,Matches
Caner Demircioglu,nl NED,FW,Volendam,21,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0,Matches

Thomas van den Belt,nl NED,MF,Feyenoord,22,2001,3.0,0,0,0,0,3,0,3,2,5,0,0,0,17,5,3,62.5,Matches
Branco van den Boomen,nl NED,MF,Ajax,28,1995,11.9,1,0,0,10,6,0,84,8,11,0,0,0,73,6,7,46.2,Matches
Damian van der Haar,nl NED,DF,Zwolle,19,2004,3.2,1,0,0,5,2,0,2,6,3,0,1,0,12,1,2,33.3,Matches
Mickey van der Hart,nl NED,GK,Heerenveen,29,1994,12.0,1,0,0,0,0,0,0,1,0,0,0,0,12,1,0,100.0,Matches
Mike van der Hoorn,nl NED,DF,Utrecht,30,1992,18.5,5,0,0,26,15,1,1,14,18,0,0,0,101,70,31,69.3,Matches
Djevencio van der Kust,sr SUR,DF,Sparta R'dam,22,2001,27.8,4,0,0,27,18,7,71,35,36,0,1,0,141,20,32,38.5,Matches
