Player,Nation,Position,Squad,Age,Year of birth,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Matches
Alireza Beiranvand,ir IRN,GK,Boavista,28,1992,7.5,1,0,0,0,3,0,0,1,0,0,0,0,11,3,0,100.0,Matches
Stefano Beltrame,it ITA,MF,Marítimo,28,1993,15.4,2,0,0,11,25,0,56,18,4,0,0,0,94,6,4,60.0,Matches
Gilson Benchimol,cv CPV,FW,Estoril,19,2001,0.1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,50.0,Matches
Berna,pt POR,MF,Braga,18,2002,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Paulo Bernardo,pt POR,MF,Benfica,19,2002,8.7,3,0,0,27,16,1,11,8,13,0,0,0,59,3,5,37.5,Matches
Beto,gw GNB,FW,Portimonense,23,1998,3.0,1,0,0,5,5,5,3,0,0,0,0,0,9,10,7,58.8,Matches
Aylton Boa Morte,pt POR,"FW,MF",Portimonense,27,1993,12.3,2,0,0,22,24,11,15,6,6,0,0,0,49,5,15,25.0,Matches
Kennedy Boateng,tg TOG,DF,Santa Clara,24,1996,23.3,4,0,0,28,7,5,0,35,35,0,0,0,113,75,44,63.0,Matches
Kiko Bondoso,pt POR,FW,Vizela,25,1995,30.2,2,0,0,11,70,6,44,16,18,1,0,0,161,13,40,24.5,Matches
Trova Boni,bf BFA,MF,B-SAD,21,1999,4.9,1,1,0,5,5,1,0,9,6,0,1,0,27,5,8,38.5,Matches
Toni Borevkovic,hr CRO,DF,Vitória,24,1997,22.1,10,1,1,32,20,0,0,35,11,0,1,0,111,38,15,71.7,Matches
Gonçalo Borges,pt POR,MF,Porto,20,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
Neto Borges,br BRA,"DF,MF",Tondela,24,1996,23.7,8,1,1,27,34,3,51,49,35,0,0,0,139,46,28,62.2,Matches
Pedro Borges,br BRA,MF,Tondela,24,1997,22.1,7,0,0,41,47,2,2,28,40,0,0,0,129,13,19,40.6,Matches
Mohamed Bouldini,ma MAR,FW,Santa Clara,25,1995,1.7,1,0,0,10,6,2,0,0,1,0,0,0,4,14,7,66.7,Matches
Rafael Bracalli,br BRA,GK,Boavista,40,1981,26.5,4,0,0,0,6,0,0,3,1,0,0,0,49,10,0,100.0,Matches

Victor Braga,br BRA,GK,Arouca,29,1992,23.1,0,1,0,1,8,0,0,0,0,0,0,0,42,5,0,100.0,Matches
Daniel Bragança,pt POR,MF,Sporting CP,22,1999,8.7,4,1,0,25,22,0,6,17,15,0,0,0,65,11,5,68.8,Matches
Pedro Brazão,pt POR,"MF,FW",Famalicão,18,2002,4.2,3,1,1,15,5,0,2,2,5,0,0,0,20,3,3,50.0,Matches
Brunão,br BRA,MF,Arouca,24,1997,0.2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,,Matches
Bruninho,br BRA,FW,Arouca,22,1999,3.3,1,0,0,11,10,5,1,1,2,0,0,0,6,12,17,41.4,Matches
David Bruno,pt POR,DF,Estoril,29,1992,13.5,4,0,0,14,7,0,45,16,8,0,0,0,82,7,11,38.9,Matches
Matheus Bueno,br BRA,"MF,FW",Gil Vicente FC,23,1998,7.3,4,0,0,10,17,1,26,3,7,0,0,0,26,3,7,30.0,Matches
André Bukia,cd COD,"FW,MF",Arouca,26,1995,28.5,5,0,0,48,112,3,64,15,12,0,0,0,151,6,18,25.0,Matches
Leonardo Buta,pt POR,DF,Braga,19,2002,1.5,1,0,0,2,3,0,4,4,0,0,0,0,13,0,2,0.0,Matches
Adrián Butzke,es ESP,FW,Paços,22,1999,6.4,3,0,0,11,9,2,2,1,1,0,0,0,9,19,18,51.4,Matches
Jovane Cabral,cv CPV,"MF,FW",Sporting CP,23,1998,3.8,1,0,0,8,6,0,11,1,2,1,0,0,12,2,6,25.0,Matches
Paulo Henrique Rodrigues Cabral,pt POR,DF,Santa Clara,24,1996,13.9,5,0,0,28,28,0,17,11,5,0,0,0,61,37,25,59.7,Matches
Jhonder Cádiz,ve VEN,"FW,DF",Famalicão,26,1995,5.0,2,0,0,12,14,5,3,2,3,0,0,0,10,27,20,57.4,Matches
João Caiado,pt POR,FW,Gil Vicente FC,22,1999,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Juan Calero,co COL,FW,Gil Vicente FC,22,1998,1.6,0,0,0,5,0,3,0,1,0,0,0,0,5,3,1,75.0,Matches
Diogo Calila,pt POR,"DF,MF",B-SAD,22,1998,21.3,9,1,0,39,29,2,82,17,16,0,1,0,111,15,23,39.5,Matches
Rafael Camacho,pt POR,"FW,MF",B-SAD,21,2000,9.8,1,0,0,4,20,2,23,2,7,0,0,0,39,7,6,53.8,Matches
Abel Camará,gw GNB,FW,B-SAD,31,1990,17.3,4,2,0,27,44,23,18,8,12,0,0,0,42,44,75,37.0,Matches
Ibrahima Camará,gn GUI,MF,Moreirense,22,1999,18.9,8,0,0,40,22,1,59,12,16,0,0,0,141,31,24,56.4,Matches
Gastón Campi,ar ARG,DF,Arouca,30,1991,4.0,3,0,0,8,1,1,0,8,3,0,0,0,12,9,6,60.0,Matches
Fali Candé,gw GNB,DF,Portimonense,23,1998,14.6,5,0,0,19,28,1,70,5,20,0,0,0,67,60,35,63.2,Matches
Francis Cann,gh GHA,"FW,MF",Vizela,23,1998,2.4,0,0,0,5,6,2,7,3,3,0,0,0,13,1,3,25.0,Matches
Reggie Cannon,us USA,DF,Boavista,23,1998,19.0,4,1,0,17,23,0,11,37,30,0,0,0,96,17,15,53.1,Matches
Fábio Cardoso,pt POR,DF,Porto,27,1994,12.0,3,0,0,12,3,0,0,10,4,0,0,0,41,18,30,37.5,Matches
Carlinhos,br BRA,MF,Portimonense,27,1994,25.4,7,0,0,32,37,1,75,16,24,0,0,0,189,14,19,42.4,Matches

Carlos,br BRA,FW,Santa Clara,25,1995,2.0,1,0,0,1,7,4,3,0,2,0,1,0,5,6,6,50.0,Matches
Luíz Carlos,br BRA,MF,Paços,36,1985,28.9,11,1,1,68,53,0,17,28,49,1,1,0,214,21,28,42.9,Matches
João Carlos Teixeira,pt POR,"FW,MF",Famalicão,28,1993,8.8,2,0,0,12,21,1,11,4,3,0,0,0,48,2,6,25.0,Matches
Zé Carlos,pt POR,DF,Gil Vicente FC,23,1998,27.3,7,0,0,20,53,3,65,41,35,0,3,0,160,43,33,56.6,Matches
David Carmo,ao ANG,DF,Braga,22,1999,11.0,3,1,0,9,2,1,1,13,4,0,0,1,67,30,17,63.8,Matches
Carraça,pt POR,"DF,MF",B-SAD,28,1993,24.5,11,0,0,33,37,1,157,27,28,0,0,0,133,19,25,43.2,Matches
Anderson Carvalho,br BRA,MF,Santa Clara,31,1990,21.1,10,0,0,35,39,0,9,42,40,0,0,0,117,11,15,42.3,Matches
Duarte Carvalho,pt POR,MF,Estoril,19,2002,0.2,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,100.0,Matches
Vitor Carvalho,br BRA,MF,Gil Vicente FC,24,1997,24.8,9,1,0,62,31,0,1,33,27,0,1,0,153,74,41,64.3,Matches
Cassiano,br BRA,FW,Vizela,32,1989,17.7,6,1,0,41,36,18,19,5,10,0,0,0,31,56,69,44.8,Matches
Mateo Cassierra,co COL,FW,B-SAD,24,1997,1.9,0,0,0,1,1,1,0,0,2,0,0,0,7,2,4,33.3,Matches
Moises Castillo,co COL,"DF,FW",Marítimo,20,2001,0.2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,Matches
André Castro,pt POR,MF,Braga,33,1988,12.8,4,0,0,30,9,0,5,10,11,0,0,0,78,23,28,45.1,Matches
Fernando Castro,br BRA,GK,Arouca,24,1997,6.9,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,100.0,Matches
Tomás Castro,pt POR,MF,B-SAD,22,1999,0.6,0,0,0,2,0,0,3,0,3,0,0,0,3,3,1,75.0,Matches
Geny Catamo,mz MOZ,DF,Sporting CP,20,2001,0.3,0,0,0,1,2,0,1,1,0,0,0,0,4,2,0,100.0,Matches
Geny Catamo,mz MOZ,"FW,MF",Vitória,20,2001,2.5,0,0,0,7,8,0,5,0,1,0,0,0,10,0,0,,Matches
Charles,br BRA,GK,Vizela,27,1994,14.0,1,0,0,1,6,0,0,1,0,0,0,0,12,2,0,100.0,Matches
Francisco Chico,pt POR,"MF,FW",B-SAD,23,1998,6.1,1,0,0,12,14,0,33,5,4,0,0,0,29,5,9,35.7,Matches
Fábio China,pt POR,DF,Marítimo,29,1992,6.4,4,0,0,12,15,1,17,9,6,0,0,0,42,4,6,40.0,Matches
Chiquinho,pt POR,FW,Estoril,21,2000,9.3,5,0,0,25,34,4,39,5,16,2,1,0,39,9,18,33.3,Matches
Chiquinho,pt POR,"MF,FW",Braga,26,1995,2.3,0,0,0,3,4,1,3,1,0,0,0,0,12,1,3,25.0,Matches
André Clóvis,br BRA,FW,Estoril,23,1997,9.7,0,0,0,26,20,12,5,6,2,0,0,0,30,20,33,37.7,Matches
Sebastián Coates,uy URU,DF,Sporting CP,30,1990,29.3,9,1,1,27,17,1,0,42,28,0,0,0,172,94,37,71.8,Matches
Racine Coly,sn SEN,DF,Estoril,25,1995,1.9,1,0,0,3,3,0,4,0,1,0,0,0,4,1,2,33.3,Matches

Francisco Conceição,pt POR,"MF,FW",Porto,18,2002,5.5,1,0,0,10,14,0,12,1,7,0,0,0,28,2,5,28.6,Matches
Rodrigo Conceição,pt POR,"DF,MF",Moreirense,21,2000,4.3,2,1,0,8,7,0,32,3,9,0,0,0,18,4,11,26.7,Matches
Abdu Conté,pt POR,"DF,MF",Moreirense,23,1998,15.3,2,0,0,28,12,0,62,7,10,0,0,0,82,7,5,58.3,Matches
Jeriel Córdova,ve VEN,"FW,MF",Boavista,19,2002,2.3,6,0,0,20,8,2,1,0,4,0,0,0,9,9,8,52.9,Matches
Jesús Corona,mx MEX,"DF,MF",Porto,28,1993,4.3,1,0,0,6,3,0,18,7,1,0,0,0,27,5,5,50.0,Matches
Rui Filipe Cunha Correia,pt POR,MF,Santa Clara,26,1995,13.4,6,0,0,30,36,1,4,19,8,0,0,0,89,6,5,54.5,Matches
Bruno Xavier Almeida Costa,pt POR,"MF,DF",Porto,24,1997,7.5,4,0,0,19,12,0,17,8,8,0,0,0,41,5,4,55.6,Matches
Diogo Costa,pt POR,GK,Porto,21,1999,33.0,2,0,0,0,8,0,0,0,0,0,0,0,40,9,1,90.0,Matches
