Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG/90,Matches
Amine Benchaib,ma MAR,"MF,DF",Charleroi,23,1998,11,0,129,1.4,0,1,1,0,0,0,0,0,0.2,0.0,0.4,0.4,7,9,16,0.00,0.70,0.70,0.00,0.70,0.13,0.26,0.39,0.00,0.26,Matches
Amine Benchaib,ma MAR,MF,Kortrijk,23,1998,5,1,167,1.9,2,0,2,2,0,0,1,0,0.9,0.9,0.2,1.1,4,12,17,1.08,0.00,1.08,1.08,1.08,0.51,0.09,0.59,0.51,0.59,Matches
Tsotne Bendianishvili,ge GEO,MF,Kortrijk,18,2002,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Saido Berahino,bi BDI,"FW,DF",Zulte Waregem,27,1993,4,0,62,0.7,0,0,0,0,0,0,0,0,0.6,0.6,0.0,0.7,0,5,7,0.00,0.00,0.00,0.00,0.00,0.91,0.05,0.96,0.91,0.96,Matches
Antoine Bernier,be BEL,"MF,FW",R.F.C. Seraing,23,1997,29,23,"1,869",20.8,1,2,3,1,0,0,3,0,2.8,2.8,3.1,5.9,77,72,130,0.05,0.10,0.14,0.05,0.14,0.13,0.15,0.28,0.13,0.28,Matches
Barnabás Bese,hu HUN,DF,OH Leuven,27,1994,5,4,254,2.8,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.6,1,5,16,0.00,0.00,0.00,0.00,0.00,0.11,0.11,0.22,0.11,0.22,Matches
Loïc Bessile,tg TOG,DF,Charleroi,22,1999,17,14,"1,180",13.1,2,0,2,2,0,0,2,0,1.9,1.9,0.7,2.6,21,91,6,0.15,0.00,0.15,0.15,0.15,0.15,0.05,0.20,0.15,0.20,Matches
Roman Bezus,ua UKR,"MF,FW",Gent,30,1990,21,8,989,11.0,3,4,7,2,1,2,4,0,4.5,2.6,3.4,6.1,29,64,72,0.27,0.36,0.64,0.18,0.55,0.41,0.31,0.72,0.24,0.55,Matches
Wouter Biebauw,be BEL,GK,Beerschot,37,1984,8,8,719,8.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Lucas Bijker,nl NED,DF,Mechelen,28,1993,25,25,"2,073",23.0,0,1,1,0,0,0,4,0,0.3,0.3,0.8,1.0,29,127,60,0.00,0.04,0.04,0.00,0.04,0.01,0.03,0.04,0.01,0.04,Matches
