Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,npxG + xAG/90,Matches
Magnus Kofod Andersen,dk DEN,MF,Nordsjælland,22,1999,31,28,"2,403",26.7,1,0,1,1,0,0,3,0,0.04,0.00,0.04,0.04,0.04,Matches
Marius Kolind,dk DEN,FW,Vejle BK,19,2002,2,0,46,0.5,1,0,1,1,0,0,1,0,1.96,0.00,1.96,1.96,1.96,Matches
Denis Kolinger,hr CRO,DF,Vejle BK,27,1994,29,29,"2,559",28.4,1,0,1,1,0,0,9,0,0.04,0.00,0.04,0.04,0.04,Matches
Björn Kopplin,de GER,DF,Randers,32,1989,29,26,"2,435",27.1,0,2,2,0,0,0,5,0,0.00,0.07,0.07,0.00,0.07,Matches
Emil Kornvig,dk DEN,MF,SønderjyskE,21,2000,23,17,"1,364",15.2,2,0,2,2,0,0,4,0,0.13,0.00,0.13,0.13,0.13,Matches
Lars Kramer,nl NED,DF,Viborg,22,1999,23,20,"1,824",20.3,4,0,4,4,0,0,5,2,0.20,0.00,0.20,0.20,0.20,Matches
Thomas Kristensen,dk DEN,DF,AGF,19,2002,11,8,729,8.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Kristófer Kristinsson,is ISL,FW,SønderjyskE,22,1999,20,7,664,7.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Willy Kumado,gh GHA,MF,Nordsjælland,18,2002,2,0,46,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Dawid Kurminowski,pl POL,FW,AGF,22,1999,25,11,967,10.7,2,0,2,2,0,0,0,0,0.19,0.00,0.19,0.19,0.19,Matches
Kasper Kusk,dk DEN,"MF,FW",Aalborg,29,1991,26,14,"1,270",14.1,4,7,11,4,0,0,0,0,0.28,0.50,0.78,0.28,0.78,Matches
Mathias Kvistgaarden,dk DEN,FW,Brøndby,19,2002,16,8,758,8.4,5,1,6,5,0,0,1,0,0.59,0.12,0.71,0.59,0.71,Matches
Kasper Larsen,dk DEN,DF,Odense,28,1993,22,22,"1,915",21.3,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches

Nicolai Larsen,dk DEN,GK,Silkeborg,30,1991,31,31,"2,790",31.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Frederik Lauenborg,dk DEN,MF,Randers,24,1997,27,20,"1,774",19.7,0,1,1,0,0,0,2,0,0.00,0.05,0.05,0.00,0.05,Matches
Jesper Lauridsen,dk DEN,DF,Randers,30,1991,20,2,433,4.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Mads Lauritsen,dk DEN,DF,Viborg,28,1993,28,27,"2,346",26.1,2,0,2,2,0,0,8,1,0.08,0.00,0.08,0.08,0.08,Matches
