Player,Nation,Position,Squad,Age,Year of birth,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,Penalty Kicks Made,Penalty Kicks Attempted,xG: Expected Goals,npxG: Non-Penalty xG,npxG/Shot,Goals - xG,Non-Penalty Goals - npxG,Matches
Jakub Kiwior,pl POL,MF,Spezia,21,2000,21.8,0,8,4,50.0,0.37,0.18,0.00,0.00,14.4,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
Sofian Kiyine,ma MAR,"MF,FW",Venezia,23,1997,13.8,1,20,5,25.0,1.45,0.36,0.05,0.20,27.5,2,0,1,1.5,0.6,0.03,-0.5,+0.4,Matches
Simon Kjær,dk DEN,DF,Milan,32,1989,8.9,0,5,1,20.0,0.56,0.11,0.00,0.00,9.2,0,0,0,0.5,0.5,0.09,-0.5,-0.5,Matches
Aleksandr Kokorin,ru RUS,"FW,MF",Fiorentina,30,1991,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Aleksandar Kolarov,rs SRB,DF,Inter,35,1985,0.5,0,1,0,0.0,2.14,0.00,0.00,,37.8,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
Teun Koopmeiners,nl NED,MF,Atalanta,23,1998,23.6,4,28,9,32.1,1.19,0.38,0.14,0.44,23.9,3,0,0,1.7,1.7,0.06,+2.3,+2.3,Matches
Kalidou Koulibaly,sn SEN,DF,Napoli,30,1991,26.7,3,10,7,70.0,0.37,0.26,0.30,0.43,14.9,0,0,0,1.3,1.3,0.13,+1.7,+1.7,Matches
Christos Kourfalidis,gr GRE,"MF,FW",Cagliari,18,2002,0.2,0,1,1,100.0,5.00,5.00,0.00,0.00,8.6,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches
Viktor Kovalenko,ua UKR,MF,Spezia,25,1996,14.7,1,8,2,25.0,0.54,0.14,0.13,0.50,24.2,1,0,0,0.3,0.3,0.04,+0.7,+0.7,Matches
Julian Kristoffersen,no NOR,FW,Salernitana,24,1997,0.1,0,1,0,0.0,12.86,0.00,0.00,,12.6,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Rade Krunić,ba BIH,"MF,FW",Milan,27,1993,15.7,0,10,2,20.0,0.64,0.13,0.00,0.00,16.2,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches
Dejan Kulusevski,se SWE,"FW,MF",Juventus,21,2000,8.6,1,18,6,33.3,2.10,0.70,0.06,0.17,15.1,0,0,0,1.7,1.7,0.10,-0.7,-0.7,Matches
Marash Kumbulla,al ALB,DF,Roma,21,2000,11.4,0,7,3,42.9,0.61,0.26,0.00,0.00,6.7,0,0,0,0.8,0.8,0.12,-0.8,-0.8,Matches
Giorgos Kyriakopoulos,gr GRE,"DF,FW",Sassuolo,25,1996,21.9,0,30,10,33.3,1.37,0.46,0.00,0.00,23.2,0,0,0,1.1,1.1,0.04,-1.1,-1.1,Matches
Andrea La Mantia,it ITA,"FW,MF",Empoli,30,1991,5.4,2,17,3,17.6,3.14,0.55,0.12,0.67,11.1,0,0,0,1.8,1.8,0.11,+0.2,+0.2,Matches
Sam Lammers,nl NED,"FW,MF",Atalanta,24,1997,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
