Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,npxG + xAG/90,Matches
Petros Mantalos,gr GRE,"MF,FW",AEK Athens,30,1991,30,6,875,9.7,2,5,7,2,0,0,5,0,0.21,0.51,0.72,0.21,0.72,Matches
Vassilis Mantzis,gr GRE,FW,Ionikos,30,1991,32,29,"2,544",28.3,6,2,8,6,0,0,5,0,0.21,0.07,0.28,0.21,0.28,Matches
Marcelo,br BRA,"DF,MF",Olympiacos,34,1988,5,0,97,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Marko Marić,hr CRO,GK,Atromitos,26,1996,2,1,155,1.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Nikos Marinakis,gr GRE,"DF,MF",OFI Crete,28,1993,13,7,583,6.5,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
Matej Marković,ba BIH,GK,Levadiakos,26,1996,14,14,"1,260",14.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Gustavo Marmentini,br BRA,MF,PAS Lamia,28,1994,6,0,108,1.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Johan Mårtensson,se SWE,MF,Panetolikos,33,1989,27,17,"1,672",18.6,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
Rubén Martínez,es ESP,MF,PAS Lamia,32,1989,17,14,"1,080",12.0,3,0,3,3,0,0,1,0,0.25,0.00,0.25,0.25,0.25,Matches
Giorgos Masouras,gr GRE,MF,Olympiacos,28,1994,33,15,"1,428",15.9,4,1,5,4,0,0,4,0,0.25,0.06,0.32,0.25,0.32,Matches
Javier Matilla,es ESP,MF,Volos NFC,33,1988,13,4,397,4.4,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
Theofanis Mavromatis,gr GRE,DF,Atromitos,25,1997,18,15,"1,323",14.7,0,2,2,0,0,0,4,0,0.00,0.14,0.14,0.00,0.14,Matches
Bradley Mazikou,cg CGO,DF,Aris,26,1996,28,21,"1,930",21.4,0,2,2,0,0,0,3,0,0.00,0.09,0.09,0.00,0.09,Matches
Jeison Medina,co COL,FW,PAS Lamia,27,1995,8,5,455,5.1,1,0,1,1,0,1,2,0,0.20,0.00,0.20,0.20,0.20,Matches
Alfredo Mejía,hn HON,MF,Levadiakos,32,1990,29,27,"2,133",23.7,1,2,3,1,0,0,5,0,0.04,0.08,0.13,0.04,0.13,Matches

Miguel Mellado,ar ARG,MF,OFI Crete,29,1993,27,27,"2,190",24.3,2,0,2,2,0,0,10,0,0.08,0.00,0.08,0.08,0.08,Matches
Ahmad Mendes Moreira,gn GUI,"FW,MF",PAS Giannina,27,1995,31,25,"2,191",24.3,1,5,6,1,0,0,7,0,0.04,0.21,0.25,0.04,0.25,Matches
Javier Mendoza,ar ARG,MF,Ionikos,29,1992,10,5,468,5.2,2,0,2,2,0,0,3,0,0.38,0.00,0.38,0.38,0.38,Matches
Dimitris Metaxas,gr GRE,MF,Volos NFC,18,2003,21,14,"1,150",12.8,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
Nicolás Mezquida,uy URU,MF,Volos NFC,30,1992,22,14,"1,012",11.2,1,2,3,1,0,0,4,0,0.09,0.18,0.27,0.09,0.27,Matches
Federico Milo,ar ARG,DF,Ionikos,30,1992,7,2,255,2.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Gerasimos Mitoglou,gr GRE,DF,AEK Athens,22,1999,8,5,461,5.1,1,0,1,1,0,0,0,0,0.20,0.00,0.20,0.20,0.20,Matches
Sebastian Mladen,ro ROU,"MF,DF",Panetolikos,30,1991,31,29,"2,528",28.1,0,1,1,0,0,0,10,0,0.00,0.04,0.04,0.00,0.04,Matches
Milad Mohammadi,ir IRN,DF,AEK Athens,28,1993,13,8,769,8.5,0,1,1,0,0,0,0,0,0.00,0.12,0.12,0.00,0.12,Matches
Jonathan Morsay,sl SLE,"FW,MF",Panetolikos,24,1997,24,14,"1,194",13.3,1,2,3,1,0,0,2,0,0.08,0.15,0.23,0.08,0.23,Matches
Harold Moukoudi,cm CMR,DF,AEK Athens,24,1997,27,26,"2,335",25.9,2,0,2,2,0,0,5,0,0.08,0.00,0.08,0.08,0.08,Matches
Mattheos Mountes,gr GRE,MF,Atromitos,18,2003,1,0,13,0.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Thierry Moutinho,pt POR,"MF,FW",Levadiakos,31,1991,17,16,"1,389",15.4,3,1,4,2,1,2,2,0,0.19,0.06,0.26,0.13,0.19,Matches
Juan Muñiz,es ESP,"MF,FW",Atromitos,30,1992,11,7,502,5.6,1,0,1,1,0,1,3,0,0.18,0.00,0.18,0.18,0.18,Matches
Thomas Murg,at AUT,MF,PAOK,27,1994,4,1,27,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Georgios Mygas,gr GRE,"DF,MF",Ionikos,28,1994,14,14,"1,251",13.9,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
Khaled Narey,tg TOG,MF,PAOK,28,1994,27,25,"2,089",23.2,7,9,16,7,0,0,2,0,0.30,0.39,0.69,0.30,0.69,Matches
Ivan Näsberg,no NOR,DF,PAOK,26,1996,12,8,794,8.8,1,0,1,1,0,0,1,0,0.11,0.00,0.11,0.11,0.11,Matches
Juan Neira,ar ARG,"MF,FW",OFI Crete,33,1989,15,6,561,6.2,2,1,3,2,0,0,6,0,0.32,0.16,0.48,0.32,0.48,Matches
Giorgos Nikas,gr GRE,"MF,FW",Levadiakos,22,1999,30,24,"2,068",23.0,6,0,6,4,2,2,5,0,0.26,0.00,0.26,0.17,0.17,Matches
Evangelos Nikolaou,gr GRE,MF,Panetolikos,18,2004,1,0,17,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Sotiris Ninis,gr GRE,MF,PAS Giannina,32,1990,9,2,343,3.8,0,0,0,0,0,1,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Nicolas Nkoulou,cm CMR,DF,Aris,32,1990,17,11,"1,109",12.3,1,0,1,1,0,0,1,0,0.08,0.00,0.08,0.08,0.08,Matches
Afeez Nosiru,ng NGA,MF,Panetolikos,24,1998,2,0,32,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Antonis Ntentakis,gr GRE,DF,Levadiakos,27,1995,10,5,513,5.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches

Andreas Ntoi,gr GRE,DF,Olympiacos,19,2003,21,18,"1,654",18.4,1,1,2,1,0,0,3,0,0.05,0.05,0.11,0.05,0.11,Matches
Cristopher Núñez,cr CRC,"MF,FW",PAS Lamia,24,1997,29,24,"2,027",22.5,3,0,3,3,0,0,6,0,0.13,0.00,0.13,0.13,0.13,Matches
Moses Odubajo,eng ENG,DF,Aris,29,1993,25,20,"1,863",20.7,2,1,3,2,0,0,7,0,0.10,0.05,0.14,0.10,0.14,Matches
Reagy Ofosu,de GER,FW,Ionikos,30,1991,3,1,107,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Antonios Oikonomopoulos,gr GRE,DF,Volos NFC,24,1998,5,1,136,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Nélson Oliveira,pt POR,FW,PAOK,30,1991,32,24,"1,985",22.1,7,1,8,6,1,1,4,0,0.32,0.05,0.36,0.27,0.32,Matches
Viðar Örn Kjartansson,is ISL,FW,Atromitos,32,1990,31,18,"1,592",17.7,6,0,6,5,1,1,1,0,0.34,0.00,0.34,0.28,0.28,Matches
Ismahila Ouédraogo,bf BFA,MF,Volos NFC,22,1999,1,0,34,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Ognjen Ožegović,rs SRB,FW,Volos NFC,28,1994,25,22,"1,935",21.5,6,0,6,5,1,1,4,0,0.28,0.00,0.28,0.23,0.23,Matches
Sebastián Palacios,ar ARG,"MF,FW",Panathinaikos,30,1992,33,29,"2,419",26.9,6,1,7,6,0,0,2,0,0.22,0.04,0.26,0.22,0.26,Matches
Giorgos Pamlidis,gr GRE,"FW,MF",PAS Giannina,28,1993,28,24,"1,922",21.4,6,1,7,6,0,0,4,0,0.28,0.05,0.33,0.28,0.33,Matches
Stavros Panagiotou,gr GRE,"DF,MF",Levadiakos,29,1993,19,16,"1,298",14.4,1,0,1,1,0,0,5,0,0.07,0.00,0.07,0.07,0.07,Matches
Epaminondas Pantelakis,gr GRE,DF,PAS Giannina,27,1995,25,23,"1,944",21.6,1,0,1,1,0,0,5,1,0.05,0.00,0.05,0.05,0.05,Matches
Kyriakos Papadopoulos,gr GRE,DF,PAS Lamia,30,1992,10,9,819,9.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Nikos Papadopoulos,gr GRE,GK,Asteras Tripoli,32,1990,26,26,"2,340",26.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Sokratis Papastathopoulos,gr GRE,DF,Olympiacos,34,1988,27,26,"2,326",25.8,2,0,2,2,0,0,8,1,0.08,0.00,0.08,0.08,0.08,Matches
Triantafyllos Pasaridīs,gr GRE,DF,OFI Crete,26,1996,22,21,"1,708",19.0,0,1,1,0,0,0,8,1,0.00,0.05,0.05,0.00,0.05,Matches
Alexandros Paschalakis,gr GRE,GK,Olympiacos,33,1989,24,24,"2,160",24.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Aleksandr Pavlovets,by BLR,DF,PAS Lamia,25,1996,3,3,201,2.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Oliver Paz Benítez,ar ARG,DF,PAS Lamia,31,1991,2,0,2,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Gonzalo Paz,ar ARG,DF,Levadiakos,29,1993,12,12,"1,008",11.2,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
Marvin Peersman,be BEL,DF,Aris,31,1991,29,24,"2,096",23.3,0,3,3,0,0,0,4,0,0.00,0.13,0.13,0.00,0.13,Matches
Luis Perea,es ESP,MF,OFI Crete,24,1997,26,13,"1,406",15.6,1,0,1,1,0,0,6,0,0.06,0.00,0.06,0.06,0.06,Matches
Pedro Pérez Conde,es ESP,FW,PAS Giannina,34,1988,5,3,247,2.7,1,0,1,1,0,0,0,0,0.36,0.00,0.36,0.36,0.36,Matches
Rubén Pérez,es ESP,MF,Panathinaikos,33,1989,35,33,"2,921",32.5,0,2,2,0,0,0,8,0,0.00,0.06,0.06,0.00,0.06,Matches

Adrian Petre,ro ROU,FW,Levadiakos,24,1998,5,3,229,2.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Luiz Phellype,br BRA,FW,OFI Crete,28,1993,9,3,350,3.9,1,0,1,1,0,0,1,0,0.26,0.00,0.26,0.26,0.26,Matches
Stavros Pilios,gr GRE,DF,PAS Giannina,21,2000,23,23,"2,070",23.0,0,2,2,0,0,0,5,0,0.00,0.09,0.09,0.00,0.09,Matches
Orbelín Pineda,mx MEX,"MF,FW",AEK Athens,26,1996,36,31,"2,534",28.2,9,2,11,9,0,0,5,0,0.32,0.07,0.39,0.32,0.39,Matches
Pipa,es ESP,DF,Olympiacos,24,1998,11,7,682,7.6,0,1,1,0,0,0,1,0,0.00,0.13,0.13,0.00,0.13,Matches
Frederico Pires Duarte,pt POR,"MF,FW",Panetolikos,23,1999,25,14,"1,413",15.7,1,1,2,1,0,0,3,0,0.06,0.06,0.13,0.06,0.13,Matches
Felipe Pires,br BRA,"MF,FW",Volos NFC,27,1995,17,11,937,10.4,1,0,1,1,0,0,2,1,0.10,0.00,0.10,0.10,0.10,Matches
Juha Pirinen,fi FIN,DF,Volos NFC,30,1991,24,15,"1,443",16.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Vasilios Poghosyan,gr GRE,MF,Ionikos,24,1998,2,0,15,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Achilleas Poungouras,gr GRE,DF,Panathinaikos,26,1995,8,6,631,7.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Louis Poznanski,de GER,"DF,MF",PAS Giannina,21,2001,3,3,260,2.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Jérôme Prior,fr FRA,GK,PAS Giannina,26,1995,3,3,231,2.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Giorgos Prountzos,gr GRE,MF,Asteras Tripoli,18,2003,5,1,124,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
