Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,npxG + xAG/90,Matches

Adrian Dziedzic,pl POL,MF,Górnik Zabrze,18,2003,10,1,238,2.6,0,1,1,0,0,0,1,0,0.00,0.38,0.38,0.00,0.38,Matches
Xavier Dziekonski,pl POL,GK,Jagiellonia,17,2003,10,10,900,10.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Daniel Dziwniel,pl POL,"MF,DF",Górnik Łęczna,28,1992,19,13,"1,137",12.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Wiktor Długosz,pl POL,MF,RKS Raków,21,2000,17,5,704,7.8,1,0,1,1,0,0,0,0,0.13,0.00,0.13,0.13,0.13,Matches
Erik Expósito,es ESP,FW,Śląsk Wrocław,25,1996,28,24,"2,091",23.2,11,2,13,10,1,1,8,0,0.47,0.09,0.56,0.43,0.52,Matches
Enis Fazlagikj,mk MKD,MF,Wisła Kraków,21,2000,13,11,"1,010",11.2,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
Luis Fernández,es ESP,"MF,FW",Wisła Kraków,27,1993,9,6,624,6.9,3,0,3,2,1,1,1,0,0.43,0.00,0.43,0.29,0.29,Matches
Nikodem Fiedosewicz,pl POL,MF,Warta Poznań,23,1998,3,0,7,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Marcin Flis,pl POL,DF,Stal Mielec,27,1994,27,26,"2,355",26.2,1,0,1,1,0,0,7,0,0.04,0.00,0.04,0.04,0.04,Matches
Mariusz Fornalczyk,pl POL,MF,Pogoń Szczecin,18,2003,18,6,508,5.6,2,1,3,2,0,0,3,0,0.35,0.18,0.53,0.35,0.53,Matches
Michal Frydrych,cz CZE,DF,Wisła Kraków,31,1990,31,31,"2,639",29.3,4,1,5,4,0,0,3,3,0.14,0.03,0.17,0.14,0.17,Matches
Dominik Furman,pl POL,MF,Wisła Płock,29,1992,25,17,"1,565",17.4,0,2,2,0,0,0,6,2,0.00,0.12,0.12,0.00,0.12,Matches
Luka Gagnidze,ge GEO,MF,RKS Raków,18,2003,1,0,11,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Maciej Gajos,pl POL,MF,Lechia Gdańsk,30,1991,31,26,"2,261",25.1,4,1,5,3,1,1,3,0,0.16,0.04,0.20,0.12,0.16,Matches
Víctor García Marín,es ESP,"MF,DF",Śląsk Wrocław,27,1994,24,15,"1,465",16.3,1,2,3,1,0,0,2,1,0.06,0.12,0.18,0.06,0.18,Matches
Damian Gąska,pl POL,"MF,FW",Górnik Łęczna,24,1996,27,21,"1,740",19.3,5,4,9,5,0,0,4,0,0.26,0.21,0.47,0.26,0.47,Matches
Fryderyk Gerbowski,pl POL,MF,Wisła Płock,18,2003,18,8,850,9.4,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
Roman Gergel,sk SVK,"FW,MF",Bruk-Bet Termalica Nieciecza,33,1988,19,11,934,10.4,0,1,1,0,0,1,1,0,0.00,0.10,0.10,0.00,0.10,Matches
Gerson,br BRA,DF,Górnik Łęczna,29,1992,10,9,747,8.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Krystian Getinger,pl POL,"MF,DF",Stal Mielec,32,1988,31,31,"2,704",30.0,2,6,8,2,0,0,8,1,0.07,0.20,0.27,0.07,0.27,Matches
Virgil Ghiță,ro ROU,DF,Cracovia,23,1998,10,10,818,9.1,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Michał Gliwa,pl POL,GK,Stal Mielec,33,1988,3,3,270,3.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Janusz Gol,pl POL,MF,Górnik Łęczna,35,1985,29,29,"2,462",27.4,4,2,6,4,0,0,12,2,0.15,0.07,0.22,0.15,0.22,Matches
Michal Golinski,pl POL,MF,Górnik Łęczna,21,2000,15,11,824,9.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Wojciech Golla,pl POL,DF,Śląsk Wrocław,29,1992,31,31,"2,736",30.4,0,4,4,0,0,0,7,0,0.00,0.13,0.13,0.00,0.13,Matches

Rui Gomes,pt POR,FW,Legia Warsaw,23,1997,1,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Alexander Gorgon,at AUT,MF,Pogoń Szczecin,32,1988,1,0,17,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Maciej Gostomski,pl POL,GK,Górnik Łęczna,32,1988,32,32,"2,880",32.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
