Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG/90,Matches
Fabio Vieira,pt POR,"MF,FW",Porto,21,2000,27,15,"1,329",14.8,6,11,17,6,0,0,2,0,3.8,3.7,5.2,9.0,39,100,112,0.41,0.74,1.15,0.41,1.15,0.26,0.36,0.62,0.25,0.61,Matches
Mikel Villanueva,ve VEN,DF,Santa Clara,28,1993,21,20,"1,786",19.8,0,0,0,0,0,0,8,0,0.4,0.4,0.2,0.7,1,38,2,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches
Rúben Vinagre,pt POR,"DF,MF",Sporting CP,22,1999,12,7,544,6.0,0,1,1,0,0,0,2,0,0.1,0.1,0.6,0.7,32,20,58,0.00,0.17,0.17,0.00,0.17,0.01,0.10,0.11,0.01,0.11,Matches
Carlos Vinícius,br BRA,FW,Benfica,26,1995,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
João Virgínia,pt POR,GK,Sporting CP,21,1999,1,1,78,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Bernardo Vital,pt POR,DF,Estoril,20,2000,17,15,"1,389",15.4,1,0,1,1,0,0,3,1,0.3,0.3,0.0,0.3,10,44,1,0.06,0.00,0.06,0.06,0.06,0.02,0.00,0.02,0.02,0.02,Matches
Vitinha,pt POR,FW,Braga,21,2000,24,16,"1,473",16.4,7,2,9,7,0,0,2,1,5.6,5.6,1.9,7.5,46,25,113,0.43,0.12,0.55,0.43,0.55,0.34,0.11,0.46,0.34,0.46,Matches
Vitinha,pt POR,MF,Porto,21,2000,30,27,"2,251",25.0,2,3,5,2,0,0,3,0,3.2,3.2,4.5,7.7,69,206,40,0.08,0.12,0.20,0.08,0.20,0.13,0.18,0.31,0.13,0.31,Matches
Steven Vitória,ca CAN,DF,Moreirense,34,1987,18,16,"1,424",15.8,2,0,2,1,1,2,11,2,4.3,2.7,0.1,2.9,2,24,3,0.13,0.00,0.13,0.06,0.06,0.27,0.01,0.28,0.17,0.18,Matches
Odisseas Vlachodimos,gr GRE,GK,Benfica,27,1994,32,32,"2,880",32.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
