Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG/90,Matches
André Ramalho,br BRA,DF,PSV Eindhoven,30,1992,28,20,"1,832",20.4,0,0,0,0,0,0,2,0,1.0,1.0,0.1,1.1,11,78,0,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches
Bart Ramselaar,nl NED,FW,Utrecht,26,1996,9,3,346,3.8,0,0,0,0,0,0,1,0,0.5,0.5,0.7,1.2,9,6,26,0.00,0.00,0.00,0.00,0.00,0.13,0.18,0.31,0.13,0.31,Matches
Christian Rasmussen,dk DEN,FW,Ajax,19,2003,2,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0,0,1,0.00,0.00,0.00,0.00,0.00,0.79,7.31,8.10,0.79,8.10,Matches

Jacob Rasmussen,dk DEN,DF,Feyenoord,25,1997,10,8,663,7.4,1,1,2,1,0,0,0,0,0.4,0.4,0.2,0.6,9,56,1,0.14,0.14,0.27,0.14,0.27,0.06,0.02,0.08,0.06,0.08,Matches
Givairo Read,nl NED,DF,Volendam,16,2006,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Daishawn Redan,nl NED,FW,Utrecht,21,2001,14,10,732,8.1,1,0,1,1,0,0,1,0,3.3,3.3,0.9,4.2,18,12,49,0.12,0.00,0.12,0.12,0.12,0.40,0.12,0.52,0.40,0.52,Matches
Youri Regeer,nl NED,"DF,MF",Ajax,18,2003,3,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Gyan de Regt,nl NED,"FW,MF",Vitesse,19,2002,2,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Tijjani Reijnders,nl NED,MF,AZ Alkmaar,24,1998,34,34,"3,046",33.8,3,6,9,3,0,0,4,0,5.6,5.6,7.1,12.7,100,257,92,0.09,0.18,0.27,0.09,0.27,0.17,0.21,0.38,0.17,0.38,Matches
Francisco Reis Ferreira,pt POR,DF,Vitesse,25,1997,9,6,556,6.2,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.4,4,18,2,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06,Matches
Daan Reiziger,nl NED,GK,Vitesse,21,2001,8,6,576,6.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Omar Rekik,tn TUN,"DF,MF",Sparta R'dam,20,2001,6,0,33,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Devyne Rensch,nl NED,DF,Ajax,19,2003,26,26,"2,029",22.5,3,1,4,3,0,0,2,1,1.9,1.9,1.0,2.9,32,142,142,0.13,0.04,0.18,0.13,0.18,0.08,0.05,0.13,0.08,0.13,Matches
Ben Rienstra,nl NED,"MF,DF",Cambuur,32,1990,4,1,150,1.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,10,2,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05,Matches
Rocco Robert Shein,ee EST,MF,Utrecht,19,2003,5,0,114,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,9,4,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
