Player,Nation,Position,Squad,Age,Year of birth,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Matches
Georgios Konstantakopoulos,gr GRE,MF,AO Kifisia,18,2004,5.1,1,0,0,,,,,,,,,0,Matches
Giannis Konstantelias,gr GRE,MF,PAOK,20,2003,22.5,4,0,0,,,,,,,,,0,Matches
Vasilios Kontonikos,gr GRE,MF,PAS Lamia,17,2005,2.4,2,0,0,,,,,,,,,0,Matches
Georgios Kornezos,gr GRE,DF,PAS Lamia,25,1998,14.8,3,0,0,,,,,,,,,1,Matches
Alexei Koșelev,md MDA,GK,PAS Lamia,29,1993,33.0,3,0,0,,,,,,,,,0,Matches
Giorgos Kosteas,gr GRE,FW,Asteras Tripoli,20,2003,0.8,0,0,0,,,,,,,,,0,Matches
Ivan Kostić,rs SRB,GK,Volos NFC,27,1995,10.0,2,0,0,,,,,,,,,0,Matches
Dominik Kotarski,hr CRO,GK,PAOK,23,2000,34.0,3,0,0,,,,,,,,,0,Matches
Giannis Kotsiras,gr GRE,"DF,MF",Panathinaikos,30,1992,26.2,1,0,0,,,,,,,,,0,Matches
Konstantinos Koulierakis,gr GRE,DF,PAOK,19,2003,20.5,6,0,0,,,,,,,,,0,Matches
Dániel Kovács,hu HUN,GK,Volos NFC,29,1994,13.0,2,0,0,,,,,,,,,0,Matches
Ögmundur Kristinsson,is ISL,GK,AO Kifisia,34,1989,7.0,1,0,0,,,,,,,,,0,Matches
Dominik Kružliak,sk SVK,DF,Volos NFC,27,1996,2.5,2,0,0,,,,,,,,,0,Matches

Andreas Kuen,at AUT,MF,Atromitos,28,1995,12.4,2,0,0,,,,,,,,,0,Matches
Pierre Kunde,cm CMR,MF,Atromitos,28,1995,22.7,5,2,1,,,,,,,,,0,Matches
Iason Kyrkos,gr GRE,MF,PAS Giannina,20,2003,1.9,1,0,0,,,,,,,,,0,Matches
Toshio Lake,nl NED,MF,PAS Lamia,22,2001,5.9,0,0,0,,,,,,,,,0,Matches
Vassilis Lambropoulos,gr GRE,DF,OFI Crete,33,1990,17.0,3,0,0,,,,,,,,,1,Matches
Loïck Landre,fr FRA,DF,AO Kifisia,31,1992,8.1,3,0,0,,,,,,,,,0,Matches
Eric Larsson,se SWE,"DF,MF",OFI Crete,32,1991,20.3,4,0,0,,,,,,,,,0,Matches
Fabiano Leismann,br BRA,DF,Aris,31,1991,25.9,6,0,0,,,,,,,,,0,Matches
