Player,Nation,Position,Squad,Age,Year of birth,90s Played,Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Passes Blocked,Interceptions,Tkl+Int,Clearances,Errors,Matches
Braian Cufré,ar ARG,DF,Mallorca,25,1996,2.4,5,2,2,1,2,2,5,40.0,3,2,1,1,2,7,1,0,Matches
Matheus Cunha,br BRA,"FW,MF",Atlético Madrid,23,1999,4.2,4,1,1,3,0,0,3,0.0,3,4,1,3,2,6,3,0,Matches
Curro,es ESP,MF,Almería,26,1996,0.5,2,0,1,1,0,1,2,50.0,1,0,0,0,0,2,0,0,Matches
Arnaut Danjuma,nl NED,FW,Villarreal,25,1997,5.3,3,3,1,0,2,1,2,50.0,1,0,0,0,0,3,1,1,Matches
Sergi Darder,es ESP,MF,Espanyol,28,1993,36.9,69,38,12,43,14,29,73,39.7,44,34,2,32,24,93,23,0,Matches
Rodrigo De Paul,ar ARG,MF,Atlético Madrid,28,1994,21.4,35,21,11,18,6,18,35,51.4,17,20,3,17,8,43,7,0,Matches
Alberto Del Moral,es ESP,MF,Villarreal,22,2000,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Thomas Delaney,dk DEN,MF,Sevilla,30,1991,3.4,4,2,0,4,0,3,5,60.0,2,3,2,1,4,8,3,0,Matches
Fran Delgado,es ESP,DF,Betis,21,2001,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Ousmane Dembélé,fr FRA,FW,Barcelona,25,1997,15.7,19,12,4,8,7,4,15,26.7,11,10,1,9,0,19,2,0,Matches
Mouctar Diakhaby,gn GUI,DF,Valencia,25,1996,27.2,30,16,19,11,0,13,20,65.0,7,30,17,13,20,50,111,2,Matches
Mamady Diarra,ml MLI,"MF,DF",Cádiz,22,2000,0.7,2,1,2,0,0,1,2,50.0,1,2,0,2,0,2,0,0,Matches
Youba Diarra,ml MLI,MF,Cádiz,24,1998,1.1,3,0,2,1,0,1,5,20.0,4,7,1,6,2,5,3,0,Matches
Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,28,1993,36.9,1,0,1,0,0,1,2,50.0,1,2,0,2,1,2,17,3,Matches
Djené,tg TOG,DF,Getafe,30,1991,31.6,41,28,23,17,1,22,38,57.9,16,25,10,15,42,83,81,1,Matches
Marko Dmitrović,rs SRB,GK,Sevilla,30,1992,14.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,6,0,Matches
Matt Doherty,ie IRL,DF,Atlético Madrid,30,1992,0.2,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0,Matches
Kasper Dolberg,dk DEN,FW,Sevilla,24,1997,2.2,1,0,0,1,0,1,3,33.3,2,0,0,0,0,1,5,0,Matches

Carlos Dominguez,es ESP,DF,Celta Vigo,21,2001,1.2,1,1,0,1,0,1,2,50.0,1,1,1,0,0,1,7,0,Matches
John Donald,es ESP,"MF,DF",Elche,21,2000,12.1,20,11,9,9,2,7,14,50.0,7,14,7,7,14,34,23,1,Matches
Domingos Duarte,pt POR,DF,Getafe,27,1995,29.5,26,18,21,5,0,19,26,73.1,7,29,23,6,39,65,145,0,Matches
Pablo Durán,es ESP,"MF,DF",Celta Vigo,21,2001,0.4,0,0,0,0,0,0,0,,0,2,1,1,1,1,2,0,Matches
Hugo Duro,es ESP,FW,Valencia,22,1999,15.4,15,12,2,6,7,7,17,41.2,10,11,1,10,2,17,7,1,Matches
Íñigo Eguaras,es ESP,MF,Almería,30,1992,10.7,11,8,4,6,1,5,18,27.8,13,9,3,6,6,17,15,0,Matches
Aritz Elustondo,es ESP,DF,Real Sociedad,28,1994,16.1,26,17,15,10,1,14,26,53.8,12,15,6,9,20,46,43,1,Matches
Rodrigo Ely,br BRA,DF,Almería,28,1993,35.1,30,21,26,4,0,18,25,72.0,7,46,33,13,31,61,203,1,Matches
Adri Embarba,es ESP,"FW,MF",Almería,30,1992,16.4,50,27,21,26,3,22,46,47.8,24,23,0,23,9,59,9,0,Matches
Adri Embarba,es ESP,FW,Espanyol,30,1992,0.4,1,0,0,1,0,1,1,100.0,0,1,0,1,0,1,0,0,Matches
Youssef En-Nesyri,ma MAR,FW,Sevilla,25,1997,18.5,16,8,3,7,6,4,14,28.6,10,6,2,4,4,20,16,0,Matches
