Player,Nation,Position,Squad,Age,Year of birth,90s Played,Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Passes Blocked,Interceptions,Tkl+Int,Clearances,Errors,Matches
Volnei Feltes,br BRA,DF,Estoril,23,2000,16.4,19,15,10,9,0,8,24,33.3,16,21,14,7,21,40,55,2,Matches
Jorge Filipe Oliveira Fernandes,pt POR,DF,Vitória,26,1997,27.1,52,39,29,22,1,38,68,55.9,30,35,11,24,26,78,115,0,Matches
Martim Fernandes,pt POR,DF,Porto,17,2006,2.8,10,6,6,3,1,6,7,85.7,1,2,0,2,5,15,7,0,Matches
Mateus Fernandes,pt POR,MF,Estoril,19,2004,24.8,79,46,28,40,11,39,78,50.0,39,44,6,38,25,104,16,2,Matches

Mateus Fernandes,pt POR,FW,Sporting CP,19,2004,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Rafael Fernandes,pt POR,DF,Arouca,21,2002,8.3,12,8,8,2,2,6,7,85.7,1,6,5,1,9,21,31,0,Matches
Roger Fernandes,gw GNB,"MF,FW",Braga,17,2005,7.5,16,11,3,10,3,9,20,45.0,11,10,0,10,4,20,3,0,Matches
Rúben Fernandes,pt POR,DF,Gil Vicente FC,37,1986,29.0,18,11,15,3,0,9,21,42.9,12,33,19,14,35,53,117,1,Matches
Vasco Fernandes,pt POR,DF,Casa Pia,36,1986,10.0,8,5,7,1,0,5,9,55.6,4,13,6,7,10,18,29,0,Matches
Vasco Fernandes,pt POR,DF,Chaves,36,1986,16.8,26,14,18,7,1,17,25,68.0,8,17,9,8,9,35,68,1,Matches
Fernando,br BRA,"FW,MF",Casa Pia,30,1993,6.0,10,6,4,3,3,3,8,37.5,5,6,0,6,0,10,2,0,Matches
Filipe Ferreira,pt POR,DF,Boavista,32,1990,19.2,31,22,16,15,0,19,26,73.1,7,21,8,13,18,49,47,1,Matches
Marcelo dos Santos Ferreira,br BRA,DF,Moreirense,34,1989,26.0,36,20,28,8,0,18,31,58.1,13,39,27,12,28,64,142,0,Matches
Vitó Ferreira,pt POR,MF,Estrela,25,1997,6.4,12,7,5,7,0,7,24,29.2,17,6,0,6,4,16,9,0,Matches
Daniel Figueira,pt POR,GK,Estoril,25,1998,12.0,3,2,3,0,0,3,3,100.0,0,0,0,0,0,3,9,0,Matches
Diogo Fonseca,pt POR,DF,Estrela,21,2002,4.8,6,4,3,3,0,2,3,66.7,1,3,1,2,4,10,15,0,Matches
Tiago Fonseca Morais,pt POR,"FW,MF",Boavista,19,2003,15.3,23,17,14,6,3,12,38,31.6,26,21,1,20,10,33,7,0,Matches
Théo Fonseca,fr FRA,FW,Famalicão,23,2000,7.2,10,3,5,3,2,3,6,50.0,3,7,2,5,7,17,7,0,Matches
José Fonte,pt POR,DF,Braga,39,1983,16.8,8,3,6,2,0,3,8,37.5,5,18,13,5,20,28,70,0,Matches
Hernâni Fortes,pt POR,FW,Rio Ave,31,1991,3.8,0,0,0,0,0,0,4,0.0,4,1,1,0,1,1,1,0,Matches
André Franco,pt POR,"MF,FW",Porto,25,1998,4.9,6,5,3,3,0,4,11,36.4,7,1,0,1,4,10,5,0,Matches
Gonçalo Franco,pt POR,MF,Moreirense,22,2000,30.2,81,54,38,33,10,29,75,38.7,46,57,5,52,59,140,52,0,Matches
Afonso freitas,pt POR,"DF,MF",Vitória,23,2000,8.1,16,11,8,5,3,8,12,66.7,4,5,0,5,4,20,15,0,Matches
Iván Fresneda,es ESP,"MF,DF",Sporting CP,18,2004,0.4,4,2,3,1,0,2,3,66.7,1,1,0,1,0,4,2,0,Matches
Godfried Frimpong,nl NED,DF,Moreirense,24,1999,22.4,35,22,26,7,2,21,29,72.4,8,21,5,16,39,74,81,0,Matches
Kanya Fujimoto,jp JPN,MF,Gil Vicente FC,24,1999,22.2,26,15,7,15,4,9,15,60.0,6,23,4,19,11,37,8,0,Matches
Taichi Fukui,jp JPN,MF,Portimonense,19,2004,6.6,8,5,0,3,5,2,11,18.2,9,4,0,4,5,13,8,0,Matches
Galeno,br BRA,"FW,MF",Porto,25,1997,24.9,25,18,11,8,6,11,28,39.3,17,22,2,20,15,40,18,0,Matches
