Player,Nation,Position,Squad,Age,Year of birth,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Matches
Lucas Da Cunha,fr FRA,"FW,MF",Clermont Foot,20,2001,9.3,0,0,0,6,4,1,20,1,11,0,0,0,43,7,14,33.3,Matches
Damien Da Silva,fr FRA,DF,Lyon,33,1988,12.5,5,1,1,19,4,0,1,22,9,0,1,0,54,35,16,68.6,Matches
Colin Dagba,fr FRA,DF,Paris S-G,22,1998,1.8,1,0,0,6,2,0,8,2,2,0,0,0,7,1,2,33.3,Matches
Flavius Daniliuc,at AUT,DF,Nice,20,2001,14.4,4,0,0,17,4,1,7,14,31,0,0,0,98,21,24,46.7,Matches
Kevin Danso,at AUT,DF,Lens,22,1998,31.0,9,2,1,43,36,1,1,40,29,1,0,0,206,72,30,70.6,Matches
Dante,br BRA,DF,Nice,37,1983,31.9,7,3,1,26,12,0,3,49,29,1,1,0,208,50,27,64.9,Matches

Jonathan David,ca CAN,FW,Lille,21,2000,31.2,3,0,0,25,47,6,6,5,9,0,0,0,104,26,65,28.6,Matches
Konrad De La Fuente,us USA,"FW,MF",Marseille,20,2001,8.7,1,0,0,2,6,1,19,2,7,0,0,0,30,4,6,40.0,Matches
Romain Del Castillo,fr FRA,"MF,FW",Rennes,25,1996,0.3,0,0,0,0,3,0,0,1,1,0,0,0,2,0,1,0.0,Matches
Romain Del Castillo,fr FRA,"MF,FW",Brest,25,1996,10.8,1,1,0,16,20,0,45,7,16,1,0,0,80,4,12,25.0,Matches
Thomas Delaine,fr FRA,DF,Metz,29,1992,25.7,4,0,0,22,14,1,111,27,35,0,0,0,137,7,20,25.9,Matches
Sacha Delaye,fr FRA,"MF,FW",Montpellier,19,2002,2.8,0,0,0,5,1,0,3,1,6,0,0,0,13,1,5,16.7,Matches
Andy Delort,dz ALG,FW,Nice,29,1991,27.2,3,0,0,38,43,16,51,9,9,1,0,0,59,94,101,48.2,Matches
Andy Delort,dz ALG,FW,Montpellier,29,1991,3.0,0,0,0,6,3,0,14,0,0,0,0,0,6,11,9,55.0,Matches
Moussa Dembélé,fr FRA,FW,Lyon,25,1996,24.5,6,0,0,29,19,10,2,8,9,3,0,0,44,60,59,50.4,Matches
Jason Denayer,be BEL,DF,Lyon,26,1995,11.1,2,0,0,7,5,0,1,16,4,0,1,0,46,16,22,42.1,Matches
Arthur Desmas,fr FRA,GK,Clermont Foot,27,1994,14.5,0,0,0,0,4,0,0,0,0,0,0,1,14,0,0,,Matches
Ángel Di María,ar ARG,FW,Paris S-G,33,1988,18.3,2,0,0,9,14,7,122,6,18,1,0,0,71,0,0,,Matches
Yadaly Diaby,gn GUI,"FW,MF",Clermont Foot,20,2000,0.7,1,1,0,2,1,0,0,2,0,0,0,0,5,1,1,50.0,Matches
Ibrahim Diakité,gn GUI,MF,Reims,17,2003,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Abdou Diallo,sn SEN,DF,Paris S-G,25,1996,9.7,1,0,0,12,3,0,18,10,14,0,0,0,45,14,6,70.0,Matches
Habib Diallo,sn SEN,FW,Strasbourg,26,1995,17.1,2,0,0,17,20,15,9,4,5,0,0,0,48,55,60,47.8,Matches
Habib Diarra,sn SEN,MF,Strasbourg,17,2004,1.2,1,0,0,2,1,0,0,0,1,0,0,0,8,2,1,66.7,Matches
Stéphane Diarra,fr FRA,"MF,FW",Lorient,22,1998,5.8,2,0,0,6,8,2,22,7,9,1,0,0,36,2,6,25.0,Matches
Krépin Diatta,sn SEN,"MF,DF",Monaco,22,1999,3.2,0,0,0,3,8,0,3,1,2,0,0,0,13,12,4,75.0,Matches
Bamba Dieng,sn SEN,FW,Marseille,21,2000,10.8,0,1,0,14,13,4,3,5,11,2,0,0,41,13,20,39.4,Matches
Elhadji Dieye,sn SEN,"FW,MF",Saint-Étienne,19,2002,0.4,0,0,0,1,2,1,1,1,2,0,0,0,4,1,1,50.0,Matches
Javairô Dilrosun,nl NED,"MF,FW",Bordeaux,23,1998,19.2,3,0,0,13,30,1,69,11,4,0,0,0,68,6,14,30.0,Matches
Junior Dina Ebimbe,fr FRA,MF,Paris S-G,20,2000,3.5,2,0,0,11,4,0,2,2,4,0,0,0,12,1,1,50.0,Matches
Tristan Dingomé,cm CMR,"MF,FW",Troyes,30,1991,12.0,3,0,0,12,14,1,43,9,11,1,0,0,53,4,7,36.4,Matches
Sinaly Diomande,ci CIV,DF,Lyon,20,2001,6.4,2,0,0,5,3,0,0,12,3,0,0,1,34,16,5,76.2,Matches

Sofiane Diop,fr FRA,"MF,FW",Monaco,21,2000,21.6,6,0,0,28,41,4,95,23,20,1,1,0,134,12,28,30.0,Matches
Andy Diouf,fr FRA,MF,Rennes,18,2003,0.2,0,0,0,1,1,0,0,0,1,0,0,0,2,0,1,0.0,Matches
Assane Dioussé,sn SEN,MF,Saint-Étienne,23,1997,0.3,0,0,0,0,1,0,1,0,1,0,0,0,5,1,0,100.0,Matches
Axel Disasi,fr FRA,DF,Monaco,23,1998,30.2,5,0,0,43,13,3,1,26,27,0,1,0,183,71,43,62.3,Matches
Tiago Djaló,pt POR,DF,Lille,21,2000,25.9,4,0,0,23,22,1,11,24,39,0,0,2,190,23,31,42.6,Matches
