Player,Nation,Position,Squad,Age,Year of birth,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Penalty Kicks Made,Penalty Kicks Attempted,Matches
Bogdan Jocic,rs SRB,MF,Voždovac,21,2001,12.3,1,,,,,,,,,0,0,Matches
Branimir Jočić,rs SRB,DF,FK Mladost Novi Sad,28,1994,9.9,0,,,,,,,,,0,0,Matches
Nikola Jojić,rs SRB,MF,Mladost Lučani,18,2003,33.5,7,,,,,,,,,0,0,Matches
Ranko Jokić,rs SRB,DF,Radnik Surdulica,23,1999,24.8,1,,,,,,,,,0,0,Matches
Dušan Joković,rs SRB,DF,Voždovac,23,1999,1.2,0,,,,,,,,,0,0,Matches
Milan Joksimović,rs SRB,DF,Novi Pazar,32,1990,31.7,2,,,,,,,,,0,0,Matches
Lazar Jovanović,rs SRB,FW,Radnički Niš,29,1993,3.9,1,,,,,,,,,0,0,Matches
Saša Jovanović,rs SRB,"FW,MF",TSC Bačka Top,30,1991,30.4,10,,,,,,,,,0,0,Matches
Saša Jovanović,rs SRB,MF,Radnički Niš,28,1993,12.1,1,,,,,,,,,0,0,Matches
Stefan Jovanović,rs SRB,DF,Napredak Kruš,28,1994,30.6,1,,,,,,,,,0,0,Matches
Veljko Jovanović,rs SRB,FW,Radnik Surdulica,21,2001,1.9,0,,,,,,,,,0,0,Matches
Đorđe Jovanović,rs SRB,FW,Napredak Kruš,20,2001,12.8,1,,,,,,,,,0,0,Matches
Đorđe Jovanović,rs SRB,FW,Radnički Kragujevac,19,2003,5.3,0,,,,,,,,,0,0,Matches
Filip Jovic,rs SRB,DF,Novi Pazar,22,2000,24.8,0,,,,,,,,,0,0,Matches

Nemanja Jović,rs SRB,FW,Partizan,19,2002,10.7,2,,,,,,,,,0,0,Matches
Nemanja Jovičić,rs SRB,DF,Radnički Niš,22,2000,2.1,0,,,,,,,,,0,0,Matches
Uroš Kabić,rs SRB,MF,Vojvodina,18,2004,6.0,2,,,,,,,,,0,0,Matches
Haris Kadrić,si SVN,FW,FK Kolubara,22,2000,10.6,1,,,,,,,,,0,0,Matches
Haris Kadrić,si SVN,FW,Voždovac,22,2000,2.8,1,,,,,,,,,0,0,Matches
Almin Kahrimanović,rs SRB,GK,Novi Pazar,18,2003,2.0,0,,,,,,,,,0,0,Matches
Guélor Kanga,ga GAB,MF,Red Star,31,1990,27.2,10,,,,,,,,,6,6,Matches
Kings Kangwa,zm ZAM,MF,Red Star,23,1999,21.1,8,,,,,,,,,0,0,Matches
Zoran Karać,rs SRB,FW,FK Mladost Novi Sad,27,1995,0.4,0,,,,,,,,,0,0,Matches
Aleksandar Katai,rs SRB,"FW,MF",Red Star,31,1991,27.3,17,,,,,,,,,3,3,Matches
Aleksandar Katanic,rs SRB,FW,FK Mladost Novi Sad,26,1995,6.8,0,,,,,,,,,0,0,Matches
Andrija Katić,rs SRB,GK,Voždovac,20,2002,13.8,0,,,,,,,,,0,0,Matches
Dejan Kerkez,rs SRB,DF,Napredak Kruš,26,1996,29.8,1,,,,,,,,,0,0,Matches
Danko Kikovic,rs SRB,MF,Novi Pazar,27,1994,9.3,0,,,,,,,,,0,0,Matches
Filip Kljajić,rs SRB,GK,Novi Pazar,31,1990,26.0,0,,,,,,,,,0,0,Matches
Obren Kljajić,au AUS,FW,Voždovac,18,2003,0.1,0,,,,,,,,,0,0,Matches
Marko Knežević,rs SRB,GK,FK Mladost Novi Sad,33,1989,12.0,0,,,,,,,,,0,0,Matches
Nikola Knezevic,rs SRB,MF,Napredak Kruš,19,2003,7.9,0,,,,,,,,,0,0,Matches
Srđan Kočić,rs SRB,MF,Napredak Kruš,23,1999,2.1,0,,,,,,,,,0,0,Matches
Srđan Kočić,rs SRB,MF,FK Kolubara,23,1999,9.9,0,,,,,,,,,0,0,Matches
Nenad Kočović,rs SRB,DF,FK Kolubara,27,1995,30.3,0,,,,,,,,,0,0,Matches
Nemanja Kojcic,rs SRB,DF,Napredak Kruš,24,1997,3.8,0,,,,,,,,,0,0,Matches
Aleksa Koloni,rs SRB,DF,Čukarički,17,2005,0.2,0,,,,,,,,,0,0,Matches
Kemal Koninčanin,,,Novi Pazar,,,0.1,0,,,,,,,,,0,0,Matches
