Player,Nation,Position,Squad,Age,Year of birth,90s Played,Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Passes Blocked,Interceptions,Tkl+Int,Clearances,Errors,Matches
Josué Casimir,fr FRA,"FW,DF",Le Havre,21,2001,22.4,31,18,14,14,3,7,18,38.9,11,23,2,21,13,44,25,0,Matches
Cristian Cásseres Jr.,ve VEN,MF,Toulouse,23,2000,21.6,70,34,31,33,6,29,61,47.5,32,34,4,30,27,97,33,1,Matches
Jean-Charles Castelletto,cm CMR,DF,Nantes,28,1995,27.4,34,26,22,10,2,18,29,62.1,11,19,10,9,32,66,81,0,Matches
Maximiliano Caufriez,be BEL,DF,Clermont Foot,26,1997,18.4,38,28,31,5,2,19,29,65.5,10,18,12,6,18,56,69,2,Matches
Ivan Cavaleiro,pt POR,FW,Lille,29,1993,8.6,10,6,3,4,3,7,20,35.0,13,9,2,7,5,15,6,0,Matches
Fabien Centonze,fr FRA,DF,Nantes,27,1996,1.0,2,1,2,0,0,2,3,66.7,1,2,1,1,0,2,1,0,Matches
Fares Chaïbi,dz ALG,"FW,MF",Toulouse,20,2002,0.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
Muhammed Cham,at AUT,"MF,FW",Clermont Foot,22,2000,28.4,25,14,10,13,2,11,27,40.7,16,20,2,18,8,33,5,1,Matches
Brendan Chardonnet,fr FRA,DF,Brest,28,1994,33.0,57,34,33,22,2,32,63,50.8,31,58,34,24,53,110,139,3,Matches
Jhoanner Chávez,ec ECU,DF,Lens,21,2002,5.3,6,5,2,2,2,3,9,33.3,6,2,0,2,5,11,11,0,Matches
Rayan Cherki,fr FRA,"MF,FW",Lyon,19,2003,19.1,28,15,4,16,8,17,46,37.0,29,13,3,10,7,35,1,0,Matches
Lucas Chevalier,fr FRA,GK,Lille,21,2001,33.0,3,0,3,0,0,3,4,75.0,1,1,0,1,0,3,11,2,Matches
Pedro Chirivella,es ESP,MF,Nantes,26,1997,28.8,50,28,20,29,1,30,76,39.5,46,22,5,17,31,81,28,0,Matches
Joris Chotard,fr FRA,MF,Montpellier,21,2001,28.7,81,52,45,25,11,48,96,50.0,48,47,21,26,44,125,60,0,Matches
Djaoui Cissé,fr FRA,MF,Rennes,19,2004,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
