Player,Nation,Position,Squad,Age,Year of birth,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Penalty Kicks Made,Penalty Kicks Attempted,Matches
Mehmet Albayrak,tr TUR,MF,Sivasspor,18,2004,0.1,0,0,0,,0.00,0.00,,,,0,0,Matches
Danijel Aleksić,rs SRB,MF,Başakşehir,31,1991,18.2,8,41,18,43.9,2.26,0.99,0.20,0.44,,0,1,Matches
Rúnar Alex Rúnarsson,is ISL,GK,Alanyaspor,27,1995,29.4,0,0,0,,0.00,0.00,,,,0,0,Matches
Mehmet Ali Büyüksayar,tr TUR,FW,Konyaspor,18,2004,1.3,0,3,2,66.7,2.33,1.55,0.00,0.00,,0,0,Matches

Hasan Ali Kaldırım,tr TUR,"DF,MF",Ankaragücü,32,1989,5.2,0,3,0,0.0,0.58,0.00,0.00,,,0,0,Matches
Hasan Ali Kaldırım,tr TUR,DF,Başakşehir,32,1989,5.4,0,3,0,0.0,0.55,0.00,0.00,,,0,0,Matches
Ömer Ali Şahiner,tr TUR,"DF,MF",Başakşehir,30,1992,21.6,1,6,1,16.7,0.28,0.05,0.17,1.00,,0,0,Matches
Kerim Alıcı,tr TUR,DF,Hatayspor,25,1997,3.1,0,1,0,0.0,0.32,0.00,0.00,,,0,0,Matches
Ezgjan Alioski,mk MKD,"DF,MF",Fenerbahçe,30,1992,9.4,1,7,1,14.3,0.74,0.11,0.14,1.00,,0,0,Matches
Dele Alli,eng ENG,MF,Beşiktaş,26,1996,7.9,1,7,3,42.9,0.89,0.38,0.14,0.33,,0,0,Matches
Barış Alper Yılmaz,tr TUR,"MF,FW",Galatasaray,22,2000,9.5,4,32,14,43.8,3.36,1.47,0.13,0.29,,0,0,Matches
Taha Altıkardeş,tr TUR,DF,Trabzonspor,18,2003,2.0,0,0,0,,0.00,0.00,,,,0,0,Matches
Amilton,br BRA,MF,Konyaspor,32,1989,2.4,0,3,0,0.0,1.23,0.00,0.00,,,0,0,Matches
Karol Angielski,pl POL,FW,Sivasspor,26,1996,3.7,0,5,2,40.0,1.34,0.54,0.00,0.00,,0,0,Matches
Taylan Antalyalı,tr TUR,MF,Ankaragücü,27,1995,23.6,3,25,6,24.0,1.06,0.25,0.12,0.50,,0,0,Matches
Taylan Antalyalı,tr TUR,MF,Galatasaray,27,1995,0.1,0,0,0,,0.00,0.00,,,,0,0,Matches
Nicholas Anwan,ng NGA,MF,Fatih Karagümrük,21,2001,5.6,0,7,1,14.3,1.24,0.18,0.00,0.00,,0,0,Matches
Aaron Appindangoyé,ga GAB,DF,Sivasspor,30,1992,14.6,0,8,1,12.5,0.55,0.07,0.00,0.00,,0,0,Matches
Willian Arão,br BRA,MF,Fenerbahçe,29,1992,25.5,0,25,10,40.0,0.98,0.39,0.00,0.00,,0,0,Matches
Alp Arda,,GK,İstanbulspor,27,1995,2.0,0,0,0,,0.00,0.00,,,,0,0,Matches
Ramón Arias,uy URU,DF,Giresunspor,30,1992,28.8,0,14,7,50.0,0.49,0.24,0.00,0.00,,0,0,Matches
Batuhan Arici,,DF,Ümraniyespor,19,2003,1.1,0,1,0,0.0,0.92,0.00,0.00,,,0,0,Matches
Gboly Ariyibi,us USA,MF,Ankaragücü,27,1995,3.1,0,5,2,40.0,1.60,0.64,0.00,0.00,,0,0,Matches
Hakan Arslan,tr TUR,MF,Sivasspor,34,1988,15.0,1,18,8,44.4,1.20,0.53,0.06,0.13,,0,0,Matches
Muhammet Arslantaş,tr TUR,FW,Başakşehir,21,2001,0.3,0,2,1,50.0,6.92,3.46,0.00,0.00,,0,0,Matches
Ömürcan Artan,,"DF,MF",Gaziantep FK,23,1999,3.2,0,2,0,0.0,0.62,0.00,0.00,,,0,0,Matches
Serkan Asan,tr TUR,DF,Trabzonspor,23,1999,1.1,0,1,0,0.0,0.88,0.00,0.00,,,0,0,Matches
Britt Assombalonga,cd COD,FW,Adana Demirspor,29,1992,4.5,2,15,6,40.0,3.31,1.32,0.13,0.33,,0,0,Matches
Kerem Atakan Kesgin,tr TUR,MF,Beşiktaş,21,2000,0.5,0,4,1,25.0,8.57,2.14,0.00,0.00,,0,0,Matches

Kerem Atakan Kesgin,tr TUR,MF,Sivasspor,21,2000,1.7,0,2,0,0.0,1.16,0.00,0.00,,,0,0,Matches
Onur Atasayar,,DF,Ümraniyespor,27,1995,16.4,0,7,1,14.3,0.43,0.06,0.00,0.00,,0,0,Matches
Christian Atsu,gh GHA,"FW,MF",Hatayspor,30,1992,0.5,1,2,1,50.0,3.75,1.87,0.50,1.00,,0,0,Matches
Durel Avounou,cg CGO,MF,Ümraniyespor,24,1997,19.3,5,37,13,35.1,1.91,0.67,0.14,0.38,,0,0,Matches
Abdullah Aydın,,MF,İstanbulspor,22,2000,0.2,0,0,0,,0.00,0.00,,,,0,0,Matches
Oğuz Aydın,tr TUR,"MF,FW",Alanyaspor,21,2000,13.8,1,30,7,23.3,2.17,0.51,0.03,0.14,,0,0,Matches
Taylan Aydın,tr TUR,DF,Kasımpaşa,16,2006,0.1,0,0,0,,0.00,0.00,,,,0,0,Matches
Soner Aydoğdu,tr TUR,MF,Antalyaspor,31,1991,5.6,0,6,1,16.7,1.08,0.18,0.00,0.00,,0,0,Matches
Berkay Aydoğmuş,,MF,Başakşehir,18,2004,0.7,0,2,0,0.0,2.73,0.00,0.00,,,0,0,Matches
Kaan Ayhan,tr TUR,DF,Galatasaray,27,1994,1.3,0,3,0,0.0,2.39,0.00,0.00,,,0,0,Matches
Onur Ayık,tr TUR,"FW,MF",Ümraniyespor,32,1990,16.5,2,22,7,31.8,1.34,0.42,0.09,0.29,,0,0,Matches
Serdar Aziz,tr TUR,DF,Fenerbahçe,31,1990,10.8,0,4,1,25.0,0.37,0.09,0.00,0.00,,0,0,Matches
Mahamadou Ba,ml MLI,MF,İstanbulspor,22,1999,12.7,1,6,1,16.7,0.47,0.08,0.17,1.00,,0,0,Matches
Mame Baba Thiam,sn SEN,"FW,MF",Kayserispor,29,1992,21.5,8,46,16,34.8,2.14,0.75,0.15,0.44,,1,2,Matches
Volkan Babacan,tr TUR,GK,Başakşehir,33,1988,21.0,0,0,0,,0.00,0.00,,,,0,0,Matches
Onurhan Babuscu,at AUT,MF,Gaziantep FK,18,2003,0.3,0,0,0,,0.00,0.00,,,,0,0,Matches
Kağan Bağış,,MF,İstanbulspor,24,1998,1.6,0,0,0,,0.00,0.00,,,,0,0,Matches
Stéphane Bahoken,cm CMR,FW,Kasımpaşa,30,1992,17.4,4,46,24,52.2,2.65,1.38,0.09,0.17,,0,0,Matches
Riad Bajić,ba BIH,FW,Giresunspor,28,1994,31.9,14,81,39,48.1,2.54,1.22,0.14,0.28,,3,5,Matches
Anastasios Bakasetas,gr GRE,MF,Trabzonspor,29,1993,23.3,8,74,27,36.5,3.17,1.16,0.04,0.11,,5,5,Matches
Bünyamin Balcı,tr TUR,"DF,MF",Antalyaspor,22,2000,31.2,0,16,4,25.0,0.51,0.13,0.00,0.00,,0,0,Matches
Jure Balkovec,si SVN,DF,Alanyaspor,27,1994,21.2,4,20,5,25.0,0.94,0.24,0.20,0.80,,0,0,Matches
Mario Balotelli,it ITA,FW,Adana Demirspor,31,1990,0.8,0,9,3,33.3,11.25,3.75,0.00,0.00,,0,0,Matches
Rayyan Baniya,,DF,Fatih Karagümrük,23,1999,25.0,2,11,4,36.4,0.44,0.16,0.18,0.50,,0,0,Matches
Özgur Baran Aksaka,,MF,Galatasaray,19,2003,0.0,0,0,0,,0.00,0.00,,,,0,0,Matches

Abdülkerim Bardakcı,tr TUR,DF,Galatasaray,27,1994,29.5,3,29,10,34.5,0.98,0.34,0.10,0.30,,0,0,Matches
Enis Bardhi,mk MKD,MF,Trabzonspor,27,1995,14.8,6,43,20,46.5,2.90,1.35,0.12,0.25,,1,1,Matches
Marc Bartra,es ESP,DF,Trabzonspor,31,1991,25.2,4,26,8,30.8,1.03,0.32,0.15,0.50,,0,0,Matches
Sadık Baş,,"FW,DF",Hatayspor,28,1994,1.6,0,0,0,,0.00,0.00,,,,0,0,Matches
Emrah Başsan,tr TUR,MF,Kayserispor,30,1992,13.6,2,31,8,25.8,2.29,0.59,0.06,0.25,,0,0,Matches
Michy Batshuayi,be BEL,FW,Fenerbahçe,28,1993,13.5,12,40,24,60.0,2.97,1.78,0.23,0.38,,3,3,Matches
Bilal Bayazit,nl NED,GK,Kayserispor,23,1999,29.9,0,0,0,,0.00,0.00,,,,0,0,Matches
Altay Bayındır,tr TUR,GK,Fenerbahçe,24,1998,26.0,0,0,0,,0.00,0.00,,,,0,0,Matches
Furkan Bayır,tr TUR,DF,Alanyaspor,22,2000,31.0,1,13,5,38.5,0.42,0.16,0.08,0.20,,0,0,Matches
Gökdeniz Bayrakdar,tr TUR,MF,Antalyaspor,20,2001,4.6,2,9,3,33.3,1.97,0.66,0.22,0.67,,0,0,Matches
Emin Bayram,tr TUR,DF,Galatasaray,19,2003,4.7,0,5,2,40.0,1.06,0.42,0.00,0.00,,0,0,Matches
Burak Bekaroğlu,,DF,Hatayspor,25,1997,3.0,0,2,0,0.0,0.67,0.00,0.00,,,0,0,Matches
Burak Bekaroğlu,,DF,Fatih Karagümrük,25,1997,2.0,0,2,0,0.0,1.00,0.00,0.00,,,0,0,Matches
Efkan Bekiroglu,,MF,Alanyaspor,26,1995,15.8,4,37,12,32.4,2.34,0.76,0.11,0.33,,0,0,Matches
Younès Belhanda,ma MAR,"FW,MF",Adana Demirspor,32,1990,25.2,12,98,33,33.7,3.88,1.31,0.09,0.27,,3,5,Matches
Mortadha Ben Ouannes,tn TUN,"DF,MF",Kasımpaşa,28,1994,26.5,4,22,6,27.3,0.83,0.23,0.18,0.67,,0,0,Matches
Oğuzhan Berber,tr TUR,"DF,MF",İstanbulspor,30,1992,12.7,0,1,1,100.0,0.08,0.08,0.00,0.00,,0,0,Matches
Giorgi Beridze,ge GEO,MF,Ankaragücü,25,1997,18.6,4,42,17,40.5,2.26,0.92,0.10,0.24,,0,0,Matches
Rahmetullah Berişbek,tr TUR,MF,Giresunspor,23,1999,2.9,1,2,2,100.0,0.69,0.69,0.50,0.50,,0,0,Matches
Mergim Berisha,de GER,FW,Fenerbahçe,24,1998,0.2,1,3,1,33.3,15.88,5.29,0.33,1.00,,0,0,Matches
