Player,Nation,Position,Squad,Age,Year of birth,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,Penalty Kicks Made,Penalty Kicks Attempted,xG: Expected Goals,npxG: Non-Penalty xG,npxG/Shot,Goals - xG,Non-Penalty Goals - npxG,Matches
Daishawn Redan,nl NED,FW,Utrecht,21,2001,8.1,1,16,8,50.0,1.97,0.98,0.06,0.13,13.2,0,0,0,3.3,3.3,0.20,-2.3,-2.3,Matches
Youri Regeer,nl NED,"DF,MF",Ajax,18,2003,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Gyan de Regt,nl NED,"FW,MF",Vitesse,19,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Tijjani Reijnders,nl NED,MF,AZ Alkmaar,24,1998,33.8,3,70,21,30.0,2.07,0.62,0.04,0.14,21.9,4,0,0,5.6,5.6,0.08,-2.6,-2.6,Matches
Francisco Reis Ferreira,pt POR,DF,Vitesse,25,1997,6.2,0,5,2,40.0,0.81,0.32,0.00,0.00,21.0,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Daan Reiziger,nl NED,GK,Vitesse,21,2001,6.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Omar Rekik,tn TUN,"DF,MF",Sparta R'dam,20,2001,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Devyne Rensch,nl NED,DF,Ajax,19,2003,22.5,3,13,3,23.1,0.58,0.13,0.23,1.00,16.7,0,0,0,1.9,1.9,0.15,+1.1,+1.1,Matches
Ben Rienstra,nl NED,"MF,DF",Cambuur,32,1990,1.7,0,1,0,0.0,0.60,0.00,0.00,,21.7,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
Rocco Robert Shein,ee EST,MF,Utrecht,19,2003,1.3,0,2,1,50.0,1.58,0.79,0.00,0.00,30.2,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Ole Romeny,nl NED,"FW,MF",Emmen,22,2000,27.7,11,50,26,52.0,1.80,0.94,0.22,0.42,13.9,0,0,0,8.3,8.3,0.17,+2.7,+2.7,Matches
Philippe Rommens,be BEL,MF,Go Ahead Eag,24,1997,27.5,3,42,12,28.6,1.53,0.44,0.07,0.25,23.5,7,0,0,2.1,2.1,0.05,+0.9,+0.9,Matches
Bart van Rooij,nl NED,DF,NEC Nijmegen,21,2001,33.0,0,16,5,31.3,0.48,0.15,0.00,0.00,21.7,0,0,0,1.1,1.1,0.07,-1.1,-1.1,Matches
Rayvien Rosario,cw CUW,FW,Sparta R'dam,18,2004,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Daan Rots,nl NED,"FW,MF",Twente,21,2001,7.5,0,12,1,8.3,1.60,0.13,0.00,0.00,15.7,0,0,0,1.1,1.1,0.09,-1.1,-1.1,Matches
Robbin Ruiter,nl NED,GK,Cambuur,35,1987,16.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Gerónimo Rulli,ar ARG,GK,Ajax,30,1992,19.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Mathew Ryan,au AUS,GK,AZ Alkmaar,30,1992,18.0,0,1,0,0.0,0.06,0.00,0.00,,13.9,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Pim Saathof,nl NED,"MF,DF",Go Ahead Eag,18,2003,0.3,0,1,1,100.0,3.46,3.46,0.00,0.00,13.9,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Michal Sadílek,cz CZE,MF,Twente,23,1999,11.2,2,16,4,25.0,1.43,0.36,0.13,0.50,20.0,0,0,0,2.0,2.0,0.12,0.0,0.0,Matches
Modibo Sagnan,ml MLI,DF,Utrecht,23,1999,20.1,1,7,1,14.3,0.35,0.05,0.14,1.00,14.9,0,0,0,0.6,0.6,0.09,+0.4,+0.4,Matches
Osame Sahraoui,no NOR,"FW,MF",Heerenveen,21,2001,12.4,1,19,8,42.1,1.54,0.65,0.05,0.13,16.2,0,0,0,1.7,1.7,0.09,-0.7,-0.7,Matches
Ismael Saibari,ma MAR,FW,PSV Eindhoven,21,2001,4.6,0,18,6,33.3,3.88,1.29,0.00,0.00,16.4,0,0,0,2.2,2.2,0.12,-2.2,-2.2,Matches

Koki Saito,jp JPN,FW,Sparta R'dam,20,2001,18.0,7,33,13,39.4,1.83,0.72,0.21,0.54,16.8,0,0,0,3.6,3.6,0.11,+3.4,+3.4,Matches
Anass Salah-Eddine,nl NED,"MF,DF",Twente,20,2002,7.1,0,6,3,50.0,0.84,0.42,0.00,0.00,23.9,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
David Sambissa,ga GAB,"FW,MF",Cambuur,26,1996,5.6,1,8,4,50.0,1.43,0.71,0.13,0.25,14.8,0,0,0,0.7,0.7,0.09,+0.3,+0.3,Matches
Shurandy Sambo,nl NED,DF,Sparta R'dam,20,2001,25.6,2,17,6,35.3,0.66,0.23,0.12,0.33,21.5,0,0,0,1.0,1.0,0.06,+1.0,+1.0,Matches
Alfons Sampsted,is ISL,DF,Twente,24,1998,5.1,0,2,1,50.0,0.39,0.20,0.00,0.00,33.7,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Philippe Sandler,nl NED,DF,NEC Nijmegen,25,1997,18.1,1,9,2,22.2,0.50,0.11,0.11,0.50,12.7,0,0,0,0.6,0.6,0.07,+0.4,+0.4,Matches
Ibrahim Sangaré,ci CIV,MF,PSV Eindhoven,24,1997,25.6,5,38,12,31.6,1.49,0.47,0.13,0.42,18.4,0,0,0,4.0,4.0,0.11,+1.0,+1.0,Matches
Mohamed Sankoh,nl NED,FW,Vitesse,18,2003,8.5,2,20,7,35.0,2.36,0.83,0.10,0.29,10.2,0,0,0,4.1,4.1,0.20,-2.1,-2.1,Matches
