Player,Nation,Position,Squad,Age,Year of birth,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Matches
Andrea Cambiaso,it ITA,DF,Genoa,21,2000,19.9,5,1,1,22,16,1,66,23,20,0,0,0,144,7,17,29.2,Matches
Matteo Cancellieri,it ITA,"MF,DF",Hellas Verona,19,2002,2.5,1,0,0,9,4,1,8,1,4,0,0,0,13,4,13,23.5,Matches
Antonio Candreva,it ITA,"MF,FW",Sampdoria,34,1987,34.7,6,1,0,19,48,14,343,33,16,0,0,0,193,2,7,22.2,Matches

Leonardo Capezzi,it ITA,MF,Salernitana,26,1995,1.9,0,0,0,3,1,0,0,0,1,0,0,0,8,1,4,20.0,Matches
Gianluca Caprari,it ITA,"MF,FW",Hellas Verona,28,1993,30.4,4,0,0,42,74,14,108,4,25,1,0,0,164,8,27,22.9,Matches
Francesco Caputo,it ITA,FW,Sampdoria,33,1987,31.0,0,0,0,23,38,36,12,2,2,3,0,0,61,24,33,42.1,Matches
Francesco Caputo,it ITA,FW,Sassuolo,33,1987,1.7,1,0,0,0,3,0,0,0,0,0,0,0,2,2,1,66.7,Matches
Andrea Carboni,it ITA,DF,Cagliari,20,2001,24.6,6,0,0,18,9,0,25,27,24,0,0,1,110,41,38,51.9,Matches
Nicolò Casale,it ITA,DF,Hellas Verona,23,1998,28.7,10,0,0,44,24,0,15,49,30,0,0,0,197,69,61,53.1,Matches
Francesco Cassata,it ITA,MF,Genoa,24,1997,0.1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,,Matches
Samu Castillejo,es ESP,"FW,MF",Milan,26,1995,1.4,1,0,0,2,2,0,8,2,2,1,0,0,5,2,2,50.0,Matches
Gaetano Castrovilli,it ITA,MF,Fiorentina,24,1997,15.5,4,0,0,21,36,1,40,11,17,0,0,0,85,8,12,40.0,Matches
Danilo Cataldi,it ITA,MF,Lazio,26,1994,19.0,8,0,0,18,19,0,66,17,17,0,1,0,165,6,7,46.2,Matches
Pietro Ceccaroni,it ITA,DF,Venezia,25,1995,34.7,7,1,0,26,26,0,12,30,31,0,3,0,194,38,31,55.1,Matches
Federico Ceccherini,it ITA,DF,Hellas Verona,29,1992,26.2,12,1,1,56,25,3,5,50,16,0,0,0,175,62,49,55.9,Matches
