Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG/90,Matches
Iván Balliu,al ALB,DF,Rayo Vallecano,30,1992,37,37,"3,232",35.9,0,0,0,0,0,0,6,0,0.3,0.3,2.8,3.1,75,131,147,0.00,0.00,0.00,0.00,0.00,0.01,0.08,0.09,0.01,0.09,Matches
Léo Baptistão,br BRA,"FW,MF",Almería,29,1992,28,24,"1,726",19.2,5,1,6,5,0,0,7,0,4.9,4.9,1.2,6.2,38,51,83,0.26,0.05,0.31,0.26,0.31,0.26,0.06,0.32,0.26,0.32,Matches
Keidi Bare,al ALB,MF,Espanyol,24,1997,18,4,503,5.6,0,1,1,0,0,0,0,0,0.6,0.6,0.2,0.8,6,28,11,0.00,0.18,0.18,0.00,0.18,0.10,0.04,0.14,0.10,0.14,Matches
Kike Barja,es ESP,"FW,MF",Osasuna,25,1997,27,15,"1,312",14.6,1,6,7,1,0,0,1,0,1.2,1.2,3.9,5.1,61,35,185,0.07,0.41,0.48,0.07,0.48,0.08,0.26,0.35,0.08,0.35,Matches
Ander Barrenetxea,es ESP,"FW,DF",Real Sociedad,20,2001,23,9,878,9.8,3,1,4,3,0,0,4,0,3.0,3.0,1.2,4.2,36,27,72,0.31,0.10,0.41,0.31,0.41,0.31,0.12,0.43,0.31,0.43,Matches
Pablo Barrios,es ESP,MF,Atlético Madrid,19,2003,21,6,724,8.0,0,1,1,0,0,0,4,0,0.5,0.5,0.7,1.2,16,51,27,0.00,0.12,0.12,0.00,0.12,0.07,0.08,0.15,0.07,0.15,Matches
Rodrigo Battaglia,ar ARG,MF,Mallorca,31,1991,15,8,686,7.6,0,0,0,0,0,0,5,0,0.2,0.2,0.0,0.2,3,19,3,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches
Bebé,cv CPV,FW,Rayo Vallecano,32,1990,4,0,60,0.7,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,5,1,10,0.00,0.00,0.00,0.00,0.00,0.12,0.13,0.25,0.12,0.25,Matches
Héctor Bellerín,es ESP,DF,Barcelona,27,1995,3,1,143,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,13,6,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06,Matches
Fran Beltrán,es ESP,MF,Celta Vigo,23,1999,36,33,"2,855",31.7,0,2,2,0,0,0,4,0,0.9,0.9,1.7,2.6,27,138,33,0.00,0.06,0.06,0.00,0.06,0.03,0.05,0.08,0.03,0.08,Matches
Iker Benito,es ESP,"FW,MF",Osasuna,19,2002,4,2,176,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,9,3,15,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.14,0.00,0.14,Matches
Karim Benzema,fr FRA,FW,Real Madrid,34,1987,24,24,"2,038",22.6,19,3,22,12,7,8,1,0,21.5,14.9,5.8,20.7,72,138,157,0.84,0.13,0.97,0.53,0.66,0.95,0.26,1.20,0.66,0.91,Matches
Yuri Berchiche,es ESP,DF,Athletic Club,32,1990,29,27,"2,406",26.7,1,1,2,1,0,0,9,1,1.3,1.3,1.4,2.7,59,179,95,0.04,0.04,0.07,0.04,0.07,0.05,0.05,0.10,0.05,0.10,Matches
Álex Berenguer,es ESP,FW,Athletic Club,27,1995,37,26,"2,297",25.5,4,1,5,4,0,0,2,0,4.3,4.3,4.6,9.0,73,77,249,0.16,0.04,0.20,0.16,0.20,0.17,0.18,0.35,0.17,0.35,Matches
Pedro Bigas,es ESP,DF,Elche,31,1990,28,25,"2,020",22.4,0,0,0,0,0,0,4,2,1.8,1.8,0.0,1.8,19,83,3,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08,Matches
El Bilal Touré,ml MLI,FW,Almería,20,2001,21,15,"1,264",14.0,7,2,9,7,0,0,0,0,6.3,6.3,1.3,7.6,18,14,51,0.50,0.14,0.64,0.50,0.64,0.45,0.09,0.54,0.45,0.54,Matches
