Player,Nation,Position,Squad,Age,Year of birth,90s Played,Passes Completed,Passes Attempted,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),Assists,xAG: Exp. Assisted Goals,xA: Expected Assists,Assists - xAG,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Matches
Yanis Hamache,dz ALG,DF,Arouca,24,1999,0.5,30,36,83.3,499,131,11,13,84.6,17,19,89.5,1,3,33.3,0,0.0,0.0,0.0,0,1,1,0,6,Matches
Tomás Händel,pt POR,MF,Vitória,22,2000,28.0,1089,1293,84.2,17913,5039,544,603,90.2,443,496,89.3,75,133,56.4,1,1.4,2.0,-0.4,30,125,20,3,145,Matches
Héctor,es ESP,FW,Chaves,27,1995,28.8,434,557,77.9,5754,852,282,345,81.7,109,127,85.8,18,19,94.7,1,0.6,0.5,+0.4,9,29,4,0,46,Matches
Gustavo Henrique,br BRA,"DF,MF",Estrela,24,1999,1.4,33,45,73.3,464,111,17,20,85.0,13,18,72.2,1,3,33.3,0,0.3,0.2,-0.3,3,3,2,1,5,Matches
Morten Hjulmand,dk DEN,MF,Sporting CP,24,1999,24.3,1213,1412,85.9,18173,4616,702,764,91.9,435,496,87.7,52,91,57.1,2,1.6,1.4,+0.4,22,112,13,0,104,Matches
Jordan Holsgrove,sct SCO,MF,Estoril,23,1999,13.0,845,973,86.8,15496,4357,343,367,93.5,376,403,93.3,98,158,62.0,2,1.2,1.0,+0.8,12,78,6,0,87,Matches
André Horta,pt POR,MF,Braga,26,1996,6.1,468,546,85.7,8441,2415,218,226,96.5,192,216,88.9,50,90,55.6,1,1.0,1.2,0.0,13,75,13,2,79,Matches
Ricardo Horta,pt POR,"FW,MF",Braga,28,1994,26.0,891,1113,80.1,13512,3508,493,550,89.6,292,364,80.2,65,111,58.6,4,7.2,5.2,-3.2,52,70,38,10,138,Matches
André Inácio,br BRA,"FW,MF",Estrela,21,2002,13.3,182,273,66.7,2791,583,103,127,81.1,57,79,72.2,16,35,45.7,0,0.8,0.6,-0.8,9,14,10,3,25,Matches
Gonçalo Inácio,pt POR,DF,Sporting CP,21,2001,27.6,2162,2427,89.1,38601,15278,906,962,94.2,1054,1121,94.0,173,282,61.3,0,0.3,1.6,-0.3,6,258,14,1,236,Matches
Hernani Infande,pt POR,"FW,MF",Moreirense,22,2001,0.9,25,30,83.3,342,61,16,17,94.1,8,9,88.9,0,0,,0,0.0,0.0,0.0,0,1,0,0,1,Matches
Fabrício Isidoro,br BRA,MF,Farense,31,1992,18.5,557,691,80.6,9995,2409,231,272,84.9,255,298,85.6,55,84,65.5,1,1.1,0.7,-0.1,14,59,10,4,76,Matches
Ismael,pt POR,MF,Moreirense,24,1999,6.2,231,274,84.3,3901,1027,104,117,88.9,106,113,93.8,16,30,53.3,0,0.0,0.3,0.0,1,15,1,0,16,Matches
Franco Israel,uy URU,GK,Sporting CP,23,2000,10.0,201,235,85.5,4623,3059,38,38,100.0,136,138,98.6,27,58,46.6,0,0.0,0.0,0.0,0,1,0,0,0,Matches
Abass Issah,gh GHA,"MF,FW",Chaves,24,1998,3.4,64,86,74.4,1075,298,25,26,96.2,30,40,75.0,5,13,38.5,2,0.7,0.7,+1.3,4,5,7,4,9,Matches
Léo Jabá,br BRA,"FW,MF",Estrela,24,1998,24.7,383,615,62.3,6391,2016,194,245,79.2,133,197,67.5,37,92,40.2,4,6.2,5.1,-2.2,43,34,34,15,66,Matches
Ivan Jaime Pajuelo,es ESP,"MF,FW",Porto,22,2000,6.3,250,319,78.4,4158,957,125,138,90.6,92,112,82.1,26,52,50.0,0,0.6,1.0,-0.6,12,24,7,2,32,Matches
Jajá,br BRA,"FW,MF",Casa Pia,22,2001,4.8,69,122,56.6,1036,386,34,50,68.0,28,46,60.9,3,7,42.9,0,0.4,0.3,-0.4,2,8,2,0,15,Matches
Jardel,gw GNB,"FW,MF",Vizela,25,1997,2.1,52,69,75.4,808,259,25,32,78.1,18,22,81.8,5,7,71.4,1,0.7,0.9,+0.3,5,6,4,0,12,Matches
Jason,es ESP,"FW,MF",Arouca,29,1994,28.5,603,920,65.5,10160,3378,298,375,79.5,225,327,68.8,57,132,43.2,5,5.9,4.7,-0.9,50,48,39,9,96,Matches
Sylvester Jasper,bg BUL,"FW,MF",Portimonense,21,2001,18.6,319,452,70.6,4642,1100,176,208,84.6,107,151,70.9,16,39,41.0,2,2.0,1.5,0.0,12,20,16,8,37,Matches
Anderson Jesus,br BRA,DF,Vizela,28,1995,27.7,965,1132,85.2,18498,7845,355,382,92.9,504,551,91.5,97,173,56.1,0,0.4,0.2,-0.4,3,58,1,0,54,Matches

Jhonatan,br BRA,GK,Rio Ave,32,1991,26.0,716,952,75.2,19550,14258,135,136,99.3,320,327,97.9,249,472,52.8,0,0.0,0.0,0.0,1,8,1,0,2,Matches
Jo,br BRA,"FW,MF",Chaves,28,1995,11.3,107,187,57.2,1356,190,61,100,61.0,33,51,64.7,2,6,33.3,2,1.2,0.7,+0.8,8,6,0,0,6,Matches
Joca,pt POR,"FW,MF",Rio Ave,27,1996,19.0,373,540,69.1,6699,2077,166,207,80.2,136,179,76.0,52,98,53.1,2,1.7,1.6,+0.3,13,50,18,5,79,Matches
Nemanja Jović,rs SRB,MF,Estoril,20,2002,0.2,2,3,66.7,26,1,1,1,100.0,1,2,50.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Luiz Lúcio Reis Júnior,br BRA,GK,Famalicão,22,2001,33.0,867,1144,75.8,24694,17014,136,136,100.0,445,452,98.5,281,547,51.4,0,0.1,0.1,-0.1,2,15,0,0,0,Matches
David Jurásek,cz CZE,DF,Benfica,22,2000,2.9,149,188,79.3,2313,772,70,74,94.6,72,86,83.7,5,18,27.8,0,0.7,1.5,-0.7,7,3,8,4,9,Matches
Samuel Justo,pt POR,MF,Casa Pia,19,2004,6.7,233,291,80.1,3653,994,114,127,89.8,91,108,84.3,15,30,50.0,1,0.4,0.2,+0.6,8,21,1,1,22,Matches
Kaio,br BRA,FW,Vitória,19,2004,4.7,75,117,64.1,1109,341,44,54,81.5,19,28,67.9,7,14,50.0,0,0.1,0.2,-0.1,3,7,6,4,14,Matches
Kazu,br BRA,"DF,FW",Gil Vicente FC,23,2000,0.6,36,50,72.0,670,253,13,16,81.3,20,23,87.0,3,10,30.0,0,0.1,0.0,-0.1,2,3,1,0,5,Matches
Keliano,ao ANG,MF,Estrela,20,2003,1.3,27,37,73.0,468,109,15,16,93.8,10,15,66.7,2,3,66.7,0,0.0,0.0,0.0,0,5,0,0,3,Matches
Kewin,br BRA,GK,Moreirense,27,1995,29.8,819,1133,72.3,23717,17102,153,154,99.4,372,377,98.7,291,592,49.2,0,0.0,0.1,0.0,0,18,1,0,0,Matches
Kikas,pt POR,"FW,MF",Estrela,24,1998,17.3,211,343,61.5,3658,862,101,141,71.6,73,106,68.9,28,55,50.9,1,2.1,1.5,-1.1,22,15,13,3,27,Matches
Francisco Kiki,pt POR,MF,Casa Pia,25,1998,0.1,4,4,100.0,45,4,3,3,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,1,Matches
Kobamelo Kodisang,za RSA,FW,Moreirense,23,1999,18.0,254,373,68.1,4082,1115,129,159,81.1,95,136,69.9,19,36,52.8,3,2.5,1.7,+0.5,25,17,20,10,34,Matches
Koba Koindredi,fr FRA,MF,Estoril,21,2001,6.3,216,272,79.4,3743,963,101,115,87.8,91,104,87.5,21,38,55.3,0,0.3,0.2,-0.3,9,16,4,0,27,Matches
Koba Koindredi,fr FRA,MF,Sporting CP,21,2001,0.4,16,18,88.9,245,34,8,9,88.9,8,8,100.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,1,Matches
Orkun Kökçü,tr TUR,MF,Benfica,22,2000,19.8,1129,1371,82.3,19727,6251,536,593,90.4,425,501,84.8,135,200,67.5,8,5.6,3.3,+2.4,52,168,37,5,198,Matches
Eboue Kouassi,ci CIV,MF,Arouca,25,1997,15.0,692,796,86.9,11846,3323,321,361,88.9,292,318,91.8,62,88,70.5,0,0.4,0.8,-0.4,10,51,7,0,58,Matches
Kevin Krygård,no NOR,"MF,DF",Casa Pia,23,2000,0.7,31,36,86.1,493,166,16,19,84.2,13,15,86.7,1,1,100.0,0,0.0,0.1,0.0,0,5,0,0,4,Matches
Matías Lacava,ve VEN,"FW,MF",Vizela,20,2002,14.8,271,364,74.5,3642,955,158,182,86.8,80,107,74.8,9,25,36.0,4,3.4,3.3,+0.6,19,12,21,6,33,Matches
Tom Lacoux,fr FRA,MF,Famalicão,21,2002,4.0,160,198,80.8,3085,663,54,67,80.6,83,89,93.3,22,30,73.3,0,0.0,0.1,0.0,1,12,0,0,9,Matches
André Lacximicant,pt POR,"FW,MF",Casa Pia,22,2001,2.4,29,41,70.7,444,117,17,22,77.3,9,11,81.8,2,6,33.3,1,0.4,0.5,+0.6,3,3,1,0,4,Matches
