Player,Nation,Position,Squad,Age,Year of birth,90s Played,Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Passes Blocked,Interceptions,Tkl+Int,Clearances,Errors,Matches
Warren Bondo,fr FRA,MF,Monza,18,2003,0.7,1,0,1,0,0,0,0,,0,1,0,1,0,1,0,0,Matches
Kevin Bonifazi,it ITA,DF,Bologna,26,1996,10.0,13,8,7,6,0,6,12,50.0,6,11,8,3,12,25,39,0,Matches
Leonardo Bonucci,it ITA,DF,Juventus,35,1987,9.8,5,4,1,4,0,2,4,50.0,2,12,8,4,13,18,29,0,Matches
Erik Botheim,no NOR,"MF,FW",Salernitana,22,2000,9.6,11,7,3,4,4,6,13,46.2,7,3,0,3,0,11,4,0,Matches
Mehdi Bourabia,ma MAR,MF,Spezia,30,1991,30.8,41,20,13,22,6,19,41,46.3,22,39,12,27,32,73,57,0,Matches
Edoardo Bove,it ITA,MF,Roma,20,2002,11.0,35,18,12,15,8,16,39,41.0,23,15,1,14,10,45,11,0,Matches
Jayden Braaf,nl NED,"MF,FW",Hellas Verona,19,2002,3.2,5,3,2,3,0,0,0,,0,1,0,1,2,7,1,0,Matches
Domagoj Bradarić,hr CRO,DF,Salernitana,22,1999,25.0,26,19,14,8,4,7,16,43.8,9,20,5,15,21,47,44,0,Matches
Josip Brekalo,hr CRO,"FW,MF",Fiorentina,24,1998,2.5,2,1,0,1,1,1,4,25.0,3,1,0,1,1,3,1,0,Matches
Gleison Bremer,br BRA,DF,Juventus,25,1997,29.3,29,20,23,5,1,19,26,73.1,7,44,22,22,42,71,120,2,Matches
Dylan Bronn,tn TUN,DF,Salernitana,27,1995,18.7,34,18,17,16,1,20,30,66.7,10,32,20,12,20,54,58,1,Matches
Marcelo Brozović,hr CRO,MF,Inter,29,1992,19.7,37,22,13,22,2,11,37,29.7,26,23,7,16,22,59,28,0,Matches
Cristian Buonaiuto,it ITA,"MF,FW",Cremonese,29,1992,10.9,25,16,8,11,6,12,26,46.2,14,11,0,11,14,39,7,0,Matches
Alessandro Buongiorno,it ITA,DF,Torino,23,1999,30.2,38,25,22,16,0,16,31,51.6,15,38,19,19,60,98,105,2,Matches
Leonardo Buta,pt POR,DF,Udinese,20,2002,0.2,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,Matches
Arthur Cabral,br BRA,FW,Fiorentina,24,1998,15.9,9,2,1,4,4,4,8,50.0,4,10,1,9,1,10,12,0,Matches
Liberato Cacace,nz NZL,DF,Empoli,21,2000,6.5,25,10,12,8,5,9,15,60.0,6,15,7,8,4,29,16,0,Matches
Davide Calabria,it ITA,DF,Milan,25,1996,18.8,71,44,31,32,8,38,61,62.3,23,22,7,15,25,96,34,0,Matches
Mattia Caldara,it ITA,DF,Spezia,28,1994,13.9,23,14,10,11,2,9,20,45.0,11,23,16,7,17,40,88,2,Matches
Luca Caldirola,it ITA,DF,Monza,31,1991,26.1,26,14,19,4,3,13,26,50.0,13,32,18,14,25,51,66,1,Matches
Hakan Çalhanoğlu,tr TUR,MF,Inter,28,1994,26.3,48,27,17,26,5,16,43,37.2,27,30,5,25,25,73,13,1,Matches
Mohamed Camara,gn GUI,MF,Roma,25,1997,7.7,13,10,3,7,3,5,15,33.3,10,5,1,4,10,23,8,0,Matches
Nicolò Cambiaghi,it ITA,"FW,MF",Empoli,21,2000,14.3,30,22,11,12,7,8,27,29.6,19,19,1,18,9,39,8,0,Matches

Andrea Cambiaso,it ITA,DF,Bologna,22,2000,24.1,57,34,34,20,3,28,65,43.1,37,26,2,24,26,83,33,1,Matches
Matteo Cancellieri,it ITA,FW,Lazio,20,2002,2.8,10,4,5,3,2,5,9,55.6,4,4,0,4,1,11,2,0,Matches
Antonio Candreva,it ITA,"MF,DF",Salernitana,35,1987,30.3,17,7,13,2,2,11,38,28.9,27,7,3,4,17,34,32,0,Matches
Gianluca Caprari,it ITA,"MF,FW",Monza,29,1993,27.1,16,6,3,11,2,8,26,30.8,18,22,1,21,8,24,3,0,Matches
Francesco Caputo,it ITA,FW,Sampdoria,34,1987,12.2,3,1,0,0,3,0,3,0.0,3,0,0,0,1,4,3,0,Matches
Francesco Caputo,it ITA,FW,Empoli,34,1987,19.0,2,2,0,1,1,0,1,0.0,1,7,2,5,2,4,8,0,Matches
Andrea Carboni,it ITA,DF,Monza,21,2001,1.9,3,2,2,0,1,2,5,40.0,3,3,2,1,3,6,2,1,Matches
