Player,Nation,Position,Squad,Age,Year of birth,90s Played,Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Passes Blocked,Interceptions,Tkl+Int,Clearances,Errors,Matches
Fabiano,br BRA,DF,Braga,22,2000,10.7,37,32,13,17,7,15,21,71.4,6,16,3,13,17,54,17,0,Matches
Fábio,br BRA,"FW,MF",Paços,25,1997,3.0,0,0,0,0,0,0,2,0.0,2,1,1,0,0,0,7,0,Matches
Abdul Fatawu Issahaku,gh GHA,"DF,MF",Sporting CP,18,2004,1.3,1,0,0,1,0,0,4,0.0,4,1,0,1,2,3,1,0,Matches

Luiz Felipe,br BRA,GK,Vizela,25,1997,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,Matches
Volnei Feltes,br BRA,DF,Estoril,22,2000,0.1,0,0,0,0,0,0,0,,0,0,0,0,2,2,1,0,Matches
Eduardo Fereira,ve VEN,"FW,MF",Casa Pia,21,2000,0.6,1,0,1,0,0,1,1,100.0,0,0,0,0,2,3,0,0,Matches
Erick Ferigra,ec ECU,DF,Paços,23,1999,12.9,9,4,9,0,0,3,9,33.3,6,16,9,7,13,22,50,0,Matches
Ivanildo Fernandes,cv CPV,DF,Vizela,26,1996,16.5,14,6,10,4,0,6,13,46.2,7,19,12,7,16,30,96,0,Matches
Jorge Filipe Oliveira Fernandes,pt POR,DF,Vitória,25,1997,2.3,2,1,2,0,0,0,0,,0,2,1,1,1,3,13,0,Matches
Mateus Fernandes,pt POR,MF,Sporting CP,18,2004,1.0,3,0,0,3,0,0,1,0.0,1,1,0,1,0,3,0,0,Matches
Patrick Fernandes,cv CPV,"FW,MF",Chaves,28,1993,0.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Rafael Fernandes,pt POR,"DF,FW",Arouca,20,2002,1.5,2,2,1,1,0,1,1,100.0,0,2,2,0,3,5,6,0,Matches
Rúben Fernandes,pt POR,DF,Gil Vicente FC,36,1986,24.2,15,8,9,5,1,9,26,34.6,17,35,19,16,37,52,89,0,Matches
Vasco Fernandes,pt POR,DF,Casa Pia,35,1986,27.5,23,12,16,7,0,10,19,52.6,9,49,35,14,33,56,114,2,Matches
Enzo Fernández,ar ARG,MF,Benfica,21,2001,15.4,40,17,15,19,6,23,44,52.3,21,16,3,13,15,55,3,2,Matches
Diogo Ferreira,pt POR,MF,Vitória,20,2001,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
