nation_rank,nation_prev_rank,nation,confederation,points,season
31,36,Egypt,CAF,1516,2023_2024
32,31,Hungary,UEFA,1511,2023_2024
33,38,Ivory Coast,CAF,1509,2023_2024
34,33,Russia,UEFA,1509,2023_2024
35,32,Serbia,UEFA,1505,2023_2024
36,41,Tunisia,CAF,1505,2023_2024
37,35,Panama,CONCACAF,1503,2023_2024
38,40,Canada,CONCACAF,1502,2023_2024
39,39,Nigeria,CAF,1498,2023_2024
40,37,Venezuela,CONMEBOL,1489,2023_2024
41,46,Algeria,CAF,1486,2023_2024
42,44,Slovakia,UEFA,1486,2023_2024
43,42,Peru,CONMEBOL,1483,2023_2024
44,34,Qatar,AFC,1482,2023_2024
45,45,Romania,UEFA,1481,2023_2024
46,47,Czech Republic,UEFA,1473,2023_2024
47,50,Norway,UEFA,1472,2023_2024
48,54,Greece,UEFA,1469,2023_2024
49,43,Chile,CONMEBOL,1468,2023_2024
50,49,Costa Rica,CONCACAF,1466,2023_2024
51,52,Slovenia,UEFA,1463,2023_2024
52,48,Scotland,UEFA,1462,2023_2024
53,51,Cameroon,CAF,1459,2023_2024
54,53,Mali,CAF,1455,2023_2024
55,55,Iraq,AFC,1436,2023_2024
56,56,Saudi Arabia,AFC,1433,2023_2024
57,62,Paraguay,CONMEBOL,1424,2023_2024
58,60,Democratic Republic of the Congo,CAF,1417,2023_2024
59,57,South Africa,CAF,1415,2023_2024
60,61,Uzbekistan,AFC,1413,2023_2024
61,59,Jamaica,CONCACAF,1403,2023_2024
62,58,Republic of Ireland,UEFA,1395,2023_2024
63,67,Burkina Faso,CAF,1388,2023_2024
64,63,Finland,UEFA,1384,2023_2024
65,65,Cape Verde,CAF,1379,2023_2024
66,70,Georgia,UEFA,1378,2023_2024
67,66,Albania,UEFA,1378,2023_2024
68,68,Jordan,AFC,1378,2023_2024
69,69,United Arab Emirates,AFC,1377,2023_2024
70,64,Ghana,CAF,1360,2023_2024
71,71,Iceland,UEFA,1356,2023_2024
