squad,#_of_players,90s_played,passes_completed,passes_attempted,pass_completion_%,total_passing_distance,progressive_passing_distance,passes_completed_(short),passes_attempted_(short),pass_completion_%_(short),passes_completed_(medium),passes_attempted_(medium),pass_completion_%_(medium),passes_completed_(long),passes_attempted_(long),pass_completion_%_(long),assists,xag:_exp._assisted_goals,xa:_expected_assists,assists_-_xag,key_passes,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,league,season
Betis,30,38,14678,18249,80,245275,92460,7288,8070,90,5334,6273,85,1432,2667,53,26,34,31,-8,310,988,270,54,1272,La_Liga,2022_2023
Cádiz,38,38,9940,13952,71,190101,78677,4341,5147,84,3874,4864,79,1452,3117,46,20,27,24,-7,269,830,192,93,969,La_Liga,2022_2023
Celta Vigo,26,38,14700,18499,79,267004,91075,6259,7148,87,6536,7569,86,1565,2844,55,31,30,31,0,353,1143,274,77,1403,La_Liga,2022_2023
Elche,32,38,12051,15758,76,218542,87460,5427,6202,87,4762,5677,83,1477,2793,52,21,27,26,-6,313,941,211,82,1197,La_Liga,2022_2023
Espanyol,33,38,10827,14698,73,208293,86401,4483,5312,84,4607,5640,81,1483,2971,49,31,35,30,-4,319,906,233,83,1146,La_Liga,2022_2023
Getafe,25,38,9690,14126,68,189556,83925,4104,5044,81,3760,4936,76,1502,3175,47,21,22,24,-1,248,844,214,94,1003,La_Liga,2022_2023
Girona,29,38,15146,18604,81,264810,95707,7006,7806,89,6295,7222,87,1449,2560,56,41,37,35,3,366,1086,265,91,1378,La_Liga,2022_2023
Mallorca,31,38,10451,14261,73,199896,84037,4575,5313,86,4184,5157,81,1424,2932,48,27,26,23,0,252,815,182,69,948,La_Liga,2022_2023
Osasuna,26,38,12725,16835,75,242236,95597,5565,6377,87,5130,6255,82,1759,3323,52,30,28,31,1,322,1140,271,114,1356,La_Liga,2022_2023
Rayo Vallecano,28,38,13497,17666,76,251321,91899,5811,6629,87,5654,6716,84,1717,3329,51,29,30,29,-1,386,1247,269,102,1390,La_Liga,2022_2023
Real Madrid,26,38,22082,25012,88,357586,113878,11462,12245,93,8069,8810,91,1812,2595,69,56,56,56,0,522,1880,384,50,2017,La_Liga,2022_2023
Real Sociedad,30,38,15324,19134,80,269422,96159,6955,7910,87,6451,7502,86,1505,2659,56,36,39,36,-3,346,1145,290,65,1483,La_Liga,2022_2023
Sevilla,35,38,15379,19193,80,273953,95369,7106,7918,89,6324,7354,86,1599,2958,54,31,32,34,-1,341,1230,302,95,1513,La_Liga,2022_2023
Valencia,28,38,13592,17492,77,240816,86465,6320,7184,88,5505,6588,83,1420,2753,51,23,32,35,-9,355,1155,302,111,1472,La_Liga,2022_2023
Valladolid,36,38,12627,16425,76,238766,87767,5273,6049,87,5251,6199,84,1734,3141,55,24,28,24,-4,324,969,223,92,1244,La_Liga,2022_2023
Villarreal,32,38,16634,19862,83,295552,101196,7381,8147,90,7101,7924,89,1743,2737,63,33,43,38,-10,374,1304,349,52,1622,La_Liga,2022_2023
Arminia,26,34,9382,13511,69,182069,82699,3765,4741,79,4031,5156,78,1305,2712,48,18,17,22,0,247,763,195,55,887,Bundesliga,2021_2022
Augsburg,26,34,9181,13035,70,181255,75935,3586,4449,80,3892,4935,78,1455,2827,51,26,23,25,2,264,657,218,85,895,Bundesliga,2021_2022
Bayern Munich,30,34,20087,23780,84,342875,124219,9343,10393,89,8473,9518,89,1747,2675,65,70,66,80,3,516,1677,500,71,2164,Bundesliga,2021_2022
Bochum,28,34,9624,13679,70,200296,84521,3445,4288,80,4176,5235,79,1764,3334,52,22,26,28,-4,276,761,179,66,926,Bundesliga,2021_2022
Dortmund,33,34,17410,21052,82,292378,101967,8010,8996,89,7168,8170,87,1495,2454,60,57,45,46,12,331,1091,301,48,1468,Bundesliga,2021_2022
Eint Frankfurt,27,34,12628,17023,74,229563,88663,5346,6380,83,5660,6861,82,1313,2783,47,33,32,33,1,331,908,223,78,1255,Bundesliga,2021_2022
