player,nation,position,squad,age,year_of_birth,matches_played,starts,minutes,90s_played,goals_against,goals_against/90,shots_on_target_against,saves,save_percentage,wins,draws,losses,clean_sheets,clean_sheet_percentage,penalty_kicks_attempted,penalty_kicks_allowed,penalty_kicks_saved,penalty_kicks_missed,save%_(penalty_kicks),league,season
Lars Unnerstall,GER,GK,Twente,33,1990,32,32,"2,880",32.0,34.0,1.06,123.0,89.0,76.4,19.0,6.0,7.0,10.0,31.3,6.0,5.0,1.0,0.0,16.7,Eredivisie,2023_2024
Etienne Vaessen,SUR,GK,RKC Waalwijk,28,1995,30,30,"2,644",29.4,49.0,1.67,173.0,125.0,74.0,6.0,8.0,16.0,5.0,16.7,5.0,4.0,1.0,0.0,20.0,Eredivisie,2023_2024
Hobie Verhulst,NED,GK,AZ Alkmaar,30,1993,1,1,90,1.0,4.0,4.0,8.0,4.0,62.5,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Eredivisie,2023_2024
Michael Verrips,NED,GK,Fortuna Sittard,26,1996,12,12,"1,080",12.0,22.0,1.83,51.0,30.0,56.9,4.0,3.0,5.0,2.0,16.7,0.0,0.0,0.0,0.0,,Eredivisie,2023_2024
Boy Waterman,NED,GK,PSV Eindhoven,39,1984,1,0,6,0.1,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,Eredivisie,2023_2024
Timon Wellenreuther,GER,GK,Feyenoord,27,1995,19,17,"1,598",17.8,12.0,0.68,44.0,32.0,75.0,14.0,3.0,0.0,11.0,64.7,1.0,1.0,0.0,0.0,0.0,Eredivisie,2023_2024
Oliver Baumann,GER,GK,Hoffenheim,32,1990,34,34,"3,060",34.0,57.0,1.68,161.0,105.0,65.8,10.0,6.0,18.0,5.0,14.7,3.0,2.0,0.0,1.0,0.0,Bundesliga,2022_2023
Janis Blaswich,GER,GK,RB Leipzig,31,1991,26,26,"2,340",26.0,29.0,1.12,75.0,45.0,69.3,16.0,4.0,6.0,7.0,26.9,7.0,6.0,1.0,0.0,14.3,Bundesliga,2022_2023
Fabian Bredlow,GER,GK,Stuttgart,27,1995,15,15,"1,350",15.0,23.0,1.53,59.0,37.0,69.5,4.0,5.0,6.0,1.0,6.7,5.0,5.0,0.0,0.0,0.0,Bundesliga,2022_2023
Koen Casteels,BEL,GK,Wolfsburg,30,1992,34,34,"3,060",34.0,48.0,1.41,147.0,101.0,70.1,13.0,10.0,11.0,12.0,35.3,7.0,4.0,1.0,2.0,20.0,Bundesliga,2022_2023
Oliver Christensen,DEN,GK,Hertha BSC,23,1999,33,33,"2,970",33.0,68.0,2.06,163.0,94.0,61.3,6.0,8.0,19.0,3.0,9.1,6.0,5.0,1.0,0.0,16.7,Bundesliga,2022_2023
Finn Dahmen,GER,GK,Mainz 05,24,1998,8,8,720,8.0,16.0,2.0,44.0,26.0,65.9,3.0,2.0,3.0,0.0,0.0,3.0,1.0,2.0,0.0,66.7,Bundesliga,2022_2023
Tjark Ernst,GER,GK,Hertha BSC,19,2003,1,1,90,1.0,1.0,1.0,7.0,6.0,85.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Bundesliga,2022_2023
Ralf Fährmann,GER,GK,Schalke 04,33,1988,12,12,"1,025",11.4,13.0,1.14,55.0,43.0,78.2,3.0,6.0,3.0,5.0,41.7,2.0,1.0,0.0,1.0,0.0,Bundesliga,2022_2023
Mark Flekken,NED,GK,Freiburg,29,1993,34,34,"3,060",34.0,44.0,1.29,150.0,106.0,74.0,17.0,8.0,9.0,13.0,38.2,6.0,5.0,0.0,1.0,0.0,Bundesliga,2022_2023
Rafał Gikiewicz,POL,GK,Augsburg,34,1987,23,23,"2,070",23.0,41.0,1.78,136.0,93.0,70.6,8.0,3.0,12.0,5.0,21.7,4.0,1.0,2.0,1.0,66.7,Bundesliga,2022_2023
Lennart Grill,GER,GK,Union Berlin,23,1999,5,5,450,5.0,11.0,2.2,25.0,14.0,64.0,2.0,1.0,2.0,2.0,40.0,2.0,2.0,0.0,0.0,0.0,Bundesliga,2022_2023
Péter Gulácsi,HUN,GK,RB Leipzig,32,1990,6,6,540,6.0,10.0,1.67,26.0,17.0,65.4,2.0,2.0,2.0,2.0,33.3,1.0,1.0,0.0,0.0,0.0,Bundesliga,2022_2023
Lukáš Hrádecký,FIN,GK,Leverkusen,32,1989,33,33,"2,969",33.0,47.0,1.42,142.0,97.0,71.8,14.0,8.0,11.0,9.0,27.3,7.0,7.0,0.0,0.0,0.0,Bundesliga,2022_2023
Gregor Kobel,SUI,GK,Dortmund,24,1997,27,27,"2,430",27.0,32.0,1.19,119.0,88.0,73.9,19.0,3.0,5.0,11.0,40.7,1.0,1.0,0.0,0.0,0.0,Bundesliga,2022_2023
Tomáš Koubek,CZE,GK,Augsburg,29,1992,11,11,990,11.0,22.0,2.0,65.0,45.0,66.2,1.0,4.0,6.0,1.0,9.1,0.0,0.0,0.0,0.0,,Bundesliga,2022_2023
Andrey Lunyov,RUS,GK,Leverkusen,30,1991,1,1,90,1.0,2.0,2.0,4.0,2.0,50.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,Bundesliga,2022_2023
Alexander Meyer,GER,GK,Dortmund,31,1991,7,7,630,7.0,12.0,1.71,32.0,20.0,62.5,3.0,2.0,2.0,1.0,14.3,0.0,0.0,0.0,0.0,,Bundesliga,2022_2023
Florian Müller,GER,GK,Stuttgart,24,1997,19,19,"1,710",19.0,34.0,1.79,87.0,53.0,62.1,3.0,7.0,9.0,1.0,5.3,1.0,1.0,0.0,0.0,0.0,Bundesliga,2022_2023
Manuel Neuer,GER,GK,Bayern Munich,36,1986,12,12,"1,080",12.0,11.0,0.92,44.0,33.0,79.5,7.0,4.0,1.0,4.0,33.3,2.0,2.0,0.0,0.0,0.0,Bundesliga,2022_2023
Ørjan Nyland,NOR,GK,RB Leipzig,31,1990,2,2,180,2.0,2.0,1.0,5.0,4.0,60.0,2.0,0.0,0.0,1.0,50.0,0.0,0.0,0.0,0.0,,Bundesliga,2022_2023
Jan Olschowsky,GER,GK,Gladbach,20,2001,4,4,360,4.0,11.0,2.75,31.0,20.0,67.7,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Bundesliga,2022_2023
Jonas Omlin,SUI,GK,Gladbach,28,1994,15,15,"1,290",14.3,18.0,1.26,56.0,38.0,71.4,5.0,4.0,6.0,5.0,33.3,2.0,2.0,0.0,0.0,0.0,Bundesliga,2022_2023
Jiří Pavlenka,CZE,GK,Werder Bremen,30,1992,33,33,"2,908",32.3,61.0,1.89,170.0,110.0,65.3,10.0,5.0,18.0,4.0,12.1,3.0,2.0,1.0,0.0,33.3,Bundesliga,2022_2023
Diant Ramaj,GER,GK,Eint Frankfurt,20,2001,1,1,90,1.0,1.0,1.0,5.0,4.0,80.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Bundesliga,2022_2023
