squad,#_of_players,90s_played,tackles,tackles_won,tackles_(def_3rd),tackles_(mid_3rd),tackles_(att_3rd),dribblers_tackled,dribbles_challenged,%_of_dribblers_tackled,challenges_lost,blocks,shots_blocked,passes_blocked,interceptions,tkl+int,clearances,errors,league,season
Torino,30,38,471,275,207,213,51,191,386,49,195,303,100,203,329,800,594,15,Serie_A,2023_2024
Udinese,32,38,606,381,345,213,48,299,571,52,272,437,129,308,327,933,988,10,Serie_A,2023_2024
Arouca,35,34,496,308,231,211,54,269,557,48,288,316,71,245,355,851,616,8,Primeira_Liga,2021_2022
B-SAD,37,34,455,269,238,163,54,235,528,44,293,374,138,236,334,789,679,5,Primeira_Liga,2021_2022
Benfica,35,34,551,339,234,236,81,284,541,52,257,347,92,255,319,870,449,7,Primeira_Liga,2021_2022
Boavista,28,34,567,337,310,210,47,286,609,47,323,336,100,236,379,946,646,6,Primeira_Liga,2021_2022
Braga,40,34,470,284,185,209,76,211,523,40,312,344,92,252,336,806,550,8,Primeira_Liga,2021_2022
Estoril,31,34,447,252,213,172,62,221,474,46,253,348,152,196,298,745,636,14,Primeira_Liga,2021_2022
Famalicão,37,34,550,334,265,215,70,296,611,48,315,344,107,237,404,954,704,10,Primeira_Liga,2021_2022
Gil Vicente FC,29,34,430,248,170,203,57,170,447,38,277,323,111,212,282,712,633,10,Primeira_Liga,2021_2022
Marítimo,30,34,585,362,287,245,53,249,525,47,276,382,122,260,343,928,642,8,Primeira_Liga,2021_2022
Moreirense,29,34,502,294,247,201,54,225,537,41,312,317,93,224,311,813,674,10,Primeira_Liga,2021_2022
Paços,30,34,492,285,239,191,62,270,642,42,372,328,109,219,376,868,637,9,Primeira_Liga,2021_2022
Portimonense,35,34,473,280,250,172,51,228,497,45,269,344,131,213,355,828,669,6,Primeira_Liga,2021_2022
Porto,33,34,553,340,178,258,117,273,573,47,300,299,52,247,323,876,407,6,Primeira_Liga,2021_2022
Santa Clara,32,34,524,323,279,198,47,262,539,48,277,322,97,225,378,902,657,11,Primeira_Liga,2021_2022
Sporting CP,31,34,567,333,237,261,69,262,577,45,315,331,67,264,341,908,427,7,Primeira_Liga,2021_2022
Tondela,27,34,586,376,330,207,49,305,599,50,294,318,95,223,348,934,669,6,Primeira_Liga,2021_2022
Vitória,31,34,470,290,215,188,67,238,516,46,278,279,77,202,322,792,554,10,Primeira_Liga,2021_2022
Vizela,31,34,534,322,271,192,71,266,585,45,319,314,99,215,384,918,695,9,Primeira_Liga,2021_2022
Brest,25,34,679,427,295,299,85,306,715,42,409,386,100,286,321,1000,644,13,Ligue_1,2023_2024
Clermont Foot,31,34,581,358,279,242,60,312,633,49,321,382,130,252,347,928,667,19,Ligue_1,2023_2024
Le Havre,27,34,560,332,293,207,60,283,572,49,289,362,124,238,363,923,664,10,Ligue_1,2023_2024
Lens,27,34,554,339,213,266,75,291,569,51,278,392,112,280,298,852,549,16,Ligue_1,2023_2024
Lille,28,34,594,370,267,242,85,278,580,47,302,319,80,239,292,886,574,10,Ligue_1,2023_2024
Lorient,38,34,538,326,284,195,59,252,531,47,279,391,129,262,337,875,805,14,Ligue_1,2023_2024
Lyon,35,34,538,331,241,203,94,250,578,43,328,343,118,225,304,842,563,12,Ligue_1,2023_2024
Marseille,33,34,604,371,270,264,70,292,587,49,295,365,99,266,332,936,633,8,Ligue_1,2023_2024
Metz,30,34,562,334,310,183,69,238,514,46,276,416,127,289,348,910,834,9,Ligue_1,2023_2024
Monaco,30,34,664,412,259,314,91,322,686,46,364,418,85,333,394,1058,582,14,Ligue_1,2023_2024
