squad,#_of_players,average_age,possession,matches_played,starts,minutes,90s_played,goals,assists,goals_+_assists,non-penalty_goals,penalty_kicks_made,penalty_kicks_attempted,yellow_cards,red_cards,goals/90,assists/90,goals_+_assists/90,non-penalty_goals/90,npxg_+_xag/90,league,season,xg:_expected_goals,npxg:_non-penalty_xg,xag:_exp._assisted_goals,npxg_+_xag,progressive_carries,progressive_passes,non-penalty_goals_+_assists/90,xg/90,xag/90,xg_+_xag/90,npxg/90
Cambuur,27,26,48.0,34,374,3060,34,51,38.0,89.0,47,4,5,54,3,1,1.0,2.0,1,1.0,Eredivisie,2021_2022,40.0,36.0,30.0,67.0,508.0,984.0,2.0,1.0,0.0,2.0,1.0
Feyenoord,31,24,58.0,34,374,3060,34,75,57.0,132.0,72,3,4,41,0,2,1.0,3.0,2,3.0,Eredivisie,2021_2022,72.0,69.0,54.0,123.0,837.0,1830.0,3.0,2.0,1.0,3.0,2.0
Fortuna Sittard,29,26,43.0,34,374,3060,34,35,24.0,59.0,32,3,3,62,1,1,0.0,1.0,0,1.0,Eredivisie,2021_2022,35.0,33.0,26.0,59.0,399.0,889.0,1.0,1.0,0.0,1.0,0.0
Go Ahead Eag,26,24,47.0,34,374,3060,34,36,27.0,63.0,34,2,2,39,5,1,0.0,1.0,1,1.0,Eredivisie,2021_2022,36.0,34.0,26.0,61.0,449.0,1124.0,1.0,1.0,0.0,1.0,1.0
Groningen,28,24,48.0,34,374,3060,34,39,27.0,66.0,38,1,1,55,4,1,0.0,1.0,1,1.0,Eredivisie,2021_2022,39.0,38.0,26.0,64.0,526.0,1014.0,1.0,1.0,0.0,1.0,1.0
Heerenveen,32,24,47.0,34,374,3060,34,34,26.0,60.0,31,3,3,42,2,1,0.0,1.0,0,2.0,Eredivisie,2021_2022,44.0,42.0,33.0,75.0,558.0,1131.0,1.0,1.0,0.0,2.0,1.0
Heracles Almelo,31,23,46.0,34,374,3060,34,32,18.0,50.0,31,1,2,55,3,0,0.0,1.0,0,2.0,Eredivisie,2021_2022,41.0,40.0,29.0,69.0,657.0,1178.0,1.0,1.0,0.0,2.0,1.0
NEC Nijmegen,25,24,47.0,34,374,3060,34,38,19.0,57.0,36,2,3,50,3,1,0.0,1.0,1,2.0,Eredivisie,2021_2022,43.0,41.0,28.0,70.0,559.0,1044.0,1.0,1.0,0.0,2.0,1.0
PSV Eindhoven,30,25,57.0,34,374,3060,34,84,66.0,150.0,83,1,1,42,0,2,1.0,4.0,2,3.0,Eredivisie,2021_2022,74.0,74.0,58.0,132.0,780.0,1801.0,4.0,2.0,1.0,3.0,2.0
RKC Waalwijk,26,25,43.0,34,374,3060,34,39,31.0,70.0,38,1,2,54,1,1,0.0,2.0,1,1.0,Eredivisie,2021_2022,38.0,36.0,29.0,66.0,416.0,1117.0,2.0,1.0,0.0,2.0,1.0
