squad,#_of_players,average_age,possession,matches_played,starts,minutes,90s_played,goals,assists,goals_+_assists,non-penalty_goals,penalty_kicks_made,penalty_kicks_attempted,yellow_cards,red_cards,goals/90,assists/90,goals_+_assists/90,non-penalty_goals/90,npxg_+_xag/90,league,season,xg:_expected_goals,npxg:_non-penalty_xg,xag:_exp._assisted_goals,npxg_+_xag,progressive_carries,progressive_passes,non-penalty_goals_+_assists/90,xg/90,xag/90,xg_+_xag/90,npxg/90
Antwerp,31,26,52.0,34,374,3060,34,53,26.0,79.0,51,2,5,73,6,1,0.0,2.0,1,2.0,Belgian_Pro_League,2021_2022,49.0,45.0,35.0,81.0,684.0,1476.0,2.0,1.0,1.0,2.0,1.0
Beerschot,33,26,44.0,34,371,3060,34,31,18.0,49.0,28,3,5,81,9,0,0.0,1.0,0,1.0,Belgian_Pro_League,2021_2022,37.0,32.0,25.0,58.0,394.0,1127.0,1.0,1.0,0.0,1.0,0.0
Cercle Brugge,25,23,46.0,34,374,3060,34,49,25.0,74.0,43,6,6,79,4,1,0.0,2.0,1,2.0,Belgian_Pro_League,2021_2022,53.0,49.0,36.0,85.0,410.0,1367.0,2.0,1.0,1.0,2.0,1.0
Charleroi,34,24,50.0,34,374,3060,34,52,41.0,93.0,51,1,3,55,1,1,1.0,2.0,1,2.0,Belgian_Pro_League,2021_2022,51.0,50.0,42.0,92.0,686.0,1561.0,2.0,1.0,1.0,2.0,1.0
Club Brugge,31,26,58.0,34,374,3060,34,71,48.0,119.0,68,3,3,60,8,2,1.0,3.0,2,3.0,Belgian_Pro_League,2021_2022,72.0,69.0,53.0,123.0,697.0,1852.0,3.0,2.0,1.0,3.0,2.0
Eupen,34,26,49.0,34,374,3060,34,36,25.0,61.0,35,1,1,79,2,1,0.0,1.0,1,2.0,Belgian_Pro_League,2021_2022,43.0,42.0,31.0,74.0,651.0,1348.0,1.0,1.0,0.0,2.0,1.0
Genk,27,24,58.0,34,374,3060,34,65,45.0,110.0,58,7,9,50,4,1,1.0,3.0,1,3.0,Belgian_Pro_League,2021_2022,69.0,62.0,53.0,116.0,777.0,1775.0,3.0,2.0,1.0,3.0,1.0
Gent,28,27,54.0,34,374,3060,34,54,34.0,88.0,52,2,5,61,4,1,1.0,2.0,1,3.0,Belgian_Pro_League,2021_2022,62.0,58.0,45.0,104.0,712.0,1529.0,2.0,1.0,1.0,3.0,1.0
Kortrijk,32,25,47.0,34,374,3060,34,43,29.0,72.0,37,6,8,91,4,1,0.0,2.0,1,2.0,Belgian_Pro_League,2021_2022,45.0,39.0,30.0,69.0,480.0,1129.0,1.0,1.0,0.0,2.0,1.0
Mechelen,27,26,53.0,34,363,2970,33,56,42.0,98.0,54,2,4,63,4,1,1.0,2.0,1,2.0,Belgian_Pro_League,2021_2022,42.0,38.0,32.0,70.0,558.0,1385.0,2.0,1.0,0.0,2.0,1.0
OH Leuven,30,26,49.0,34,363,2970,33,42,28.0,70.0,38,4,5,69,6,1,0.0,2.0,1,2.0,Belgian_Pro_League,2021_2022,45.0,41.0,34.0,75.0,569.0,1451.0,2.0,1.0,1.0,2.0,1.0
Oostende,30,23,45.0,34,374,3060,34,33,22.0,55.0,31,2,2,83,6,0,0.0,1.0,0,1.0,Belgian_Pro_League,2021_2022,39.0,38.0,28.0,66.0,414.0,1426.0,1.0,1.0,0.0,2.0,1.0
R.F.C. Seraing,29,24,47.0,34,374,3060,34,29,19.0,48.0,27,2,2,66,6,0,0.0,1.0,0,1.0,Belgian_Pro_League,2021_2022,39.0,37.0,28.0,66.0,591.0,1171.0,1.0,1.0,0.0,2.0,1.0
Sint-Truiden,32,26,43.0,34,374,3060,34,40,22.0,62.0,36,4,5,80,4,1,0.0,1.0,1,1.0,Belgian_Pro_League,2021_2022,41.0,37.0,30.0,67.0,475.0,1232.0,1.0,1.0,0.0,2.0,1.0
Standard Liège,38,24,48.0,34,371,3060,34,31,3.0,34.0,28,3,3,113,6,0,0.0,1.0,0,1.0,Belgian_Pro_League,2021_2022,39.0,36.0,27.0,64.0,584.0,1323.0,0.0,1.0,0.0,1.0,1.0
Union SG,25,26,48.0,34,374,3060,34,71,48.0,119.0,65,6,7,77,4,2,1.0,3.0,1,3.0,Belgian_Pro_League,2021_2022,62.0,56.0,47.0,103.0,581.0,1482.0,3.0,1.0,1.0,3.0,1.0
Zulte Waregem,27,27,45.0,34,374,3060,34,42,27.0,69.0,38,4,4,75,5,1,0.0,2.0,1,1.0,Belgian_Pro_League,2021_2022,38.0,35.0,27.0,61.0,496.0,1263.0,1.0,1.0,0.0,1.0,1.0
Čukarički,33,23,,37,407,3330,37,53,,,47,6,6,85,4,1,,,1,,Serbian_SuperLiga,2021_2022,,,,,,,,,,,
FK Kolubara,35,27,,37,407,3330,37,42,,,42,0,0,94,2,1,,,1,,Serbian_SuperLiga,2021_2022,,,,,,,,,,,
Metalac GM,33,23,,37,407,3330,37,41,,,39,2,2,91,3,1,,,1,,Serbian_SuperLiga,2021_2022,,,,,,,,,,,
Mladost Lučani,39,28,,37,407,3330,37,45,,,43,2,2,97,4,1,,,1,,Serbian_SuperLiga,2021_2022,,,,,,,,,,,
Napredak Kruš,35,26,,37,407,3330,37,28,,,26,2,2,96,6,0,,,0,,Serbian_SuperLiga,2021_2022,,,,,,,,,,,
Novi Pazar,38,25,,37,407,3330,37,39,,,36,3,3,89,2,1,,,0,,Serbian_SuperLiga,2021_2022,,,,,,,,,,,
Partizan,32,27,,37,407,3330,37,83,,,75,8,8,63,2,2,,,2,,Serbian_SuperLiga,2021_2022,,,,,,,,,,,
Proleter NS,37,26,,37,407,3330,37,26,,,25,1,1,113,4,0,,,0,,Serbian_SuperLiga,2021_2022,,,,,,,,,,,
Radnički Kragujevac,42,26,,37,407,3330,37,29,,,26,3,3,95,5,0,,,0,,Serbian_SuperLiga,2021_2022,,,,,,,,,,,
Radnički Niš,34,27,,37,407,3330,37,36,,,29,7,7,95,6,0,,,0,,Serbian_SuperLiga,2021_2022,,,,,,,,,,,
Radnik Surdulica,31,24,,37,407,3330,37,37,,,35,2,2,88,4,1,,,0,,Serbian_SuperLiga,2021_2022,,,,,,,,,,,
Red Star,36,28,,37,407,3330,37,95,,,90,5,6,66,0,2,,,2,,Serbian_SuperLiga,2021_2022,,,,,,,,,,,
Spartak Subotic,43,24,,37,407,3330,37,43,,,36,7,7,73,2,1,,,0,,Serbian_SuperLiga,2021_2022,,,,,,,,,,,
TSC Bačka Top,33,26,,37,407,3330,37,50,,,48,2,2,77,0,1,,,1,,Serbian_SuperLiga,2021_2022,,,,,,,,,,,
Vojvodina,29,25,,37,407,3330,37,39,,,33,6,6,93,5,1,,,0,,Serbian_SuperLiga,2021_2022,,,,,,,,,,,
Voždovac,30,24,,37,407,3330,37,47,,,46,1,1,72,2,1,,,1,,Serbian_SuperLiga,2021_2022,,,,,,,,,,,
Arsenal,25,25,58.0,38,418,3420,38,86,62.0,148.0,76,10,10,64,2,2,1.0,3.0,2,3.0,Premier_League,2023_2024,76.0,68.0,55.0,123.0,821.0,2106.0,3.0,2.0,1.0,3.0,1.0
Aston Villa,31,26,53.0,38,418,3420,38,72,55.0,127.0,68,4,4,94,2,1,1.0,3.0,1,2.0,Premier_League,2023_2024,63.0,60.0,48.0,108.0,775.0,1451.0,3.0,1.0,1.0,2.0,1.0
Bournemouth,30,25,44.0,38,418,3420,38,52,39.0,91.0,50,2,3,79,3,1,1.0,2.0,1,2.0,Premier_League,2023_2024,55.0,53.0,40.0,94.0,709.0,1314.0,2.0,1.0,1.0,2.0,1.0
Brentford,28,26,45.0,38,418,3420,38,54,38.0,92.0,51,3,3,89,2,1,1.0,2.0,1,2.0,Premier_League,2023_2024,58.0,56.0,42.0,98.0,505.0,1283.0,2.0,1.0,1.0,2.0,1.0
Brighton,30,25,59.0,38,418,3420,38,50,36.0,86.0,45,5,6,90,3,1,0.0,2.0,1,2.0,Premier_League,2023_2024,56.0,52.0,41.0,93.0,864.0,1780.0,2.0,1.0,1.0,2.0,1.0
Burnley,31,24,47.0,38,418,3420,38,40,30.0,70.0,37,3,3,77,7,1,0.0,1.0,0,1.0,Premier_League,2023_2024,40.0,38.0,29.0,68.0,727.0,1181.0,1.0,1.0,0.0,1.0,1.0
Chelsea,32,24,58.0,38,418,3420,38,76,51.0,127.0,65,11,12,109,4,2,1.0,3.0,1,3.0,Premier_League,2023_2024,74.0,65.0,51.0,116.0,873.0,1615.0,3.0,1.0,1.0,3.0,1.0
Crystal Palace,26,26,42.0,38,418,3420,38,56,43.0,99.0,52,4,4,73,2,1,1.0,2.0,1,2.0,Premier_League,2023_2024,48.0,45.0,38.0,84.0,506.0,1176.0,2.0,1.0,1.0,2.0,1.0
Everton,26,27,40.0,38,418,3420,38,40,17.0,57.0,38,2,3,82,1,1,0.0,1.0,1,2.0,Premier_League,2023_2024,54.0,51.0,38.0,89.0,495.0,1129.0,1.0,1.0,1.0,2.0,1.0
Fulham,25,28,50.0,38,418,3420,38,54,40.0,94.0,52,2,2,84,4,1,1.0,2.0,1,2.0,Premier_League,2023_2024,50.0,49.0,37.0,86.0,670.0,1467.0,2.0,1.0,0.0,2.0,1.0
Liverpool,30,26,61.0,38,418,3420,38,80,60.0,140.0,74,6,9,69,5,2,1.0,3.0,1,3.0,Premier_League,2023_2024,87.0,80.0,63.0,144.0,924.0,2110.0,3.0,2.0,1.0,3.0,2.0
Luton Town,28,26,42.0,38,418,3420,38,49,33.0,82.0,44,5,5,71,0,1,0.0,2.0,1,1.0,Premier_League,2023_2024,42.0,38.0,29.0,68.0,675.0,1113.0,2.0,1.0,0.0,1.0,1.0
Manchester City,25,26,65.0,38,418,3420,38,94,69.0,163.0,85,9,10,53,2,2,1.0,4.0,2,3.0,Premier_League,2023_2024,80.0,72.0,60.0,133.0,1127.0,2060.0,4.0,2.0,1.0,3.0,1.0
Manchester Utd,31,26,50.0,38,418,3420,38,57,36.0,93.0,51,6,7,83,1,1,0.0,2.0,1,2.0,Premier_League,2023_2024,56.0,51.0,40.0,91.0,759.0,1479.0,2.0,1.0,1.0,2.0,1.0
Newcastle Utd,32,27,52.0,38,418,3420,38,83,55.0,138.0,75,8,9,79,1,2,1.0,3.0,1,3.0,Premier_League,2023_2024,76.0,69.0,51.0,120.0,737.0,1557.0,3.0,2.0,1.0,3.0,1.0
Nott'ham Forest,33,25,40.0,38,418,3420,38,49,43.0,92.0,48,1,1,82,3,1,1.0,2.0,1,2.0,Premier_League,2023_2024,49.0,49.0,38.0,87.0,604.0,1140.0,2.0,1.0,1.0,2.0,1.0
Sheffield Utd,35,25,35.0,38,418,3420,38,31,18.0,49.0,26,5,5,101,5,0,0.0,1.0,0,1.0,Premier_League,2023_2024,38.0,34.0,25.0,60.0,343.0,884.0,1.0,1.0,0.0,1.0,0.0
Tottenham,29,25,61.0,38,418,3420,38,69,58.0,127.0,67,2,2,92,4,1,1.0,3.0,1,3.0,Premier_League,2023_2024,68.0,66.0,57.0,124.0,957.0,2107.0,3.0,1.0,1.0,3.0,1.0
West Ham,26,28,41.0,38,418,3420,38,58,40.0,98.0,54,4,5,82,3,1,1.0,2.0,1,2.0,Premier_League,2023_2024,52.0,48.0,34.0,83.0,556.0,1207.0,2.0,1.0,0.0,2.0,1.0
Wolves,27,26,48.0,38,418,3420,38,47,36.0,83.0,43,4,4,102,4,1,0.0,2.0,1,1.0,Premier_League,2023_2024,46.0,43.0,31.0,75.0,671.0,1180.0,2.0,1.0,0.0,2.0,1.0
Ajaccio,36,29,43.0,38,418,3420,38,22,12.0,34.0,16,6,9,86,10,0,0.0,0.0,0,1.0,Ligue_1,2022_2023,36.0,29.0,22.0,52.0,487.0,1169.0,0.0,0.0,0.0,1.0,0.0
Angers,33,25,46.0,38,418,3420,38,31,18.0,49.0,27,4,4,69,5,0,0.0,1.0,0,1.0,Ligue_1,2022_2023,40.0,37.0,28.0,65.0,632.0,1393.0,1.0,1.0,0.0,1.0,0.0
Auxerre,33,27,43.0,38,418,3420,38,32,17.0,49.0,25,7,9,54,6,0,0.0,1.0,0,1.0,Ligue_1,2022_2023,42.0,35.0,27.0,63.0,531.0,1284.0,1.0,1.0,0.0,1.0,0.0
Brest,29,26,44.0,38,418,3420,38,43,28.0,71.0,36,7,8,63,2,1,0.0,1.0,0,1.0,Ligue_1,2022_2023,43.0,37.0,29.0,66.0,592.0,1311.0,1.0,1.0,0.0,1.0,0.0
Clermont Foot,28,27,48.0,38,418,3420,38,44,26.0,70.0,37,7,10,72,5,1,0.0,1.0,0,1.0,Ligue_1,2022_2023,47.0,39.0,27.0,67.0,532.0,1304.0,1.0,1.0,0.0,1.0,1.0
Lens,29,26,55.0,38,418,3420,38,66,49.0,115.0,60,6,9,63,3,1,1.0,3.0,1,2.0,Ligue_1,2022_2023,66.0,59.0,47.0,107.0,738.0,1829.0,2.0,1.0,1.0,3.0,1.0
Lille,26,26,60.0,38,418,3420,38,65,40.0,105.0,54,11,12,82,1,1,1.0,2.0,1,2.0,Ligue_1,2022_2023,68.0,60.0,46.0,106.0,798.0,1982.0,2.0,1.0,1.0,3.0,1.0
Lorient,30,25,46.0,38,418,3420,38,49,32.0,81.0,45,4,6,48,4,1,0.0,2.0,1,1.0,Ligue_1,2022_2023,44.0,39.0,29.0,69.0,753.0,1329.0,2.0,1.0,0.0,1.0,1.0
Lyon,29,25,58.0,38,418,3420,38,63,45.0,108.0,57,6,8,61,3,1,1.0,2.0,1,2.0,Ligue_1,2022_2023,61.0,54.0,45.0,99.0,709.0,1883.0,2.0,1.0,1.0,2.0,1.0
Marseille,30,27,56.0,38,418,3420,38,61,38.0,99.0,55,6,7,63,4,1,1.0,2.0,1,2.0,Ligue_1,2022_2023,65.0,60.0,47.0,107.0,759.0,1919.0,2.0,1.0,1.0,2.0,1.0
Monaco,27,24,48.0,38,418,3420,38,69,47.0,116.0,64,5,8,64,5,1,1.0,3.0,1,2.0,Ligue_1,2022_2023,62.0,55.0,42.0,97.0,719.0,1820.0,2.0,1.0,1.0,2.0,1.0
Montpellier,31,26,45.0,38,418,3420,38,64,41.0,105.0,57,7,7,68,10,1,1.0,2.0,1,2.0,Ligue_1,2022_2023,52.0,46.0,34.0,80.0,556.0,1250.0,2.0,1.0,0.0,2.0,1.0
Nantes,29,26,45.0,38,418,3420,38,35,27.0,62.0,32,3,5,65,4,0,0.0,1.0,0,1.0,Ligue_1,2022_2023,42.0,39.0,31.0,70.0,705.0,1565.0,1.0,1.0,0.0,1.0,1.0
Nice,34,26,51.0,38,418,3420,38,47,32.0,79.0,41,6,7,53,3,1,0.0,2.0,1,2.0,Ligue_1,2022_2023,57.0,51.0,39.0,91.0,774.0,1534.0,1.0,1.0,1.0,2.0,1.0
Paris S-G,26,26,60.0,38,418,3420,38,86,62.0,148.0,81,5,7,57,5,2,1.0,3.0,2,3.0,Ligue_1,2022_2023,78.0,72.0,56.0,129.0,810.0,2029.0,3.0,2.0,1.0,3.0,1.0
Reims,34,24,48.0,38,418,3420,38,45,31.0,76.0,38,7,8,70,9,1,0.0,2.0,1,2.0,Ligue_1,2022_2023,61.0,55.0,43.0,98.0,712.0,1717.0,1.0,1.0,1.0,2.0,1.0
Rennes,32,25,55.0,38,418,3420,38,66,47.0,113.0,63,3,3,58,6,1,1.0,2.0,1,2.0,Ligue_1,2022_2023,61.0,59.0,45.0,104.0,774.0,1922.0,2.0,1.0,1.0,2.0,1.0
Strasbourg,29,27,45.0,38,418,3420,38,48,28.0,76.0,43,5,7,73,7,1,0.0,2.0,1,1.0,Ligue_1,2022_2023,48.0,42.0,32.0,74.0,610.0,1351.0,1.0,1.0,0.0,2.0,1.0
Toulouse,29,25,51.0,38,418,3420,38,50,33.0,83.0,46,4,4,62,3,1,0.0,2.0,1,2.0,Ligue_1,2022_2023,52.0,49.0,35.0,85.0,648.0,1737.0,2.0,1.0,0.0,2.0,1.0
Troyes,32,25,42.0,38,418,3420,38,43,26.0,69.0,38,5,5,55,5,1,0.0,1.0,1,1.0,Ligue_1,2022_2023,39.0,35.0,27.0,63.0,638.0,1235.0,1.0,1.0,0.0,1.0,0.0
Arminia,26,25,40.0,34,374,3060,34,26,18.0,44.0,24,2,2,55,2,0,0.0,1.0,0,1.0,Bundesliga,2021_2022,26.0,24.0,17.0,41.0,405.0,887.0,1.0,0.0,0.0,1.0,0.0
Augsburg,26,26,41.0,34,374,3060,34,39,26.0,65.0,34,5,5,74,0,1,0.0,1.0,1,1.0,Bundesliga,2021_2022,36.0,32.0,23.0,56.0,441.0,895.0,1.0,1.0,0.0,1.0,0.0
Bayern Munich,30,26,64.0,34,374,3060,34,92,70.0,162.0,87,5,5,36,2,2,2.0,4.0,2,4.0,Bundesliga,2021_2022,89.0,85.0,66.0,151.0,833.0,2164.0,4.0,2.0,1.0,4.0,2.0
Bochum,28,28,44.0,34,374,3060,34,37,22.0,59.0,33,4,6,55,2,1,0.0,1.0,0,1.0,Bundesliga,2021_2022,40.0,35.0,26.0,62.0,467.0,926.0,1.0,1.0,0.0,1.0,1.0
Dortmund,33,25,59.0,34,374,3060,34,81,57.0,138.0,70,11,11,63,1,2,1.0,4.0,2,2.0,Bundesliga,2021_2022,64.0,55.0,45.0,100.0,670.0,1468.0,3.0,1.0,1.0,3.0,1.0
Eint Frankfurt,27,26,49.0,34,374,3060,34,43,33.0,76.0,42,1,2,61,1,1,0.0,2.0,1,2.0,Bundesliga,2021_2022,41.0,40.0,32.0,72.0,609.0,1255.0,2.0,1.0,0.0,2.0,1.0
Freiburg,26,26,49.0,34,374,3060,34,55,37.0,92.0,50,5,6,34,0,1,1.0,2.0,1,2.0,Bundesliga,2021_2022,50.0,45.0,34.0,80.0,401.0,1229.0,2.0,1.0,1.0,2.0,1.0
Gladbach,26,26,54.0,34,374,3060,34,54,38.0,92.0,49,5,7,67,1,1,1.0,2.0,1,2.0,Bundesliga,2021_2022,56.0,50.0,37.0,88.0,527.0,1291.0,2.0,1.0,1.0,2.0,1.0
Greuther Fürth,29,25,43.0,34,374,3060,34,26,15.0,41.0,21,5,5,61,0,0,0.0,1.0,0,1.0,Bundesliga,2021_2022,30.0,26.0,18.0,44.0,413.0,976.0,1.0,0.0,0.0,1.0,0.0
Hertha BSC,36,26,43.0,34,374,3060,34,35,23.0,58.0,32,3,3,62,2,1,0.0,1.0,0,1.0,Bundesliga,2021_2022,33.0,30.0,25.0,55.0,462.0,975.0,1.0,0.0,0.0,1.0,0.0
Hoffenheim,32,26,53.0,34,374,3060,34,55,42.0,97.0,55,0,0,75,0,1,1.0,2.0,1,3.0,Bundesliga,2021_2022,58.0,58.0,46.0,105.0,588.0,1474.0,2.0,1.0,1.0,3.0,1.0
Köln,26,27,54.0,34,374,3060,34,52,40.0,92.0,51,1,1,68,1,1,1.0,2.0,1,2.0,Bundesliga,2021_2022,50.0,49.0,38.0,87.0,550.0,1406.0,2.0,1.0,1.0,2.0,1.0
Leverkusen,29,24,53.0,34,374,3060,34,76,58.0,134.0,74,2,6,66,2,2,1.0,3.0,2,3.0,Bundesliga,2021_2022,62.0,57.0,46.0,104.0,709.0,1341.0,3.0,1.0,1.0,3.0,1.0
Mainz 05,28,26,46.0,34,374,3060,34,49,36.0,85.0,45,4,4,62,4,1,1.0,2.0,1,2.0,Bundesliga,2021_2022,50.0,47.0,36.0,83.0,445.0,1178.0,2.0,1.0,1.0,2.0,1.0
RB Leipzig,29,25,56.0,34,374,3060,34,72,53.0,125.0,64,8,9,49,0,2,1.0,3.0,1,3.0,Bundesliga,2021_2022,64.0,58.0,49.0,107.0,542.0,1467.0,3.0,1.0,1.0,3.0,1.0
Stuttgart,34,24,50.0,34,374,3060,34,40,31.0,71.0,39,1,3,64,2,1,0.0,2.0,1,2.0,Bundesliga,2021_2022,43.0,41.0,33.0,74.0,571.0,1269.0,2.0,1.0,0.0,2.0,1.0
Union Berlin,28,28,43.0,34,374,3060,34,50,33.0,83.0,45,5,5,62,1,1,0.0,2.0,1,2.0,Bundesliga,2021_2022,47.0,43.0,31.0,74.0,429.0,1123.0,2.0,1.0,0.0,2.0,1.0
Wolfsburg,30,26,50.0,34,374,3060,34,42,25.0,67.0,39,3,4,61,3,1,0.0,1.0,1,2.0,Bundesliga,2021_2022,47.0,44.0,33.0,78.0,502.0,1220.0,1.0,1.0,1.0,2.0,1.0
Alavés,33,27,42.0,38,418,3420,38,29,20.0,49.0,23,6,7,93,4,0,0.0,1.0,0,1.0,La_Liga,2021_2022,37.0,31.0,25.0,57.0,420.0,984.0,1.0,0.0,0.0,1.0,0.0
Athletic Club,26,26,48.0,38,418,3420,38,40,34.0,74.0,37,3,7,90,4,1,0.0,1.0,0,2.0,La_Liga,2021_2022,49.0,44.0,37.0,81.0,653.0,1572.0,1.0,1.0,0.0,2.0,1.0
Atlético Madrid,26,28,50.0,38,418,3420,38,63,45.0,108.0,59,4,5,111,7,1,1.0,2.0,1,2.0,La_Liga,2021_2022,54.0,50.0,40.0,90.0,705.0,1463.0,2.0,1.0,1.0,2.0,1.0
Barcelona,38,26,64.0,38,418,3420,38,68,52.0,120.0,62,6,7,97,5,1,1.0,3.0,1,2.0,La_Liga,2021_2022,63.0,57.0,47.0,105.0,961.0,2079.0,3.0,1.0,1.0,2.0,1.0
Betis,31,28,53.0,38,418,3420,38,60,45.0,105.0,54,6,6,87,6,1,1.0,2.0,1,2.0,La_Liga,2021_2022,53.0,48.0,37.0,86.0,666.0,1518.0,2.0,1.0,0.0,2.0,1.0
Cádiz,33,28,41.0,38,418,3420,38,35,21.0,56.0,32,3,6,105,3,0,0.0,1.0,0,1.0,La_Liga,2021_2022,39.0,34.0,24.0,59.0,571.0,1080.0,1.0,1.0,0.0,1.0,0.0
Celta Vigo,25,28,55.0,38,418,3420,38,43,29.0,72.0,40,3,6,87,3,1,0.0,1.0,1,1.0,La_Liga,2021_2022,43.0,38.0,28.0,67.0,665.0,1447.0,1.0,1.0,0.0,1.0,1.0
Elche,28,29,48.0,38,418,3420,38,39,29.0,68.0,38,1,1,104,6,1,0.0,1.0,1,1.0,La_Liga,2021_2022,33.0,32.0,27.0,60.0,531.0,1102.0,1.0,0.0,0.0,1.0,0.0
Espanyol,34,27,46.0,38,418,3420,38,39,25.0,64.0,34,5,5,99,7,1,0.0,1.0,0,1.0,La_Liga,2021_2022,36.0,32.0,25.0,58.0,610.0,1212.0,1.0,0.0,0.0,1.0,0.0
Getafe,31,26,41.0,38,418,3420,38,31,26.0,57.0,28,3,5,121,8,0,0.0,1.0,0,1.0,La_Liga,2021_2022,29.0,25.0,19.0,44.0,399.0,917.0,1.0,0.0,0.0,1.0,0.0
Granada,32,28,44.0,38,418,3420,38,43,28.0,71.0,40,3,5,105,4,1,0.0,1.0,1,1.0,La_Liga,2021_2022,39.0,35.0,26.0,61.0,435.0,1047.0,1.0,1.0,0.0,1.0,0.0
Levante,31,28,47.0,38,418,3420,38,51,34.0,85.0,43,8,13,109,6,1,0.0,2.0,1,2.0,La_Liga,2021_2022,55.0,45.0,31.0,76.0,569.0,1343.0,2.0,1.0,0.0,2.0,1.0
Mallorca,33,27,45.0,38,418,3420,38,33,23.0,56.0,27,6,7,114,7,0,0.0,1.0,0,1.0,La_Liga,2021_2022,38.0,33.0,25.0,59.0,575.0,1129.0,1.0,1.0,0.0,1.0,0.0
Osasuna,29,27,46.0,38,418,3420,38,37,23.0,60.0,31,6,8,84,2,0,0.0,1.0,0,1.0,La_Liga,2021_2022,36.0,30.0,22.0,53.0,417.0,1328.0,1.0,0.0,0.0,1.0,0.0
Rayo Vallecano,28,27,49.0,38,418,3420,38,38,28.0,66.0,34,4,4,101,3,1,0.0,1.0,0,1.0,La_Liga,2021_2022,42.0,39.0,30.0,70.0,697.0,1312.0,1.0,1.0,0.0,1.0,1.0
Real Madrid,31,27,59.0,38,418,3420,38,80,59.0,139.0,72,8,12,76,0,2,1.0,3.0,1,2.0,La_Liga,2021_2022,71.0,62.0,50.0,112.0,1029.0,2078.0,3.0,1.0,1.0,3.0,1.0
Real Sociedad,32,25,54.0,38,418,3420,38,40,22.0,62.0,31,9,10,77,4,1,0.0,1.0,0,2.0,La_Liga,2021_2022,51.0,43.0,32.0,76.0,667.0,1462.0,1.0,1.0,0.0,2.0,1.0
Sevilla,33,28,59.0,38,418,3420,38,51,40.0,91.0,49,2,3,97,4,1,1.0,2.0,1,1.0,La_Liga,2021_2022,42.0,40.0,32.0,72.0,625.0,1596.0,2.0,1.0,0.0,1.0,1.0
Valencia,34,24,43.0,38,418,3420,38,45,30.0,75.0,37,8,9,134,8,1,0.0,1.0,0,1.0,La_Liga,2021_2022,39.0,32.0,25.0,57.0,554.0,1202.0,1.0,1.0,0.0,1.0,0.0
Villarreal,29,28,56.0,38,418,3420,38,62,51.0,113.0,57,5,6,81,1,1,1.0,2.0,1,2.0,La_Liga,2021_2022,64.0,60.0,50.0,110.0,790.0,1698.0,2.0,1.0,1.0,3.0,1.0
Arouca,35,27,49.0,34,374,3060,34,30,18.0,48.0,28,2,3,97,6,0,0.0,1.0,0,1.0,Primeira_Liga,2021_2022,35.0,32.0,23.0,56.0,410.0,1187.0,1.0,1.0,0.0,1.0,0.0
B-SAD,37,25,43.0,34,372,3060,34,22,11.0,33.0,19,3,3,118,11,0,0.0,0.0,0,1.0,Primeira_Liga,2021_2022,30.0,28.0,20.0,49.0,329.0,850.0,0.0,0.0,0.0,1.0,0.0
Benfica,35,27,60.0,34,374,3060,34,77,58.0,135.0,72,5,5,81,3,2,1.0,3.0,2,3.0,Primeira_Liga,2021_2022,73.0,69.0,54.0,124.0,800.0,1819.0,3.0,2.0,1.0,3.0,2.0
Boavista,28,26,44.0,34,371,3060,34,39,28.0,67.0,36,3,4,120,10,1,0.0,1.0,1,1.0,Primeira_Liga,2021_2022,35.0,32.0,24.0,56.0,477.0,841.0,1.0,1.0,0.0,1.0,0.0
Braga,40,25,53.0,34,374,3060,34,52,34.0,86.0,47,5,6,83,5,1,1.0,2.0,1,2.0,Primeira_Liga,2021_2022,53.0,48.0,37.0,85.0,568.0,1391.0,2.0,1.0,1.0,2.0,1.0
Estoril,31,25,47.0,34,374,3060,34,35,25.0,60.0,29,6,7,101,8,1,0.0,1.0,0,1.0,Primeira_Liga,2021_2022,35.0,30.0,24.0,54.0,501.0,1176.0,1.0,1.0,0.0,1.0,0.0
Famalicão,37,23,47.0,34,374,3060,34,43,32.0,75.0,40,3,5,104,5,1,0.0,2.0,1,2.0,Primeira_Liga,2021_2022,47.0,44.0,32.0,77.0,519.0,1201.0,2.0,1.0,0.0,2.0,1.0
Gil Vicente FC,29,25,54.0,34,374,3060,34,47,32.0,79.0,44,3,5,88,4,1,0.0,2.0,1,2.0,Primeira_Liga,2021_2022,42.0,38.0,31.0,70.0,479.0,1429.0,2.0,1.0,0.0,2.0,1.0
Marítimo,30,27,48.0,34,374,3060,34,38,21.0,59.0,33,5,7,110,8,1,0.0,1.0,0,1.0,Primeira_Liga,2021_2022,34.0,29.0,22.0,52.0,466.0,996.0,1.0,1.0,0.0,1.0,0.0
Moreirense,29,27,44.0,34,374,3060,34,32,19.0,51.0,28,4,7,114,6,0,0.0,1.0,0,1.0,Primeira_Liga,2021_2022,43.0,37.0,24.0,61.0,434.0,1029.0,1.0,1.0,0.0,1.0,1.0
Paços,30,27,49.0,34,374,3060,34,28,17.0,45.0,24,4,5,107,5,0,0.0,1.0,0,1.0,Primeira_Liga,2021_2022,33.0,30.0,21.0,51.0,420.0,992.0,1.0,1.0,0.0,1.0,0.0
Portimonense,35,25,48.0,34,374,3060,34,28,18.0,46.0,26,2,4,114,7,0,0.0,1.0,0,1.0,Primeira_Liga,2021_2022,34.0,31.0,23.0,55.0,462.0,1056.0,1.0,1.0,0.0,1.0,0.0
