Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG/90,Matches
Paul Bernardoni,fr FRA,GK,Angers,24,1997,13,13,"1,170",13.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Paul Bernardoni,fr FRA,GK,Saint-Étienne,24,1997,19,19,"1,710",19.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Juan Bernat,es ESP,"DF,MF",Paris S-G,28,1993,15,12,958,10.6,0,0,0,0,0,0,2,0,0.1,0.1,0.7,0.8,20,30,85,0.00,0.00,0.00,0.00,0.00,0.01,0.07,0.07,0.01,0.07,Matches
Dimitry Bertaud,cd COD,GK,Montpellier,23,1998,11,9,833,9.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Jason Berthomier,fr FRA,MF,Clermont Foot,31,1990,29,22,"1,732",19.2,1,5,6,1,0,0,0,0,1.7,1.7,3.9,5.6,26,134,91,0.05,0.26,0.31,0.05,0.31,0.09,0.20,0.29,0.09,0.29,Matches
Giulian Biancone,fr FRA,"DF,MF",Troyes,21,2000,33,26,"2,292",25.5,1,2,3,1,0,0,10,0,1.7,1.7,1.0,2.7,58,87,100,0.04,0.08,0.12,0.04,0.12,0.07,0.04,0.11,0.07,0.11,Matches
El Bilal Touré,ml MLI,FW,Reims,19,2001,21,15,"1,194",13.3,2,4,6,1,1,1,2,0,4.1,3.3,1.7,5.0,22,23,78,0.15,0.30,0.45,0.08,0.38,0.31,0.13,0.44,0.25,0.38,Matches
Jean-Claude Billong,cm CMR,DF,Clermont Foot,27,1993,15,10,980,10.9,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.2,4,21,2,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,Matches
Nathan Bitumazala,fr FRA,DF,Paris S-G,18,2002,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Marco Bizot,nl NED,GK,Brest,30,1991,38,38,"3,420",38.0,0,1,1,0,0,0,1,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.03,0.03,0.00,0.03,0.00,0.00,0.00,0.00,0.00,Matches

Ludovic Blas,fr FRA,"MF,FW",Nantes,23,1997,35,35,"2,961",32.9,10,5,15,5,5,5,10,0,11.7,7.8,3.9,11.7,69,157,190,0.30,0.15,0.46,0.15,0.30,0.36,0.12,0.48,0.24,0.36,Matches
Myron Boadu,nl NED,FW,Monaco,20,2001,31,7,960,10.7,4,1,5,4,0,0,0,0,6.6,6.6,0.6,7.2,7,11,68,0.37,0.09,0.47,0.37,0.47,0.62,0.05,0.68,0.62,0.68,Matches
Jérôme Boateng,de GER,DF,Lyon,32,1988,24,19,"1,622",18.0,0,1,1,0,0,0,6,0,0.3,0.3,1.7,2.0,4,85,4,0.00,0.06,0.06,0.00,0.06,0.02,0.10,0.11,0.02,0.11,Matches
Antonin Bobichon,fr FRA,"MF,FW",Angers,25,1995,4,0,38,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
