Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,npxG + xAG/90,Matches
Bert Esselink,nl NED,DF,Stal Mielec,23,1999,26,24,"2,215",24.6,2,0,2,2,0,0,4,1,0.08,0.00,0.08,0.08,0.08,Matches
Erik Expósito,es ESP,FW,Śląsk Wrocław,27,1996,33,32,"2,880",32.0,19,5,24,13,6,7,6,0,0.59,0.16,0.75,0.41,0.56,Matches
Anton Fase,nl NED,FW,Łódzki KS,23,2000,5,0,55,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Michał Feliks,pl POL,"FW,MF",Ruch Chorzów,24,1999,23,5,671,7.5,5,1,6,5,0,0,5,0,0.67,0.13,0.80,0.67,0.80,Matches

Jorge Félix,es ESP,"FW,MF",Piast Gliwice,31,1991,30,23,"2,143",23.8,6,7,13,6,0,0,2,0,0.25,0.29,0.55,0.25,0.55,Matches
Maciej Firlej,pl POL,FW,Ruch Chorzów,26,1996,3,1,106,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Maciej Firlej,pl POL,FW,Puszcza Niepołomice,26,1996,6,2,242,2.7,0,1,1,0,0,0,1,0,0.00,0.37,0.37,0.00,0.37,Matches
Marcin Flis,pl POL,DF,Łódzki KS,29,1994,17,17,"1,530",17.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
Konrad Forenc,pl POL,GK,Korona Kielce,31,1992,5,5,450,5.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Mariusz Fornalczyk,pl POL,MF,Pogoń Szczecin,20,2003,15,0,248,2.8,2,0,2,2,0,0,1,0,0.73,0.00,0.73,0.73,0.73,Matches
Mariusz Fornalczyk,pl POL,MF,Korona Kielce,20,2003,11,2,407,4.5,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Petteri Forsell,fi FIN,"FW,MF",Korona Kielce,32,1990,4,0,74,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Tomasz Foszmańczyk,pl POL,"MF,FW",Ruch Chorzów,37,1986,15,2,241,2.7,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
João Gamboa,pt POR,MF,Pogoń Szczecin,26,1996,29,16,"1,554",17.3,0,2,2,0,0,0,4,0,0.00,0.12,0.12,0.00,0.12,Matches
Tornike Gaprindashvili,ge GEO,MF,Zagłębie Lubin,26,1997,4,1,80,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Lukasz Gerstenstein,pl POL,MF,Stal Mielec,18,2004,23,17,"1,310",14.6,2,2,4,2,0,0,2,0,0.14,0.14,0.27,0.14,0.27,Matches
Krystian Getinger,pl POL,MF,Stal Mielec,34,1988,33,31,"2,678",29.8,3,4,7,2,1,1,5,0,0.10,0.13,0.24,0.07,0.20,Matches
Ion Gheorghe,ro ROU,"FW,MF",Stal Mielec,23,1999,7,0,151,1.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Virgil Ghiță,ro ROU,DF,Cracovia,25,1998,29,28,"2,434",27.0,4,0,4,4,0,0,5,0,0.15,0.00,0.15,0.15,0.15,Matches
Ali Gholizadeh,ir IRN,MF,Lech Poznań,27,1996,10,7,629,7.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Rafał Gikiewicz,pl POL,GK,Widzew Łódź,35,1987,14,14,"1,260",14.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Filip Gil,pl POL,DF,Puszcza Niepołomice,16,2007,1,0,13,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Grzegorz Glapka,pl POL,DF,Łódzki KS,20,2002,2,1,77,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Kamil Glik,pl POL,DF,Cracovia,35,1988,13,12,"1,106",12.3,2,0,2,2,0,0,3,0,0.16,0.00,0.16,0.16,0.16,Matches
Marcus Godinho,ca CAN,"DF,MF",Korona Kielce,26,1997,21,19,"1,629",18.1,0,2,2,0,0,0,5,0,0.00,0.11,0.11,0.00,0.11,Matches
