Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,npxG + xAG/90,Matches
Welton Felipe,br BRA,MF,Levski Sofia,25,1997,16,14,"1,255",13.9,3,,,3,0,0,5,0,0.22,,,0.22,,Matches
Alex Fernandes,br BRA,MF,Cherno More,21,2002,18,15,"1,313",14.6,5,,,5,0,0,5,0,0.34,,,0.34,,Matches
Joaquín Fernández,uy URU,DF,Levski Sofia,24,1999,3,1,122,1.4,0,,,0,0,0,0,0,0.00,,,0.00,,Matches
França,br BRA,MF,Lokomotiv Sofia,28,1995,31,29,"2,542",28.2,5,,,5,0,0,14,1,0.18,,,0.18,,Matches
Steve Furtado,cv CPV,DF,CSKA 1948,28,1994,22,20,"1,787",19.9,0,,,0,0,0,7,1,0.00,,,0.00,,Matches
Patrik Galchev,bg BUL,DF,Levski Sofia,22,2001,24,17,"1,632",18.1,1,,,1,0,0,3,1,0.06,,,0.06,,Matches

Petko Ganev,bg BUL,DF,Botev Vratsa,26,1996,3,0,4,0.0,0,,,0,0,0,0,0,0.00,,,0.00,,Matches
Bruno Garcia,br BRA,MF,FK Levski 2005,26,1997,2,0,17,0.2,0,,,0,0,0,0,0,0.00,,,0.00,,Matches
Rodrigo Garcìa,ar ARG,GK,Beroe,31,1992,25,24,"2,140",23.8,0,,,0,0,0,2,1,0.00,,,0.00,,Matches
Nathan Gassama,fr FRA,DF,Slavia Sofia,22,2001,1,1,90,1.0,0,,,0,0,0,0,0,0.00,,,0.00,,Matches
Stefan Gavrilov,bg BUL,MF,Beroe,23,2000,21,12,889,9.9,0,,,0,0,0,2,0,0.00,,,0.00,,Matches
