Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,npxG + xAG/90,Matches
Thomas Jørgensen,dk DEN,MF,Hvidovre IF,17,2005,15,15,"1,222",13.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Anders K. Jacobsen,dk DEN,"FW,MF",Vejle BK,33,1989,15,5,583,6.5,0,1,1,0,0,0,0,0,0.00,0.15,0.15,0.00,0.15,Matches
Mads Kaalund,dk DEN,MF,Hvidovre IF,26,1996,7,4,354,3.9,1,0,1,1,0,0,0,0,0.25,0.00,0.25,0.25,0.25,Matches
William Kaastrup,dk DEN,DF,Randers,19,2004,5,3,252,2.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Sory Kaba,gn GUI,FW,Midtjylland,28,1995,4,1,138,1.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Bashkim Kadrii,dk DEN,"FW,MF",Odense,32,1991,31,27,"2,247",25.0,7,3,10,6,1,1,2,0,0.28,0.12,0.40,0.24,0.36,Matches
Eric Kahl,se SWE,"MF,DF",AGF,21,2001,30,20,"1,823",20.3,1,2,3,1,0,0,8,0,0.05,0.10,0.15,0.05,0.15,Matches
Mikkel Kallesøe,dk DEN,DF,Randers,26,1997,17,14,"1,170",13.0,0,4,4,0,0,0,4,1,0.00,0.31,0.31,0.00,0.31,Matches
Alhaji Kamara,sl SLE,FW,Midtjylland,29,1994,1,0,5,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Alhaji Kamara,sl SLE,FW,Randers,29,1994,9,0,83,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Adrian Kappenberger,dk DEN,GK,Hvidovre IF,26,1996,7,7,630,7.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Davit Khocholava,ge GEO,DF,FC Copenhagen,30,1993,1,1,60,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Kasper Kiilerich,dk DEN,GK,Viborg,17,2005,1,0,46,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Malte Kiilerich,dk DEN,DF,Hvidovre IF,27,1995,19,17,"1,620",18.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Mads Kikkenborg,dk DEN,GK,Lyngby,23,1999,17,17,"1,530",17.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Kristian Kirkegaard,dk DEN,"FW,MF",Vejle BK,25,1997,18,11,"1,019",11.3,2,2,4,2,0,0,1,0,0.18,0.18,0.35,0.18,0.35,Matches
Luca Kjerrumgaard,dk DEN,FW,Odense,20,2003,14,7,602,6.7,4,0,4,4,0,0,0,0,0.60,0.00,0.60,0.60,0.60,Matches

Sean Klaiber,sr SUR,"MF,DF",Brøndby,29,1994,23,22,"1,867",20.7,4,1,5,4,0,0,1,0,0.19,0.05,0.24,0.19,0.24,Matches
Anders Klynge,dk DEN,"MF,FW",Silkeborg,22,2000,28,28,"2,335",25.9,2,5,7,2,0,0,1,0,0.08,0.19,0.27,0.08,0.27,Matches
Tobias Klysner,dk DEN,MF,Randers,22,2001,5,1,158,1.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Mats Knoester,nl NED,DF,AGF,24,1998,14,12,908,10.1,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Magnus Knudsen,no NOR,MF,AGF,22,2001,27,22,"1,858",20.6,3,1,4,3,0,0,6,0,0.15,0.05,0.19,0.15,0.19,Matches
Sven Köhler,de GER,MF,Odense,26,1996,22,21,"1,841",20.5,0,3,3,0,0,0,10,0,0.00,0.15,0.15,0.00,0.15,Matches
Marius Kolind,dk DEN,MF,Vejle BK,21,2002,28,13,"1,338",14.9,0,1,1,0,0,0,3,1,0.00,0.07,0.07,0.00,0.07,Matches
Denis Kolinger,hr CRO,DF,Vejle BK,29,1994,19,15,"1,154",12.8,0,0,0,0,0,0,8,0,0.00,0.00,0.00,0.00,0.00,Matches
