Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,npxG + xAG/90,Matches
Željko Samčović,rs SRB,GK,Mladost Lučani,20,2002,2,2,124,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Filip Samurović,rs SRB,GK,Čukarički,20,2002,11,11,990,11.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Luciano Sanchez,us USA,FW,Novi Pazar,18,2005,2,0,37,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Siniša Saničanin,ba BIH,DF,Partizan,28,1995,8,7,622,6.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Marko Šarić,rs SRB,FW,Javor Ivanjica,24,1998,15,4,429,4.8,1,0,1,1,0,0,0,0,0.21,0.00,0.21,0.21,0.21,Matches
Nikola Savić,rs SRB,DF,FK IMT Novi Beograd,22,2001,12,10,967,10.7,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
Nikola Savić,rs SRB,DF,Voždovac,22,2001,14,12,"1,088",12.1,1,1,2,1,0,0,0,0,0.08,0.08,0.17,0.08,0.17,Matches
Vladimir Savić,rs SRB,GK,Napredak Kruš,27,1996,27,27,"2,414",26.8,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches
Vukan Savićević,me MNE,MF,Vojvodina,29,1994,16,11,841,9.3,1,2,3,1,0,0,1,0,0.11,0.21,0.32,0.11,0.32,Matches
Aleksandar Šćekić,me MNE,MF,Partizan,31,1991,16,1,381,4.2,0,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,Matches

Marko Šćepović,rs SRB,FW,Novi Pazar,32,1991,22,11,916,10.2,1,1,2,1,0,0,1,0,0.10,0.10,0.20,0.10,0.20,Matches
Zlatan Šehović,rs SRB,FW,Partizan,22,2000,2,1,85,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Lazar Selenic,rs SRB,MF,Javor Ivanjica,24,1999,10,1,110,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Vojin Serafimović,rs SRB,DF,Čukarički,17,2005,6,4,323,3.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Besim Šerbečić,ba BIH,DF,Radnički Kragujevac,25,1998,16,16,"1,440",16.0,1,0,1,1,0,0,1,0,0.06,0.00,0.06,0.06,0.06,Matches
Xander Severina,cw CUW,MF,Partizan,22,2001,30,18,"1,700",18.9,8,1,9,8,0,0,4,1,0.42,0.05,0.48,0.42,0.48,Matches
Dognimani Silue,ci CIV,FW,Mladost Lučani,21,2002,32,19,"1,784",19.8,5,1,6,5,0,0,5,0,0.25,0.05,0.30,0.25,0.30,Matches
Nikola Simić,rs SRB,"GK,MF",TSC Bačka Top,26,1996,6,5,477,5.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Slobodan Simović,rs SRB,MF,Radnički Kragujevac,34,1989,26,24,"2,087",23.2,0,1,1,0,0,0,6,1,0.00,0.04,0.04,0.00,0.04,Matches
Luther Singh,za RSA,"FW,MF",Čukarički,25,1997,10,0,249,2.8,2,0,2,2,0,0,0,0,0.72,0.00,0.72,0.72,0.72,Matches
Sambou Sissoko,ml MLI,MF,Čukarički,23,2000,33,31,"2,658",29.5,0,1,1,0,0,0,6,0,0.00,0.03,0.03,0.00,0.03,Matches
Đorđe Skočajić,rs SRB,FW,Napredak Kruš,17,2006,2,1,65,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Đorđe Skoko,rs SRB,DF,Javor Ivanjica,20,2003,15,15,"1,315",14.6,1,0,1,1,0,0,3,0,0.07,0.00,0.07,0.07,0.07,Matches
Miljan Škrbić,rs SRB,FW,Radnički Niš,27,1995,11,8,625,6.9,2,1,3,2,0,0,0,0,0.29,0.14,0.43,0.29,0.43,Matches
Nikola Skrobonja,rs SRB,MF,Voždovac,17,2005,2,0,29,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Jovan Šljivić,rs SRB,MF,Red Star,17,2005,18,7,646,7.2,1,1,2,1,0,0,2,0,0.14,0.14,0.28,0.14,0.28,Matches
Semir Smajlagić,ba BIH,FW,Radnički Niš,24,1998,8,4,295,3.3,1,1,2,1,0,0,0,0,0.31,0.31,0.61,0.31,0.61,Matches
Bence Sós,hu HUN,MF,TSC Bačka Top,29,1994,23,2,392,4.4,2,1,3,1,1,1,2,0,0.46,0.23,0.69,0.23,0.46,Matches
Seydouba Soumah,gn GUI,MF,Novi Pazar,32,1991,26,15,"1,388",15.4,5,2,7,3,2,3,7,0,0.32,0.13,0.45,0.19,0.32,Matches
