Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,npxG + xAG/90,Matches
Giannis Gianniotas,gr GRE,MF,Apollon Smyrnis,28,1993,13,7,536,6.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Andreas Gianniotis,gr GRE,GK,Atromitos,28,1992,21,21,"1,890",21.0,0,2,2,0,0,0,1,0,0.00,0.10,0.10,0.00,0.10,Matches
Apostolos Giannou,au AUS,FW,OFI Crete,31,1990,2,0,56,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Kostas Giannoulis,gr GRE,DF,OFI Crete,33,1987,22,13,"1,330",14.8,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches
Christos Giousis,gr GRE,FW,AEK Athens,22,1999,1,0,24,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Vladimir Golemić,si SVN,DF,PAS Lamia,30,1991,9,8,753,8.4,1,0,1,1,0,0,2,0,0.12,0.00,0.12,0.12,0.12,Matches
Rodrigo Gómez,ar ARG,MF,Asteras Tripoli,28,1993,6,1,137,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Giannis Gotsoulias,gr GRE,"MF,DF",Ionikos,31,1990,16,7,680,7.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Fausto Grillo,ar ARG,DF,Volos NFC,28,1993,12,12,"1,005",11.2,0,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,Matches
Frixos Grivas,gr GRE,MF,OFI Crete,20,2000,5,0,105,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Levent Gülen,ch SUI,DF,Volos NFC,27,1994,24,19,"1,753",19.5,1,0,1,1,0,0,3,0,0.05,0.00,0.05,0.05,0.05,Matches
Jonathan de Guzmán,nl NED,"MF,FW",OFI Crete,33,1987,23,18,"1,499",16.7,0,2,2,0,0,0,0,0,0.00,0.12,0.12,0.00,0.12,Matches
Izet Hajrović,ba BIH,MF,Aris,29,1991,9,1,146,1.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Ehsan Hajsafi,ir IRN,"DF,MF",AEK Athens,31,1990,28,20,"1,685",18.7,2,2,4,2,0,0,3,0,0.11,0.11,0.21,0.11,0.21,Matches
Juan Manuel Munafo Horta,ar ARG,MF,Asteras Tripoli,33,1988,23,20,"1,728",19.2,1,0,1,1,0,0,8,1,0.05,0.00,0.05,0.05,0.05,Matches
Walter Iglesias,ar ARG,MF,Asteras Tripoli,36,1985,24,2,569,6.3,1,0,1,1,0,0,3,1,0.16,0.00,0.16,0.16,0.16,Matches
Sverrir Ingi Ingason,is ISL,DF,PAOK,27,1993,20,16,"1,497",16.6,2,1,3,2,0,0,5,0,0.12,0.06,0.18,0.12,0.18,Matches
Fotis Ioannidis,gr GRE,FW,Panathinaikos,21,2000,26,15,"1,377",15.3,4,2,6,4,0,0,3,0,0.26,0.13,0.39,0.26,0.39,Matches
Nikolaos Ioannidis,gr GRE,FW,Apollon Smyrnis,27,1994,31,22,"2,027",22.5,5,1,6,5,0,1,6,0,0.22,0.04,0.27,0.22,0.27,Matches
Juan Iturbe,py PAR,MF,Aris,28,1993,33,18,"1,540",17.1,1,2,3,1,0,1,3,0,0.06,0.12,0.18,0.06,0.18,Matches
Léo Jabá,br BRA,MF,PAOK,22,1998,12,7,697,7.7,2,1,3,2,0,0,2,0,0.26,0.13,0.39,0.26,0.39,Matches
Thomas Jaguaribe,br BRA,"FW,MF",Atromitos,28,1993,19,8,794,8.8,0,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,Matches

Nikola Jakimovski,mk MKD,DF,Apollon Smyrnis,31,1990,9,7,514,5.7,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches
James Jeggo,au AUS,MF,Aris,29,1992,15,14,"1,134",12.6,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
Darko Jevtić,ch SUI,MF,AEK Athens,28,1993,16,5,475,5.3,0,1,1,0,0,0,0,0,0.00,0.19,0.19,0.00,0.19,Matches
Juankar,es ESP,DF,Panathinaikos,31,1990,31,30,"2,643",29.4,2,3,5,2,0,0,7,1,0.07,0.10,0.17,0.07,0.17,Matches
Omar El Kaddouri,ma MAR,MF,PAOK,30,1990,14,5,648,7.2,0,1,1,0,0,0,3,0,0.00,0.14,0.14,0.00,0.14,Matches
Shinji Kagawa,jp JPN,MF,PAOK,32,1989,1,1,60,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Aboubakar Kamara,mr MTN,FW,Aris,26,1995,32,31,"2,658",29.5,8,3,11,5,3,3,11,1,0.27,0.10,0.37,0.17,0.27,Matches
Bruce Kamau,au AUS,"MF,FW",OFI Crete,26,1995,19,6,705,7.8,1,0,1,1,0,0,4,0,0.13,0.00,0.13,0.13,0.13,Matches
Giorgos Kanellopoulos,gr GRE,MF,Asteras Tripoli,21,2000,21,12,883,9.8,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches
Mamadou Kané,gn GUI,MF,Olympiacos,24,1997,5,3,260,2.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
