Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG/90,Matches
Nadhir Benbouali,dz ALG,"FW,MF",Charleroi,22,2000,15,8,751,8.3,2,0,2,2,0,0,3,0,2.5,2.5,0.3,2.8,9,5,23,0.24,0.00,0.24,0.24,0.24,0.35,0.04,0.38,0.35,0.38,Matches
Amine Benchaib,ma MAR,MF,Kortrijk,24,1998,3,1,71,0.8,0,0,0,0,0,0,0,1,0.0,0.0,0.1,0.2,0,2,5,0.00,0.00,0.00,0.00,0.00,0.03,0.16,0.19,0.03,0.19,Matches
Ján Bernát,sk SVK,MF,Westerlo,21,2001,6,3,195,2.2,0,2,2,0,0,0,3,0,0.4,0.4,0.6,1.0,7,9,18,0.00,0.92,0.92,0.00,0.92,0.20,0.26,0.46,0.20,0.46,Matches
Antoine Bernier,be BEL,"FW,MF",R.F.C. Seraing,24,1997,22,20,"1,733",19.3,3,2,5,3,0,0,1,0,3.2,3.2,2.5,5.6,59,43,118,0.16,0.10,0.26,0.16,0.26,0.16,0.13,0.29,0.16,0.29,Matches
Mohamed Berte,be BEL,FW,Oostende,20,2002,13,0,267,3.0,0,1,1,0,0,0,1,0,0.9,0.9,0.2,1.2,6,6,24,0.00,0.34,0.34,0.00,0.34,0.31,0.08,0.39,0.31,0.39,Matches
Loïc Bessile,tg TOG,DF,Charleroi,23,1999,12,7,618,6.9,1,0,1,1,0,0,0,0,0.7,0.7,0.0,0.7,6,41,3,0.15,0.00,0.15,0.15,0.15,0.10,0.01,0.10,0.10,0.10,Matches
Loïc Bessile,tg TOG,DF,Eupen,23,1999,8,7,521,5.8,0,0,0,0,0,0,0,1,0.3,0.3,0.1,0.4,1,17,2,0.00,0.00,0.00,0.00,0.00,0.06,0.02,0.07,0.06,0.07,Matches

Lucas Bijker,nl NED,DF,Mechelen,29,1993,4,3,157,1.7,0,0,0,0,0,0,1,0,0.0,0.0,0.3,0.3,2,5,5,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.19,0.00,0.19,Matches
Nathan Bitumazala,fr FRA,"MF,DF",Eupen,19,2002,15,9,880,9.8,0,1,1,0,0,0,1,0,0.3,0.3,0.9,1.3,24,24,57,0.00,0.10,0.10,0.00,0.10,0.03,0.10,0.13,0.03,0.13,Matches
Eric Bocat,fr FRA,DF,Sint-Truiden,23,1999,22,18,"1,414",15.7,0,2,2,0,0,0,2,0,1.1,1.1,1.0,2.1,63,52,72,0.00,0.13,0.13,0.00,0.13,0.07,0.06,0.14,0.07,0.14,Matches
Arnaud Bodart,be BEL,GK,Standard Liège,24,1998,34,34,"3,059",34.0,0,1,1,0,0,0,2,1,0.0,0.0,0.7,0.7,0,1,0,0.00,0.03,0.03,0.00,0.03,0.00,0.02,0.02,0.00,0.02,Matches
Merveille Bokadi,cd COD,DF,Standard Liège,30,1992,33,30,"2,759",30.7,1,1,2,1,0,0,4,0,2.2,2.2,0.5,2.7,16,90,8,0.03,0.03,0.07,0.03,0.07,0.08,0.02,0.09,0.08,0.09,Matches
Sinan Bolat,tr TUR,GK,Westerlo,33,1988,33,33,"2,970",33.0,0,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Boli Bolingoli-Mbombo,be BEL,DF,Mechelen,27,1995,19,15,"1,231",13.7,0,0,0,0,0,0,6,0,0.3,0.3,0.4,0.7,22,80,45,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.06,0.02,0.06,Matches
Aleksandar Boljević,me MNE,"DF,FW",Standard Liège,26,1995,7,2,205,2.3,0,0,0,0,0,0,1,0,0.4,0.4,0.4,0.7,7,6,17,0.00,0.00,0.00,0.00,0.00,0.15,0.16,0.31,0.15,0.31,Matches
